rating,review
5,This ring light is a great gift for the narcissist in your life. They will finally see their true colors however they won’t believe it because it wasn’t their own brilliant idea. They will convince themself and try to convince you that although they appear in true color you are just seeing it wrong. It is brings a brightness to their true colors. It hold a cell phone perfectly to enable face recognition so your narcissist can’t deny they are who they are!
4,This product is lightweight and easy to maneuver but the lightweight can be an issue when using a heavy recording device. I have to be sure to balance my phone just right before recording. It does allow the phone to tilt rotate and be used with forward and backwards facing camera. I love the different light settings.
4,I recommended this product but sometimes move a little bit
4,This is a good ring light. I've had it for about a year and a half now. My only dislike is the set-up/tear down. It isn't the most sturdy. Would probably not be bothered as much if I had a place to leave it set up all the time instead of having to stash it in the closet.
4,Like the standard thread (1/4-20)
4,The light came on time. I love the light and how bright it is. The only thing I didn't like is that when trying to put the light in a down angle with my phone mounted it will tip over and I have to hole the back leg so I can get the right angle for the video.
3,My home office gets no natural light until about  3pm so these are crucial for me. However I feel as though they are not that bright (I have two). One also stopped working after 6 months. If I could re-do I’d just buy one nicer one than two of these.
3,I have two lights this one is not as bright as I thought it would be and it appears just to have a string of LEDs inside of a plastic mold and you can see that string through the housing and I just don’t get the amount of light out of it that I expected I wouldn’t buy another one
4,It's a great purchase. It's my 1st ring light so I have nothing to compare it to. I would say the center part where you place the phone could be better made however for the price I'm happy. Nothing is broken and it's super bright.
3,This was inexpensive. I knew what I was getting into and didn't have high expectations. This is something I would recommend for non-serious filming. It falls over almost every time I'm recording. It doesn't stay in place and the cord is too short to place it anywhere effective. That being said it was inexpensive and is what it is. If you need some extra light it's good. Not recommend for actual content creation.
4,I kinda wish I had gotten a taller tripod. I love the diversity of this light ring with all the color and brightness settings soft blue white warm toned white and mixed. With several brightness options) but I typically have to take my phone out of the case to have the tripod hold it. And you really gotta work to tighten it. I haven't used it a ton. Bought it for lighting during all my zoom calls while things were shut down during the pandemic. Have started filming for videos by myself with it. Lighting is excellent (from an amateur videographer that has a bachelor's degree in theatre and has designed theatre lighting) but the mechanism to hold the phone/camera is pretty whimpy.
