rating,review
5,I've had this product for almost a year and a half and it still works well I have it glued to my windshield and its been there ever since. I live in Texas and we constantly have 100F heat waves and my car stays in the sun constantly I'm so surprised it's been holding on extremely well! it's a great product the little space on the phone holder allows me to charge my phone while I drive. Over all its a great product!
4,Sadly does not hold phones that have pop sockets.  The brackets on the sides are too short.  It’s a design flaw.  All you have to do to make the device compatible with any attachments to the phone is to have the side brackets longer.  So it can hold thicker devices.  Other than it not holding my phone 🤣 it works great with my husbands phone that does not have a pop socket.  The device itself is quality plastic and stays secure to the car.  Has good grip on the phone.
5,First off let me say that I really like this phone holder.  I mounted mine on the windshield & use it every time I drive.  It is very handy and you are able to look ahead and see both your phone & the road and other cars.  It was simple to install and easy to use.  I love mine.As for the Customer Service I was really impressed and greatly appreciative.  You see we live in Central Texas and it is super hot this summer.  As per my picture the 100 degree temps finally took a toll on my suction cup and I watched it melt away day by day and it finally separated and fell down.  I was so sad but I told myself to reach out anyway and explain my situation.  So I wrote to them and told them exactly what had happened and asked them if they sold a replacement suction cup replacement.  They checked on it and approved it and sent me not only just the suction cup but the whole end and all we have to do is replace the end piece clean the windshield really good again and re-apply.  I am debating on waiting until this horrible heat wave is over and the cooler temps are here.Thank you Lily for all of your kind help!
5,I bought this car mount from Vicseed in April 2021. After nearly a year and a half of good use the tightening screw broke.I messaged the Vicseed customer service team on Instagram expecting them to tell me that they can't do anything because it is outside of the 1 year warranty period. To my disbelief they promptly sent me not one and but two replacement screws completely free of charge. The replacement parts arrived at my doorstep within 4 days of sending a message to them which is just phenomenal. Shout out to Zhung Lili from the customer service team.Big brand companies with much higher profit margins than Vicseed should learn a thing or two from them about what good customer service really means.My recommendation: Buy this product without worry you won't regret it.
4,This could have gone 180 degrees the other way but I found the replacement part.  The mount works well enough the locking handle/retaining nut wore out quicker than I thought it would or should.  Without the locking handle the mount is worthless.There is a place here on Amazon that sells the part so I got a couple.  Seriously Vicseed include an extra one or two.
5,First and foremost this is a great product and works well with all our vehicles.  Secondly the company’s customer service is outstanding - I thought I was missing a part (which as it turns out wasn’t missing) and they delivered a new part the next day!
5,Have had this for about a month now and I have to say this is one of the best phone mounts out there suction cups don’t melt holds phone with minimal shaking and very sturdy. HIGHLY RECOMMEND this product.
5,If you have a 2013-2018 RAV4 you know how hard it is to find a phone mount. You can’t just pick one up at the store like everyone else because of the dash and the orientation of the vents.I have purchased another phone mount on Amazon that cost more than this and was only willing to hold a phone as large as an iPhone 8. Once I upgraded to a 12 it just kept falling out.This phone mount is superior to the previous headache I had. This was simple to install and is easy to use and very flexible with whatever size phone you may have.I definitely recommend this phone mount especially for Toyota RAV4 owners.
5,Love this phone mount. I have purchased 3 of them for two of my cars and a work truck. Solid phone holders. It even sticks to the textured dash without falling off.
5,What stands out to me about this product was the customer service from the seller. Very responsive and attentive. I bought 2 of these and returned one. They were more than willingly to make things right. The best part of it all was I wasn't returning it do to any issue with the product. But because they were willingly to make it right with no questions asked? This stands outs as customer service 101.  Make the experience with the customer memorable. I will buy from them just on that bases alone. Oh Btw the product worked wonderfully. The adhesive suction power and mounting system all worked well. I was concerned about it being out in the AZ heat but nope. The suction continues to hold and the adhesive has not come off. Well done!
5,Outstanding customer satisfaction and service.Many variables for mounting due to products flexibility and superior suction even on slightly textured surfaces as opposed to other similar products of this type I have tried very happy with this product.
5,I have bought this for both of my cars and they are still holding great.
5,He decided to use the bracket that attaches to the air vent and has been very happy with it. I'm pleased that he's not sitting his phone in the center console where it use to bang around or trying to hold it while he uses the GPS. It's been a good purchase that has given us both a piece of mind!
4,It was a great help traveling
5,Easy to install and does the job. I've had this mounted for some time now and the adhesion is still holding up. Very easy to maneuver and I'd definitely recommend.
5,My wife drove my car and is now replacing her old mount with this one!  Great product with lots of available mounting options.
