rating,review
5,So I have a ton of cords in my house at work and in the car to charge a variety of items.  I don't have any I-devices but I do have a myriad of C and micro charges in various length.  I just stumbled upon these charges and read the reviews and was excited at the prospect of having one type of charger for everything.  So before you buy there are some things you should probably consider:First these cords are not for data transfer - they only charge.  If you are in need of data transfer I believe this company has a set of those that they sell in 1ft 3ft 3ft and 6ft lengths. I do data transfer via Bluetooth so this limitation was a moot point for me.Second if you are going to go with this type of charging it only makes sense if you plan to completely convert all your devices over to the magnetic option.  Otherwise you defeat the convenience of the charger cause you still have to have the old charges and pull the adapters out.Third the ends of these chargers are magnetic.  So if you plan to leave this charger plugged in to be ready when you need it understand that it will attach itself to anything magnetic.  So put some thought into where you are placing the cords in your house hold and ensure that you don't have anything magnetic near where the cord will be sitting.  If its unplugged it is just an inconvenience but if it is plugged in - it MIGHT be a fire hazard. I already had my "charging stations" in places where there isn't anything magnetic around so I'm fine with this but it is something you should plan for.Lastly the magnetic hold of the chargers are NOT strong enough to pick up the phone by the charging cord. I believe the picture in the advertisement is misleading because if you attempt to pick up the phone by the charging cord it will fall and disconnect.  This is not a flaw of the cord this is by design.  If the magnetic hold were really strong enough to pick up your phone you would have a very hard time of disconnecting your phone from the charger and even risk damage to your phone if it pulled the adapter out of your phone.With that in mind I calculated that I would need two packages in order to change everything in my house car and office over to magnetic charging.  So I ordered two packages and they arrived the next day.  THAT made me happy to get them so fast.Each package has a 1' 3' and two 6' cords.  One of the 6' cords has the charging on the side which allows for 360 degrees of rotation.  Each cord is packaged individually.  There are two small clear containers that contain 6 adapters (2 of each kind per container).I ordered Thursday evening received them Friday evening and I'm writing this review on Monday. The first thing I did was open both packages and set the 8 cords to the side.  I emptied the 4 clear containers of the adapters and separated them into 3 piles by type.  I gathered up all my devices and started placing the adapters inside each device. I was worried about my phone because I carry it inside a wallet case but I worried for nothing because I was able to leave my phone in its case and the adapter fit perfectly in the phone. (If I want to remove my phone from the case I will first have to remove the adapter). I had plenty of adapters to go around and when I was finished I placed the extras inside 3 of the 4 clear containers by type and used a black marker to mark on the back what type each container had so I could easily find an adapter for any future devices.  I then went through my house and started replacing the cords.  I had NO IDEA how many cords I actually owned until I started gathering them up!!!! The one 1' cords went into the cars and one of the 6' cords was set aside to take to the office.  The remaining cords were placed around the house and I actually ended up with an extra 6' cord that I didn't open (always great to have a spare).  Gathered up the old chargers and placed them in a rather large box and put them in the garage in case I needed to go back to the "old way".  (I did leave one small Micro Cable beside my bed for my wireless earbud charging.  I only have to charge the case once a week and putting an adapter in the case didn't make any sense).These things are fantastic!!!  My house is no longer cluttered with charging cables.  Where I used to have two cables per "charging station" (one in the wall ready and the other type sitting on a table/counter beside the outlet) I now only have one in the wall ready to go.  All weekend I would just pick up one device and then put another device on to charge and the charger would "click" into place.  I didn't have to exert any effort to insert the charger I just put the device close to the charger and the magnet did its job.  The time it took to charge my devices was just as good as the "old way" if not faster.  The one foot cord was a little short from what I am used to in the car but the 3 foot would have been too long.  Since my phone hooks to my car when I'm in it it wasn't too much of an issue but I think a 1 1/2 foot or 2 foot cord would have been perfect.  I would have been able to place my phone in the holder that I have instead of just laying it on the console and hoping it doesn't fall off.  BUT the ease at which it connects/disconnects is worth the short cable. If they ever have an option of a 2' cable I will buy it.Also I LOVE the blue light at the end of the cable that lets you know there is power.  One of my places to charge is when I'm sitting on the couch and the biggest problem I have had with the old way of charging is because the cord is behind the couch - it sometimes comes out of the wall and I don't know this until I plug my phone in and notice it isn't charging.  With the LED light on these chargers I KNOW before I even sit down whether the cord has power.  This was a benefit that I wasn't expecting but was huge plus for me.I have already suggested this product to two of my co-workers and I believe everyone should switch to these! Just the convenience of no longer switching cables and having them laying around everywhere was worth it.  The ease of charging is just icing on the cake. The adapters are minimal and do not detract from the aesthetic of the device but even if they were bulky I would use them.  I don't ever see myself going back to the "old way" of charging unless there is a big quality issue that comes up later.  I have only had them for a few days so if I experience any quality issues with the cables I will update my review.  As of today I would highly recommend this product.
4,Instead of this set I'd recommend this (fully compatible) TOPK set with more cables including TWO long L-shape (right-angle) cables:  https://smile.amazon.com/dp/B094V9VXTFThese work just fine but the straight non L-shape cables lose their connection briefly whenever you tug on the cable just a bit.  That's why I'd go with the above set.  Anywhere you're going to be using your phone/tablet while it's plugged-in I'd stick with L-shape cables unless you've got some extremely thick case that won't allow them to work.  I'll throw the straight cables in my travel bag and perhaps my car where little annoyances like that won't matter so much for as relatively rarely as they're used.Otherwise I love these:* Since you have tips which stay permanently in the USB (or i-device) socket your phone's charging port never gets full of pocket lint and needs cleaning.* There's less chance of damage to your charging port from exceeding the thousands of connect/disconnect cycles the port can handle to pushing/pulling at an angle and damaging it.* The L-shaped cables swivel very easily and disconnect if you pull on them preventing damage to your device.* The magnetic cables connect very easily you just get your device within an inch of the cable and it'll magnetically connect up itself.  No fumbling around in the dark trying to plug in your charging cable.* No need to swap changing cables when you want to switch between charging older micro usb devices versus newer usb-c devices.  And it's so easy to connect/disconnect devices lots of places I previously had two cables I only need one.* The charging cables are thin light and flexible including the 10ft lengths.  Typically longer USB cables get rather thick heavy and inflexible making them unpleasant to use.* However I do HATE the blinding bright blue LED shining out the rear and sides making it difficult to sleep in the same room as your phone is charging.  The LED shining out the front is fine where you can see it when nothing is connected but gets blocked when a device is plugged-in. I needed to go around the rest of the plug with a few inches of black electrical tape to block the light.  Perhaps black paint would be a better fix.  There are some compatible magnetic cables with a special swivel head which do this right but I hear they are fragile which I can certainly believe by looking at the mechanism so those are out of the question for me.
5,Used many of them and gave others away to relatives and friends.When I bought them I was using a Pixel 4a 5G phone. It did not have Qi wireless charging. These cables worked perfectly for my needs. I have several around the house and in the car. Very Happy.Just bought a Pixel 6. It has Qi wireless charging. That little dish runs in the high teen$. And I have to buy a 20 watt wall charger and would only have 1 charging station.The Pixel 6 needs a 20 watt wall charger to work with the USB-C to USB-C cord. However these cables I love and of which I have many produces 12 watts. I have not tested them yet but I am sure the 8 watt charging difference will not want to make me jump off a bridge.
5,I’ve been using the cords for a couple of weeks now and so far so good. Not fast charging (?) but they work and charge my headset phone tablets and switch just fine. But the best was the customer service one of my cords wasn’t working I contacted support and they sent out not one but two new cords right away which I received super quickly. People seem to be after magic fast super powered cables and that’s not going to happen. I haven’t found any that do that but these? I don’t have a complaint service was great cables charge and they send plenty of pieces for various inputs you might need. A+ in my book.
4,I hope you guys keep improving this product.  It's very useful!  I wish I could get them without the LED I use them in the bed room and it's too bright.  A few times my ipad would say it wasn't charging and I have to reconnect but still good.  It also becomes hot after some time of use would be great if there was something wrapping the hot parts.
5,I bought a new charging cable to use in the car and was disappointed when it was made of such cheap metal that it wouldn't stick to my magnet mount (which is where I store my charging cable when not in use).  I asked my wife to order a new cable and to make sure it would stick to a magnet. She found this product and ordered it. When it arrived I was like "You're crazy. This will be so annoying." But after using it for just a day I have to admit that it's so much better than any other charging cable I've ever owned and I made her order a bunch more.These charger cables are so excellent. I have an iPad a Pixel 2 XL and a pair of headphones all that have different charging connectors. I used to have to keep three different charging cables in all the places that I might need to charge them. Now I have one charging cable in each location and it connects to all of them.When I first got it as I said before it was annoying because I'd have to remove the little insert in places like the car where I didn't have the cable. Now I have one in the office the living room my bedroom all of my cars and in my bag for when I'm out and about.The magnet is fantastic very strong but not so strong that the device would be ripped out of your hand if someone yanked on the cord. It is self centering so you can literally connect it to your device by tossing it near your device. I do that sometimes just for fun.In the set we got one of the connectors is on it's side while the rest were straight-on connectors. I use the side connector for use in bed. I've trashed so many cables over the years because while I'm reading I crush the connector between my body and the device as I prop it up. This side connector is perfect because it kinda rotates out of the way and is flat enough that nothing has to bend.One downside is that the blue LED on the end of the cable is so bright! It will blind you to look right at it. Most of the time this is a nice feature that helps me find the cable even if it gets pushed under the sofa. But at bedtime I find myself putting something on top of it so it doesn't light up the room. (Although when I have to get up to go to the bathroom I can always find my phone in the dark.)Another downside is that the insert does create a small bulge at the base of my phone which very occasionally makes it not quite work with a particular cradle that relies on using the bottom edge of the device for support. Android phones will allow you to use the device upside down so this sometimes solves that problem. But this happens so rarely I hardly ever encounter it.With my iPad Pro (first generation) it's a bit annoying to have to remove the insert in order to insert the Apple Pencil for charging. But frankly the design of that first generation Apple Pencil was so poor it's annoying no matter what. They have fixed the problem in current iPad models as the Pencil charges on the side of the device using a magnet of its own.I know it's too much to ask for but this should be the new standard for charging for all devices. It's so elegantly beautiful in design and function. So yes my wife was right. She saw the value of this system right away. It was the first time she was right so hopefully she'll build on this success and there will be many great purchases to come.
4,I am a tech nerd and have lots of different devices.  I hate having different charging cables coming or charging adapters to accommodate different types of USB or Apple proprietary charging cables. With this set of cables and its generous amount of USB and lightning cable adapters I pretty much need just one cord to keep everything charged.  The cool thing is that I put the little metal thingee into the USB slot of the device and they can all share the same cable.  This is life-changing stuff if you have dozens of devices all thirsty for charging.The good:- Nice assortment of lengths- The cables seem pretty durable with a woven cable guard instead of the cheap plastic wrap on lesser cables.- Charging is not high speed but it is certainly fast enough for every device table phone earbud etc. that I own.- There is a cool blue light at the end of the cable that helps you locate the ends especially useful in dark places like beneath the car dash.The Bad:- The metal charging tips are slightly wider than my Pixel 6 phone so the kinda stick out a bit and take some getting used to.  I have had them on for a couple of months now and no longer notice them but it bugged me for a those first few days- If you have a lot of devices you will need more of the metal tips than are provided in this kit.  I need a lot more tips than cables (since the devices can share the cables).  But I don't see a way to buy just the tips.The ugly:- While I love the blue light glow it is can be super bright in a very dark room.  When I turn my lights out in the bedroom the blue glow seems a little too bright.  I wish there were at least one cable in the pack without the light.Overall Grade: Solid "A"
4,The system is great.The light on the connection soot is very bright blue.  I have to block it with an object on my nightstand.  Its worth it but it brings the rating down a star
4,Good product
5,This kit comes with several cord lengths and a little container full of various adapter tips. I just leave the adapter tip in place on my kindle phone speaker etc.. It lies (very nearly) flush and stays in place. The magnetic tip on the charging cord grabs easily and charging time seems about the same. It's so nice to just have a single cord that's always the right one sitting on the table.  Since it comes with 4 cords I can leave one in the living room bedroom & car. The lack of irritation alone has made this pay for itself. Also not having to replace my Kindle - again - because the plug was already getting loose after a year - again - makes me happy. Have only had this for a month so far but am 100% pleased with this purchase.
