rating,review
5,Love how this keeps my cords nearly rolled up no tangling grommet allows for easy hanging.  And if using close to plug and only need a foot or so for use no need to remove from strap.  Love it!
5,Have several extension cords and rope hanging from them
5,These straps are used to hold together our roundup electrical cords and our HVAC hoses. Am completely satisfied.
5,It keeps my cords pretty organized.
5,I use these often for all of my extension cords that I used often. They’re easy to use and easy to store. Love them!
5,very good
5,works good
5,It helps getting electrical cords organized. The hook for hanging the cords is a real plus.
5,not sure how long they will hold up to heavy extension cords
5,No more hoses or extension cords in loose coils now they're all wrapped up and individually hanging from my rack system (different review).  No more tie wraps or other methods just use these to keep every hose/rope secure and in place
5,Used to hang plenty of rope electrical cords and chain.
4,Seem well made and will last. Good size.
5,. Easy to use and exactly what I needed.
5,Keeps my extension cords organized. Nothing fancy but gets the job done. I'm happy with the purchase
5,I use them for cords tools bikes etc.  They do what they say and they are durable AF.  Strong velcro.
5,I have several long heavy duty extension cables. These hold them securely and keeps them neat.Easy to use.Love the grommet on the top that lets me hang it on a hook!Heavy duty Does the job.Would highly recommend this item.Would definitely buy again.
5,I originally purchased these for my many extension cords but wound up using these strong velcro straps to hold other items in my shed and garage.  This is no cheap strap very sturdy....I am using one to hold my string trimmer off the floor in my shed this is a quality strap.
5,We use the to tie together canopy’s and they work great!  Excellent product
5,Keeps my ext. cords neatly wrapped together & hung from my WallMaster hook (sold separately).
5,We have a few long and thick electrical cables as we have to use them for a generator and other outside work.  I was using 1 for an electrical rototiller and when I was trying to organize it to put it away was frustrated.  Looked on Amazon and found these so pleased.  So I then organized them all 3 very thick and unwieldy and a couple of others that are smaller.  Worked like a charm - these are the best.  Highly highly recommend.
5,Works as advertised.
5,We have alot of extra extension cord especially around xmas. These keep the Cords managed so they are easy to store restore and use regularly. Simple concept at a reasonable price.
5,Excellent garden/carpentry tools for a storage shed
5,These guys are good for:1. Ext Cords (I've got 5 on one strap -  It's a Versatile HD Storage Strap)2. Garden Hoses3. Rope/s4. Electrical Wire (I'm going to see if it will work on flashing - I hate how that stuff unwinds.Finally. You know how hard it is to find the release side of a velcro'd strap? If you don't have fingernails it's tough. These guys come with a loop pull that sticks out away from the velcro. Find the loop pull it. You just opened the strap.I'm impressed with this item.
5,I use these to store tow straps extension cords air hoses and more. Holds them together for easy storage on a hook with multiple items on the same hook.
4,Nice and sturdy but expensive for some Velcro. Does what you expect and is durable for home use not sure if use this in a shop.
5,Was exactly what I needed
5,easy to store electrical cords big and small
5,Looks professional and very sturdy. Makes hanging things in the van super easy
5,Hook and loop is plenty strong. Best method I’ve yet found fir cords and hoses. Seems durable but don’t know yet.
5,performed exactly as expected - large size allows for bigger extension cords.
5,Great for keeping multiple chords organized.  Can hang on a wall .
5,Easy to use and perfect for my use for extensions and hoses.
4,came in handy
5,Wouldn’t mind buying a few more. Great for a lot of things around the house
5,I bought these for a Purpose than most. 😻I can tell you they work great!!!!
4,This is a Christmas gift so I have not as of yet opened it. I have no reason to believe it will not be great!
5,I ordered a set of these to hang extension cords and cables in my garage. I only wish I would have done it sooner because these are a huge time saver and great for keeping things neat and organized. I paired these with a set of hooks (also bought on Amazon) and I can fit 5 cables/cords all coiled neatly with their own strap on a single hook.These are also made with what feels like very heavy-duty materials and the velcro / hook and loop is the high-quality variety that tends to last with repeated use and abuse. These are a great value for the price.
5,Very sturdy and well made. Tough!
4,Can't really judge their durability after a couple of weeks But they seem really sturdy and well made. I would buy them again or maybe a different size in the future.
5,I love these things for organizing all the cords that accumulated in the garage. I think they're such a great idea I bought more for gifts.
5,Perfect for all my needs.
5,Stores all my extension cords in my shed just fine. I have a few 100ft 12 gauge cords that are thick and heavy but these work great.
5,The Velcro holds time after time. They make it easy to hang from a hook without damaging a cord or hose.I will keep a few on hand just in case I have a need for them.
5,Love being able to wrap up a cord and quickly put these straps around them to hold and hang them.
5,Great storage straps for organizing and storing outdoor extension cords and other cords or hoses in the garage/basement.  They look great are made out of a very durable weaved material with strong hook and loop velcro that can withstand up to 50 pounds and help you organize your items very effectively and efficiently.  9 per pack....extremely affordable.  A++
5,My biggest concern was how sturdy they would be. But they are thick and constructed from good materials. I could see myself using them for a lot more than just cords.
5,I use these with extention cords and air lines mainly
5,Just what I needed for my cords! Strong velcro!
4,Great equipment but I did not have an option to actually buy other larger size and I found out with 50-100ft commercial extension that larger size is needed
5,This item is by far a very useful tool for organizing many things in your Man Town Tool Shed or Work Shop. For the ladies you are not left out. This works for many Lady needs.I purchased a set of six and quickly used them all to hang extention power cords power tools drills nailer air compressor hoses airless painting tools and more. Use your imagination. It is rugged and very useful. I liked them so much I purchased another set. I highly recommend this.Da P8NTRMAN
5,This extension cord holder is perfect for that use and just large enough for a 100 ft. electrical cord.  It should be useful for carrying as well as hanging the cord.To hold very loosely coiled (4 ft. diameter) 50ft. and 75ft. hoses required putting two of the cord holders together.  The hook and loop surfaces are large enough and two stick together effectively.  So for winter storage the hoses can hang from an interior wall.
5,I got these for my husband to use in the garage to organize the different extension cords. They are really simple to use you only have to roll up the cord and then place the strap around it. After putting them on the extension cords we then mounted some hooks to the wall and hung them through the loop. It has been a great solution to keep extension cords in order and taken care of. Would purchase again for sure.
5,Bought these for all the extension cords and some other stuff. Saves getting them all Tangled together while hanging up and just grab the top of the holder and you have what you were going for. Good product
5,Simple use to good power cords and hoses etc in a work van that’s constantly bouncing around all the time.  Great quality at a very reasonable price.
4,Product appears to be great and very sturdy. Only downside is that Amazon delivery person felt it was acceptable to cut 5 steps out of their time Me walk through the middle of my flower bed.
5,Absolutely  love. Made my basement  much neater and holds outdoor hoses in place and all my extension cords.
5,Easy fix to keep my extension cords from unraveling. Reduces twisting.
5,These straps took care of all my extension cords scattered around the garage: I just pounded a few more nails and cords hang neatly on the wall clearing up my small work bench. Velcro is very strong but it separates easily by pulling on a small pull tab.
5,Easy to use hang tools cords light hoses tow straps etc.
5,I’ve always done a good job of wrapping my extension cords but the smaller gauge wires would twist.  The Velcro set with these straps works great on my 100 foot extension cords.  The cords stay best and are easy to hang on the wall system I have for tools.  Solid deal.
5,Cords hoses cables tools - you name it - he loves em.
5,Really like their quality: they are sturdy and are a good size (I used them for 25-100ft extension cords).
4,Great for organizing chords. Material is thick and the felcro is very strong. Love the easy grab tab and gromets.  Would buy again
