rating,review
5,I own a Canon PIXMA TR4522 all-in-one printer and as expected was mildly disgusted by the fact that printer manufacturers are STILL running their "ink racket." You know the one where one full set of ink cartridges costs almost as much as a whole new printer the "standard yield" tanks are half-filled and the "high yield" tanks are actually full...I do not print very often and as a result I end up using more ink for the self-cleaning cycles than I do for actual printing. It didn't seem prudent to pay for genuine Canon tanks when most of my ink ends up soaked into a sponge inside the printer so I chose to search the aftermarket world. In the sea of Amazon sellers I stumbled across Coloretto and thought I would give them a chance.The tanks arrived properly sealed and in minimal eco-friendly packaging. The box itself and accompanying literature are made with recycled paper nicely fitting the theme of recycled cartridges. Installation was just as mildly-awkward as the Canon cartridges are but this is due to Canon's design. My printer recognized the new tanks immediately and showed them as "full." Ink levels as I have used the printer have dropped at a rate I expect and even though Canon's software is now bugging me about low ink levels I have seen no loss of output as I have seen in the past with other brands leading me to believe the manufacturer isn't "short-filling" them to increase profit margins.Print quality is actually BETTER than the original Canon tanks there is less bleed-over; this leads to crisper images and clearer text/lines. The black ink is slightly darker than Canon's which may make color photos print out a tiny bit darker but you really have to do a side-by-side comparison to notice.My printer and these tanks have been stored/used in my "man cave" aka garage a garage that is not climate-controlled. As such they have been exposed to the full outdoor temperature and humidity ranges of New England. All winter long they suffer sub-freezing temps until I fire up the kerosene heater and they get warmed up to the 70s. I've never had a leak or any issue with them whatsoever. I don't have to perform multiple "deep cleanings" if I don't use the printer for a few weeks like I often had to do with the Canon tanks.I am happy to support manufacturers that provide a good product and that is why I just ordered my second set of Coloretto tanks for my printer!For reviewers that have sought out assistance from the manufacturer and cannot find a way to do so they *do* provide a customer service Email address on the small card that the cute little iguana paper clips (free gift) are attached to. {{service@colorettoink.com}} I haven't had a need to contact them as my experience has been quite satisfactory.
5,I just hope it won’t dries up too soon
5,Love it. Thanks
5,I was using Costco's remanufactured cartridges for the longest time in my Cannon printer until for some reason they stopped working. Then it became a challenge to even find Cannon printer cartridges due to supply chain issues. Printer has been sitting there for months collecting dust and I was about ready to toss it and get another one but came across these reasonable priced cartridges. I was nervous they wouldn't work just like the Costco ones but to my surprise they worked perfectly! My old Cannon printer lives again!
5,I've had recycled printer cartridges put the printer in error mode stating that in needed repair. These cartridges have never gave me this problem. I recommend them.
5,I had to check because I’m in disbelief but I’ve been using these same cartridges since may 25. It’s the end of July.For context I run a small junk journal business from Etsy (junkbooksbyjess- shameless plug) I’m also a ring planner who loves printables.These cartridges have said low ink since early June BUT… and this is a big BUT (hehe)They are still going strong.i even purchased back ups because every print job I do I am convinced I’m going to see an alert on my laptop saying “girl- I’m done. Please stop already.”But nope. Still printing like I just bought them.And no I’m not paid to write a good review.I freaking wish but alas I’m just a girl who prints A LOT.Buy these.
5,Easy to install and fit perfectly. No color difference from the ones Canon offer. Will buy again
5,I am glad I tried this because it is cheaper than the real ones and it has good quality.
5,Unlike the other guys I recently bought ink from these cartridges were recognized immediately in my TR4500 and work great.
5,I’ve bought remanufactured ink from other places and even in the beginning when I knew they were brand new would get a message that I was low on ink.  These are working great and also I’m not getting a message that they are low on ink. Awesome!
5,The ink was great quality it came packaged nicely with a box that was recyclable too. Highly recommend.
5,These print great. Lets see how long it last though.
5,Awesome
5,The quality of the print is 100% equal to the official Canon brand for much less of a price. My only regret was not knowing about this company sooner. I'll never go back!
3,This is a waste of money at least for Cannon. It works perfectly at the beginning but it will leak and conduct alignment issues.
5,I was skeptical  with a remanufactered printer cartridge.  Never had much luck with them. These cartridges  don't  leak and are professionally  packaged.  Give these a try!
5,Used before but had to return these cause my printer broke and didn’t need them after all
1,If I could give negative stars I would because these don’t even deserve one star! I bought these print cartridges to keep on hand when my printer was low on ink. Yesterday I put the black one in my printer and I immediately got an error code that my printer was overheating and needed repair. I googled the code and one suggestion was to try and replace the ink cartridge. I went out and bought a Canon ink cartridge put it in my printer and thankfully I didn’t need to repair or replace my printer. I have bought other lower priced ink cartridges in the past from other sellers and never had an issue. I can’t return it because as I said I bought it to keep as a spare so by the time I needed it the return window had closed. What a waste of money and time and so very frustrating. They say “you get what you paid for” but I almost had to replace my printer because of this issue. Terrible experience!
5,Great deal very well packages with instructions to make easy install.  Also 2 little cute paperclips the wife loved. Would buy again.
5,I've bought from this company 4 times in the last year and each time have had the best experience with the product. It prints just as well as brand new cartridges and I feel good about being somewhat green in utilizing remanufactured cartridges. I have had zero issues with any of my cartridges in my Canon Pixma printer and will continue to use.I also love the little chameleon paperclips - so cute!
5,Great value for the price!
5,Worked good
5,Just as good as Canon and cheaper. Only use for home printer but haven't had a problem yet with this product.
5,What can I say? It's ink it's compatible and it's cheap! Delivered promptly arrived in really great packaging that included an alcohol wipe in case the printer didn't recognize the cartridge. Will definitely buy again when needed.
5,Ink cartridges arrived promptly and work as well as the originals in our Canon printer.  The price was good also. Will reorder as needed.
