rating,review
5,Have Wi-Fi bridge and a Poe camera connected works perfect
5,Excellent
5,I needed a rackmount switch with PoE. This switch delivers 48V which is standard for PoE or PoE+. I had purchased another switch that only delivered 24V and would not power my PTZ Camera which I had to return. Note that this switch does have a very quiet cooling fan and it came with rack-mounting hardware. Some have suggested a short life expectancy on TP-Link network equipment but with a lifetime warranty I am keeping the box in case it needs to be returned. Solid product great performance value pricing.
4,Bought to replace a switch from the same company that had fewer ports. At Church we have a few devices back in the sound booth.  A WiFi access point two computers a projector and a Ethernet sound link to a room on the other end of the building. Needed a POE switch for the access point and the projector.  This got all devices connected.
5,Used it to connect an IP Security Camera to my home network. Did this through POE+ through a 500' spool of CAT6 cable to the IP Camera. Everything worked first time and I saw no problems indicating power or communication issues. After running for four hours neither the power supply nor the switch were even warm to the touch (with only one POE load it shouldn't be). Seems solidly built. I like the fact that it is fanless (one less weak link to cause a failure)! I'm going to use this to connect four POE security cameras to my network so it will be loaded and running 24/7 so I'll update if I experience any issues.
4,i was unaware this device had a fan.
5,Es un exelente adaptador multipuerto para conexiones ethernet con este equipo he resuelto muchos de mis problemas de conectividad en casa ya que mi router tenia solo para 4 conexiones a ethernet y tenemos varios equipos a los que necesitábamos llevarle internet y no por vía wifi tiene 8 puertos a ethernet 4 de ellos tienen transferencia de datos POP la velocidad es increíble puedes ponerlo en una mesa como en la pared porque en la parte de atrás tiene dos orificios para colgarlo a la pared nop se caliente ademas de que cuenta con unas luces led que te dicen cuando y que puerto  se esta usando de los 8 que tiene la instalación es fácil pero ademas cuenta con un manual que explica como se conecta todo lo recomiendo 100 por ciento
5,I purchased this product to power a POE camera plus another one I will install in the future.  Just plug it in and it works as advertised.  I like the fact that each port has a light to indicate its connectivity status and its speed (10/100 Mb or Gb) and if the port is providing power (only for POE ports).  The non-POE devices connected to it work fine.  As a simple unmanaged switch the only other thing I can hope for is longevity.  It has been running for a couple weeks time will tell.
5,Using this PoE switch to power up 2 TP-Link EAP225 and 1 EAP235 access points and 1  TP-Link OC200 hardware controller as well as a switch for the rest of my home network. Been running flawlessly for 1 month
4,Works great
5,This device supports a critical team that was moved into a space with only one network connection. This device allowed us to set the office up quickly with two desktop computers and two PoE VoIP phones. After several weeks of use we don't even realize it is there because it is quiet small and has given zero problems.
3,This switch has fans in it.  I guess that is why it is sort of a piece of network equipment that is expected to go into a rack or in a network close.  If you have a set up like and have your networking gear near where you sit then this will be too noisy unless you have something else that is louder than this.  The fan(s) are not that loud but way louder than the fans on my computers.  So I put it away in storage just in case I need a switch in a pinch.  I assume it does what is was designed to do.  I only turned it on for a few minutes the shut it off and put it back in the box.  I did manage to find another switch that was designed without a fan.
5,It's work good I am use it for cameras connect to nvr
5,I use this POE 8-port switch to power three IP security cameras along with handling the data for several others.  These cameras are running 24/7/365 sending their video streams to the PC that runs the NVR.  I set all this up for the first time in October of 2014!I've been expecting something to go wrong as it seems nothing is designed to last very long these days.  Here we are starting off 2020 and this little switch is still humming along with no issues.  I gotta say I am pretty impressed that something at this price point can take this kind of constant workload and keep going for 6 years (or longer!).  I have another TP-Link 16 port switch that handles the rest of my network (not camera related) traffic for the house and it has also been flawless for 6 years now too.
5,This switch box works great! However if your Upgrading your existing Ring cameras from WiFi USB powered to POE be sure to reset the cameras from WiFi video signal to POE video signal by pressing the orange reset button on the base of the camera (in setup mode you choose Ethernet connection option) during ether-net hook up. If you don't you will be powered by POE but still stuck in WiFi video sound with all the issues it may have.  Also use the best OUTDOOR rated ether-net cable you can. I used OUTDOOR rated CAT 8 cable with much better video and sound quality than WiFi.
4,Very good unit and very easy to use.
4,Nice economical router with 4 of 8 ports as POE.  About the only thing its missing is a way to mount this on a wall to get it up and out of the way.  I have a total of 3 Amcrest POE cameras on this device and 2 Two of my POE cameras uses 100' of outdoor cable and they have no problems getting enough power even with the built in Night vision IR light turned on. I currently use this one out in my unheated garage and its been cold lately and temperature out there has dropped below its rated operating temperature (32 to 104F) but it hasn't caused me a problem which is a bonus.  Nice economical POE switch I don't think its as nice as my netgear POE Web Managed Plus switch but i paid more for that one and you rarely use the other features that one provides.  A good choice if you have a couple of POE devices.  If you only have a single POE device a POE injector will probably be more economical that buying a dedicated switch like this.
2,Update:The problematic switch no longer will communicate with the network.  It sends power to POE devices but the network no longer can connect to the AP or the camera.  I replaced it with a Netgear 5 port POE switch and everything is working again.Bottomline: 50% failure rate at 6 months. Buyer bewareI bought 2 of these at the same time.  They are both set up the same way:  Ubiquiti Airmax radio in a NON-POE port and a Ubiquiti AP in a POE+ port.5 months on one works perfectly and the other does not support the POE+ ports correctly (none of the POE+ ports).  I have a work around with a POE injector but the Switch is a disappointment
5,So far so good. This switch powers my TP-Link EAP 225 wireless access points with no problem and I think I am even getting better performance out of  the WAP's since I eliminated the Fios router from switching duties. For someone looking for a simple switch til 10GB internet speed is available I recommend this model. If you have TP-Link EAP 245 WAP's this switch will not work with the 245's since they are not af
5,This switch has lots of POE+ power.  It has operated perfectly for me
5,I bought this to use in my home in Brazil so I was  not able to test it until I returned to Brazil and as luck would have it the POE did not function. The switch works but the key part I needed was the POE and it fails on all POE ports. I can't return it until I get back to the US and that's not until May. I can't recommend this based on it failure right out of the box.I have revised my rating to 5 stars I made the error of not doing the research on this POE switch had I done the proper research I would have found that my POE devices were not compatible with this POE switch. I tested the switch with a compatible POE device and it worked perfectly.
3,Bought this switch to replace a non-POE Gigabit switch that I had.  As a basic switch it's still working fine but after about 18 months the POE portion of it went out. I was able to get by on some POE injectors I had lying around for a while but considering that I already had a gigabit switch and this one was purchased solely for the addition of POE it is effectively a wasted upgrade now.I'll probably try a different brand in a few months when I feel like tinkering with the setup again.
