rating,review
5,This is a good set of cables if you need replacements for old ones. I have gone through so many cell phone charger cables because I wear them out at the charging port. I thought my phone port was dying when two went out in one week (I think that was a fluke). I bought these as a replacement and absolutely love them. The short and medium length get the most use but it is nice to have the long cable as an option if I am not close to an outlet/power strip to plug in. They are nice and sturdy charge my devices at a decent rate and have not developed any weak stress points from use. I believe these will work for quite a while and we well worth the investment.
5,I like the fabric covered cables as those tend to be more sturdy than the. On covered cables.
5,Made an RF choke 27 turns around a ring.
5,This item worked perfectly for what I needed it for
5,My kid destroys chords. These seem to hold up the longest and do the best job as far as durability. Best part is the rubber coating at the base of the plug that prevents the chord from fraying and being damaged from bending.
5,I have two types of ports: Micro USB and Type C.  For type C I got the red cables. For the Micro-B I got the blue/aqua cables.  I have them plugged at various places around the house. Wherever I go I don't have to think about which cable is there. I grab the color for my USB device.
4,Very strong cables
5,Pretty durable. Charges good. No complaints so far
5,I don't have much to say. If you need a couple micro USB cables of varying length this is the way to go. I haven't had any of the tips get bendy or come out of the socket yet and I think I've had them for almost half a year now. Very decent products all around and I like that they're blue.
5,Good quality for cheap price👌👌👌👌
5,Very pleased with these cords.  Sturdy and lengths are perfect for various locations.
5,Works excellent
5,Very high quality durable cables.
3,Don't charge well doesn't seem to get good connection no matter where I plug it in. Tried others to be sure it's just these and it was.
4,The computer industry occasionally has a problem with semantics.  What's a "mini" vs. "micro" USB plug.  It seems that some manufacturers cannot get on the same page with these terms!(?)  I had to do a switcheroo with one set of JS Audio patch cords for these.  Impressed with this shade of RED and being male a "good" look will always attract me!  So far . . . I'm satisfied.  We'll see how long they'll last with all the coiling/uncoiling.
5,Having been buying these now for past few years. The only ones I will buy now. Have tried many brands that have not lasted. Still using the same 2 that I bought 3-4 years ago.  As others go out I replace with these.
5,I already love the look of these charger cables! They are sturdy and durable! Also yes I did receive the shipment four days late but the package was intact and I was very happy to receive it! Thank you so much!
4,Keeping because I have devices that have the same connector.  Never enough charging cords.....so they are staying with me.
5,I think I got these on sale - it was a while back. I only ever used the cords that came with devices but now trying these I can feel the quality and can tell they'll last longer. Worth it.
