rating,review
5,GOOD LITTLE GADGET!!  DOES THE JOB!For the sake of this review please keep in mind that I am not a connoisseur of audio or video signals!  Personally I can’t tell the difference between HD hi-def ect.  I can tell basic differences in picture quality and sound if those differences are pretty big but that’s about the extent of my ‘expertise’.  With that said let’s get to the actual review!Over the years I have tried several different products and have had very little success and much frustration.  To name a couple I have tried ‘Dazzle’ as well as two different ‘Roxio’ pieces of hardware.  Both gave me the same frustrations… they worked for a minute or two but then I started getting a lot of picture static as well as frames freezing and skipping!  Also after the ‘recording’ was finished it would then lock up my computer for quite some time while is ‘saved’ the transfer conversion.  Sometimes it would even freeze my computer and I would have to reboot it.  At that point I would lose the 1.5 hr film I just tried to convert and save.  Lastly both of those programs would not allow me to save it directly as an mp4.  I would have to save it as their file type then convert it later.  (or at least I didn’t know how to save it directly as an mp4 file type from those other products.My current project is converting about 30 old Hi-8 tapes of family birthdays/Christmas’s to digital for safe keeping and watching later.  So far I have completed about 15 of these so far without any problems since getting this converter.  It has not disappointed and has worked as expected.  There were a few glitches as well as some pros and cons but all in all well worth the money.  I will explain a little more  further.1)  make sure you have the needed wires to connect your video source to this converter.  It does come with RCA jack cables but in my case I'm using my old camcorder as the source to play the hi-8 tapes.  My camcorder only has 2 output types… one is a 3.5mm a/v port and the other is an ‘s-video slot’.  Just an fyi for those who might not know the s-video cable will only transmit video it does not transmit sound.  (I did not know this until I read it in someone else’s review  )2)  it seemed like a got a little bit better of a picture using an sd card to record on rather than on a usb drive.  However I then transferred it to a usb drive to save for later.  I would recommend to get 2 sd cards.. that way while you are recording on 1 card you can put the other card in your computer to work with the file.3)  the unit itself is nice and compact.  It is about the size of a ‘larger’ cell phone.  It seems to be sturdy too.4)  with this device it does not tie up your computer.  As you are recording directly on the unit itself5)  it does save the recording in ‘real time’ as an MP4 file.  Therefore no need for the conversion or the save to take another 1.5 hours after you just got done playing the full tape into the unit.  After you push ‘stop’ your file is ready! **important note.. i read reviews where people were having ‘corrupt file’ error messages after trying to record/convert.  After doing multiple experiments I discovered that if you press ‘stop’ on your source device while you are still trying to record on this device you will get a corrupt file every time.  It’s as if the loss of signal causes the file to error out.6)  this is very easy to use right out of the box.  Which is good because the directions seem to be lacking.7)  Other reviewers were complaining that the ‘auto-stop’ function causes ‘dead space’ which then corrupts the file.  On my version of the unit I was able to turn off this ‘auto-stop’ function therefore I have not had this issue.8)  Other reviewers stated they were having problems with the media card not ‘clicking’ into place therefore not able to record on.  I will say this was an issue at first until I looked a little closer.  Normally when you try to insert an sd card you push it till the pad of your finger touches the computer ect.  At that point the sd card typically clicks into place.  However with this unit the card actually ends up being ‘inside’ the unit after it clicks into place.  Therefore I have to use my fingernail to push it into and out of place.  This is a bit annoying but once I figured it out no problems.  I'm assuming this is for the safety of the card?9)  other reviewers stated they were getting ‘corrupt file’ error messages after converting.  As I mentioned above it is IMPORTANT that you stop recording BEFORE you press stop on your source device.  The converter itself senses an input video signal and will not allow you to record until it does.  Therefore I'm assuming that  when it stops sensing this signal it stops recording but doesn’t finish the file out correctly.10)  this is the same for when you start recording… the unit will not allow you to start recording until it senses the input video signal from your camcorder ect.  This wasn’t too big of an issue but I did occasionally miss a second or two of my original tape due to this lag in recording.11)  as far as the ‘quality’ of the recording.. I wasn’t really able to notice a difference.  Again I do not have a trained eye either… I will say this though.. Remember you are recording from an old TAPE of some sort (aka non digital)… it is not of extremely high quality to begin with.12)  some reviews said to make sure you update the firmware  once you get it.  I was not able to figure out how to do this.  However it doesn’t seem to actually need an update.  I don’t remember where I saw it but I saw somewhere that stated if you ordered your unit after a certain date then the unit is already updated.I know this was a pretty lengthy review but I hope it helps yins make a good informed decision.Happy converting 
4,I'll try and keep this short and to the point -I received this product in the mail a couple of weeks ago and just made my first digital conversion today. It is SUPER east to use. Literally plug in your yellow and white RCA cables to the back of a VCR (if you have one I had to order one from Amazon lol). Plug the RCA cables to the top of the device and presto you will have sound and picture in a matter of seconds once you push play on the VCR and make sure you're on the correct mode setting on the device. I read the directions when I first got it but they're really short so once you know what you're doing I think you're going to play through the VCR hit record on the device and just walk away while it does its thing.I just finished recording a copy of the 1989 NBA all star game I had and the picture is amazing. I've got over 100 tapes to convert and my theory is that the picture once digitized is only going to be as good as the original tape (I remember back in the day that programs taped at 6 hour speed would not be as clear as those taped at 2 hour speed - just a thought).Now because it's been 32 years since I've played that tape I thought there would be issues but there weren't. I'm guessing family videos and such (things I really bought the converter for) will be a bit more grainy because they were recorded on a shoulder-carrying camcorder from 1988. Again I think the digitized copy will only be as good as the original recording OR as good as the quality of the VHS tape is NOW.Reading through A LOT of other reviews before I bought this device I saw that people commented about not being able to pause the recording because after hitting "pause" the device will actually stop. For my sake that doesn't bother me because what I know I do want to transfer over will most likely be the entire tape so I'm not bothered by not being able to pause because I probably wouldn't have done a lot of that anyway.I am now recording the final game between the BULLS and LAKERS in the 1991 Finals and the picture showing through the device seems as clear as the tape itself when I first recorded it. So far I'm VERY happy with it and would recommend it!Only reason I rated it 4 STARS is because of the sound that is produced out of the device while the transfer happens. It's very soft and you basically have to be holding the device or sitting very close to it to hear it. Imagine leaning in close to someone to whisper to them and that's what it's like. I would prefer just a little bigger device for a better speaker if that's what it takes.Screen dimensions: W 2 3/4 inches by H nearly 2 inches.
5,I am looking to finally get rid of all my old tapes but needed a way to get them to dvd the easiest way possible. This little gadget has been working wonders. Super easy to use. Very solid device and user friendly. For now I'm just running each tape to my SD card I put in this unit then when it's complete I move the data to my computer hard drive for further work I want to do on it. I format the SD and do the next tape. Super slick. So far I've used it with a borrowed Hi8 camcorder and now I'm working on the mini DV tapes. After that I'll do the VCR tapes. I love that if you want to sit and watch the full tape as it is running/copying and a part comes that you don't need to copy you can press the OK button to pause the recording and then press OK again to start it going again. You can fast forward if you want to (from your camcorder or whatever) and that's what you'll get copied (fast speed). But this is a great option if you know it's something you can just splice out on the PC later.  I recommend this item.
5,I used this to transfer some important home videos to digital. It worked well. You have to watch the videos at normal speed as it records but it works fine. The controls are simple enough and as long as you have the required hardware it should be ok. I transferred 3 home videos and a regular VHS movie with no issue. You can view the footage on the device after you record it and playback on a computer is simple as well. It’d be nice if there was a way to transfer the media faster but I can understand the reasons for the not being possible. Overall very happy with the price and quality and it gives the extra piece of mind that you won’t lose your media by sending it in the mail.
5,I have been using this for about 3 days and I love it!  I am digitizing home movies. I've made so much progress in such a small time and I couldn't be happier!  This project that seemed like an insurmountable task now seems very doable.  The product is nicely packaged. The instruction booklet is concise and clearly written.  The user interface is simple and well designed.  There is even a video to show you how to use it -- that is simple and clear.  It is very easy to use.  I love not tying up my computer with this process.  I also like that the file format is .mp4.  I wish ALL products could be like this.  I've tried other products and this is by far the best one.  Thank you so much!
5,I have many dozens of old VHS and miniDV video tapes with countless hours of cherished family memories recorded on them.  I know tape is good but it will not last forever.  There is always the chance of it breaking or getting jammed and you can no longer buy new equipment to play them.  You have to get used and hope for the best.  I bought this device to preserve those memories for future generations.I just got it recently and have only used it to transfer one tape so far but it worked perfectly.  To me that one recording is worth the money I spent on it.  You do have to buy a storage medium of some type.  I ordered a 128 GB flash drive along with mine.  From there I can transfer it to hard drive memory card the cloud or all three if I want to make certain those memories are preserved for decades to come.I will try to remember to update this when I have transferred a few more tapes but right now I am completely thrilled with the purchase.  Update - I have now transferred over 20 tapes and still working perfectly.  Video and sound are never out of sync which is a problem I had when trying to transfer directly to my computer with another device.  Love the pause feature.  If I got carried away and recorded an hour of my son running up and down the basketball court I can hit pause after 10 minutes and continue recording the same file when the scene changes to something else.  I am using an S video cable and the picture quality is excellent. I highly recommend this product.
5,What an awesome little gadget! I have been wanting to convert my old camcorder tapes to digital for some time now. I have about 25 years of memories on these tapes so I was hesitant to send them away and the cost was daunting! Luckily I happened upon an add for ClearClick and decided to give it a try. To be honest I really didn't get my hopes up as so often technology doesn't go as planned but I have been so impressed with how easy it has been. My original Sony camcorder was still in working order so it was very easy to pop in a tape connect it to the ClearClick via my 3.5mm to Av cable (not the cable included - this was my original camcorder cable) start up the tape and press the "Record" button on the ClearClick. I recorded to a ScanDisk Ultra USB 3.0 64GB memory stick. I was quite pleased with how easy it was to set up and the quality of the recording both audio and video is pretty darn good! I was really pleased to have an easy and cost effective way to convert my catalog of home movie camcorder tapes to digital that I can fast forward through or edit. Highly recommend for someone with a lot of old camcorder footage!
5,Over the years I have bought 5 other converters. 5!All the others were OK at best = losing signal conversion quality lacking etc...This converter has not failed me even once after having converted more than 8 hours ofDVDs into a digital format on my Mac computer.I cannot over state how great a feeling it is to have a converter that actually works as advertised and expected.I will buy again if needed and would recommend to anyone needing to convert VHS or DVDs to digital.
5,I shouldn't really complain about this little machine.  No it not prefet but it works surprisingly well.  It's really easy to use and a good video quality on recordings.  If your the type of person that needs 4k for Everything than this Not for you....  For the people who live in the real world it's just fine....This model ONLY uses RCA INPUTS!  The HDMI is an out put ONLY.So need to use an older DVD play with RCA outputs or a line converter.  (See 2nd photo)Yes you can watch the DVD or show on your TV as you record...Also. It only supports storage up to 32Gwhich ok I guess. I have even recorded 50 + DVDs and put on Micro SD Card played on my phone...  Works well.I hate always having to stream things and dislike the cloud even....  So this is prefet for me...
5,When I first viewed the mp4 videos transferred using this device the videos were "jerky" about 1 hour into the video. I sent an email to tech support on a Sunday afternoon and within a couple hours received a reply from a real human (Tyler). We worked back and forth on a solution and he ended up sending a replacement device. When the videos did the same thing with the new device I did more troubleshooting and determined that the issue was my Windows Media Player. They play back perfectly with Microsoft Movies & TV app. I can't say enough positive things about their tech support (and enough negative things about Windows Media Player!).
5,Easy to setup and use.  The converter works great for VHS and 8mm film.  The quality of the conversion is dependent on the quality of the film source.  I used it to convert old VHS tapes and 8mm cassette tapes to digital and save to a flash drive or computer.
5,I used this to take the analog signal from my Infrared camera and record it due to the Camera's "computer" (really a windows based palm pilot).  The camera outputs 720 DPI but the old "computer" that was used to capture images was only recording in 320 DPI so that is a big upgrade.  The second feature is that I can now record the entire Infrared scan as a video.  The original "computer" that came with the camera could not do that.  As a bonus I can take still images (720 DPI screen captures) while it is recording and I don't have to stop the recording of the video. This is a huge improvement!!!  It has a color screen!!!!  My old one was in black and white.  Now I can see in real time the color spectrum produced by the camera instead of looking at it later or just using a grey scale spectrum for my work.To make this unit portable to work with my camera out in the field I also purchased a 12v to 5v 3A converter and wired it up to a Female USB pigtail (both sold on amazon for less than $20 for both).  This unit appears to only need 1A (per the included power supply) but having 3A capacity means that the converter is not being maxed out.  Since my IR camera is powered by a larger 12 volt battery (similar to a motor cycle battery) it has more than enough amperage to run both of these devices. My total battery life with both devises running run time for both the camera and the ClearClick is about 6 hours.The bottom line is that although this unit is not sold for the use that I am using it for it turns out that it is absolutely perfect for my application.  I have improved the DPI on the captured photos by 2X. I now can capture videoOverall Quality of the unit I got was fine.  It lacks a premium feel like a modern high end cell phone has but this is 1/10th the cost of a modern cell phone.  The unit is lightweight for its size but this is to be expected from modern electronics in plastic cases.  The buttons have a nice feel to them.  The screen is very bright.  Overall I am very pleased with this product.  I think it is a decent value for the money.FOR MY APPLICATION there are two things I would like different.1.  Make the case our of metal.  Brushed aluminum would be perfect.  This would add a much more premium feel to this product.2.  Rotate the screen and the buttons 90 degrees putting the screen over the buttons.  THIS WOULD ONLY BENIFIT MY SPECIFIC USE CASE.  It would not improve the units functionality for its intended use by the designer/seller.  This change would probably make it not as good for its intended use.  The layout of the unit for its intended use looks to have been very well thought out.  With the unit sitting flat on a table the various plug location make sense as does the screen and button locations.Overall I am very pleased with my purchase.  I may purchase a 2nd one to keep as a backup as I am sure these will eventually stop being made as the need to convert analog video to digital media decreases.Very pleased with this and how it worked with my existing equipment.  Glad I found this product
5,This device was so easy to use and transfer irreplaceable memories into digital format. Love that you don't need software or anything on your computer in order to use it
5,If I could give it more stars I would. It is so simple to use and does exactly what it stated. Very intuitive to use and gives great results. Highly recommend this device.
5,Converting dozens of old VHS to MP4 for archival purposes.This is the best video capture device I've ever seen for that purpose.I highly recommend this.
5,Very easy to use and well worth the money. I converted several family VHS tapes to MP4 files to share with family and keep forever. I watched the youtube video that came with the instructions and had no issues whatsoever. Quality of the video you get depends on the quality of the VCR and VHS tapes so just be aware.
