rating,review
5,Bought this for a trip I was taking on Spirit Airlines where you are charged for carry-ons but not personal items. Wanted something that opens up like a suitcase but wears like a backpack and meets the size limits for a Spirit personal item. This thing fits the bill perfectly. I was able to take a weekend's worth of clothing including flip-flops and a bathing suit a Surface Go laptop an 8" tablet a set of Bose noise cancelling headphones in their case a paperback book toiletry items and all chargers. The large packing cube is perfect for your dirty clothes the medium one take a set of shoes nicely and the small one is perfect for your chargers. Fully packed I was easily able to fit this in the Spirit item "personal item" sizer box that they have at the gates.Would highly recommend it paid for itself on the trip over (and then some) and was saving me money on the return flight.
5,While I have not used the backpack on a trip so I can't comment on durability and sturdiness I can say that the size structure and organization will be perfect as a carry-on for a long trip that includes local flights in small planes. And the price is perfectly reasonable especially since 3 divider bags are included.Additional information - as I was test-packing the bag I found that a zipper caught on the fabric because of the way in which it was sewn. I returned the backpack at no cost and received a new one in 3 days and it is perfect. I will be ordering a second one for my partner.
4,This travel bag fits comfortably in the overhead cabin but not so much underneath the seat. You won’t have much room for your feet so not recommended for long flights.  Lots of compartments and pockets.It’s very sturdy and the clasps keeps everything nice and tight. The optional backup straps are great but I don’t recommend wearing this travel bag as a backpack. It killed my back after a few hours and I barely had anything in there.
5,I am still traveling in FL and this bag/backpack is fabulous!  Used it as a carry-on out and will check as a bag to go back. Fits a lot in its compact space. My first time using the packing cubes and….OMG game changer.Love this and may buy a few as Christmas Gifts!
5,I’m headed overseas today for 5 days (2 of  which are travel) so I didn’t want the hassle of checking a bag. I’ve been looking into getting one of these travel backpacks after a friend told me about them but my last overseas trip was for 2 weeks so definitely needed a larger bag then. For this next trip I decided to go with this bag based on reviews and my needs.I was immediately skeptical upon opening the package. The bag looked way too small and I was convinced I’d need to return it but I kept the faith and opened the bag up completely. Wow was I certainly surprised at the roominess so decided to get on with the business of packing it!Here’s what’s in the main compartment of my bag after completely packing it:*A medium compression bag (not one included purchased separately on Amazon) filled with a dress two pants two tops pajamas a bathing suit 4 pair of underwear and 2 pairs of socks*A quart bag of liquid toiletries*A second separate bag for non-liquid toiletries*2 pairs of sandals*A hair flat iron*2 empty compression bags for the return trip*An empty duffle bag for checking on the way back with purchasesThe outer pocket holds my iPad a cable organizer case an international travel adapter a compact travel umbrella and masks.The side pocket holds an empty reusable water bottle.I plan to wear it as a backpack and stow it under the seat in front of me. I’ve put it on fully packed and its comfortable and not at all heavy or awkward.I’d say so far so good. I’m truly pleased with my purchase and will update after my trip with further thoughts.
5,Used this bag for a 3 week trip to Europe worked great! The 3 bags helped keep my clothes neat and less wrinkled. I was worried about durability but it held up. I used it as a backpack for a couple miles not super comfortable but fine.Well worth the money I spent!
5,got this for my trip to florida to fit under the airplane seat since i like to travel pretty light. no need to buy a carry on! this bag has nice features and plenty of room for my stuff. my 14” macbook fits nicely as well with room to spare in the pocket. i also like how theres a pocket for my water bottle. this bag opens just like a suit case which was exactly what i was looking for to maximize space + it comes with 3 different sized organizers. theres also a handle on the side so you can carry it like a duffel bag if you want. the back straps also can be tucked into a pocket and zipped up too which is pretty cool if you’re not wearing it like a backpack. the strap on the back to strap it to a suit case handle is also a nice touch to keep it in place if you’re traveling with a suitcase as well. have yet to test the durability but seems like a pretty solid bag for the price.
4,I just went on a week long vacation and used this backpack as my only luggage. I was able to fit in a week's worth of clothes toiletries 2 laptops (work (15") and personal (13")) and associated cords and chargers. The large flap on the front allowed quick access to the laptops for going through airport security. Even though this backpack was pretty full I was still able to place it under the seat.This was the first trip I took with it so I am not sure how well it will hold up with increased use but so far it has worked well. I am able to go on trips with just a single backpack instead of having a carry-on and a laptop bag.
4,Bought this for a long weekend trip as my "personal item" on a budget airline.  It does hold quite a lot and it fit under my seat.  Packing cubes were great.  I love that it opens/packs like a small suitcase.  The main compartment with compression straps is nearly perfect.  The laptop compartment is roomy and padded.  Shoulder straps are sturdy.  I like that they can be tucked away without wasting valuable packing space.Why only a 4 star rating?A.  The outside compression straps only compress the sides of the backpack.  You can't put anything thick like a toiletry bag or shoes in the top of the main compartment or in the laptop compartment because the side straps will not compress it down.  If the compression straps would wrap around the whole front it would make this backpack a BEAST.B.  The front pocket is too deep and not easy to access.  Everything slides to the bottom. I would suggest making 2 smaller pockets on the front to easily access a wallet phone glasses etc.C.  The velcro pocket in the laptop section is also too deep.  I would again suggest 2 smaller pockets.D.  Adding some support to the corners of the main compartment would be helpful.  Especially on the "bottom" when wearing as a backpack.  Everything inside tends to slide down. Had I needed to put this bag in the size checker it would not have fit.Overall this is a very good bag.  I will continue to use it.
5,I bought this so I’ll be able to fit everything for a 4-5 day trip and not have to check a back or even take a roller board.Can’t speak to durability yet because I’m using it for the first time but I’m very pleased with it so far.We’ll designed and seems sturdy including zippers.Really holds a lot.Front pockets are well designed.
4,I did not expect much but the bag exceeded my expectations especially for the price. Seems pretty durable and was comfortable for traveling by plane with two laptops in it.
