rating,review
5,I spent entirely too much time quadruple checking around to make sure these were going to fit my specific car (2022 Chevy Traverse).  Apparently the newer headrest options for specific car makes and models are more narrow than others?  Who knew?!  We not only live pretty much 30 minutes away from all the things but we also frequently go on weekend trips and the occasional annual long haul vacation away with the kids in tow so keeping the children occupied when looking out the window or talking isn't ideal is a must.  Among the countless reviews of several products along these lines including the OEM options many begroaned instability with large/heavy devices.  Well... I bought 2 of these and tested it on a 3 hour drive one way and both held my children's 10.2in Gen 8 Ipads (Inside Osmo cases.... essentially a thin casemate case) and not once did we have falls or swinging around of the Ipads!  Granted you do need to fully tighten down all of the adjustment knobs to prevent that from happening INCLUDING the ball joint!  Logistically I felt getting all of it set up into the correct position prior to the drive and locking everything in vs. leaving some room for my kids to move the devices around would be better for our specific needs and I was correct on that.  As long as the kiddos could see and reach the screens to change selections they left it well enough alone.My only negative on the sturdiness side is 1) The further it is extended out the more "jiggling" from the car is noted.  The device is still secure in the holder and the holder is still secure on the headrest... they aren't going anywhere... but if you have a child sensitive to motion sickness be aware that the jiggling of the screen in front of their eyes will be more pronounced the further out the device is from the headrest.  It's easily fixable by pushing it closer to the headrest where less momentum is placed on the extended arm but as a parent of an easily motion-sick child I just wanted to make others aware of that. 2) I can see the possibility that the adjustment knobs may loosen over time or eventually break.  It's all plastic (with some foam pieces glued in for better grip hold where it needs to be) and depending on the weight and size you are putting on the end of that long arm and how far you extend it out tighten and retighten the knobs etc.... its a high possibility that this product is not going to last a lifetime.  I could be entirely wrong but that's my personal observation.  I wouldn't hold it against the product itself... I wouldn't expect this sort of product to last ages but I know some can be pretty critical in their search so again... I thought it worth mentioning.All in all It's money well spent imho.  It's not an eyesore it's functional does what it says it does and its versatile.  We plan to test out the Switch in it next to see how it does but I can already say these don't extend far enough out to be able to share one small screen between 2 captains chairs... it comes relatively close but I imagine it'll cause a battle in children's eyes on who can't see as well.
4,This fits the headrest bars on the driver and passenger seat of my 2017 Chrysler Pacifica but not the 2nd row seats which is what I was looking for as my child is currently rear-facing in their carseat. However it is a sturdy mount that grips the tablet easily and I was able to get it to stay by sliding it between the headrest and chair and locking the headrest down on top of it. I would give 5 stars if the fitting was more versatile and if the arm could extend more. But for the price it is an overall good mount that can hold both small tablets and large phones.
5,I like it because now my kid isnt looking down while holding his iPad.  So this helps with his posture as well.  It was easy to install and easy for him to use.  He can even use it while lying down.
5,Bought two one for each household vehicle. My kid enjoys his trips having his switch vertically and not having to strain his neck looking down at the screen.
5,It's so easy to install and extremely convenient to use!! I can switch it from the back seat to the side of the front seat in order to connect the device to my wifi and play the show my son wants to watch. Its been a hit with my son because he is entertained and im not struggling having to go to the backseat to change anything. Really it's a great buy!!
5,Works well only disappointment for us is it will not hold a nintendo switch lite it will hold the regular switch with the remotes removed.
5,Took our toddler on a 9hr car ride (across two days) and this was our trip MVP.(Just kidding it was me because) I preloaded episodes of babybum on a tablet and put it in this fabulous contraption.  We used it only once in a while to take the edge off and when done it detaches easily from the seat. I don't think I'd ever buy a car with screens IN the seats the kids would beg for them on all the time so out of sight out of mind.  Highly recommend!
4,We first got this mount for our Chevy truck and it works fantastic in that truck. When we moved it to the GMC Yukon XL  the prongs on the headrest were farther apart and it was no longer sturdy.  To get it to work we had to put the head rest all the way down and smash it into place.  It worked okay that way but not great like it did in the truck.
5,It twist in different angles allowing you to make adjustments and it stretches out long if you need it to be in the middle of the two seats.
5,Easy to install and worked perfectly for both the iPad and Nintendo Switch!
4,Worked fine held the tablet tightly and was easy to put in and move around.
4,Perfect for hands free road trips in the back seat. Will hold cell phones tablets and Nintendo Switch w/o the side controllers on.
5,…it was EXACTLY what we needed for our road trip (and everyday life).  My son’s iPad and Fire tablet fit perfectly. Didn’t fall out when we went over big bumps. SUPER easy to install.Only thing I wish it extended out more. If someone has the sit up I don’t want him to have to lean forward to use his device. And also if the headrest bar could adjust as well. We have a 3rd row and the second row head rest bars are closer together than the main row. So he can use it if he’s in the 3rd row. But overall would still give it 5 stars.
3,I have a Nissan Armada and this was too wide to fit my bacckseat headrest. Silly me I didn't bother trying it until months later. It had to be at least 1/2" or more too wide so it just didn't work in my car. I couldn't find any dimensions for the widths that it fit between the posts. It only says what size tablets it fits.
5,Works just as describedFirm feel to it
5,Grand child use it in the car on trips.
5,These make long car trips not so bad! Easy to install and easy for kids to use.
5,Love how easy it is to take on and off. And love how flexible the arm is.  Bought another cause I liked it so much.
5,The media could not be loaded.                                                                                 Very easy to installVery sturdyRange of motion on FULLMy kids now fight over the backseat as opposed to sitting shotgun. 🤣I only have one (1) negative thing to say about the design of this accessory. When it comes to the grip I think it could have been a little better. It's fine as long as the tablet doesn't get bumped by someone entering or exiting the vehicle. A fix for this would be too add some type of clamp that would not allow devices to pop off of the mount if bumped. Other than that it gets the job done. The ability to swivel and extend the arm as needed is great. It also holds in place quite well after adjusting the tightening screws. No movement after that. I really like this thing... 💯
4,This is my second one I purchased. Happy with both.  The boys are happy with watching movies in the back seat.
5,This product works amazingly and just keeps rotating. It is amazing at making you able to watch a show almost wherever you want to. It shakes a little bit while driving but overall a very good product. If your thinking about buying this this is your sign to.
3,Been a year. The joints honestly haven't held up very well I have to tighten them often. There are tightening grips for all but one of the joints. This joint has worn down enough that the tablet moves when I turn. I've put some nail polish into it to help the issue but they really should have put one more adjustable joint in.
4,Someone suggested this product and I am happy I purchase this. My two year  is able to use her phone (old iPhone 7) in the car without holding it. I am able to swing it to the front and adjust what’s being played.  Attaching to the head rest was not hard but it gave a little bit of a struggle.
4,My kids love this!  I snap a phone in and put a show on and can drive for hours!  It tends to swing a little though and the tightening screws don’t really get that tight. But it takes up so little space and works soooo much better than balancing your phone on the console that it’s 10/10 worth it
5,Super easy installation and I like that it can pivot and move so both children can see it well for our long car rides. Definitely a good investment for us
3,It’s okay for what I paid for. My daughter has the iPad 7 and it has a case on it. It don’t hold the iPad very well with the case. If I take the case off it does great I can even extend it and it holds up. Just sucks I got to take the case off of it every time we use it
4,Bought for road trips with for the purpose of allowing my 2 kids to share a tablet and easily see between their 2 seats.  This installs easily & is made of pretty durable plastic however the arm is not long enough to make it past the edge of the seat it's installed on.  I didn't read the full description so that's my bad so if you are also looking for this solution it's not great.  For it's price point tho it is a nice tablet holder and gets it off their laps and at a much more comfortable line of sight.
5,This was the best purchase I've made this year. I bought this so my daughter would stop holding he Nintendo Switch so close to her face on long road trips. It would make her car sick. Her eye doctor said to get something so that she is looking forward. I found this holder to be the perfect item and it was. I would suggest buying it!
4,Nice holder with great quality
5,This is perfect for road trips. I have always hated for my kiddo to be arched forward while watching the phone or playing his Nintendo switch. Of course at home there is options to avoid that but in the car there has not been much. This fits perfect on the headrest and it has saved my son’s neck from getting any kinks. The sturdiness is great and I love the fact that it can be very versatile.
5,I have some issues with this product but over all it’s a good buy if you are not overly picky. It installed well no issues at all. We used this for our daughters fire tablet for a long car trip. First issue has to do with holding the tablet itself. If you have a case cover for your tablet you will run into problems. We had to remove the case in order for it to hold without falling out. The clasp only extends so far. Now for an IPhone it worked with non issues at all. Th other issue was my daughter was able to kick the mount easily so you will have to adjust the distance if you have a compact space this product may annoy you more than help. However for us we were able to adjust it to where it worked for us 90% of the time. On a 10 hour road trip that was a good percentage. I would like to add the we had a toddler case on so it was extra thick other slimmer cases may cause no issues. I would say it is worth a try just give yourself enough wiggle room in time to find out.
4,I saw my son always have his head always looked down on tablet watching movies or youtube when we are on a long trip. I find that bad to his neck on long run. So I decided to buy this mount. It installed easily. However you need to make sure your head rest would slightly lift up or it will pinch your leather seat. So far it can hold the Fire HD8 plus weight on 4 hr trip. I do need to remove the tablet case which is not an issue. We will see how long this will last.
3,This works great but it just hangs too low for us.
4,I've been trying to figure out how to put a mirror and mount a phone or tablet for my daughter on longer car rides so she can watch shows and I can still see her in her ear facing car seat. This doesn't quite work for that but it is able to hold a phone or tablet better than my previous non extending version for our seats. We have a Kia Sedona mini van with the car seat in one of the captains chairs and this works great for holding a 10 inch ipad. It's not perfect but it functions well enough for now until I figure out a better solution.
4,I bought this for road trip for my nephew's and it was perfect for them to watch anime in the car to keep them entertained. It was very easy to install and uninstall if it needed to be moved to another seat.
5,it helps a lot with roadtrip keep my kid entertaining while adults are focusing in fdriving
4,Excelent
5,i like it a lot i used for phone holder for adults and kids to watch video very happy with it and satisfied.
3,I have a Chevy Equinox and the part that goes between the bars of the headrest did not clasp enough to fit.
5,This is sturdy and so easy to install. Glad I bought it for our road-trip.
5,Excelent
5,Great product! Wife and son loves it! Perfect for a road trip! Highly recommend it
5,I purchased this for my baby to have her watch movies I enjoy it worth every penny the value of the product exceeds the price you can swivel it any direction even from sittin in the front seat im happy that shes not bored on car rides anymore now thank you
4,This could have been awesome but without headphones and a splitter the two kids fought over how loud it was and it was too near the driver s ear to be up super loud.  I will buy those things and try again ! Still have hope
3,I tested it out the day we received it. I really like the idea and design but it shakes and moves a lot during the drive. One moment it would be a the center the next thing I know it moved either left or right depending on where I turn and I don't drive fast or make sudden turns. I wish it was more stable and had an anti-shake feature. I may return it.
5,This is exactly what my son needed. We travel a lot and this was used the day after we got it and it was perfect! Still using it!
4,Great product seems high quality.  Giving 4 stars because it did not fit on the seat in the vehicle I bought it for.  If the headrests do not move up and down there may not be enough room to fit it in.  Also the bars are closer together on my rear seats than my front seats.
4,Easy to install very little movement or bounce easily heldmy 10" MS Surface Pro laptop to I could work in the car during our road trip.
