rating,review
4,The portability of this speaker made me write this review! You can take this speaker and have your music movie or podcast sound great anywhere! I like the very visible control buttons in contrast to the black color scheme. The sound of this small speaker is awesome and its loud! I mean the clarity is great particularly on vocal and higher frequencies. The bass is not as boomy but what do you expect from a speaker this size? The sound however is well balanced even at louder volume.Overall the speaker is well built and feels really solid! Well worth the investment no wonder it was one if the Tik-tok's top rated bluetooth speakers in this price category. I would highly recommend this product for the price!
5,I use it in my garage all the time. Get the music from my phone and much easier than loading up old CDs. Also use it when just chillin on the patio. Relaxing.
5,They pair instantly and give great sound for the value. Perfect for riding around in your personal golf cart or taking with you on your weekend round. Battery life is what they say it is slightly reduced with a pair
5,I purchases two speakers in different colors. It has been a blast to have them set up in different rooms of the house. I was able to pair them from more than twenty feet and two rooms away! They look great sound better and are WATERPROOF!! I love the carabiner so that I can take it with me on my water adventures too - I have a stand up Paddle board and being able to attach this is great. Super feature for hanging on backpacks hammocks tents etcPacks a great sound!!
4,Product arrived several days early. Bass is not very pronounced at less than 3/4 volume. Charges slow but not substandard. Came with locking crampon and cable (plus for me). Treble is extremely clear even with heavy bass. Great first impression
5,One of my best purchase from Amazon. The sound is clear with great loud volume & it's water resistant. It's my summertime beach company. I highly recommend 💯
5,We have one of these speakers at my work place and we love it so when I saw it was on sale I snapped it up! My previous bluetooth speaker would only last a couple hours before losing power. This one plays all day without recharging and sounds great too. Highly recommend ⭐⭐⭐⭐⭐
5,Really great quality speaker with ample enough sound and bass. Is it going to shake the walls of course not but for its size the output is really great! We use it anytime we are outside and it is very light and mobile.
4,Good product What I dislike about it I thought the volume would be louder.I use it for working out and just to listen to music.
4,The sound of this speaker was surprisingly good for the price. I would give it 5 stars if it supported 2 Bluetooth connections.
4,I wish it had a visible display for on/off.
5,I was thrilled with this little speaker. I purchased  this to take on our vacation to the beach. The quality of the sound the range of volume the battery life and the size are all awesome! It also comes with a carabiner clip so you can clip it to a strap.I highly recommend this purchase.
5,Great product good sound
4,It’s a bit on the lower side for outside but it works good.
4,Good for me when I do yard work and side jobs
4,Cute little speaker for the price probably would of returned if it wasn’t for the price
5,Arrived on time and after charging works just fine. I wanted a small outside speaker and this fit the bill nicely.
5,Bought this for at work and at full volume it’s last a whole 10 hr shift without charging I’ve also dropped it a number of times and nothing broke
5,I’ve had this little nugget to take on small trips or get ready. It’s super cute and super loud!
5,this is perfect little speaker for both inside and out. it’s basically a wonder boom speaker for 75% less money. i wish i had ordered two. very happy with my purchase
4,Sufficient but not spectacular. It is a small speaker so don’t expect much. It’s portable and convenient to carry. Make sure to charge speaker often.
4,I liked it so well I bought more of them. Great price on Prime day!
5,Good portable speaker good size!!!
4,Pensé que sonaba más fuerte
4,Great sounding speaker pretty loud. However I only bought these speakers to interconnect them and they will not connect. One speaker says M7 and the other says M7 plus the manufacturer has a note on their page that says this is due to an update and to reach out to them. I reached out today will update this review once they respond.Update: it was a little difficult getting in touch with the seller. Amazon reps were very helpful& walked me through how to get over to the seller. I was sent a replacement and the new one interconnects. Great surround sound
4,Really works well for regular use haven’t experienced any problems with it yet. Really good for the price. Only minor problem is the Uncomfortableness of the on button and all the volume buttons but that’s really just nit picking. Really good speaker all in all tho.
4,I swear when I first turned the speaker on and paired it it was much louder than itI will go currently.  Seems like it may have synced up to the limited volume control on my tablet and will not go louder. I have tried unpairing and resetting the speaker but doesn't make a difference.  Also though it is in a cylindrical shape there is a "front" where most of the music eminates from right where the control buttons are located.
5,Me gusta mucho el sonido sobre todo la calidad del bajo
5,Connected easily and love how portable it is.  Sound is good also.  I like the way I can also turn the volume up and down from my phone.
5,I love this little speaker it has a great sound. Not sure about the battery life because I’ve been charging it after an hour or two of use. Was considering returning this if I didn’t like it because the mini Jbl speaker just went on sale right after I bought this but I like it so much I’m keeping it
4,Have not used it yet but tried it out and so far so good
5,I bought this speaker as a gift for a friend for her office. She has really enjoyed it and she said the sound is perfect. But about 6 weeks after using it it started making a bleeping sound every few seconds. I went back and looked at reviews and seen someone had given it a one star rating for the same reason. I contacted Amazon Customer Service who helped me get in contact with the seller. The seller responded the same day I emailed them and explained that sound was a signal the charge was low. I asked my friend had she charged it and she said no not since she received it which was Christmas! She charged it and it the bleeping has stopped and she is enjoying her music again! So this is also a testimony  of the charge life for the little speaker with a great sound!!  When I am in need for another small speaker again I will definitely purchase this one again!
5,Own 2 Bose but wanted a cheap knock around and this does the trick. 👍🏼👍🏼
3,Sound volume is sorely lacking.
4,I tried replacing another portable speaker so it could be used at an outdoor movie theater.  However I didn't read the description correctly because there is no radio capability to this model in order to connect to the AM/FM station to tune into the movie.
4,Just I wish it was 360 and more bass and louder
3,I would have added 5 stars for what this speaker can do but it fell short in 2 MAJOR ways.1. the advertised waterproofing is IPX7 when in reality it is IPX6. This is a deal-breaker for me as I needed it for kayaking (which is what I searched for when this was recommended).2. It is NOT a 360 degree speaker (despite the claim and shape) which was also intentional in my purchase.If those two things don't impact you I recommend this little speaker for the price.
5,We use them inside doing yard work and on patio while relaxing.  Battery life has never failed us!  Priced right for purchasing 2 for great surround sound!
5,Perfect for someone on a budget. Great sounds quality however it was much lower sound quality (YouTube) vs. iTunes was very clear loud but still puts out to be so little. Clip is heavy duty and made sturdy. Battery hasn't needed charged yet we used it all day in pool.
3,Could be louder. But still a nice little speaker.
5,I was looking for a speaker to use for listening to audiobooks since the volume on my tablet wasn’t loud enough.  I tried a bunch of speakers — name brand and brands I’d never heard of.  My only requirements were bluetooth 5.0 and lightweight with good battery life.  This speaker has ended up being the best of all the speakers I tried.  It has better range than any other speakers even the ones rated at 100 ft.  The battery lasts longer than the other small speakers I tried and it connects easily and stays connected reliably.  I have an Anker speaker that I liked better because of the size and buttons but it kept crashing with the library app I was using to listen to audiobooks; it seems like an app problem but it only seems to happen with the Anker speaker.  Considering this and the fact that I got this speaker on sale for half the price of the Anker this speaker is my go to speaker.  I don’t use it for music and even if I did I’m not picky about bass etc. — I’m perfectly happy listening to the radio or using my Echo Dot for Pandora so I don’t know what audiophiles would think about this speaker.  I was hesitant to purchase a brand I had never heard of but so far so good; only time will tell if it has long term reliability.
4,Great little speaker ..
5,I wanted a small speaker to use with my lap top for travel.  This speaker packs easily.  Not heavy.  sound quality is good for my purposes.  I'm now using it with my computer.  Easy to set up and pair with my devices.
3,I was very excited about getting this speaker it was just for me to take to the pool yo listen to my music. After reading some of the  reviews they said the volume was very good I can hardly hear my music. So I’m disappointed in my purchase
4,We bought this to use on the go. It’s perfect size and seems to have decent sound. Wish it had more bass to it. Can’t beat the price for what you get. The battery life is great!
5,Really good sound - I use my desktop for Pandora and USB stick music on my sundeck  Frees up my phone and has enormously better sound quality.  GREAT value!
5,I've noticed a lot of people complaining about things like sound quality and I can't say I really agree. This is no Sony speaker or Sennheiser quality sound system but the audio isn't bad its just.. Mediocre. I haven't noticed any tinny sounds crackling popping etc that would be indicative of a bad speaker or really bad sound quality.All of the music I've played sounds pretty good through it and considering I only paid about 30 dollars I'm impressed. I would say the quality is honestly only slightly worse than JBL but I would hope the quality on a speaker that costs over 100 dollars retail would be better than a 30 dollar speaker. Out of all of the music I tested it with I would say bass and mid heavy music probably fairs the worst but it's still not bad.It's a very sturdy little device easy to connect to and it comes with a really solid carabiner for clipping it to a belt loop or something of the like. I'm looking forward to testing it out more this summer!
4,It's great and chic just wish it was louder
5,This is one of the best speakers I've ever purchased can take it anywhere you want lightweight comfortable did start working after 2 years
4,Wanted this for work and afraid of it being stolen so didn't want to pay too much.  This speaker does not enough bass that I was hoping for.  You get what you pay for.
4,I like everything about the product
4,This speaker is a pretty no frills little speaker. Sounds good and gets pretty LOUD! What else could you want in a budget speaker?
3,Good clear audio. Better indoors a little weak for outdoors
3,It’s not loud. I had high expectations and I’m just disappointed.
5,I have a wonderboom which is great.  But my son kept swiping it. So i was looking for options and came upon this speaker.  Great price point for about the same performance.
4,My friends son snagged hers and she was asking my advice on buying a new Bluetooth speaker. I saw this on lightning sale and decided to get it for her birthday and got her feedback on it.Primarily she wanted to use it but listen to audiobooks in her car. She said it sounds great in the car but not that loud and wouldn't use it at a bigger birthday party or anything. She gave the sound quality and 8 out of 10. Battery life is good so far but that's to be expected if that changes I will update my review down the road.
5,I love this speaker. It sounds great. It is perfect to carry on when gardening.
5,Small portable and great sound.
5,Very nice
5,I wanted louder and this portable speaker gave it to me. I’m able to listen to my audio books while I shower now
5,Love the sound!!!!
5,pequeno satisfecho por lo que pague  lo uso en mi trabajo
5,Battery life great sound quality great very portable and definitely waterproof.  Took it to the beach and it was perfect.  Highly recommend
5,He loves listening to his music in the shower.
4,A coworker has a very similar (physically identical) Bluetooth speaker that sounds amazing and puts out a ton of bass.  I bought this one not realizing it's a different brand than my coworkers.  This one lacks the kind of clarity and bass but makes up for excellent battery life and the ability to sync multiple units together for surround or true stereo playback whereas the coworkers is a bit older and does not support this feature.
5,It’s great! Decent sounds and the battery lasts forever! Brought it on vacation with us and used it daily and it was great! Only charged it once but only because I couldn’t believe it was still going strong it wasn’t dead yet lol
4,I bought this for my daughter and she loves it! Good sound quality portable decent battery life easy to stream music/ Bluetooth connection. I got it so she and her friends could listen to music while riding the bus for away games.
5,Easy to pair with iPhone. Clear quality sound with convenient portability. Use in the kitchen & any room I’m working in & also will bring along to the pool & beach! Like this little speaker. Will gift to my grandkids too!
5,Used this thing for hours and days then winter came and I didn’t use it for 4 months just to turn it on and use it for hours again without even charging it you can probably go a month without charging it and it’s loud and the sound is clear and crisp can’t go wrong for the price.
3,Speakers sound great but one problem I'm having is it drops off the sound. Speakers still on but no sound. Restart speakers  sounds is back happens frequently
5,The sound quality is super awesome oh it's not one of those super super dinky ones but it's still sticking small and the sound quality did I mention like genuinely actually good.
3,If they inserted a better tweeter this speaker would be perfect
5,La calidad es buena la duración se la batería es perfecta el sonido quiza no es ña potencia con lo que me imagine pero suena bastante bien .
5,Bought 2 for our nightstands to listen to our nighttime apps in surround sound so perfect !
2,Brought the speaker portable speaker thinking that it was going to be loud but very disappointed that it wasn’t although the rain didn’t interfere at all nor the  length of the speaker time was great. My complaint was that it wasn’t as loud as I thought.
