rating,review
5,I've been very content with cable matters overall this cable is no different. After having issues with my HDMI dongles and 4k monitors and refresh rates I decided to just try the USB-C route and I was pleasantly surprised. I can confirm that a MacBook Pro and a Lenovo Ideapad 5 both can send 4k at 60 Hz with this cable no dongles no nonsense. Works great with BenQ USB-C monitor.
5,Bought to quickly connect my various laptops with usb c video to my tv through a switch. Works great and seems sturdy.
4,Headline sums it up the cable works and does what it needs to it's just thick and heavy and not flexible enough to be ideal for peripherals you'll be moving around frequently.
4,Needed a usb c to c cable that includes video display support so I can hook up a portable monitor to my work laptop. Like the company says cable matters as I tried multiple other cables that didn't include video so not all cables are created equal.Solid performance and fair price. Plug n play worked on first try.
5,I bought this cable so I could actually use the brand new Elgato FaceCam I bought. I don’t really think there’s a ton that can be said about a cable from an average consumer’s point of view so I will say: it works as described. I did notice some reviews saying the cable failed prematurely and I hope that won’t be the case but if it is at least it’s not a colossal loss.
5,I bought an Amazon Basic USB-C to USB-C cable that had specs similar to this cable - however with my DELL laptop it would not power my USB-C display.Upgrading to this cable allowed the laptop to see/use the display and also power the USB webcam plugged into one of the monitors USB ports.
5,I bought three of these to hook up a MacBook Pro to three Samsung USB-C monitors. Clean easy. Highly recommend!
4,I'm using this to replace the cable that came with the LG 5K 27" display.  The cable does *sort of* work in passing through 5K video the monitor's USB ports and power - but not all the time.  If the MacBook is using a lot of power (say by simply having Zoom running) the battery starts to drain even while connected.  If I quit Zoom the battery begins to VERY SLOWLY charge again.  (To get from 72% back to 100% it is estimating roughly 9 hours of charging time.)  If this is truly passing 100W I can't imagine how much the MacBook wants.  It worked fine using the original cable that came with the LG 5K but my cat decided that cable was just too delicious.
5,Was Pulling my hair out trying to find a cable that would display my LG ultra wide properly with my Mac.  I tried 3 other cables that worked just fine for audio and power but no video.  Was using a USBC to HDMI adapter but the display would never show properly.  This cable just works I was also able to remove the power adapter from the mix.  Amazing accomplishment. Only downside and not of the cable but Likely the computer if the computer is completely dead I had to charge with the power brick before it would work with the monitor... Didn't think to try to cable in the power brick it likely would have worked... so not a downfall of the cable but the connection method on a completely dead laptop.
2,Pretty decent price for the value but after a month it did not work as well anymore. My screen would black out and go in and out of my monitor back to my laptop.
3,Good sturdy cable but it seems like sometimes when the monitor would go to energy saver after the computer went to sleep the computer wouldn’t get charge and bump back on. That didn’t happen with the cord that came with the monitor.
5,I purchased this to supply power and data connectivity (USB and Ethernet) for a MacBook Pro 16" through a dock and it's been working perfectly for 6 months now.  Yes it's a fairly thick and heavy cable but it needs to be in order to accommodate both the 100W of charging current and 5gb/s data.  Though I've had no problems with it I just bought another to keep on hand as a spare just in case.
5,Purchased this cable to extend the 3 meter Cable Matters 4k USB C to USB C cable I previously purchased and used a female to female USB C coupler.  This whole setup is connected to my Oculus Quest for using the Oculus Link Beta with my PC and it works really well.  I am surprised how smooth Oculus PC games perform with this cable setup.  I had my expectations pretty low video quality wise. I was pleasantly surprised to have it perform as well as my Samsung Odyssey+. I can also use Steam VR with this setup.
5,Works great for connecting monitor directly to the terrible design of only USB-C ports on a 2019 MB Pro. Resolution is as advertised I have another brand that I use for another monitor that was slightly cheaper than this one but the length on this one is better and the resolution was on point with description where the cheaper one was not. Still wayyyyyy cheaper than buying than buying from bestbuy or other brick and mortar stores near me.
5,I bought this because I wanted to utilize the USB-C port on the new GPU and monitor I bought. It works perfectly for 3440x1440 video passthrough which is exactly what I wanted. Feels well made (as all Cable Matters cables have I have a number of them) and stands up to constant plugging/unplugging (I swap between a cable from my desktop and one from my work laptop pretty much every day)
5,Used to power my air via my monitor and to connect my 4k monitor to my air.No concerns currently
5,It’s a great cable. Thicker than most so won’t roll up as tightly but charges my 2021 iPad Pro 12.9” quickly.
5,Very sturdy
3,This cable works great for transferring files to and from my phone charges it using my Samsung Super Fast Charger. Overall I'd say it's a good product. However you need to be careful with it because the rubber coating is very thin. My Roomba went over it once and I had to repair the cable with electrical tape because the inside of the cable started showing. Coming from Anker products I was used to them withstanding that kind of hard use. The cable is also very stiff so tight loops are not possible.
3,Could not get to work reliably.
5,Hopefully this helps someone else this cable works for me with the Lenovo usb-c gen 2 dock.
5,The extra pieces are nice.
5,Using this with LG 27" inch 4k monitor I get display and power from the cable.  I can even connect other devices (like an iPad) to USB plugs in the back of the monitor and see devices on my MacBook through this USB-C cable. Works great!
5,Works great for a portable display. Powers the secondary monitor just fine and extends the laptop  workspace. Length is great better than the cable that came with the portable monitor.
5,Great cables. I will not use any other brand. I have tried so many others. Cable Matters cables are true to specs and exactly as described in listings. I use them both hallway home and at work. I have replaced many more expensive brands from ones from cable matters because of the quality and price. Done waste your money on big name brands just buy from cable matters.
5,Works great
1,Literally failed after 15 seconds of use as data transfer cable for an RC Radio tested other cables and radio still works with them.
5,Needed a longer USB C to USB C to connect my Samsung Galaxy Note 10 to a display with Samsung Dex.Needed to be able to transfer hd video to work  this does.
5,Used this for a USB-C KVM and it worked perfectly. It was a little on the pricey side but it got the job done.
1,My laptop charges fine with another cable. But with this one it won't charge!
5,We needed a long cord to work with our docking station at work that would provide charging and push out to two 4k displays. This one was the only one that worked!
5,Works for my MacBook Pro and Dell display. Charges and displays.
5,Delivers a quality 4K signal and enough power to keep a 15” MPB fully charged. I’m very satisfied with this purchase.
1,I bought a LG monitor to use with my laptop for school when I started last semester and came to find out my Macbook's USB-C cord was not capable of video transmission only power. So I bought this cord to connect my laptop and my monitor. The cord itself is thick and not flexible which was fine I assumed this meant it was durable. Apparently it isn't. I'm sitting here 6 months later with a cord that worked flawlessly until it stopped working last week. Just another cheap Chinese cable I guess. AVOID THIS ONE
5,Purchased this cable to test out the USB C connection from my RTX 2080 to my LG monitor.  The cable works flawlessly definitely recommended.
1,I have had this cord for less than two months and my monitor is already starting to cut in and out frequently. Do not recommend
