rating,review
4,I am very happy with this. Because it fits in my cup holder I don't have to worry about it blocking any part of my window nor do I have to worry about it blocking the vent. I found it to be wide enough to hold my phone comfortably. Because my phone has a pocket on it that is filled with cards my phone tends to be thick and pretty heavy. It's hard finding something that can accommodate the thickness and weight of the phone. I was excited that this worked out so great. My only complaint is that the part that holds the phone will come off the neck if I am not careful. I can't seem to find a way to make it stay together permanently. But to me that's a minor issue. I have no regrets getting this and I do recommend it.
4,This is the second one I've bought. The first one lasted about a year and then I replaced it with this same one. I will buy one again next year. So take it for what it's worth.
4,I’m enjoying this product a lot. However it did come with sticky adhesive all over the back. I had to clean it off with good off.
4,This product works great but was too low due to the console being so much lower than the seats in my Chrysler Pacifica to be usable for me. My husband has a Kia Sorento and says it works great!
5,This is our third one purchased (we are still using the first two and needed another one). We like that the phone holder is adjustable and also the part that sits in the cup holder making a tight fit. Your phone can be plugged in while in this holder and you can move the neck around for the best angle for viewing.
5,Does exactly what I needed it to although I was disappointed when I tried it in a different car but the cup holder was too wide for it work right. Still great for the work vehicle.
5,By accident I mentioned the WeatherTech to my wife for Christmas which I didn’t know she had bought.  After reading a lot of reviews I put this one in the Amazon cart for her to think about.  She forgot about the first one and so I ended up getting both for Christmas...allowing for a direct comparison.Cup Holder Fit winner: TopGo.  It fits any size cup holder from a little 8oz soda can up to my extra-wide front seat cup holders on my F150 and my wife’s Acura MDX.  The TopGo comes with extenders if you have an extra-wide space to fill.  Turn the knob and the arms push out and they stay locked in place.  With the WeatherTech you have to choose the “cup size” and you might not get exactly the right fit.  I could not find an exact fit for all the cup holders in my F150.  It wouldn’t fit my wife’s MDX at all...kept popping out.Adjustability winner: TopGo: Just twist and bend the goose neck to the angle you want.  The phone release button on the back quickly releases the phone so you’re not fiddling with it.  The WeatherTech is easy to adjust with two knobs for angle and phone width...but you have to adjust the knobs whereas the TopGo you just pop in the phone and squeeze it closed.Visibility winner: TopGo.  The gooseneck is about 6-8” above the cup holder putting the phone up closer to where you can see it without looking down.  On my F150 the phone is just slightly higher than the top of my shifter.  It doesn’t wobble around like I thought it would in normal road driving.  I did like that the WeatherTech wasn’t near the gear shifter and it is adjustable enough that you can get a good view angle (e.g. when using Maps).Build quality: Tie.  Both are well made and sturdy.  I’m not worried about either one breaking or coming loose.  They both feel well-built.  Both had easy-access to the charge port on my phone and the phone’s control buttons and screens are not obstructed on either holder.Overall ease of use: TopGo.  It’s just effortless to move around the cabin and I don’t have to store the little WeatherTech cups somewhere in case I want to move the WeatherTech to a different cup holder later.  For example I had the TopGo in the front cup holder for work.  But when riding with my wife we needed to use both cup holders and it just took a few twists of the knob to move it to the smaller cup holder behind the arm rest.  Took maybe 20 seconds.  With the WeatherTech I would have had to dig through the arm rest storage to find the right cup and reassemble and drop it in...and there was no cup that exactly fit the cup holders in the back.I was mainly disappointed that the weather tech didn’t work at all in the MDX or in my son’s Subaru Outback.  The cup holders in both are a bit smaller and have those foam cushions.  This caused the Weather Tech to pop out whereas the TopGo I could get a nice secure solid fit.So there you go.
5,I had first purchased this holder for myself. It is such a wonderful tool to help me safely navigate on the roads. I decided to purchase as a gift for my husband but mistakenly purchased another model. He did not like it and it was returned. Since then he and our young-adult children all have this model in their vehicles as well. At first every one of them balked at using it. Just not “their thing”. Since then (incl a long drive to FL for my husband) they all gave the holder a chance and love it! I feel better knowing that my kids have this tool to help them navigate more safely. It adjusts to fit very securely in all of our cup holders. The longer goose neck makes it so much easier to see the screen. I had one issue where I somehow lost the top piece that snaps on to the gooseneck (the actual phone holder). Laura the company CEO reached out immediately (after I contacted them to try and get a replacement piece) and quickly sent me an entirely new unit. Awesome product and customer service!
4,Not worth the moneyI can’t get it to stand straight up in the cupholder is the first problem a major problem though is that I don’t like looking down and taking my eyes off the road to look at my phone. I know you shouldn’t do that but everyone’s going to class down at their phone so I want something that’s going to be up on my dash so I can keep my eyes on the road. I ordered some thing
5,The car mount was easy to install.  It holds my phone with the case securely in place.  I recommend.
5,Easy to use device holder adjusts to various sized cup holders.  I use mine to hold my golf gps in golf cart cup holders. Never have given thought to those cup holders differing in size but they do and this adjusts easily. Secure grip on my gps as cart paths are not always smooth on some courses I play. I have confidence and peace of mind that my gps will not be bounced down the cart path...I would recommend this to anyone who would benefit from have their device secured.
5,Hold phone in car. Bought second one last week!
5,really good product
5,My husband uses this in his truck and he likes how sturdy it is.  Be sure to pick the one that features the charger cord opening on the bottom of the holder.  Otherwise you have to string the charger cord around to get it to stay it.
5,I know what you’re thinking: they’re are so many phone holders and I have no idea which one to get. When did shopping get so hard? Well stop looking! I got this for my mom awhile back and got my dad the exact same one for the next occasion (they’re both in their 50s so if they can use it so can you). And if I’m being honest neither of them are particularly patient with complicated gadgets that take more effort to use than it’s worth. NOT the case here! It’s kind of like a flower pot at the bottom if that helps you imagine. It doesn’t LOOK like a flower pot don’t get me wrong but it has the same heft of one. Sits right in your cup holder. Does it move around? No! The base has these three pegs that you can push out of the sides so it makes it wider (picture included). Both of my parents put them down pretty short but they extend higher (though I didn’t mess with them because they WILL notice if it’s even slightly out of place) and you can see how they’re turned in different ways. I picked this because of the “goose neck” and let me tell you - it helps you get it just the way you want it (without flopping around). The clasps on the sides can be moved in or out to fit your phone. I know sounds difficult. It’s not! It might take you a few seconds to secure but once it’s in there it’s in there! Don’t worry about your phone sliding out mid-trip but or the whole thing falling over. It’s very sturdy and stable but somehow still adjustable. What my mom thinks is possibly the greatest thing ever is that the clasps don’t cover your whole phone you can charge it at the same time!It took us a few minutes with the directions to figure out the whole thing mostly the pegs (though maybe that says more about us than the product....) but once you get it - you get it! A few patient minutes result in a great product and let’s be honest. If you read this whole review you’re probably a pretty patient person.Would buy and have bought again!Honestly didn’t know someone could be so excited about a phone holder but my mom especially loves something she can use every day - and she does.I hope you get as much use and joy out if this thing as my parents do.
5,Super easy set up and off and running fast.
5,Su comodidad
5,Very easy to assemble and install. Clear instructions. No adhesive or suction required.
5,I had an expensive RAM suction cup mounted phone holder but it kept falling off the window especially in the summer when the window is hot. This was dangerous because when the phone and holder dropped on the floor the charging cord pulled out of it and dropped onto the base of the steering wheel and got trapped there. I couldn't safely retrieve it while driving. If I turned the steering wheel it then got wrapped up in the base. One time I almost couldn't get it out of the base. I have to charge my phone while driving as it's old and the only way to route the cord to the phone was above the steering wheel to the side window where I had to put the phone to avoid interfering with my car's Eyesight system on the windshield. I'm explaining all this to show that I was rather desperate for a better safer solution. The dash and air vent mount products didn't seem like they would work well in my car. Then I found this solution that goes in the cup holder. While I don't like giving up a cup holder I need to safely mount my phone in the car to use the navigation on it. This screwed in very securely to the cup holder and was easy to screw. The only difficulty with installation was I couldn't get the phone holder piece to securely snap onto the gooseneck. It kept sliding off and I couldn't figure out how to make it "click". My husband finally got that figured out. Once it was securely snapped on the holder works great. When the phone is mounted it does wobble some since it's on a gooseneck but that doesn't interfere with usage.  And being in a cupholder at the center of the car puts my phone close to the charging port so I don't have to route the cable very far. I also really like how easy it is to put the phone in and out of the holder much easier than my RAM mount and more secure. The RAM mount had an X-configuration of arms with rubber tips and the rubber tips kept working their way off the arms causing the phone to pop out of it even when I glued the tips. My only concern is whether this product will last since it feels rather cheap. But it's not terribly expensive so I can always replace it if it breaks. I am very happy with this product and would recommend it to anyone. Just make sure to measure your cupholder so you know it will fit properly.
5,Product is as advertised.
5,This is very sturdy and fit my Chevy Silverado cup holder. I have Blue Tooth but needed a holder for my smart phone for navigation hands free. Best money I ever spent. I highly recommend this phone holder.
5,Not much to say other than it works perfectly as expected
4,I like this particular phone holder because it is secured in my cup holder & I like the fact that my phone comfortably "sits" in the holder so easily and it has never let me down like some have. I highly recommend it because of the price too! I WASgoing to buy the Weathertech one but decided the price difference was so much that I felt that I should at least try this one and I'm glad that I did! It's a "keeper".
4,It come in handy in my car and easy to use and great to put you phone on when you are driving and talking never have the phone in your hand while driving.
5,The item puts together easily enough and you don't need the instructions.The phone holder part is big and wide enough to accommodate most phones including cases.  But if you have a pop socket or something like that then it might have a big enough gap that it will be held at an angle.The expandable base adjusts to fit any size cupholder but if you have one of those open joint double cupholders then you have to place it in a way that it holds on the closed ends only.The neck is very sturdy and holds my heavy iPhone just fine.  If your car is smaller though it might be too long.There is no suction used so I didn't rate it.  The reason for the title is because if your cupholders are close to your elbow then this might get in the way but if you have cupholders right under the radio upfront then this works perfectly.
5,This is the 3rd phone stand I have tried with my IPhone pro and finally I am satisfied. It’s a heavy phone so the adhesive stands don’t work for long.
5,Fits perfectly in the cup holder and holds the phone securely.
3,Not a bad product. For me the neck wasn't long enough to allow my phone to be out of the way. If you have a RAV4 or other car with similar console this is not for you.
5,This phone holder that fits into the cup holder is in finely adjustable for phone and for cup holder.  This does the job for half of the price of the big name phone holder.
4,Good quality
5,55 Chevy Convertibles did not have cup holders. I made my own console with stainless steel cup holders from Amazon. My new phone holder fits perfectly in the cup holder. I’ll be ordering more as I’ve been asked to make more for friends.
5,The product was an excellent purchase when you consider the price and ease of installation. This is my 3rd TOP-GO. Have recommended them to several friends.
5,Very easy to install.
4,Had someone else install it and it works fine now. Hard for an old person to install properly but it got done and all is good.
3,I thought this was a decent purchase. It worked quite well in my 2018 Camry Hybrid until recently when the phone would not hold in position and started spinning at every turn of the car. Two years ain't bad for a $20 item so I bought another one.
