rating,review
5,2022 UPDATE: Just ordered another one for an additional vehicle.These units work very well at "rapid charge" for Samsung S20 and IPhone 13.(earlier UPDATE:)  The replacement works  very well!I have received a replacement no charge from the vendor of this product after a baffling series of problems with the previous example.Both the Galaxy 7 and the Galaxy 10 show "fast charge" with their two respective cables attached and this unit plugged into an "always on" accessory receptacle in our truck.  Rapid charge was completed in about the time the screen estimated on both.Charging two phones at the rapid rate probably comes close to the rated capacity of this unit. But the charging plug barely got warm which tells me there's a good margin of safety.  The metal housing of this charger helps disappate what little heat is normally generated.I have since charged just one or the other of the two Galaxies and there is no difference in charging "time" estmated. This tells me the charging unit is well regulated and capable of its full safely-throttled power to avoid damaging the smartphone.  I would have been concerned if the charging time displayed had changed significantly. A reduction in that time would suggest the charger was delivering higher current (for good or bad) than when both phones were charging.  A significant increase in that time would suggest poor regulation with one phone and marginal capacity if the time were prolonged when trying to charge both phones.Another positive discovery:  This charger does NOT cause interference in my car radio !!!  I have another brand the Skyocean QC 3.0 that generates an audible hash on AM broadcast stations I try to listen to. It also causes enough interference on FM that stations cut out a lot more often when their model is plugged in and I'm driving along. NO such problem with the Ainope.Recommended product.--- initial review follows ---There might be a problem using this product for rapid charge with the Samsung Galaxy models S-7 and S-10.I am prepared to upgrade my rating of this device after testing a second one that's on its way.  The initial example had an intermittent problem achieving rapid charge which is the main reason I bought it.  This unit is supposedly capable of both charging protocols  Qualcomm 2.0 and 3.0.  The technical differences are available in an internet search but for this review just say the older 2.0 standard might be difficult for this unit to deliver.I have two Samsung Galaxy smartphones. Both are "Android" the superior system over Apple in offering a refined fast charge system.  The Galaxy S7 is Qualcomm (QC) 2.0 and the Galaxy S10 is 3.0.  At first I thought perhaps the cable was to blame for being able to get only the regular-rate of charge on the S7 from this product.  But I tried the same cable on a different brand of car charger that had previously worked and indeed the screen told me a rapid charge was underway.I also tested the S10 which uses the newer type "C" connector. on its charging cable. Here the first time I tried it this product successfully delivered a rapid charge but on subsequent attempts I could get only "regular" rate charge.  This suggested the unit not my cables was to blame.  The vendor may have initially used a talking points script (their checklist to tell people regardless of report) to make sure I was aware of cable shortcomings when I already had told them my sequence of testing above.  Eventually they directly discussed my concerns and suggestions.I had learned from a technical source that there are counterfeit chips among many brands of chargers that can imitate some but not all of the Qualcomm features one of which is the backward compatibility of the present-day "3.0" to the older "2.0."  But the Galaxy S7 has sold more than 55 million examples since 2016 according to published figures and I told the vendor of this charger that I would be surprised if I was the first one to notice a problem if a batch of bogus chips had made it to their production line.  So they are considering my initial purchase a possible defect and are sending another.  (Twice they ignored my question about the possibility of bogus chips in their production run.)Will update this review.
5,I had just a little issue with the first changer I received. It happens that some of them are defective. But the company which sold it to me is AMAZING! They were responsive and basically sent me a better version of the defective charger which is perfect! They have earned my business in the future. If they read this review I want to say again thank you so much for being so wonderful!
5,Works a charm and continues to work. Doesn't stick WAY OUT and produces enough amps so Garmin is happy (not an easy thing). Don't know if it would continue to be "ampy" enough if I had another device plugged in but for my purposes it's good.
5,I've been using it for nearly four months and it has yet to fail me. I like that it fits closely and has nice blue lights.
5,Fits compact for closure of lighter lid.Charges quickly for 1 or 2 devicesEconomically priced to meet everyones needs
4,Charger works well but is not as fast as I was expecting.  Also I was surprised by how small this device is.  For my car the small size makes it a bit challenging to plug and unplug the charger.  I may return this to find something easier to work with.  Just be aware that its small size may not work for your situation.
5,This is a GC 3 charger required for fast charging many newer phones.
5,This is exactly what I was looking for. So small in size yet powerful. Fast charging for my s21 ultra. Only thing to note is: use high quality or the original usb C cable.
5,With newer tech with latest fast charging needs this was a good upgrade. In the end when I needed another one I ordered this item again.
5,Heavy duty and will last a while
