rating,review
5,If you have battery powered cameras these save you a ton of work having to constantly charge your batteries. I bought the 3 pack and two of the three work perfect keeping my camera batteries charged to 100% or near there for 3 months now. The third one although it was slowing the battery from dieing as fast as it normally would... It was still declining faster. We checked all connections and angle of the solar panel.. But it still failed the charge after 3 months my camera battery was low. I reached out to Wassertein and they were excellent! I got prompt and ongoing communication from them and they sent me a replacement at no charge. They did not have to do this it was outside of the warranty... But they did and customer service was awesome. The new one is working great so far. Love these panels they are easy to install and are not very noticable or an eyesore.
5,These were easy to install.  They keep the batteries in my Ring Stickup Cams charged even though I don’t have direct sunlight but for a couple of hours a day.
5,Love the pack of three sun chargers for my ring cameras - don’t need to change them anymore and all them folios trying to come up to my house … I see you!  You can’t hide from me - I’m all charged up my  boy - get yourself a three pack and let the sun do the work work work
5,Very good product.  Easy to install and plugs directly into the camera. Make sure you know what direction the panel will get the most sun for the best results. My battery went from 80% to 95% within a day.
5,Don’t have to worry about changing batteries. Will see how they work this winter.
5,Work perfect with Ring product
5,I had the panels for a few weeks. Very easy to install and works as advertised. We had some monsoon rains and they didn’t affect the panels nor the connection to the cameras. So far I’m very satisfied with them.
5,Perfect
5,These couldn't be any easier to install or use two screws to mount it one plug into the camera. Now my cameras stay at 100% nearly all the time! I wish I had bought these sooner I completely recommend these solar panels!
4,Works good the cameras never seem to get to full power but it stays in 80% or better and i'll take it. Plus the added benefits of green energy and not having to get on the ladder to change batteries is a win win
5,I installed these on my ring stick-up cameras. All cameras have been able to get 100% charge in only 2 days. When I buy more cameras I will definitely be buying more of these. Install took only about 5 minutes per camera and only required a few tools. Results may vary depending on your setup.
5,I'm a domestic abuse survivor and safety plus evidence for stalking are a huge concern for me. I currently have 11 ring cameras all over my property and pulling batteries to charge them is just not an option for me. I had concern that the solar panels would not perform well with the cold midwest winters and snow. These worked perfect. I have them mounted on my gutters (with special gutter mounts) or on my siding using non-drilling siding hooks. They mostly maintained between a 98-100% battery charge even on the coldest gloomiest days. If we had multiple exceptionally cold days they would sometimes drop into the 80% range and a few times in the 60% range but not for long. Some are facing the west and some the south. Either side provides plenty of sun. I've been using them for 6 months now and they are still going strong.
5,What can't I say good about this product
5,Easy to install sufficient panels for ring cameras.
5,Great for charging
5,I bought the batteries towards the end of winter for my cameras. I was hesitant at the beginning but after reading the reviews I gave it shot. I love them! The battery life are always at 99% even in gloomy winter weather. I attached a picture with the current battery life of our front camera which gets more traffic than the other cameras. Totally worth it!
5,Solar for changing my wireless cameras from Ring !Really happy with there product. Time will tell allHaven’t had them up more than a day 🤷‍♂️
3,I haven't put a meter on these to compare but I've tested the same ring stick up cam with one of these and one of the smaller ring solar panels.  These seem to charge at 20% the rate that the ring solar panel does. For full sun exposure areas.
5,I have just recently set up a whole new ring system and installed 3 cameras with it. Fortunately ring tells you up front they have connectors for solar panels so I was able to install them up high so nobody could grab them and either steal them or damage them. They are also high enough it would be a pain in the backside to change out the batteries. I bought these panels and got them installed and when I check the health of the camera and the battery it's almost always at a 100%. The lowest I've it has been 96% first thing in the morning before the sun comes out. These even charge well during our very cloudy NW weather. The only thing I don't really like about these are the mounts. They are very limited in that they can only be mounted 90 degree with anything. The only variable is moving the panel itself which isn't much. The mounts need to be 4 to 6 inches longer with an elbow in the middle. I had to get real creative to get these in the right places. Other than the mounts these are excellent solar panels.
5,These panels were very easy to install and came with all the bits needed. I installed them at my Carribean home over a month ago and they have kept all my cams at 95% or above the entire time. I don't know what the long term performance may be but so far so good.
5,Perfect in every way set up price.
5,I Purchased the 3 pack great value first of all but the big question is does it work with the Ring Stick up cam answer is so far so good batteries have been 100% sure beats climbing the latter to bring them down to charge them and now I can use all the settings on the camera to its full potential without draining the life of the batteries. The only concerned I had was the mounting stand it look a little weak I live were there's really high winds but i have been pleasantly surprised they have hold up no problem.
5,Works perfectly with the ring stick ups even in cloudy PNW weather.  Within days the batteries showed a recovery from 68% to 88% health so now I can use the more aggressive features on Ring app.  First sunny day all cams went to 100% at the more aggressive settings.  Yay!!!  No ladder climbing to charge batteries.  Worth the effort to install
5,Works well and best match for Ring stick up camera
5,They work perfectly! I haven't had any issues.
5,The batteries on our Ring cameras drain very quickly so we were looking for an alternative to re-charging them all the time.  These solar panels work great! My husband installed one on the back of our house which faces south and within several hours our battery life went from 40% to 70% and then went to a full 100% fairly quickly after that and have remained at 100% since installing the solar panel.  It worked so well we bought 2 more for our vacation home in Florida.  Since we're not at this home as often it was very difficult to keep our cameras going with the batteries draining all the time.  These work great for that situation as well.
5,I bought the 3 panel deal because I have several Ring Stick-up Cameras outdoors.  After initially using my cameras for a while I realized that the battery life may be somewhat short of initial expectation.  And since I didn't want to replace the batteries in a difficult-to-reach area I decided to look at solar alternatives.These panels are wonderful!  The mountain bracket allows me to put them where ever I want (in the sunlight of course) and it has enough cable to be able to nicely route to the camera.  And since the price is a fraction of the Ring version its a no-brainer.Before buying I checked with a few friends that purchased these previously and have verified that they hold up the through the test of time.  3 thumbs-up!  I had to grow a third one just cause these things are THAT good!
5,Reasonable price for a for an alternate way to charge Ring Cameras.These panel work exactly the same as the o.e.m. Ring chargers.Measured output exceeds Ring Solar Panels.
5,This product works great.  I have one Ring solar panel and purchased these for my other cameras and they work just as good.  It has been 6 months now and all battery’s have stayed charged 100%.
5,I love these. No more having to climb ladder to recharge the batteries. Definitely worth every penny. Easy to install if you have a drill and drill bit.
4,The product was well priced and effective as a whole.  The issue for our use was that there wasn't enough mounting bracket versatility.  I needed to add distance and height due to the limited length and depth of the mounting post.  The swivel worked well however I needed to add distance from my roof tiles and height to  over 8" of height to clear and have rotation and angle ability.  Also the product was delivered in the logo box however there was no shrink wrap or tape to secure its contents.  I almost lost the contents when I lifted it from the porch. Hope this helps.
5,At first I was very dubious about this because I had set this up on two different ring cameras. The first one had a charge of 50% the second one had a charge of zero. The first one started to charge really slowly but it did eventually charge from its initial 50% 2 / 80% in about a week and a half. The other one never increased at all. Before returning the contraption I thought maybe the battery has to be at least 50%. So I swapped out the battery and it worked. So the lesson is at the battery cannot be completely drain otherwise this will not work. Now I don't have to go climb up on ladders and change out the batteries. I love this solar panel system
5,So I purchased 2 set of 3 pack of solar panels for my rings security cameras. They are the best thing ever.Easy to install extra long built in plug to plug into camera. I purchased white to match my ring cameras.They keep all my cameras charged from 94%-100% depending on when the sun hit the solar panels on the time of day.I have no complaints what so ever. They do what they were made to do keep my batteries charged. I am extremely happy with them. I am so excited that I have told myfamily and friends and they have purchased several for there homes.I recommend buying the value 3 pack if you have several camera. They are the best value out on the market.I totally recommend this product.
5,I debated whether to but these panels over the Ring-branded panels but ultimately decided to give these a try as a three pack of the Wasserstein panels are the same price as two of the Ring panels. I'm glad I made this choice as these panels work well.  All three of my Ring stick up cams were at 100% charge within 2 hours of installing the Wasserstein panels. So far so good!One important point about fit. The connectors on these panels are designed to fit the Gen 2 stick up cam. I have Gen 3 stick up cams and while the connectors on these panels work note that the two "wings" on each side of the connector plug aren't needed on a Gen 3 cam (and in fact don't fit since Gen 3 is a different design). The plug still works however but be sure to put the small clear O-ring on the male plug end to ensure moisture does not get into the power connection on the camera.
5,This is something you should buy if you have ring spotlight cameras (not wired battery only). You will never need a ladder to get to your cameras again to take the battery out & charge them again (until the batteries go bad in 5-10 years)
5,El producto es bastante liviano fácil de instalar y tiene bastante cable lo cual permite instalarlo a gran distancia. Lo utilizo en las cámaras Ring y ha mantenido las baterías de las cámaras 100% cargadas. Llevo poco con este producto pero hasta ahora me gusta.
5,One of the panel only gets maybe 4 hours of afternoon/evening sunlight each day and it's enough to keep it fully charged. I've been able to keep all of my cameras on the most power consuming settings with no issues of running out of battery.
5,Bought the 3 pack for 3 ring cameras. These panels started charging my cameras right out of the box and had them installed in no time.They had my camera batteries  charged quickly.It was actually faster than charging the batteries separately with usb device the cameras come with for charging at home inside.We also used the ring pol mount and it worked perfectly with this solar panel.Very happy with my purchase.The trio will save you money versus buying the ring brand solar panel.
3,I have not been able to install these yet so I am only rating this based on the ability to mount the solar panels.  The mount only allows the panel to be adjusted up or down; or side to side; but not both.  I would think that for maximum performance a solar panel should be able to be mounted and adjusted both up and down and left and right to allow for maximum solar exposure.  I will add to my review on the actual performance after I find a way to install these properly.
5,These are priced much more competitively than others with the name but work just as well. It took a software reboot for the cameras to recongize them in the app but were still charging. The only down side is the very long wire provided I would say that since most cameras are mounted high that having a 10-20 feet of wire is overkill not really sure that is a down side couple of zip ties and the wire is coiled and tucked out of the way. These are great I will be getting more once I have a few more cameras.
4,It’s only been 2 weeks since I set it up so far so good it does what it’s suppose to do keeping my ring camera charge ;-)
4,I found like many items this product is part of whole product.  You have to buy more and more pieces to to make the product work.  I bought an electric gate opener like this.  I think they need to explain up front that this is not an all in one product.  I prefer to get items that have parts I may not need to use rather than a product you have to keep purchasing things for not to mention the 'recording' subscription.
5,Wasserstein Solar Panels are amazing!  I bought the bundle of 3 for my Ring outdoor cams and they have been 100% charged since the day installed them about 4 weeks ago.  I should have gotten this solar panel months ago.  100% recommended seller and product.
4,These solar panels are the real deal. The quality is fantastic not cheaply made like the Ring Solar Panel. Buy this instead you wont regret it.
2,They don’t seem to charge very well.
5,These actually work better then the expensive ones. Definitely worth buying
5,Not having to remove + charge batteries  make it so extra nice - worth the money to me. Exelent
5,I set these up a month ago and ny cámaras are always at 100% definitely would purchase again if need be!
