rating,review
5,I've been looking for a pen that actually works on my Envy! I can't believe how well this pen worked (it can actually write legibly with minimal lag) and I'm glad I decided to make this purchase. (My only regret is not buying the rechargeable version but I can always switch over after this product breaks. lol)Although there aren't any directions on how to use the buttons you will eventually figure it out after some playing around: The button closer to the tip can be used for clicking and the one further away can be used to highlight. (Of course the function changes a little bit depending on the app you have open).
5,Excellent stylus for 1/4 the price!It works perfectly and I could not be happier.Save yourself money and get the job done.
5,It writes like a regular pencil. It’s compatible with my Microsoft Go 2. It does come with replacement tips. The buttons can be confusing to use or know what they do. When writing it’s easy to accidentally press them.
5,Works really well with my Surface laptop!
4,Good
5,Haven't had issues since I purchased it. its links up great!  it works awesome.  I purchased the Microsoft pen twice and still wouldn't work.. so disappointed... but this pen works great for half the cost.  no magnet but I have the microsoft protector and it holds the pen nicely.  The pen does what I need it to do.. I am sure there are way finely sharper faster pens but for the price it works great!
5,Great pen for a fraction of the cost of a first party but with the same features and quality. Appreciate that it comes with several replacement tips.
4,Useful for large-scale manipulations (dragging images around and resizing) but give up the dream of handwriting with it. It's not that kind of stylus.
5,I love how easy it was to use I really don't like how I can't tell when I need to charge the pen though.
5,Great value for $10 (it was $10 when I bought it). I have no idea how it works but it's better than my surface pro 4 pen (barely any jitter with no loss in pressure sensitivity). It works with the touch screen disabled - my pro 3's touch screen went out so I had to disable it in order for the PC to run properly but the pen still works on it. I can switch between my pro 3 and my surface book 2 without an issue - just tap and go. My surface pro 4 pen just died one day - no amount of trouble shooting would fix it and I didn't want to pay like $80 for a new pen or whatever it is they cost. It is weird because you don't have to connect this pen at all no bluetooth just start drawing with it. Kind of sketched out by that but by god it just works so it's great in a pinch.Only downside imo is that it's non magnetic. I loved being able to clip my pen to my tablet or to my pegboard on my desk. I have to store it in a pen tray/cup to avoid losing it now. It takes the same battery as a surface pen as well so no loss/change there if you've already got the batteries (which I have a ton of because I was trying to get my old pen to work and I thought my batteries might have been the problem).
3,I brought this for a Microsoft Surface Pro &.The delivery was on time.  It was ell packaged and appeared like an excellent product comfortable to hold as a pen. In spite of multiple attempts to pair it with  the Microsoft Surface it  would recognize only as an unidentified Pen  and could never get paired had to return it. The return was very easy. Will try to order another brand and see if that works.
