rating,review
5,I cannot understand why Bose discontinued the Soundlink Mini II. It is wonderful sound. Get this special edition while you can.
5,NO.1 CRITERIA GOOD SOUNDMUSIC IS WELL BALANCED FROM LEFT TO RIGHT ALSOHAS GOOD AMBIENCE SOUNDFOR GENRES OF MUSIC.JAZZCLASSICAL OPERA AND R&B.2nd.CRITERIA MUST HAVE ALINE INPUT SO A PORTABLERECORDER LIKE THE SONY PCM100 DIGITAL RECORDER AND AMP3 PLAYER CAN BE USED.FOR NON BLUETOOHT DEVICES
5,Man this thing is cool! Sounds great it was easy to connect and control my phone/device. I just got it So I can’t comment on the battery. But I am pleasantly surprised so far. Definitely would recommend this if your thinking about it.
5,Works great.
5,We are very happy with our tiny new(ish) speaker. It has great sound. We use it with Pandora music and movies and programs we watch on PBS Passport.
1,There is not Bose charger or Bose compatible charger that works with this. The color was wrong and when looking at it it become clear this is a knockoff.
2,I love the sound. The clarity faithfulness of sound and bass response are incredible for something so small. But I'm returning the item because I cannot get it to charge beyond 70 percent.
1,There is not charging cord and using the USB-C does not charge it.  Can't believe I was sent a Bose speaker with no way to charge it!
3,I loved this speaker.  For such tiny speakers it had amazing sound.  Quality construction well-integrated features and charger.  We owned this for five years before trouble started.A little background: I'm an avid DIYer and a retired electronics technician. I appreciate good sound quality but being in my 60s and having played lots-o-loud music I can say that my hearing isn't up to that of a thirtysomething but to my wife and I the sound was great for such a tiny speaker.  Of course it's not going to outperform a 100W receiver with a pair of bookshelf speakers but it's darned good.And I don't think that I'm being overly demanding for kvetching about something that gave me 5 years of use having come up short.  My reasoning is that this speaker cost over $200 in a world that now contains competitive products for under $50.When the Li ion battery gives up the ghost you can't run it on the charger.  It won't turn on.  Period.  So I started looking for a replacement battery for it and thought everything was going to be fine.  Unfortunately Bose decided to change the superior design of their earlier soundlink battery to an inferior design.  You see the original Soundlink had a drop-in battery.  Pull the rubber off the bottom pull the battery out drop in a new battery tighten screws and replace bottom.  Done.The Soundlink II has a battery that requires one to tear the whole speaker apart and solder the cable to the circuit board (or splice the cable).  Yeah I can do it but I've seen (and experienced) too many bad replacement batteries -- some of which I have purchased and installed.  I can get a new replacement battery for around $40 and spend one or two hours doing the job -- or I can buy a very close equivalent for $40.  I have enough electronics to repair here so I'm taking the easy way out.  I would have been more than willing to buy a drop-in battery but oh well.
1,I LOVE Bose speakers because the best affordable quality speakers but i went 2 on these mini bluetooth speakers and foe some reason they both of them stopped working after a year and think it's a common problem i am willing to try the new product that sells for 149 but always buy from bose directly.
2,It was incredible sound and we loved it. Then it slowly quit taking a charge until it became an expensive paperweight. So disappointing!  When I first bought it I was so awed by it that I recommended it to other - two others actually bought one. I was recently at the home of one of these people and they told me that for some reason their Bose speaker was only charging up to 60% and no higher. I told them the sad news that their speaker was on its last legs. I need to ask the other guy how his is working.  I would gladly accept any suggestions from anyone who has had this issue and was able to fix it.  Now I am unable to invest large dollars into a bluetooth speaker - I mean if you can't trust Bose !
1,Sound is very muddy no mid and barely any high. There is too much low for such a small speaker. Loudness is mediocre nothing great. There is distortion even half way. Expected much better. Aside from the poor sound the construction and design is great. I would recommend JBl Charge or even UE Megaboom.On the plus side when you power ON it announces battery level which is much appreciated. Has modern USBC connector. Has line a line in jack.
4,quality is amazing!
4,Je vais faire rapide car vous avez sans doute mieux à faire.Après deux ans d'utilisation  (version USB-C en gris aluminium):Les + :- son impeccable pour le prix (mais ne mettez pas à fond sinon les basses sont couvertes par les aigües).- finition impeccable également- très résistante : je l'ai fait tombé une ou deux fois d'environ 30cm de haut et aucun problème c'est du solide.- autonomie impressionnante vraiment.Les - :- l'enceinte ne reste pas correctement en place quand j'écoute quelque chose avec pas mal de basses. Les patins antidérapants ne sont pas assez efficaces.- parfois elle pète un câble avec le bluetooth. Obligé de la redémarrer voire même de la réinitialiser.
