rating,review
5,Great in the car usb for charging on the go. Great to hang up the watch for the night on my usb in the wall
4,It’s great for what it is. Goes well in the car
5,It won’t charge as fast as an original charger of course but it’s works great and very convenient
5,i kept this in my bag for work. it comes in handy when my iwatch dies. i put this on my bag's zipper using a carabiner.
5,I don’t charge my Apple Watch every day and the fact that I can toss it in my purse and it NOT take up any space was a huge game changer for me. I’d definitely recommend.
4,This is super convenient for travel in the car.  Charges the watch while you drive!  I use it regularly.  The only thing I can say that is  slightly negative is the claim to "fast charge".  It charges fine - just not super fast.  Plus the fact that it gets pretty hot while charging (I am thinking that this is an Apple watch issue due to the fact that my iPhone 12 does the same thing).  I certainly do recommend this product.
4,I like that this is compact and not wired for traveling BUT you have to pay attention to the orientation of the plug. If it’s vertical instead of horizontal because of the USB receiver the watch wants to slide off the charger and gets an incomplete charge when it does stay put.
4,This product is great to keep in the purse or car for a needed charge.  However I notice that it overheats if charged for longer than a couple of hours.  I usually use it for emergencies so I don't have a need for a long charge.  Thus this is not a problem for me.
5,Honestly  I don’t understand why apple doesn’t have this . This seems like it would be designed by apple.
5,Charges well. Travels well.
5,My Apple Watch runs down before end of day so like this. Need to find out how to delete unwanted apps
5,Hi okay
5,Love it
4,I haven’t quite used it yet. I bought primarily for traveling. I will be testing it out next week. I also love not having the long cord to have to condense in a bag. I actually wished I had just got a wireless charger for the watch.
5,Leave it in the auto so you'll always have a way to charge the watch.
4,I bought this for when I travel on the weekends. It feels flimsy and cheap and doesn’t charge as fast as my Apple brand charger. However it’s sufficient for traveling and it’s inexpensive so I don’t have to worry about losing it
5,It is great for traveling. Compact and convenient. Only draw back is if you try to make use of USB charge ports at a hotel and they are up side down.
5,The charger works well. I purchased it for a backup because I have a habit of forgetting to charge my watch at home.
5,So nice not to have to bring my entire Apple Watch charger when I’m traveling. This charger works great and even if your charging block is at different angles my Apple Watch has stayed on. I like the USB cover as well to keep dirt or debris from getting into the port.
5,One of the best purchase!
5,My boyfriend NEEDS cords and chargers in every room and also in his car. Surely he’s keeping device charger manufacturers in business. He has a watch charger in the living room and the den but for when he’s on his way to the golf course he needs one in the car! I found this for him. It has decent reviews and my boyfriend’s watch definitely gets a charger out of it! Recommend!
5,I love this for my Apple Watch.  I bought this for travel but actually use it daily.  The charger doesn’t take up space on my counter  and never have to worry if I have the charging side up.
5,Great for travel or school
5,It’s great
5,I just took a 2 week trip.. camping in a tent. I have a small backup charger and I plugged this watch charger into it and set it in the picnic table. It was a great addition to my trip. I didn’t have to bring my long cord charger with my. Easy to pack and use!
5,Extremely Practical.Charges quickly.Well designed.Very compact
5,We’ve used this on multiple trips and it works like a charm! Absolutely a must for travel
4,I love this little charger it folds up to be very compact and actually becomes a pendant when you’re not using it it’s great is the handle Carrie and use
5,This is good for when you are traveling and your Apple Watch has gotten low on power. I don’t know how you would use it at home to get the watch to balance on the charger while it is on a power strip.
5,so simple and small but works awesome
5,Left on a trip and realized I left my charger at home. So I decided to get this little charger. The size and the price was perfect.
4,decent if you don't want in display mode
5,I love the compact “cordless” charger. It is left in my toiletry bag. I never have to worry about traveling with multiple chargers. Perfect!!
5,I attached it to my car key ring so it is always available to me to charge the Apple Watch that often dies at the least opportune time for recharging on the road. Works great.
4,This little charger pops right into my usb port in car and apple watch charges easily and quickly. I am very glad I purchased such a compact and reliable charger!
5,So convenient and small. Just need a plug and you’re set. Much easier than me carting around my cord!
4,Love the size and portability.  Sturdy little dongle.  The charging of course depends on the power source.  Works well plugged into the side of a laptop but not so much with USB wall plugs.
5,Traveling I keep forget my charger
5,I like this
5,I carry it to work every day and even used it to help out some works partners and they love it  it’s very useful anytime 🥰☝️
4,Very handy and good to have. Charging anytime.
4,It's ok. But hot little bit.
4,It’s convenient for traveling and so my cats won’t chew any cords. It just takes a little to charge.
4,Charger and watch got super hot after charging overnight and my Apple Watch won’t turn on.
5,I carry it on my keychain. I use my watch more than my phone so it’s cool to have it on demand!
4,I was really excited to get this and try it out because of an upcoming trip. It's ok I think - here's why. First I used an Apple "cube" to plug the charger in. It wouldn't work. Tried another one. Still didn't work. Used a different usb to plug it into and it worked. It seemed to take a long time to charge though - longer than the original Apple charger. Guess it will do I just expected it to perform like the Apple charger. I like the pink color and it was really simple to figure out.
4,I bought this a few months ago and waited until I had used it a few times before reviewing it.I keep it in my bag and have used it to charge my series 6 Apple Watch while in the car. It’s not the fastest charger in the world but it definitely works and the magnet is strong enough that it stays connected when I’m driving. I assume it would also work while connected to a power bank but I haven’t tried that yet.For ten bucks it’s worth keeping for emergencies.
5,Excellent
5,It’s the extra watch charger around the house. Small and compact. Easy to use.
5,Love it easy to use
5,Great I love it . Very durable
5,Really like this so far seems to be very sturdy and the watch so far doesn’t fall off so that’s good thing
5,Takes a while to charge but it’s good for emergencies
4,I thought this magnetic charger for my Apple Watch was a great idea because I thought it was like a bank but it doesn't hold a charge like I was thinking. instead you have to plug it in to something in order to charge the watch. So it works as a portable charger as long as you have a power source too. I had an idea of what I thought it was going to do but I was wrong. So the charger is not bad at all once I understood how it actually works. Plug it in to your laptop or car USB port and set your Apple Watch on it and it will charge. I'll update this once I see how long it takes to charge the watch to 50%.
5,Great product for a portable charger for my apple watch. The cable on the original cable is so unnecessarily long and cumbersome and this solves that. The only downside is that it charges very slowly. Still great product!
5,I use this in place of my actual charger most of the time bc I hate having cords everywhere. Anytime I travel with this people ask where I got it
4,The small size makes it easy to carry around.
5,I just wanted something to throw in my work bag so if I needed a charger in a pinch I had one. It has come in handy many times! Works great!
4,I love that this is so small without a cord. It’s easy to always keep in my purse so I can easily charge my watch if I’m traveling or at work.
3,This doesn’t charge quickly!!
3,Not what I expected I need an adapter to use on my computer and it needs to be connected to an outlet or computer in order to charge the watch. I thought it could get charge and I can use it on the go whenever my watch was low as oppose to have to either way use an outlet. For that purpose I can just use my regular apple watch charger.
5,Love it and it’s perfect on the road
4,These little chargers work great for travel or saving space.  But don't drop them or tug on them. They break very easily.
5,This is so easy to put in your bag or purse and use when needed. Or if you forget your regular charger as I often have it's always in the bottom of my purse! Very compact and works well!
5,Originally thought it would charge on the goLater realized it needed an external power sourceBut works fine in my car when my watch is running low. Thank You - Great product!
5,I love that I don't have to carry a long corded charger for my Apple Watch this charges quickly and is a breeze to pack. I just leave this in my travel case.
3,I love the convenience of just plugging it in while on the road and of course the lack of wires just wish it was a fast charger.
4,This product works well. It is small enough to take around with you. When it comes to battery power it takes a while to charge so I recommend using it only when you are not going to need your watch right away. Mine takes about 30 minutes to an hour to charge long enough for it to last a whole day. The product itself is well made but you can tell that it is dropped it will break right away.
4,I broke my USB-C fast charger so I'm left with the longer USB-A and this charger.This charges slower than the Apple OEM USB charger but still works okay...The vertical charging on this is a little finicky to get just right but once setup it holds and charges just fine.This is a must for my compact travel charging kit.
5,I travel for work and this is in my bag alwaysI have several types but this is my favorite
5,I think this charges faster than my factory charger. Love it.
3,Charges too slowly to really be usable. I returned it.
5,Great for travel work and where ever else you go. Works as expected and sturdy enough to support the weight of the watch.
5,Great value and works just like I had expected. Thank you
4,Take long to chart
5,Great little charge when I’m on the go. Just plug into your laptop and it’s a quick charge.
4,Great watch charger but not always. Most of the times it will charge just great.
5,I’ve had this for about a year now and it’s saved me multiple times. Great to keep in my purse or vehicle to give a bump in my watch’s charge during long days or overnight trip. It’s holding up well still works perfectly. So I had to get another to just leave on the 2nd floor. For $10 it’s pretty great!
5,Convenient I use it in the electric outlet in the bathroom when I travel my watch sits directly on it.
3,Not very fast chargingDon’t charge to full no matter how long you charge
4,Could not get my IWatch 7 to charge with charger provided with phone.  Ordered this devise.Works nicely.  Like it.
5,Great to have as a spare. I keep it plugged into my computer so I have another charger handy for when my watch runs low.
5,The media could not be loaded.                                                                               Me falta probar cuanto tarda en cargar
5,You can take anywhere and won’t take much space
5,Convenient & Compact. No more messing with that long chord. Great for on the go & when traveling!!
4,Yes -- it's not the fastest charge but that's fine. It's easy to carry along for traveling and easy to use with your laptop if juice is running low.
5,Worked for taking on trip. Small compact charger with no cables to deal with.
5,This is the 2nd time I purchased this (I misplaced the other). It is so convenient takes up less space quick charges and overall looks and performs better than using the traditional cord that comes with the watch.
5,Between nursing school and 12 hour night shifts I have a huge problem remembering to charge my electronics. This little guy works perfect in my car with a USB adapter. Actually charges pretty fast and saves me from having to go through Apple Watch withdrawal symptoms every few days.
4,It did not charge. In fact drained the power. My watch was totally dead this morning. I will not use it again which disappoints me as it was a convenient style
3,It’s super lightweight and made of plastic. Charging my Apple Watch S7 very slow. Though it is easy to carry with but I don’t feel like it’s very good quality.
5,Such a good little charger for on the go or even at home. I like that I can plug it in and “hide” it instead of it being an eye sore on the counter. Tbh I need 20 of these. They’re that good.
5,Perfect for charging my Apple Watch and keep it up off the ground. I like using it in my car.
4,Purchased for on the go charging for my power bank. Works great.
4,Almost use it everyday. Still don’t quite idea the best way to get the watched fully charged. Many times it stopped at 80%+.
2,I’ve only had this for 2-3 months and only used it 4-5 times. However only 1-2 times has it actually charged my watch. I’ve used it in multiple different outlets (around my house in hotels in my car) and with a portable charger but often it doesn’t charge my watch and instead actually appears to be draining the battery even more. My roommate has one and uses it every night and hasn’t shared any problems with it. Not sure if I just got a defective one or my watch is too old to be compatible or what. It inconsistently charges my watch so I never know what to expect. If it worked I would absolutely love it because it’s perfect for traveling or keeping in a purse/work bag!
5,This is a lot more convient than the charger cable that came with the Apple watch.  Anyone with a computer can plug the unit into a port and leave it there for use.  Cost is well worth the cost!
5,I always forget my charger when I go away for a weekend and my watch usually is dead now I don’t need to worry I have this awesome little charger to take with me.  Works great!
5,I kinda thought I was buying a power bank but this charger works well when you are in the car and realize your watch is low. It's also great to tuck in your bags for travel charging.
5,Muy practico
5,Love  it cause you can charge it anywhere you go as long as you have a usb plug with you at all times. It is fast charging takes 2 hours to charge. One happy customer ❤️
4,I loved the compact design of this item. The only downfall is that it can be tricky to use with a case on your watch.
5,This is a great little portable charger that works well.  I carry it in my tech bag for when I'm out and about and my watch runs low on power.  I use it with either my 12W iPad charging brick or one of my power banks.
5,This charger isn't exactly what I thought I was ordering. . . I thought I was ordering a power bank that would charge my watch.  This is a wall power adapter that will charge a watch quickly so I'm happy with it anyhow.
5,N/a
5,Excellent space saver watch charger.
3,This charger is extremely easy to use plug it into a USB outlet and set your Watch on it. I've been trying to use my Apple Watch (6) while sleeping more lately which means I need to get a charge added to my Watch in the middle of the day. I bought this so I could take it with me easily and use it while working. And while it does start to charge right away it's incredibly slow. I left it on the charger for an hour when the Watch had 15% battery and it had only gained about 20% power. I guess this could be useful for travel if you intend to leave it on the charger all night long but if you want to grab a quick charge this isn't going to do a great job.
5,Perfect for on the go charging! I keep this in my car and its convenient to pop my watch to charge on a drive
5,Perfect for traveling and I keep it in my work bag for when I forget to charge it overnight
4,It is very self explanatory. It works the best when plugged into a portable charger or something. I use a MacBook so it is not comparable unless I have an adapter. So using it with a standard socket block would be ideal.
5,I mean it does what it’s intended to do
5,I do not like to take my expensive Apple Watch charger when I travel so this is perfect.  It is not as fast as the original charger but I charge my watch at night so not a problem!
5,Easy and convient for use.
5,I love this little charger!!!  Worked great for traveling to Vegas!!!  Use it all the time now!!!
5,I use it for everyday. It’s so tiny and works well so far.
5,I often forget to put my watch to charge at the end of the day. This little charger is so convenient. It's so much better than taking the whole cable and it getting tangled in my purse or with my other chargers.
4,Small and charges the watch.  Wish the usb port swilled so make it easier to connect to chargers.  Designed to slip into a laptop
4,I like it because it’s easy to throw my watch on BUT it’s kind of awkward because of the way it plugs into charging blocks. It tends to come out of the charging brick slightly and I find that my watch wasn’t being charged at all. Good value for the money though and I still use it every day
5,Love this on-the-go apple watch charger. I like the cover that goes over the USB because it protects it from damage as it sits at the bottom of my laptop bag 😬 .
5,This is the perfect little charger my watch is always charged because I just take it off and set it on the charger instead of playing around with the cord and it’s falling off the charge circle. I recommend this to everyone I know who has an Apple Watch.
5,Great size for carrying daily enough power as long as you remember to bring a charging brick with you.
5,Use it in my bathroom and I love that there aren’t any extra cords to get in the way. I bought one for my husbands side as I lived mine so much!
5,Good for traveling. Quick charging. A must have.
3,I bought this because my cat chewed my original watch charger and I can say that the charge is slower than what I was used to with my original charger but for the price and quality you still can’t beat this
5,Very handy to charge on the go! Love the pink!
3,I arrive used and quite dirty.
5,Ease of use
5,I really like this charger. Great to carry while traveling.
5,The best charger proven for me and charge so fastReally comfortable for me❤️It!!! So small very easy to carry anywhere Awesome …
4,I like it
5,Can charge any time
5,This is small and easy to use while traveling. This stays in my to go bag. No issues.
3,This charges as fast as the original charger. It’s convenient because I can pop it into my bag and take it with me when I travel. My only complaint is this is pretty flimsy. I bumped into it and it came apart. It all snapped back together and works fine. Just wish it were more sturdy.
5,Seriously love this! Having this to take Instead of my OG one fav on the go product!
5,I love how small and portable this charger is and prefer this style since there is no cord!
4,I absolutely love this Apple Watch charger! It’s small compact great for traveling and a cute color. ONLY issues is that it slides out of the USB port ever so slightly sometimes doesn’t charge when you think it is. Also if a USB port is sideways (hotels as an example have this) obviously you cannot use this device.
5,Great buy! I carry this in my bag for when I notice my battery getting low. Have used at work on my computer to charge and in the car.
5,Small easy to use and can take anywhere
3,I am changing my review after about a months use.  It is very tricky to get the watch on it in exactly the right spot so it charges.  many times I have  put my watch on it and came back in several hours to find it is totally dead.  The other thing is when you do get your watch in the right spot the watch gets hotter than it ever did on an apple charger.  it is hot enough I worry about negative effects on the battery life.  I have stopped using it.Old review:  small size with no cable is a plus.  we use it in an rv with outles.  the magnet is strong enough to hold the watch in any direction.  does exactly what we need.
5,Very compact
5,I’ve been using it for a couple of months now and it’s really convenient. I keep it on my keys and charge my watch mostly in the car in the afternoon. No problems with it at all.
5,Love this !
3,Slowest charger of my LIFE. My watch is constantly “dinging” because it loses connectivity but then reconnects right away. It would be very useful for traveling and I take it to work with me everyday but put it in a room where you don’t have to hear it ding every 5 seconds and leave 2 hours for it to charge.
