rating,review
5,So far this is the best shredder I've ever owned by a wide margin! Glad I spent a little bit more money on a much higher quality product (I got the 10min one too) this is the best bang for your buck!I've had a few shredders before in the ~$40 range (mostly Staples ones) that broke pretty quickly -- this one really doesn't cost that much more comparatively. They'd only be able to do like 5 sheets (nowhere near 12) and eventually plastic bits would start falling out of the insides and it would stop working. If you put in like 4 sheets and folded one accidentally those would jam immediately. Then the jams would be hard to clear and could damage the shredder. Or you'd run it for like a minute and it would start overheating already and start malfunctioning.So far with this shredder in a few weeks' time period I already shredded more than I have in the past 5 years combined. Probably did like ~10000 sheets of lots of old documents. That's how much of a powerhouse this shredder is compared to all the other ones I've owned previously! So it's been easily worth the money already as it has outlasted the others that would start malfunctioning at ~1000 sheets.It's also never jammed on me! I've never tried 12 sheets on it but it'll do 6 sheets no problem whereas my previous shredders would start falling apart -- literally -- if you tried 6 sheets.And this thing can run for like an hour without overheating! Like I get tired out and I have to take a break well before it overheats. Whereas with previous ones I'd spend like 2 minutes and already had to wait for it to cool down. Now the bottleneck isn't the shredder but me!Also because it's been so durable so far I'm no longer afraid of shredding things here and there worried that the shredder might suddenly break. Sometimes I shred some old documents as a therapeutic meditative activity now -- shred your worries away xDIt also holds more paper than my previous shredders before I have to clean it out. And while it is taller than I expected that surprisingly made it more ergonomic so I didn't have to lean over as much while shredding.As some reviewers have noted when I got it I did check the insides and did see some bits of shredded paper. That seemed sketchy but it does say on the note that comes with it that they "test every shredder" and so that's why you might see some leftover bits. And honestly even if it is used it's outlasted my previous shredders by a 10x margin already so it's good quality stuff either way.So overall well worth the price best bag for my buck I've had with a shredder. Bonsaii also has a 1-year warranty (and the reviews seem to say that they've made good on that too!) which is why I originally bought it with my past shredder purchases going awry. But I guess it's as they say if a company is confident in such a long warranty the product probably isn't going to break quickly! Hoping to have this last for many more years :)
5,I liked it But then it randomly shut down and I had to slap the top of it for it to turn back on. (read til end)The window is useful but where I have it I can't see it clearly (dark).I looked through the troubleshooting and it told me to check if it was full and sure enough it was - _-So yea the window tells you when it's full since this shredder motor sits deep into the container. I thought it still had a little more to go but forgot the motor is pretty big.
5,Bougt a replacement for my old broken shredder. This is doing the job so far still manageable noise and overall functioning the way i expect it to. Nothing fancy.
5,This was a replacement shredder & it proved to be much better. Quiet operation efficient & easy to use.
5,I have run hundreds of files with no problems.  I am very pleased with its performance.
5,The size is perfect for our needs it's also quiet when it runs! Very important for us since we both work 3rd shift... we're not waking up to a crazy loud paper shredder! Whoop! Whoop!
5,I feed this thing unopened junk mail and it just effortlessly chews through stuff.  So far I am extremely impressed with this machine.  My old shredder was a toy in comparison as it could only handle three sheets and I had to remove staples.  I'm loving the new found freedom this gives me.
5,very dependable. no paper jams.
5,Best shredder have ever bought
5,like it
