rating,review
3,Ok I read the reviews before I got this but I still decided to get because 1. I love the rose gold 🤩color&2. I wanted my AirPods Pro protected from dust n dirt etc. 🤔🤔because I daily try to clean n wipe off any dust n dirt particles from the case. 😷😷The bottom piece was actually pretty easy to place. It was done in a few seconds to be honest. The top part however took a few minutes. Because of the magnet it was constantly being pulled down wen it wasn’t even aligned properly. At first I thought I got it perfect but then when I put my earbuds in & tried closing the top felt like it got caught a lil on the earbuds & like it was slightly scratching the edge of earbuds.😱🥴 It felt like if I didn’t correct it then soon my earbuds would be marked or scratched slightly. So I had to remove it. ( it was just the top part of the dust guard) I took my time to carefully remove it. I reattached the guide sticker & slowly peeled it away from my case & it didn’t break. Then I tried to realign it better. It no longer slightly catches on the earbuds so that was improved but it is slightly raised up in a spot. 🤨🤯Like a bubble. But I’m afraid if I try to peel it away again that it’ll either break or I won’t get it to align better. It’s actually not worth the money. It’s EXTREMELY flimsy it’s thin & looks & feels like it’ll shatter if you accidentally drop your case. I think they either should have made the metal slightly thicker - more sturdy than it is. Or use a different material. Maybe a thin gel a gel would’ve been a better material to use. Because if you didn’t get it to align perfectly then you don’t have to worry about your earbuds being scratched up or damaged.Some pros are the rose gold color is gorgeous. When you open up your case it really is cute. But it doesn’t look any more luxurious it’s just pretty. They could’ve put more of a design on it or something. It honestly could’ve been made by a sturdier metal. There is a thing called thin steel. I just think it would’ve been wayyyyy better if they went that route of the gel option. This honestly should’ve been $1. & no more. I’m sure they made it for just a couple of cents. Probably less than $.25 THATS how flimsy it is. 🤬😤🤬😶Really not worth the money& if you gotta pay for shipping lmfaoo then that’s just highway robbery. T.G I got prime. So it was free shipping. I think if I had to pay for shipping on top of the ridiculous price I’d cry & id cuss them out & ask for my money back. 🤬😡🤬Also there’s no reason why the application process gotta be this complex could be easier!😤 the dust guard kept lifting up when I was taking off the cover on them. If anything maybe they should’ve split each guard in 2 might’ve been easier to apply that way. I’m so mad it’s so flimsy actually.Lol 🤐🤫 I just realized the only pro I listed was that it was pretty another pro- the bottom guard was the easiest to attach. That’s it. It was mostly cons. So be warned lol. If you do decide to purchase this then Take your time applying both guards. The guide sticker isn’t very sticky either nor is the actual dust guard. That’s another thing- they need to add a bit more adhesive. 🥺I suspect that this will not last for more than a week or 2 but i shall update you guys on the longevity of the product. 💗💗~UPDATE ~—>>It’s been a few months now since I got the dust guard. & I’m still surprised that it surpassed a few weeks Lolol. But I’m not rough with it I’m careful w/ my tech. I’ve only dropped my phone twice last year. Luv my tech. I’ve been using my AirPods much more these past few months because of COVID(I’m in NYC I hope everyone keeps safe. Positive wishes to anyone that reads this) so I’ve put the dust guard through good use. Constantly opening & closing my AirPod case. The shine of the rose gold color is still vibrant like the 1st day I opened it. There’s still that annoying small bubble on the top dust guard from me readjusting it. But I tend not to look at it so that I don’t have the urge to readjust it again cus I might end up making it worse or tearing it. So after thorough use I can add a few more pros. It’s so far long lasting. The color is still a beautifully vibrant rose gold. It actually does protect my AirPods from dust & lil crumbs or whatever. Again I still think the price NEEDS TO BE LOWER. Way too much for it. But other than that. It’s ok.2nd UPDATE—-> the vibrancy if the rose gold color has now deteriorated some. It’s almost like a patina as if it was copper. Which would make sense. Like I said before it was most likely very cheaply made I doubt they would use actual rose gold. Plenty of people substitute rose gold for copper. So it’s not unreasonable that they chose to go that route. Plenty of ppl luv the aging of copper/ the patina that develops after awhile. But I would’ve rather liked it to actually stay the vibrant rose gold. But a good thing is that it took a few months for this to develop. Didn’t happen right away. Actually I just noticed it a few weeks ago. I still kinda regret buying it still not worth the price. Like AT ALL. You can easily just clean n wipe down I have to do that anyway even with the guard. This will be the final update.
3,So i got the product pretty fast. Its a simple concept but it feels like i got a defect. So first the instructions are a little unclear but easy enough to figure out on ur own. But while looking at the instructions the protection sticker was put upside down so i had to unstick it and rotate it to make it work. The sticker for the bottom of the case was a perfect fit and i had no issue putting it on but for the top half o had a lot of trouble. Since i had to rotate the sticker it lost some adhesive to help put it on so i had to do it by hand which was annoying but no matter how many times i tried it never got centered properly. I spent around 20 minutes on this because if these issues. Its still off centered so i came to the conclusion that it might not be an accurate size for the air pods. Price point isnt terrible but id rate it as a $5 dollar item not $10.
4,The product is good it's just tricky to install. You have to be patient to install and make it work. If you don't align it correctly it can scratch your AirPods it happened to me. I have to order a second one to install it properly. The product does the job to keep your AirPods case clean and away from scratches.
3,First let me say that I do like the look of these shields/gaskets. The finish does hold fingerprints but they can be wiped of fairly easily with some care. I think that with some tweaks in execution of the product it would be great but as of right now is average at best.When I bought these I thought they seemed a bit pricey but I was banking on elago’s reputation for a durable well made product.My first disappointment was in the installation instructions. There basically weren’t any. There was a small folded piece of instructions that mentioned nothing about surface prep or tips and tricks. Also the actual instructions were lacking except to say that alignment of film/shields was extremely important.If the success of these dust shields hinges on alignment so much you would think that Elago would have engineered a way for these shields to be aligned easily when they were being placed but that is not the case. Both shields came on one sheet of clear plastic with another protecting the adhesive side. Meaning to mount one gasket you had to expose the adhesive for both gaskets. Not a great start. Each should be on its own sheet.Next you would think that with the odd shape of the bottom of the AirPods case and the hinge and lid being in the way of seeing clearly they could die cut the plastic sheet to fit around the hinge for help with placement and also place some registration marks for alignment. Same for the top or lid of the case. Especially because as seen in the pictures the shields/gaskets are so very thin in some spots that you don’t want to have to pull the shield back off because of misalignment and risk it breaking.Most people don’t have a stand to clamp the case in and will be trying to install these with one hand. Which makes alignment of the shield that much harder.The shield for my lid was misaligned just slightly and when I tried to pull it back the shield snapped in one spot. Also if it is not aligned correctly your finger or fingernail will drag across the thin edge of the shield causing more problems over time.As I said I love the look of the product and think these could be worth the price if Elago had taken the time to engineer the process of preparing the surface and installing the shields to a higher degree.  If they address these issues then I could see recommending the product to others. As of right now that’s not the case.
3,This was very difficult to install and because it is metal it sticks to the case as you are trying to install it.  This leads to you having to pull the adhesive backed dust guard off multiple times.  I do wound care and have pretty steady hands and still this was difficult while following the instructions and with tweezers.  It was just plain difficult and on top of that once you get it the thing hardly lines up perfectly either so you have metal edges even if ever so slight bordering the interior of the case which leads to it scraping against the AirPods and leaving a mark on my new foam ear tips.  The AirPods also don’t slide in and out like they used to.  Sucks because I wanted to I’ve this product but I think due to that it’s not very good.  On that note it does seem to keep debris from going inside as much as before which is the point so I am continuing to suck it up.  I think to improve this product they should include at least two of each side so if and when you mess up you can use the other one.  I’m sure it would cost them not that much more and they can just charge us a little more.  We would appreciate it because otherwise it either works or it doesn’t and if it doesn’t you feel cheated and you won’t want to order another one.  If it already came with two pairs it would make more sense.  Sort of like how they do with screen protectors.  If you have fat fingers don’t even try to install this because you will just be frustrated.  Give it to the most anal retentive and perfectionist person in the house and see how they do.  That person in my house is me and it was very challenging to get installed properly.  Not sure if I am going to keep it in there or request a refund or replacement.  I hate leaving a bad review but as it stands I can’t recommend this to others.  Not unless they fix those things.
5,Before I continue read that title again. And then again. I want to emphasize that THIS INSTALLATION WILL REQUIRE TIME AND FOCUS as well as a STEADY HAND in order to install properly. I’d be willing to bet most if not all negative reviews here were missing at least one of those. If you have difficulties properly installing screen protectors this is going to be impossible for you. If you rush throwing this on it is going to look like trash. TAKE. YOUR. TIME. The result is worth it in the end. You have to be very particular with the way you handle these stickers; think of it like a piece of sticky aluminum. If you are too rough bend it the wrong way rip it off the plastic like some kind of wild animal… you are going to mess it up or tear it altogether. I had to harness my inner monk in order to properly align and place these things. The cut of the stickers is so precise and the space you’re placing them is so tiny that there is little margin for error here. It must be placed perfectly or there will be overhang.I know this all sounds very intense but I must emphasize the difficulty here so that future buyers know exactly what they’re getting in to and don’t go blaming the product and leaving bad reviews because they were sloppy or incapable. This product is getting five stars from me because regardless of difficulty it does exactly what it intends to do. And *dang* does it look sharp once properly installed. I’m less worried about dust now while also thrilled by the sheer appearance of it. I will update this review if durability lacks over time (I literally got these on maybe ten minutes ago).If you are willing to take at least fifteen to thirty minutes to sit down and really take your time with these I have no doubt that you will be able to get them on no problem. If you are impatient lacking in coordination or have big clumsy hands get someone to assist you or look elsewhere for dust protection.
3,One side ripped coming off adhesive. Other side installed fine does what it’s suppose to for now. For the price I can’t complain too much but still unfortunate.
3,It took me alot of patience to put this thing on. The instructions are unclear or I'm just dumb. And when I was trying to grab my airpod my finger got caught on the metal plating and I started lifting it up with the airpod. It went right though my finger and gave me a pretty nasty cut. It's an alright product but you need to he safe around it lmao. It's not a sticker or nothing like that it's just a magnetic piece of metal that you have to fit on
4,it works really well to keep my airpods clean and it feels like it’s not even there but after a little bit of use some of the dust shield broke off.
5,At the time of this review there’s really only these and one other cheaper brand to buy if you want a dust guard.Trust me spend the extra couple dollars and get these because the quality is 1000% better.All I can say is two words: user errorThe only reason I can think someone would review this product poorly is if they thought a super thin piece of metal thin enough to fit in your case but not make the lid gap up at all would somehow be super strong and not require you to be careful as you put it on.Literally just be gentle as you apply it and you’re fine! :)Pro tip: get it wet on the sticky part before you stick it on the case. This will allow you to slide it around a little to get it positioned just perfect. Then just let it sit and dry and the adhesion will keep it in place once dry.You’re not working with a lot of space when you apply it so the challenge I think people face is it’s placed just barely off where the metal is hanging over the hole just slightly. - the metal is cut the right shape perfectly so it definitely can be slid into the right position I think ppl just apply it ever so slightly off and it’ll kinda grip and make removing the pods more difficult. - then they try to take it off to fix it and accidentally rip it. - Get it wet first and that won’t happen 👍🏽In summary: be careful and pay attention to what you're doing and you’re fine. The product isn’t cheaply made at all. It’s just a thin piece of metal.Everything about this product is exactly what you’d hope it to be.Bonus quality: the metal in the dust guard is magnetized by the magnets already in the case (science!) so with this it actually helps add extra magnetic force to help hold the case closed just a little better. - not a lot but enough to be slightly noticeable
