rating,review
5,Still have the first one on my camera lens and is holding amazing have dropped my phone alot and still on their good
4,Can’t give an honest review until I’ve had it for a while. It seems fine. There were no directions so make sure you pull everything out of the box before applying and use your imagination. I missed the cleaning clothes and wipes.
5,I have been searching for a camera lens cover for months. I am glad I ran into this product! It definitely does its job!! I recommend this product! It has great reviews. It even comes with a little paper slip that leads you to a website on how to install the lens protector! Please buy this if you need a camera lens cover!!!
4,These are pretty good quality I drop my phone here and there and these last through several hard drops. Can’t complain for the price. I’d buy them again.
4,It was really good but having to place it was really hard my mom struggled for half an hour trying to put it on perfectly and after some time it worked very well! Definitely recommend and would buy again
5,I would buy it again
5,I highly recommend I dropped my phone from the second floor balcony at the safari park in Escondido and if it wasn’t for them my phone camera pieces would be broken or shattered because it actually shattered and save my lens so I purchased again
5,This is my second time using this item cause my friend gave me the extra one she had but this is my first time buying it. I had to replace my last one because I dropped my phone on a small rock or something. The protector cracked but my camera was fine thank goodness. But anyway I have no complaints pretty easy to install comes with cleaning and drying wipe.
5,Nothing much to say
4,Easy to install protect your camera a simple fall will crack it.
5,If it’s perfectly doesn’t come off and it’s peace of mind to know that your lenses are well protected
4,I guess I wasn’t paying attention and ordered the wrong one
5,Des it’s job.  When I dropped my phone  the protector took the shock and crack not my phone lens.
5,The best product out there
4,It was pretty easy to install. I think they improved the design with the black glare absorbing ring on some of these protectors. I kept it on regardless.
5,I dropped my phone on our concrete porch. The lens saver I had on my phone cracked. I'm sooo happy that's all that cracked. I immediately ordered more!
4,Muy bueno
5,A few days ago I had dropped my phone outside onto the pavement and the top camera completely smashed. I was so upset and saw that Apple doesn’t replace camera lens so I looked into how to do it myself. I ended up buying a new lens to replace the old one and after I did that I put this lens protector on top. It completely covers the cameras so there is no chance of breaking them again and the picture quality seems pretty clear right now! It also fits perfectly with my phone case which is super important so that was great!I’m hoping it holds up well.Overall I’m happy :’) very glad I was able to fix and protect my cameras.
5,Fast and EZ
5,Everything was easy from ordering to usingGreat protection for my grandsons phone
5,Not so good in sticking it to your phone
5,They fit well. Looks awesome
3,Wet wipes to clean were not wet it was dry :-(I cleaned my phone’s camera as much as I could. I used the microfiber and the dust sticker to make sure. I put on the camera protector on and it was a little easy to install but I did notice that there was a bubble and when I went to press down on it to take the bubble out another bubble would appear on the opposite side. I didn’t want to make it any worse so I left it and figured it would adhere on its own with time and gravity lol. I hope it’s enough protection considering around the camera there is a small gap of a bubble. I wouldn’t advise to press down to hard to end up breaking the camera. Then again if you have to press that hard to take the bubbles out and make sure it grips firmly around the camera circles then how good is this company’s camera protector anyway.Update: 10/26/2021So we have the camera covers on the phone and we noticed that when we take a picture with the flash the camera doesn’t adjust well to focus and there a white glare in photos due to the side of the camera protector :-( I pressed hard but there still is a gap. This is jr good
4,I put this on my iPhone 11 13 days ago as of writing this review. The protector works very well and I feel much more comfortable putting my phone in my pocket with other things that could scratch it. Installation was pretty easy. I did get it slightly out of alighnment on my first attempt but luckily it wasn’t fully pressed down or anything so it peeled off and I tried again. I will say there are some smudges/streaks that seem to be on the underside of the protector HOWEVER I do not entirely blame the manufacturers because plenty of other variable could have contributed such as readjusting the protector not cleaning the phone good enough etc. I didn’t notice a decrease in camera quality. There might be a very slight decrease but let’s be honest you didn’t buy the iPhone 11 for the camera. All in all I recommend this project if you are as concerned about keeping your technology in great condition as I am.
5,Very easy to installGood quality materialGreat price
4,Does what I need it to do.
5,This product gives you two camera lens protectors for your iphone. I used one on my iphone 12 mini and gave the other to my sister who has the iphone 11 and both were very easy to install. Tested both for the glare of what some other reviewers mentioned and there is none.[Just make sure you are dead center on your flash when installing and you won't get that glare.]Installed both one time each and after that it just works.Best product to get!! A++(See photos of both iphones camera lens protectors) (The test shots are with flash on).ex: iphone 12 mini + test shot |iphone 11 + test shot
5,All good
5,It fits perfectly and protects the lens.
5,Easy to use
