rating,review
5,Funcionan muy bien estéticamente son muy hermosas y tiene un RGB muy variable las recomiendo 100% además que la conseguí a un buen precio
5,Please just check task manager if you're unsure it's running at the advertised speed. If it's not be aware you'll have to change some settings in bios! The led lights are bright as well! Very good product for modern PC's. (Sep. 2022)
5,Great memory paired with my 5800X3D CPU and MSI X570 Gaming motherboard. Lighting works perfectly with MSI Mystic Light so there was no need to download the G.Skill lighting App.
5,Pros: rgb=good fps boost amazing value for money...Cons: nothing
5,I bought on Prime day after a terrible first experience but this time it worked perfectly. Easy to install had no problems :)
5,Work great. First set I ordered one of them wouldn't light up swapped them through amazon for a new set and they work perfect.
5,Very proud quality! Exceptionally splendorous delivery. Immensely delightful packaging. Recommended.
5,Some of the ratings questions are tough to answer ease of installation? It's RAM it's all the same to install so if you think RAM is hard to install this will follow suit.Anyways its RAM you want to make sure you put the 2 sticks in the correct DIMMS usually alternating make sure then lock into place (and make sure you unlock the little tab before trying to slide these in)Its a good value to performance ratio and has the cool glowing RGB on top if that's your thing.There are faster options out there and there are cheaper options. But for what it is I think it's a quality RAM. I've had 2 of these installed in my gaming rig for I believe 3 years now with no issues and added another 2 when I purchased these.When buying RAM make sure its the correct DDR for your motherboard and find out what speed your rig supports. You'll want to use the same type/speed/size if you upgrade again so if you buy 2 sticks now you'll want to buy this same set in the future to have all 4 slots used.As far as RAM goes I mean it's a little tight fit next to each other with all 4 due to the heatshield/RGB but they fit just fine.If you put them in and then get any issues with your machine starting up make sure the sticks are pushed in all the way and the clips lock in place.If you try everything and still get issues return them sometimes RAM will be DOA and a bad RAM stick will make your pc not start up correctly.I did NOT have any of those issues just trying to be helpful these have worked great for me. And with modern computing using more and more RAM just for the OS and web browsing having an extra 16gb will certainly help.
5,Works as advertised in my i7-12700 / MSI Tomahawk combination. With XMP enabled I get 3600 CL18 speed reliably at 1.35 volts. I have used GSkill on most of my builds over the last 15 years and don't recall ever having a problem.  Buying two sticks of 16 GB made more sense but you get twice the light with four 8 GB sticks (lol). A package of four sticks is the safest bet but I've always had good luck using a pair of twos with one package per memory channel (mark each pair when you open package).
5,I mean its ram. It gets the job done.
5,Best budget Ram for gaming
5,RGB color matches with the motherboard. Works well with either AMD or Intel boards.  Makes gaming a breeze.
5,Great rgb Heavy built design
4,Son muy bonitas me funcionan super bien mi board soporta su velocidad de 3600mhz la uso con la placa aorus 450b pro wifi y el procesador amd ryzen 5 5600g sin tarjeta y un disco m.2 nvm2 de 500gb samsung y mi pc va super rapido...
5,I love them! I had 2 sticks like 1 year ago and decided to expand from 16GB to 32GB and they are working great! I recommend G-skill Sticks!
5,rgb
3,This RAM is definitely very sleek looking and pretty hefty feeling. Overall build quality and RGB are really good. This RAM works with a variety of different RGB software that you can install to tweak the pattern order colors and all that fun stuff. Now the bad part I purchased this RAM and ran it at 3600 mhz as advertised. This caused my system to reboot under heavy load so I had to lower the clock speed down to 3200 mhz. Now it runs perfectly fine with no issues. If you are in the market for 3600 mhz RAM and need it to run at that speed I recommend skipping this product and researching some other RAM modules. As far as gaming/general purpose use goes I would recommend the 3200 mhz version of this RAM and save a few dollars but that version probably has to be lowered to be stable as well. So this RAM is worth a shot if you’re in it for the look but just be cautious could just be my sticks but I’ve seen similar reports on other reviews for this product.
5,I really like the look of this ram the only drawback is the software for the lighting affects. Not much to chose from. The price was lower than the corsair ram. Overall I'm very pleased with this product.
5,Haven't had any problems so far
5,The only brand of RAM I've used in my systems is G.Skill. Over the course of last year I had the urge to spice my rig up with some proper RGB lighting. I knew this RAM kit was popular and reliable so I went with them. Typical with any RAM swap it was quick and easy and everything worked instantly. On to the RGB strips on this kit they use a frosted diffuser which spreads the light very evenly. However something that I can't help but notice is the lack of brightness when set to a bright color such as white. Every other RGB item in my case nails the white color bright and very.. white. The LEDs on this kit however fail to match up to the brightness of my other hardware. Having an almost greyish-white and has a cold spot to top it off. So I settled with more forgiving colors that seem to blend much better syncing with Razer Chroma and using the fire effect for my Dark Souls bonfire theme.
5,Me agrada porque mi pc trabaja super rápida y la utilizó para trabajar jugar y streaming.
4,Very good for gaming only bad thing is the colors are not spot on.
5,easy to install fast ram no complaints
5,Las rams funcionan perfectamente a 3600Mhz ademas son muy coloridas
5,10/10
4,So I recently bought 2 sets for quad channel and the GHz will only go as high as 2933 because I think the chips aren't quite the same so they don't like each other and they don't like over clocking 😂 they work just fine at 3600 GHz as just a dual channel but if your looking for quad go for the all in one not 2 sets.Other than that they work great RGB looks great and I would've been very happy but ye know sh#t happens
5,Overall a great product. Super easy install the metal plating feels sturdy and it works perfectly from what I can tell. My only problem is that the quality of the LEDs seems  spotty but it isn't super annoying unless you're trying to pay attention to it.
3,I ordered these  as an upgrade from some standard Corsair Vengeance 3200 MHz sticks.They were both picked up by my BIOS and were able to run XMP just fine…But one of them wasn’t lighting up. Several hours later after immense frustration and exhausting all troubleshooting options I returned them to Amazon and am getting a replacement soon. I believe that the root cause of the issue is G.Skill’s god awful lighting control software which does not play nicely with other similar software (Mystic Light for example). Apparently this can corrupt a stick’s SPD. Sooo… buyer beware if using other types of software in tandem with G.Skill’s. Could brick your RAM’s LED’s! If this happens with the replacement then the review score will drop even further I’m afraid as the amount of frustration will have reached heights yet unseen by the human race LOL.
4,Could not get the speed above 3200mhz even though my cpu can allow up to 3600mhz speeds. Anything above 3200mhz would not allow my pc to boot into bios which was super odd and led to a bit of trouble shooting. Mb is a rog strix z390-I and cpu is a i5-8600k 6core at 3.6ghz but can oc to 4.0ghz... Overall the sticks rgb look amazing and maybe I've done something wrong or am misunderstanding. You will need to enable xmp and most likely will need to change the frequency of the ram manually like I needed to. Just want people to see this so they know they need to do more research and make sure their mb and cpu will work with the ram correctly.
5,They look freakin awesome in any build you can turn them just about any color or just off if you want and they preform great. What else do you need to know? If you catch them on sale they're such a good value. I put a spooky doll in my PC and they light her up really good :)
5,
5,Product was great! Great for gaming and really shines in games like warzone fortnite Minecraft and many more. Strongly recommend. Not to mention the RGB lights are amazing!
5,Son memorias muy rápidas y bonitas estéticamente (RGB para más fps obviamente xD)
5,The memories look awesome in my new pc. It’s easy installation and you have to active the Xmp in your motherboard.
5,Has pretty bright rgb and is speedy enough for modern gaming.
5,I've never really considered RGB for a build before but somehow talked myself into trying it for my new setup and I gotta say I do love the Programmable colors. My previous build had mostly all red LED's that kinda faded over time and it's nice to be able to change the colors at will if I felt like it.I bought the 3600 Ram because people Recommended higher speed with the R5-3600 but on bootup my ram only ran at 2133 and attempts to change it to even 3200 result in the motherboard restarting back into safe mode to the bios so I've just left it for now but hopefully I'll be able to figure it all out at some point.
5,Over all I am OK with the RAM. It is controllable with ASUS Aura Sync but not with the G. Skill app. I think this is an ASUS issue though.Ensure this is the timings you want. I went from 3000 CL16 to these at 3600 CL18. Seems like the CL16's were snappier. Per Cenebench R20 the score did improve by 20 points. I suspect if I had gotten CL16 in the 3600 it would have jumped 40 points or more. Point is the price for CL16 vs CL18 is so close I regret getting this RAM.No issues so far though and very stable on stock voltages. I am not planning on OC'ing the RAM.
