rating,review
4,Easy to set up. We have a coaxle cable hooked into it then a HDMI running from the box to the TV. Sound is out of sync on almost every channel we pull in with the antenna.But the kicker is it DIED!!!!! Bought August 25 2021 and it died last night September 19 2022. Tried to unplug it for a hour and still NOTHING.
5,This little box is amazing!  I live in a rural area where it's been thought that satellite service was a must in order to watch television. I'm happy to report that's just not the case with my MediaSonic converter box. I have a newer TV with the ability to receive over the air channels alone. With my converter box I receive more channels with a beautiful picture. I can't imagine having to pay for programming now that I have my little miracle box!  I'm a big fan as you can tell! Try it and I don't think you will be disappointed.
4,This does what I needed it to do but the remote is garbage and unless you’re pointing directly at the box it won’t receive the signal. Even sometimes when you are pointing it directly at the box it still won’t receive the signal. Gotta push the button multiple times and that is incredibly annoying. Everything else with this device works great.
5,I had already bought 2 previous machines at a big box store. They barely lasted a month before quitting on me. I have been so pleased with this one that I got another for a friend and yet another for our back bedroom. Reliable and easy to use
4,I bought this primarily as a DVR to record the local team's football games off-air.For this review please bear in mind that one reason this unit is so cheap is because the Quality Assurance effort applied to its manufacture minimal. You can expect a wide variance in product quality. This review is about my unit in particular. Yours WILL be different or dead on arrival.I initially tested this with a 47" Visio flat screen TV. I was not initially impressed. There was some jitter evident in the image if one looked very closely. The first test recording "seemed" to have an audio issue. Otherwise this is a fine product of Chinese engineering. The screens were in good English by the way. The documentation not so much.The first thing about making recordings with this unit is that you MUST be getting a picture without dropouts in it (scrambling of the picture and/or audio glitches). If not you can forget getting useful  recordings with the unit. It's not a flaw in the unit it's the technical reality. I can only get a "perfect" image on a few of the channels where I live. This is disappointing but not the unit's fault.The most pronounced problem with my first test recording (which was NOT made with a perfect single). Had wildly fluctuating audio. This WAS a problem with the unit and is disappointing but read on.Next I turned off the unit removed  the USB drive I was recording to and plugged it into my new laptop. Here I found the following about Video Recordings which are placed in a subdirectory named "HBPVR":File type:  .mts  plus  .mts.metaCODEC:  MP2  UncompressedYup this unit provides a PERFECT recording. What comes in goes out. If you're getting a good signal you get a recording with all the original image fidelity. It looks _amazing_ on my laptop which has a 4K screen.Now back to the problems I mentioned at the start. The video jitter is _not_ present when I play back the recordings on a computer. And the audio dropouts are not present either. Unfortunately there are STILL audio dropouts during playback _on the unit_ even when there is an excellent signal. Further investigation showed the problem is with audio processing in the HDMI interface section of the design. I can live with it so I will keep it. As mentioned at the top you may not have this problem (it may be specific to my unit) or you may have a different fun problem.Other than that it seems to be a great little unit. And I do mean little. It looks much bigger on the Amazon site. The remote range and position sensitivity is not as bad as I feared from reading reviews. It comes packed in a tiny cardboard box with a carrying handle. Save it so you can carry it around if you ever need to!
5,worked great and liked the size
5,Works very good with my antenna box
5,I bought this because my previous unit died this unit is much improved having the external power supply/adapter keeps the heat out of the unit. The software has some improvements that make it more functional. The picture and tuner are great. This is a good unit if you're looking for a DVR to record over the air TV.
5,Good quality for price..easy to install..easy to use..Very Satisfied
3,I don't know if it is a problem with this gadget or it is all about anthems but few channels are stable.
4,Mediasonic Converter box to the rescue. Past day technology to make modern TV work.
3,This box was the perfect solution to my need: I have an older TV set and wanted to utilize it for broadcast reception. Installation and setup were simple no instructions were needed. I like the simple on-screen menus. It worked fine for less than 2 years and it failed. As it is inexpensive I ordered a replacement unit. Turns out the failure was not the box itself but the power supply. If the new unit ever fails my approach will be to find/build a replacement power supply.
4,I gave 4 stars because you will have to buy your own HDMI cord (the media control wire does not work as well as HDMI and there is a small delay between remote and box when using). I ordered because my living room smart tv does not have a place to put the coaxial cable (only HDMI/USB/media cords) and I wanted to use a tv antenna. This box fit the need. First one I ordered did not have a remote but unit was replaced quickly and now I have antenna tv and cut my cable bill over half by keeping internet only. Using TV antenna and Roku (for movies) are all the tv I need. Outlay of money was window antenna/tv box (if tv has place for coaxial wouldn't need)/and Roku.
5,2/19/21I bought my first Homeworx tuner about 7 years ago. It worked "flawlessly" (for such a low cost unit I do not expect perfection).  Last weekend a power outage finally took it out.  The new one is a lot smaller because they replaced the built-in power supply with a wall wart.While I'm happy with the new one (only $19!) I actually liked the larger one better for these reasons:1. It's easier to use a standard 2-prong cord than a wall wart power supply (cords fit better on plug strips)2. The larger box stayed put on the shelf better because it's wider and a bit heavier.The cord on the new wall wart power supply is shorter than the old power cord so I had to use a short extension cord too reach my plug strip.My new tuner does not have the DVR capability.  The old one did but I never used that feature so i saved $10 without it.You can see how they got the price under $20...external power supply and no DVR feature (which is just a firmware mod).I should mention that I live close to a metropolitan area and have line of sight to a big TV transmitter so I get about 35 stations with excellent quality.I thought about dropping this to 4 stars because of the change to the external power supply.  But... it's a great tuner for less than $20!  How can I complain?
4,The only issue I have is that if I leave it on with the TV off and turn the TV on later the sound is not in sync. It's just a matter of tuning it off and on again. This one doesn't have the playback ability.  It's fine for an old style  CRT TV I use in the Kitchen.
5,I bought this because I was told that it could pick signals form the air and turn them into pictures with sound and action.  Sure enough it did.  So if you’re like me and too cheap to buy a new TV and don’t want to pay for cable this is the thing.  I now get a bunch of stations for free and am using my savings to help fund my retirement
5,better than i expected
3,Back in the day a blurred speckled picture from poor reception was called snow.Using the coaxial cable connection to the TV will get you just that.This should work fine that way but I could only get a picture with an HDMI cable.For me its a wasted port but if you don't have a port to waste don't get this.
5,I had a Idoo brand that lasted 1 year. This is a much better quality from the get go. And It took 10 minutes to get it up and running. Pulls in more over the air channels. Now I pay ZERO $ for local channels!
5,Quick shipping time.  I had a little trouble setting up the digital converter. I called customer service it rang a few seconds and a human answered the phone and talked me through setup.  Very appreciative of Mediasonic’s assistance.
2,It worked fine for months then stopped working overnight. Spent hours in vain trying to diagnose the issue. Mp4 mp4 (av1) or avi files? It just says "Unsupported File." Online documentation lists them as supported files so I don't know what I'm missing to make it work.
4,This box is the only option for over the air channels on certain tvs ones without tuners. I had the previous model for 4 years and sometimes it sat for long periods of time... it recently stopped powering on. This is from cheap capacitors most likely... and common so I bought a few different brands but none worked at all. Gave up and got this one refurbished assuming someone already upgraded some of the cheap parts? Maybe. The funky software is something I’m used to now and the dvr function is pretty dope actually as long as the storage is formatted properly. I’d pay twice as much for a really nice tuner but this is the only good current option for me. Why isn't there a high end option for these? Someone start a kickstarter
5,Works great I hope it last
5,I got for someone in my family since they messed up their other converter box and needed a replacement. And it was the cheapest one I could find. And now I need one for myself since the one I kept getting from Wal-Mart would stop working after two months and I didn't want to have to keep getting one from Wal-Mart. So far the one from Mediasonic is working just fine so I hope I won't have to get another one.
4,Worked great until it didn’t. Bought May of 2021 and it just stopped working Jan 2022. Disappointed.
4,Bought this in Feburary to work with a TV with broken antenna input...converting antenna to HDMI output.  Device worked ok once hooked up but stopped powering on after 7 months.  Changed the power supply thinking perhaps that went bad but no luck.  Save your money and buy a better quality unit.
4,Wasn't easy for a 70 year old to put together.
5,Please DO NOT buy this.  I should have listen to the other reviews.  I was able to one my local football game last week and excited to use it again tomorrow to watch NFL play off game.  This piece of garbage won't even power on.  I have never been this pissed in my life.  And I hate writing reviews too.  Well this one needs it.Revision:I bought a new and different brand tv tuner and it too has a power issue.  Surely enough it was not the tv tuner after all...it was my wall socket that was bad :{For the one week that I own the Mediasonic TV tuner I had no issue and I was actually really happy with the unit.  Base on one week usage I want to make a revision and give it 5 stars!!!! *****
5,I must admit to being pleasantly surprised by this $19.98 item.  Note that this version does not include a record/PVR feature.  It is simply a device that lets one connect an OTA antenna to a TV which only has digital inputs.  Basically it is an OTA TV tuner which can output HDMI/RCA.  Given that I find it to be an excellent tuner.  It pulls in nearly twice the stations I was getting previously.  I have experienced zero of the problems described in the one-star reviews - I have no power issues no loss of memory no video/audio misalignment nothing.  At this point it is new so I can not speak to longevity.  From what I've seen so far my recommendation is just buy it.
4,Set up was easy good features the only thing is the remote it is a little laggy after you press power button but overall worth it
5,I paid $18.98 before tax in January 2021.  Just want to put that in the review because so many reviewers talk about what a value something is or isn't but never mention the price they pay so when prices go up and down as they tend to do on this site the comments still say "great value" even if the price goes up to a million dollars your review will still say that.  So it's important to share that info with one another.  And Amazon please do not censor.....censorship is bad mmmmkay?  But this product seems very good so far.  As I said in my headline the channels are very clear thanks also in part to my over the air antenna but certainly nice to have a remote which my last converter lacked.
4,Purchased for $21.99As with any tuner of this style it is extremely easy to install. I find the remote frustrating to use. You really have to push down the buttons while directly facing the tuner. But overall I haven’t had any issues so far.
3,This is the third one of these I have purchased. They work great but die at the two year mark like clockwork. Wish I could find a better alternative but there is not much on the market for digital tv tuners with an hdmi connection.
5,Now able to get several channels with antenna that for some reason my cable provider stopped showing. Set up is vey simple and direct.Shows up on smart tv as hdmi 2 so I can switch between cable and antenna with the push of a button.
4,It works. You really have to point well to use the remote that it comes with (no batteries included but that's okay). It would have been good if that same control could be a universal control so it could control the TV as well. I didn't find a manual inside the box so I'm not sure how to add favorite channels to the list just go to the page that has the favorites list menu (blank list until I figure it out). Called customer support but nobody picked up.
4,Distance is not as I taught it would be.
3,We still have TVs left from living overseas that do not have tuners that work in the USA.  One is in the family room the other the man cave.  Over the last several months I Mediasonic has batted .500 on quality control.  One device stopped working altogether another only received a handful of channels.  Replacing each defective one with the same model has worked.  So we've purchased 4 and returned two.  Given this track record and the relatively low cost of the Asurion plan for the device I also think adding the insurance just makes sense.
3,First remote is very hard to read and can't control your TV. EPG or electronic program guide isn't what I thought it was. It just shows upcoming shows on the channel you are watching. I was looking for one that displays a guide that shows all channels and what is currently showing kinda like plutoTV if you will as an example. But overall the unit works fine but the interface is generic.
3,This is not a cable or satellite box replacement but you may be surprised at the number of local channels that you will receive. That said you will need a good and well placed antenna (rabbit ears flat etc.) to get the most out of this converter. Unfortunately there's no on screen program guide so you are flying blind unless you know what you're looking for. You literally have to channel surf. This why I gave it only 3 Stars. Finally if you have an RF connecter on your television you may not need this item. One of my TVs only have HDMI connecters.Surprisingly picture quality is better than cable or satellite.
4,Item is as described received 4 days ahead of schedule. Will use this vendor again.
5,As advertised this product converts a digital TV antenna signal into an analog signal on the RF output to work with an old TV without a digital tuner.  Small and easy to set up.
5,Pros: EXTREMELY easy to set up; 5 mins and I was up and running. Not sure I understand why some reviews were slamming the set up. I am a 60 yr old professional woman - I set this up without help. Picks up all channels where I live in a Denver suburb. Quick scanning of channels. Have not tried record option; no need ... Yet.Cons: Only thing I have noticed is a VERY slight delay when changing channels be it keying in a specific one or surfing through chronologically. Now that I have adjusted not an issue. Just something to be aware of.
2,Should last longer than 10 months. Not recommended
5,This was exactly what I was looking for and it works great.  Easy to hook up and easy to use. No problems at all.
5,Very minimal and light. I would say it feels cheap but for what it is robust is not needed.
2,This box took a crap and won’t work anymore. One year and it’s dead
5,This converter box is a must have if your looking to continue getting free tv. The tv I bought did not have a cable hook up (saving money I guess) the ATSC converter box is the ticket. They are hard to find but worth the money if you can find one.
