rating,review
5,I have worked with wiring for a long time and can't believe I didn't know about this tape. Just purchased a used trailer and repaired the wiring to the tow vehicle. Don't get me wrong about this being a breeze because it's still tedious but this tape is so much easier and superior to regular electrical tape that I will never go back. Time will tell how well it stands up to the rigors and weather but it has to be better than what I removed!
5,I work a ton on automotive. These are incredibly worth the price. What a great price too works well. I can apply lots of wrapping tension and it works great. Not sticky garbage like typical electrical tape.Can’t recommend more!
5,Used this to wrap my harness and protect all the plastic liner around the harness. Seems very tuff. Need scissors to cut and sticks very well. Time will tell how long it will last.
5,easy to use easy to cut looks good  two thumbs up
5,Couldn't be more pleased with quality and the look after I was done. I expect it will outlast the truck.
5,Love them
5,Much better than the plastic tape and it looks factree!!
5,The only thing I can say bad about this tape is that you better be sure you're ready to wrap before applying because it's a booger to get loose.  I used it on wire for a manual switch for my radiator fan and it worked great.  I've yet to see how it holds up to the heat.
5,Great price! Great product!
5,Works good for me
5,It does the job as described. Would buy again
5,This is a great tape for re-looming car wire harness. The tape is abrasion resistant and makes the harness smaller as it’s a tight wrap
5,Does what it’s supposed to do and the description is correct. Which is saying something when buying from Amazon these days.
5,Very strong
5,Best tape I’ve bought from Amazon
5,Beats electrical tape by a mileDoesn’t get all nasty with heat and ageRemovableTakes the environment under hood
4,Easy to use good value
5,As advertised!
5,Bought this tape to rewrap 4 wire harness' in heavy equipment / construction atmosphere.This stuff worked GREAT !The adhesion is very good - the pliability is GREAT - the look is amazing (looks like factory work)Seems to be holding up to the elements as well as the dirty / greasy lifestyle of a piece of heavy equipmentQuit wasting your time reading reviews on this product - - Just click buy nowYou will not be disappointed
5,The tape is wonderful I used enough to ensure that no water penetrate to any wires and still have 3 rolls left
5,Looks just like factory stuff
5,It’s a great product to use when making a quick wiring harness doing wiring repairs and when doing a proper wiring harness when using cloth sheathing. If you are doing wiring please don’t use that sloppy and tacky looking convoluted tubing also known as “spaghetti”.
5,This is great tape for  wrapping Car wiring in the Engine Compartment
5,If you've been looking for that fabric-like tape that the manufacturers use this is it!
5,Very useful product! Great value for the money and a great alternative to the original tape that was on my vehicle. Very strong and secure hold.
