rating,review
5,I bought this on the advice of a friend so that we can do zoom calls to keep in touch since we live on different coasts. She always knows how to suss out a great bargain.Also it is sooo easy to set up.  There is nothing to it and I hate to set up anything technical.  I do it but I hate it.  This requires nothing to do for setup.  Just plug into the usb port on your computer and you are ready to roll.My friend and I are having lots of video calls!  Great for everybody to stay in touch with friends and loved one.Highly recommend and I'm going to buy some more as gifts.
5,No app needed and has USB plug in. Neat little camera. I had an online job interview and this worked great. The mic and camera both yielded good quality. The wire is long enough to reach from the top of my monitor to the USB port on the CPU at ground level.My desktop picked up the camera instantly and I had to go to my computer settings to pull up the camera and mic.I have only used it once for now but will need it daily once I begin working for distance learning. This review will be updated soon.
4,Pros:Super easy. About 10 seconds after I inserted the USB cable my video feed switched from my laptop camera to this one. I can't imagine how you could make it any easier.Value. The clip and included tripod are handy and just like you'd expect but for the price it seems like the tripod is a generous addition.Image quality is fine. I use this for work only and I have no idea if other use cases would find it lacking.Con: The red status light is way too much - like eye of death staring you down. I stuck a piece of black vinyl over it and the miniscule fraction I can still see is sufficient. But we're talking like less than 5% of the red light is all that's left.
4,Ive used this on multiple different platforms ie; messenger zoom etc. Every one i talk to complains about not being able to hear me. I try to look at the settings but I dont think you can adjust the mic on this. The picture is great. Setup is easy. My grandma could set it up .
4,I REALLY liked this camera in terms of options for use and features for the price. My only complaint is that it was used a few times a week for an hour or so and only last 5 months before I started getting distortion on the bottom of the image. I'll be purchasing again because I liked it with hopes that it was only that one device.
4,Great picture quality but the microphone is muffled and quiet. That won't cut it for meetings!! Disappointed but you get what you pay for!
4,Better than the one I had it has a very clear picture.  Only the tripod doesn't fit.
5,it's very good for student and work at home.
5,Works well but sometimes the auto focus gets confused and blurry
5,Great quality video. The Mic is not great.
3,I have had this camera since February and while it's great quality when it comes the camera itself the microphone quality is TERRIBLE. This defeats the whole purpose of why I got this specific camera. Unfortunately I can't return as it has been months but I'm so frustrated to hear from my team members that they can't hear me because it sounds muffled and distorted. If you will be using this camera for your meetings via Zoom Teams etc. be aware that you will need a backup or a headset as no one will be able to hear you clearly. Not even if you are holding the camera/microphone inches away from you face :(
4,Picture is good quality for web cam. Audio is a bit muffled
5,It is a good quality camera. If you plan on doing big in scale this has a wide angle lens so you can really get a 180° view. Fyi most apps you use have a crop option to scale it down to just you.
5,The only thing that happen to me is this was my 2nd one I didnt realize camera cover till this one and the 1st one didnt have. I wish I knew where to get or a .stl file so I could 3d print one.
5,An inexpensive good quality camera that’s easy to set up and use.
5,
4,The camera on my laptop went out.  I bought this camera as a cheap work around.  It works great and looks better than the one on the laptop when it worked.  I was in a work zoom meeting with multiple people...my camera looked the best.  Sharp image.
4,It took a little time to get it set up. My Mac didn't recognise It right away. Finally got it working. In using the little tripod it came with. The built in  screen clamp configuration doesn't work that great with my 32" LG monitor.
4,This works great for video calls. One thing I would change is how it attaches to the monitor. It is not as sturdy a connection as I would like. I added a piece of Velcro to get it to stay on the monitor
