rating,review
5,Unlike other cases you can actually see the LED charge light and press the button on the back. Definitely worth the money.
4,Product was not the same color as what was shown. Color was a lot brighter. But other than that the material is nice and I am satisfied with the order.
5,This is a nice cost effective case! Love it
5,I like that my AirPods are secure I have dropped it a few times and it keeps it from scratches. As well as getting discolored from being in my jeans. Sometimes I use the keychain part to hang from my Jean loop holes.
4,Like color and weight
5,My son loves it and the glowing in the dark really helps
4,It’s great but the clip broke about week after I got it which I was really sad about specially because the whole reason I wanted to buy new case but then I started noticing that the case started ripping and the top of the case wouldn’t stay on and kept falling off DONT BUY THIS!!!!!!!!!
5,Awesome when just wanting to add your AirPods to a keychain. Easy to remove and reattach. Minimal design.  Does not bill up the AirPods. I’d recommend
5,They fit over my AirPods case cute bright pink.
5,Durable and looks nice
4,Hooks onto my keys cute color
5,Color and design as expected !
5,Using for air pod 2nd generation
5,Love this case. You can’t beat the price. I love you can attach it to things and has been very durable! Would buy again.
4,I’ve had my case for almost a year and it’s been great! Has protected my AirPods and the case itself still looks good! The only issue is that my case has grown over time? It was very tight and hard to put on when I first bought it. Now my AirPods can slide out very easily if I’m not careful.
5,Overall this is a nice silicone case for AirPods. It fits snug and protects the original case. I find the price to be fair based on the quality of the item. The carabiner included is not heavy duty but does the job. I’ll definitely purchase another once this one wears down or gets too dirty - it’s worth the price.
5,I got these as an alternative to more expensive ones so far I can’t complain! They easily fit my basic AirPod case and make them easier to keep track of. Has a hole at the bottom for easy charging. The carabiner has potential to fall off but hasn’t been an issue for me yet.Also as a side note the hot pink one glows in the dark if it’s been exposed to light.
4,Honestly felt paying too much for the quality of the case. It's a very simple rubber case. The rubber is very thin and probably rips easily. I think the price is too much for the simple case.
5,Glued in the dark. Easy to find in my bag.
5,It looks like it did in the picture!
5,Works as listed. Love the color
4,The silicone works perfectly as a case for your AirPods and makes it easier to grip/spot but I’m deducting a star because the carabiner it came with broke immediately so I had to go and buy my own from a different brand.
5,This is the perfect AirPods case! The top cover piece is attached to the body which means there’s no chances of losing one piece (an issue I had with my last case). The silicon is a good thickness that will definitely protect AirPods from falls dings and scratches. I also love the purple it’s so cute.
5,The silicon fits snuggly and does not move. Great product!
4,It seems to be working great so far.  I’d buy another one if needed.  Not a bad product
5,Fit perfectly and does glow
4,The media could not be loaded.                                                                                 This case is super cute and I love that it comes with a keychain although it’s super cute there is a little spacing between the top and bottom but other than that it’s great!!
4,Beautiful color my favorite of them all is the Pastel Green.  It fits wonderfully over my 2nd gen pods and remains secure.  I haven't had any issues.  When you are out an about the added carabiner is a nice addition to attach your pods to a bag/purse etc.
4,The case has a small part where it doesn't wrap all the way around other than that it's a good case I recommend it
4,Hard to find reliable silicon air pod cases but its lasted me quite a while and isn't going anywhere
5,Muy utiles y protegen los airpods
5,Great product pretty color!
5,What a great product for my case  fit and finish are perfect.  You won’t regret get them.
5,Perfect case
