rating,review
5,nice 3-way plug
4,I needed a solution that would allow me to plug things in where the prongs were aligned differently from the wall plug. This device does that! Fits tight allows my appliances to plug in securely and I don't have to fight with plugging something in with a plug that is angled oddly.
5,Works great
5,Great value. Many uses.
5,More room for larger plugs without blocking next socket.
5,Not the best 3 way I've had but they worked fine.
5,No risk here- they are totally functional
3,Gets the job done generally. Wish it gripped the plugs a bit tighter.
4,The product works well and solves the need for plugging in multiple plugs when there is only one outlet. The only minor quibble is the shade of white. It is a bit on the duller side. I think something close to “pure” white would have made it perfect. However for the cost you cannot get better value.
4,The devices seem to be good quality.I have found there are a few different orientations of outlets on similar adapters.I recommend you take care to consider the orientations.  See photos.You should select based on things like whether you will be plugging in big AC adapter blocks and the prong orientations of them just extension cords or something else.  I bought some of two different designs.Sometimes I find it convenient to extend the first adapter with another one or two to make additional outlets.Note what happens in the photos when I do that.  The outlets are are not designed to maintain the same orientation to each other when you plug another one into the outlet on its face.UPDATE: Size matters!In trying to use these I have realized they are significantly larger than the traditional triple-tap adapters I have used for years (Leviton still makes those).  I guess they were interested in more modern styling for these but the end result is I cannot use them on outlets that have 2 USB ports between them because these block the adjacent USB port enough that I cannot use it.  Of course no problem if I don't want to use the port.
5,Vary useful!
3,The outlets are rotated so the were useless for me.  I needed the plugs to be oriented similarly to the wall not sideways.
5,I specifically got these because my daughter's mattress would continually slide up against the one outlet and hit the plugs. Aside from that being a potential fire hazard she was ruining the plugs of the things we had plugged into the outlet. I got this so we could plug it in from the side and so it is parallel to the mattress. Then I plug the other outlet openings with child safety plugs. It works exactly how I was hoping.The quality is not the absolute best but for the price you can't beat the value.
5,Sturdy and good for the small spaces in my old house that doesn't have many outlets.
5,Good for use of Alexa and appliances in my house.
5,Does exactly what it should.
3,Overall larger than I expected. Feels hollow and cheap not solid -- like it will break if you drop it. Doesn't give the impression of being sturdy at all. The prongs aren't centered vertically so the top may stick up and block the next outlet. I have a CM 3-outlet pivoting tap and that is solid plastic well made; not like this. Probably the worst Cable Mattes product I've bought. You get three of them though.
2,Very cheapplug-in feels like going to break internally. Great ideabetter if made right
3,The second bullet of the description states that 2 adapters can be used in an outlet.  Not true…. Adapters are too large for a standard US 117v outlet.
3,It's fine except that the outlets are turned 90 degrees from the plug. I can't use it with an air freshener because it would be sideways. I'll have to find a different adapter.Otherwise it's compact and inconspicuous.
3,These things are HUGE. Too huge. I wanted to have a bookcase in front of this but it forces the case to be too far away from the wall.
3,El producto funciona correctamente pero uno de los tres estaba dañado y es inutilizable
5,Great product for the price.
5,Works great!
5,Need all 3 to be able to use all the receptacles on a UPS (uninterruptible power supply). China designs a/c adapters to fit the wrong way so we have to but more products.
4,Good value arrived as described. Shipping took longer than the usual 2 day prime shipping time
5,Behind furniture
2,They are a nice piece.  The only thing I didn't like is that only one will fit in a standard outlet due to the size of the body.
5,Using these to run a few LED light strips from a single Z-wave power outlet and they work as expected.
5,So far so good.  Wish it had a usb port but the price is right so cant really fault.
5,Great for our bathrooms to add additional outlets for low draw rechargables - his/hers Braun toothbrushes and my shaver. Solid built
1,I bought these because I was going to use 2 in one outlet behind my couch but found that only 1 fits and then the other socket is partially covered. This is a major design flaw and I returned them.
5,Great item to have multiple plugs in an outlet.
5,Nice and versatile
5,It seems almost every plug in our house is host to one of these little magic cubes. They are tough and relatively unobtrusive (much less than extension cords). Bravo!
2,On one cube one side did not work. I checked inside and it was missing metal connectors that receive the prongs.
5,me gustaron
