rating,review
5,Got this for my son and he loves it. The price was great and the item came in great condition and was better than I could imagine!!
5,I found myself needing a new laptop and wasn't sure what to buy. I was a little hesitant about getting one smaller than what I had. This laptop fits the bill exactly and I much enjoy the smaller profile and screen size is not an issue.
4,Es un computador muy completo y cuenta con muchas configuraciones que me han facilitado el trabajo
3,I bought this HP Stream because my 2012 Mac is dead and I really don't use a computer anymore. My iPhone 12 Pro works just fine for everyday use and I just can't afford to buy a new Mac right now. So I just needed an inexpensive little computer to connect to the internet to do personal business and take online classes. I do not intend to store anything on this computer but rather continue to use my iCloud for storage and Google Apps if necessary.You can download the necessary cloud apps such as iCloud Google Drive and shortcuts to Google Docs Sheets or whatever you like. Once I got the computer set up I went in and uninstalled Microsoft Office. I don't care that it's free for a year. Google Suite works just fine.I've used this computer quite a bit and this is what I think about it...Contrary to the negative reviews this computer doesn't suck. You just can't have high expectations of a $350 laptop. You will be setting yourself up for a bitter disappointment. With that said....The mouse and keyboard are horrible and uncomfortable to use for my taste. Granted I don't intend to use it away from home very often but I did a couple of times and it really doesn't function like I'm used to. Also I can't really say for certain that the wi-fi connections were all that great. It could've been the networks I was connected to. For some reason it wouldn't let me connect to my iPhone hotspot. I don't know if there is a setting that I have to adjust but it shouldn't have been that difficult to connect.However it works FANTASTIC when I switch out my work laptop and connect it to my desk set up where it's hardwired to the internet and connected to a USB keyboard and mouse.  I am able to do personal business that requires me to use a computer rather than my iPhone. This computer IS NOT built to have sophisticated software installed such as Office FilemakerPro Quickbooks Photoshop etc. It is also not meant to store large files or photos. It is PERFECT to use cloud based software and storage.I recommend this laptop as an internet terminal and NOTHING MORE! I cannot express this enough....do not expect it to perform in any other way. It's a perfect light use laptop to connect to social media (if that's your thing) or even school  or access websites that you really can't on your smartphone. It's an affordable option as a transitional workstation.Some people complained about not being able to update Windows due to lack of disk space. I suggest that you make sure you purge temporary files internet cache and downloads often. Also uninstall applications that you do not use or are unnecessary. This will free up a bunch of disk space. If you are using Office360 this will take up a ridiculous amount of disk space. I know it's free for the first year...but is that really worth your low disk space frustration? While you could get a Chromebook I'm not keen to them. In a Windows OS you can set up Google Suite. It's cloud based free and doesn't have a trial period. You won't have to pay a subscription to keep and all your documents photos etc. They will be gone if you don't move them out of OneDrive and to another cloud storage at the end of the trial period. Why bother? Just set up Google account which comes with free storage use their version of Word Excel Powerpoint etc and you don't have to install it on your computer. WINNER WINNER CHICKEN DINNER!
5,Arrived like new and prior to expected date. Love this laptop.
4,I purchased this laptop with the sole purpose of installing Linux. I didn't want to mess with my better computers Secure Boot to try to dual boot it. I  had read on one website that this particular model and this processor worked well with Linux.I'm happy to report that Manjaro XFCE Linux installed and booted flawlessly. The only thing I had to do was change the display resolution - very easy to do with the graphical tools included. The only problem was a setting the proper time. I had to do that through the terminal but was extremely simple and has maintained the proper time ever since.The display quality doesn't match my more expensive laptop but is more than  acceptable for normal use including watching videos. The computer is fairly responsive for normal use including watching videos.  All in all  I am happy with this computer for running a Linux distribution.
5,This is an excellent laptop for what I do; writing and researching.  It is fast and easy to negotiate.  It arrived on time with no issues.  If you're into gaming probably not the machine for you  but for basic needs it will work very well.
5,Screen stopped working on its own
5,OK this is my second Stream.  The original was a 32GB that is still operating and is obviously limited by the couple GB remaining after the operating system space.  However was useful for web browsing.  This one is 64GB and that leaves about 30GB space for programs plus one year of MS Office free.  I got rid of the Windows 10 S mode and the speed for web browsing and program operation is fine.  And I'm used to an Intel 11th generation i5 on a desktop and have no complaints. That is an absolutely amazing unit for $200.  Of course in both cases I've added extra room using a USB 128GB flash drive so really it's a fantastic deal.  The only con that I've found so far is that the sound is rather puny but connecting a cheap bluetooth speaker solves that issue.  Update:  I hooked this up to an external monitor and it gave me an option to go from the native internal screen resolution of 1366x768 to 1920 x 1080 and it shows up great on the external monitor.  I'm shocked.  I cannot believe this computer was $200.  Well we'll see how long it lasts.
2,I'm writing this for a typical user using plain language so they know what they are getting into.I've been in the IT profession for 27 years. For most of that time I fixed other people's machines for a living; dealing with the demands of an engineering workforce. I also use PhotoShop a lot on my home workstation which is a monster configured for performance so yes I know what I'm talking about.I bought this laptop knowing it was a toy. The only thing I'm going to used if for is surfing the web and checking email using a browser. I don't need it to do anything crazy but I want to have more control over what little data I plan to store on it than a Chromebook. For the record this was to replace a 6 year old HP Pavilion x2 Detachable. So a 5 star rating means it does everything I want it to do at least as well as the machine it replaced and not my graphics monster. I'm approaching this review as if I was a typical customer.My preferred browser is Opera so I had to get this machine out of S Mode to install it. It's the only change I made to the initial setup from HP. S Mode is not it's fault that's a Windows thing. We don't deal with S Mode in the corporate world so it took a little research to discover that removing it is an app off the MS Store.My first impression was it's pretty terrible. Opera frequently had lag while typing and that isn't good at all. Edge the default browser wasn't much better. Very slow to load pages and a lot of buffering on youtube. I almost returned it until I mucked around a bit and experimented. I found that Avast Secure Browser gave me the performance I expected from a low end machine. But it took work that is beyond an average user's knowledge and skills to make it adequate and that's a serious problem.Honestly if it came optimized the way I made it I'd give it a 4 maybe 5. BUT it took work beyond the skills of a normal user... that would make it a 3 if you only wanted to do web browsing and email. BUT (again) it's offering Office 365 free for a year and based on what I saw there is absolutely no way this machine can handle Office.... so that's why it gets a 2.If you're looking for a light weight low power machine for web surfing and email that has better data management than a Chromebook then this is an adequate machine. Do not expect it to be good enough for a child's school computer... please.
5,Daughter use for online school so flawless no issues
4,It's a good product and light weight. I've been using for 2 months and haven't seen any problems yet.
5,My granddaughter love it  light and easy to carry around the house during her visit
3,My daughter has not used the Laptop much yet because it is for college. So far my only issue is that we ordered Royal blue and got black and it seems to be smaller then the 14inch we ordered as well. Since she needed the device before we took her to school we just let it go this time. Once classes begin and she starts using it we will do an updated review.
4,These things are great particularly in the day of escalating pc/laptop prices.  Obviously not a lot of memory and it's not going to be a primary business laptop but I bought 2 for staff members who have very basic computer needs.  They are mostly on Google Drive and webmail use Excel occasionally and they have been great.  My IT person said something to the effect of "these are surprisingly peppy."  Just bought a 3rd for another person who is helping.  Can't beat them for the price.
4,El anuncio decía 64MB y me enviaron de 32 MB
5,Upon opening and charging the laptop a virtual assistant introduces itself and offers to help set the basic features up. Signing into my Microsoft Onedrive allowed and immediate download of my MS Office subscription. It sets up a security password up front. Connects to your wifi without u having to search. I was up and running in 15-20 mins. Sleek thin and light. So far so good.
5,Idk about some of these reviews but this have been great since I got it this morning it’s fast battery life is great I will check back an a few weeks an give another update I had to buy another computer because my first one didn’t have everything I needed for school but this is amazing I love this laptop
