rating,review
5,After a very thorough amount of research and due diligence I purchased this backpack for international air travel with hope it would replace a bulky carry-on suitcase.  My expectations were exceeded and this bag is the best backpack available.  I've used it daily for six weeks and if for whatever reason it were to spontaneously combust on my back I would still reorder it.This bag is expertly designed.  Tremendously useful pockets pocket placement and pocket access.  Due to the number of pockets and the way the backpack opens the amount of stuff this bag holds is incredible.  I was able to fit a laptop iPad two phones over-ear headphones charging cables a bag of my toiletries keys 18oz water bottle wallet passport notebook novel a pair of flats and a change of clothes into this bag.  And even packed this substantially it was still wearable.  While it's most comfortable when it's not packed to 20 lbs the padded straps still offer support at this heavier weight.  The bag fits easily under most airplane seats and the luggage strap also works very effectively if you are carrying additional luggage.I was so impressed with this backpack for travel it just became my day bag.  I take it to work; I use it for errands and groceries and I even sleep with it (that last part isn't true).  Look no further for the best backpack.  Just order!
5,I'm a college professor and I bike to work.  I've been searching for the perfect backpack for years.  This is what I've been looking for.Why I love it:1.  Professional looking (I got the dark grey with black)2.  Comfortable (straps and back have decent padding)3.  Perfect number of organizers and pockets for me:--  front pockets for my phone keycard Airtag masks-- main pocket has pouch for file folders (grading) and my iPad Air as well as space for my lunch a sweater my webcam and anything else I need for the day--two side pouches one for my water bottle and one for my Overnight Oats bottle4.  The "doctor bag" frame keeps it open while you are packing and unpacking it.  I've never seen this before on a backpack and it's genius.I love this bag.  I have bought and returned several others with much higher price tags before finding this one.  I almost kept the Peak Design (I do love Peak Design) but the lack of water bottle holders killed it for me.I hope this helps you in your decision!
5,Stylish and functional. I'm a middle school teacher and I've used a lot of different totes and bags throughout the years. This one is the best by far! It has excellent pockets a luggage strap high quality zippers and roomy water bottle pockets with elastic to keep it in place.I would take this on a trip as a carry on but mainly I use it to carry my laptop and 3 notebooks to and from work every day. I carry all my essentials like wallet jets sunglasses chapstick lotion pens & pencils highlighters sticky notes you name it!My one complaint is the tablet sleeve will only fit my iPad if I take the case off. Not a huge deal but worth mentioning. It's a SMALL tablet pocket.I ordered the green and black. I was worried about the satin sheen look but it's actually very nice and durable. I love the color and style and it has a nice striped lining too. I'm looking forward to having this bag for a long time!
5,There's a reason this bag has such good reviews. I needed a new laptop bag for a work conference. I remembered reading a few years ago that Hap Tim was a good bag for a lot of different uses. When it arrived I was pleasantly surprised at the size. I kept worrying that I was going to run out of room but it fit all of my printouts/documents and my personal and work laptops.My single complaint is that the water bottle pocket on the side could be deeper or more secure. My water bottle kept falling out every once in a while when moving between sessions/meetings. Other than that it's a gorgeous back with plenty of space and is comfortable to wear.
5,I bought this to use as my personal item bag on a trip to Italy. It has a lot of storage space and the pockets were perfect for easy access when I needed to get to something quickly. It’s also helpful that the inside lining is light colored so I could easily find things. The zippers are nice and smooth and I love that it has a luggage trolley strap in addition to backpack straps.
5,I use this as my teacher backpack and I am able to fit everything I need in here and more!  It is incredibly sturdy and opens up nicely to view everything that is inside with ease instead of having to dig around to find things.  I love the color options and have recommended it to several teacher friends and co-workers who have been looking for something just like this!
5,This is a perfect bag for school I use it to hold my laptop cables notebooks. The pockets are perfect for easy access and storage. I love the wide open zipper top so easy to see all the way to the bottom. This has been the best school purchase. Highly recommend!
5,I have been using this backpack for work for a few months now and love it. I mostly love how the compartments inside for the laptop and tablets are so padded. I use my laptop a lot for work and love that it feels secure in the pocket. I also have a iPad coming soon and so I am happy that the pocket in front of the computer pocket will work well for it.I also love that the straps are padded and this makes a huge difference for me because as a former student who carried lots of files books and papers in addition to my laptop I know how much weight can press on your shoulders. I carry a lot of files and my laptop for work so I appreciate the good padding on the straps. I also love that it is waterproof. I will be using this backpack for travel in the future cause I can tell it will be sturdy and roomy enough for all my things especially for shorter domestic trips.
5,The reviews were spot on and the videos helped so much.  This is exactly what I was hoping to find and such a great price!  I carry a water bottle in the side pocket-it does not fall out.  So roomy inside it’s hard to believe what can fit in there!
5,After searching for tons of laptop bags for women I finally pulled the trigger and order this. No regrets at all! It protects my laptop nicely and fits a lot of stuff without looking bulky. It looks expensive too.
5,Very durable I have the gray and my husband has the black one.  They have lots of pockets  a place to carry a laptop on the inside with a velcro closure pockets on outside to carry water bottles.  Love how versatile they are.  Great for travel
5,I absolutely love this backpack! It fits a ton of books and folders and has plenty of pockets. The wire frame opening makes everything inside so much more accessible. I have been using it daily for a few months and it still looks great and is holding up well.
5,I love this bag I use it for work I can take it in the thing and throw it in there I like the pockets and the different compartments this is a very good work backpack especially when you work in the medical field.
5,Excelente la capacidad que tiene para llevar todo lo que se necesita en un viaje corto. Es cómodo de llevar y resistente. Me funciono en estas vacaciones por lo que superó mis expectativas.
5,Really nice looking back pack. Couldn’t believe how much it holds. Used it as my personal item on plane. Held my purse tablet phone toiletries two pair leggings & two tops & hoodie. Fix great under my seat on Delta
5,This is a great backpack. It looks good and professional. I don't feel like I look like a child carrying my stuff into work. I bought the green one and I really like that it is just a little different than the traditional black or blue that usually signals professional attire but I'm going to probably buy the blue or black one as well for more formal meetings.As far as functionality goes it is great. The top opening bag is wonderful and you can pack so much stuff it is really amazing. It is also so nice to have side pockets in the main compartment which a lot of backpacks don't offer and you suffer without a way to organize.I know what people are saying about the pack falling over from the weight in front pockets but I really like the many pockets on the front again to help with organize. I also like the look of this backpacks front pockets. Some similar backpacks have boxy looking fronts or are wasting space by only having a lower pocket. I just lay the backpack in a kind of reclining position when I sit it down and it balances pretty well.I really feel like when I'm wearing it the load is balanced well and it is snug but very comfortable on my back. I have disc problems in my neck and my shoulder can act up. It has been "triggered" by some other backpacks that I have tried usually because they are slouchy and the load hangs and pulls. This pack has good structure that prevents that and I find it very comfortable. I'm a 55 year old 5'3" female.If I could say one sort of a hoped improvement it would only be that I would be very willing to pay 50 60 or even 80 bucks for the same design that had a bit better quality. Not that the quality is really lacking especially for the price - honestly this is a steal but I have had one snap break and would pay more for a pack that has better quality. However I can't say that I am not pleased in any way. This is a great backpack. I'm going to show my daughter when she comes home from college and encourage her to get one.Thanks for making a great product!
5,I recently traveled to California and needed a personal bag. TSA approved personal bag. i've received many compliments on the bag. Very spacious i was able to fit quite enough stuff that didn't fit in my carry on. You can only tell its green depending on the lighting but i had no problem with the color of the bag It neutral and good enough for me.
