rating,review
5,The build quality is excellent.  It has a magnet on the bottom which lets it attach to my computer and give a more stable platform for the reader.  I am very happy with the purchase!
5,I need this to read new CF Express cards that I purchased instead of XQD cards.
4,I bought a second unit after trying out the first one which worked great. The second unit failed after one month. I contacted customer support and they agreed to replace it. I'm sending it back this week for a replacement. The first one I bought is still working. I'm a pro and use both SD and CFexpress cards daily. This is very important part of my download/workflow.
5,Reliable very fast and can do both SD and CFexpress.I like that the cards snuggly slide in and out without a spring or other type of mechanism.A little more than I like to pay but worth the build-quality and performance imo.
5,PROS:-The reader has a magnetic base which I love. This means that the reader isn't just dangling from the end of a cable and can be loaded/unloaded with one hand while firmly mounted on a PC case.-Reads SD cards.-Has a heavy build and manages heat well. The unit itself does not overheat but the Sandisk 256GB Extreme Pro CFexpress card gets almost too hot to touch at 400MB/s. I think this is a mostly a limitation of the card's heat management not the reader's. I can't imagine how hot the card would get if writing files at the card's advertised write speed of 1200 MB/s. Again I presume this is a limitation of the card and not the reader firmware design.-The reader mounts the XQD card (status light comes on) but so far does not recognize it in Windows 10. I am hoping that this functionality will be added to the reader with a firmware update by Prograde. There is really no reason that it shouldn't since the Nikon D850 camera can now read both cards.CONS:-I cannot get the reader to recognize the NIKON XQD 120GB card which is the same form factor as the CFexpress card. Hopefully this functionality will be added by Prograde with a firmware update.-Copying 130GB of random photographs from an M.2 drive folder to the reader on a USB C SS10 3.1 (red) port took about 5 minutes. The highest transfer speed was about 400 MB/s.-The CFexpress card gets almost too hot to touch at 400 MB/s write speed. I mostly blame this on the card since the reader stays cool.-The CFexpress card stays almost too hot to touch even when sitting idle in the reader. That is pretty typical behavior of many USB thumbdrives when plugged directly into a workstation port but I'd think that the reader firmware should be able to put the card on idle to avoid this. I count it as a CON unless proven otherwise. Leaving the card in the reader for an extended period of time will damage the card.-I can't really imagine this unit transferring files anywhere near the advertised card write speed of 1.25 GB/s. That is about 3x the speed that I reached but it may be possible for short periods or for a single large file. Also I imaging the heat production in the card would be much higher which is just not healthy for the card.
4,A bit overpriced for what it really does.  Its a card reader.  It does have a nice look comes with a piece of metal that you adhere to you laptop for a magnetic attachment.  Comes with 2 types of cables.  Reads the CF type B.
5,I had to test a few cables and connectors of my desktop before I found the combination that yielded excellent performance.  A transfer of 8GB or so takes a few seconds.  Very fast.  The card does get pretty warm but that seems to be common and these CFExpress cards even get warm in my camera.
5,Efficiently operated with SD and compact flash cards.
5,It's small. It's unobtrusive. I get a solid 1GB/second transfer off my CF Express B card. It supports my old SD cards as well.But my favorite bit? That magnet.No more having my card readers sliding around on top of my desk running away when I try to insert a card. Now this lives on the corner of my monitor stand mere inches from the mousepad. It doesn't move a millimeter when I add or remove cards. It's easy to see when there's activity.Best of all my reader is no longer buried under a pile of cables and other junk making it that much less likely that I'll leave a card in the reader before heading out for a shoot.If you're the kind of person who's dealing with cards multiple times a week do yourself a favor and grab this. You won't be sorry.
5,Since there is both a CF Express and SD slot I now can take just this reader with me for 4 different camera bodies. Speed is fairly fast but not the fastest read speed. The faster reader is 6 times more costly and you might not need the speed if time is not that important. 4 minutes versus 1 minute.
5,Yes it's fast. Yes it handles Cfexpress B and SD cards just fine. No it's not cheap. Unfortunately my Sony XQD reader had no firmware update so I had to get this one for my D500 (firmware updated).
4,Fast reader 200mbs on sd. 400 mbs on cfexpress on older original 3.0 usb A interface. Strong magnet is nice for sticking to side of pc case. I think magnet may act as heatsink as unit never got warm. CF card does get hot even when not being accessed. I notice activity light on reader comes on every few seconds when not in use and cf card inserted.. I suspect this random activity causes card to get hot. Sd card does not get hot CF does. I notice this to be a complaint for all CF express reader reviews. so probably normal. I pull CF card when done reading to stop heat issues. Both cards used were SanDisk extreme pro fastest versions available on sd and cfexpress
