rating,review
5,Brought it in May 2022 the buckle broke on the first pair after 3 months use. I replaced it with the 2nd pair and the paint one the buckle started to fade away in early September  see picture.  May be I have better luck on the last pair.
4,Just tried them on for the first time they’re good for the price. As others mentioned and shown in photos above they don’t fit perfectly on the watch itself and the rubber seems a bit stiff so when you put it on there’s a bit of a gap. Not as smooth and streamlined as the fitbit brand bands but those are ridiculously expensive anyway. The colors are nice though. Full disclosure I intend to buy a different brand of tracker watch when my Fitbit inevitably dies so I was willing to buy these cheap just to last me until then. If you love your Fitbit I would just buy bands from their website.
4,Probably wouldn't expect to see a 4 star review with the picture of a broken worn out band but that's 10 months worth of wear and tear. The OEM band that came with the Fitbit only lasted 5 months.Since I still have two bands left it's a pretty good value for the price. Loses one star for a little discomfort where my wrist meets my hand which is a recent development and not sure if it's due to the paint peeling off the metal on the latch. Also not a fan of everything being so cheap and disposable these days but that's kind of on me for not looking around for a sturdier more expensive band.
4,great price and great fit. the silicone band is fine but theres a little paint coming off the buckle after a month of wear.
5,Very happy with the value of these and perfect fit for my Fitbit Charge 4 . Like that I can change to a different color to match my attire.
5,Best thing about these bands is that they dry fast great for swimming. Would recommend for active people. If it gets dirty it washes very easily leaves no smell.Eventually the will break over time so buy plenty as spare.  I go through about 1 band a year.
4,Color didn’t match the Fitbit but it is OK.
4,They fit my Fitbit and are pretty comfortable. I’ve had them for less than a year and rotated a couple of them but I have seen some fading around the edges and the paint on the adjustment loop is pretty much all gone.
5,Arrived in no time. Easy to replace. Allowed me the opportunity to continue using my Fitbit without having to purchase a new device.
5,Nice bands.  I only wish they offered  thee packs of the same color.
5,The bands are comfortable and fit well.  I like the colors because they go with anything.
4,Funny they're replacement bands for the fitbit.  Wish they wouldn't break down as fast as they do but they do work.  I need to check the site and see what other materials they offer as bands. Something more flexible may last longer but then again no idea.The silicone bands do work for me about a year then the metal clasp part breaks through the silicone.
4,They look legit like they're from fitbit. The issue is one side keeps popping off and I've almost lost my fitbit a couple of times.
4,Did receive 3 Silicone Bands for Fitbit 3 Charge. The bands did come in size I ordered and fit my wrist well. Last week I woke up one morning and Fitbit was falling off my wrist. Apparently there are small pieces of plastic inside either side of the hole of the band were the Fitbit and Band connect. If you lose just one piece of plastic on either side the hole becomes too big and has nothing to help it lock the Fitbit into the band.It appears there is a flaws in the design of the bands no matter if they come with your Fitbit Charge 3 or 4 or if you order replacements later. The flaws are where the Silicon band connects to another material like the metal/plastic buckle and the tiny plastic parts that help the band connect with the Fitbit. The Silicon needs to be thicker around the buckle so it doesn't break so easily with wear. The plastic pieces need to be screwed into the band or a better adhesive needs to be used to keep them in place.In summary I did get the 3 Silicon Bands as described and I did get the size and colors I ordered. Durability of the bands could greatly increase with just two design changes. This may have been a reason why Fitbit did change design and style of bands in later Fitbit Versions.
5,Does exactly what it needs to do and at a great price.
5,Needed a quick replacement when my band broke. These were a perfect replacement
4,My dislike is that it easily comes unattached from the device sometimes unexpectedly and falls off the wrist.
4,My Fitbit
5,I am extremely happy with this purchase.  The original band broke on my Fitbit and I needed to replace it.  These bands are much stronger than the band that originally came with my Fitbit and I can change up the bands for a different look.  Great purchase! Thank you!
5,I gave these to my mom for her birthday and she really loves the colors. The product looks just like in the pictures.
5,Previous band broke. Three pack is great till I get an Apple Watch. The colors are good and fit comfortably.
5,The materials used in the fitbit bands will likely break within 2 years and need replacing; I wear mine 24/7 to monitor my sleep and only take it off when charging or showering.  One thing to take note of is the different sizes; for a man's wrist you'll likely want the larger size even though the smaller one should work but be a tighter fit.  A good price point and with 3 pairs this purchase should last a long time.
5,Nice colors they fit well. Easy to replace bands.
5,I bought these after breaking the factory band.  These are comfortable and durable and I cannot tell the difference between these and the OEM ones.  Be sure to only get the large version if you have really big wrists as the small ones work better even for most men. The original OEM band is a small.
5,Used for a fitbit watch
4,Great but  a little larger than I thought
5,This 3 pack of bands was just what I needed and the colors were perfect.
5,It fit the watch and works fine
5,I absolutely LOVE the silicone leopard print watchband. It is adorable!Very fast shipping too!!
5,Replacement wristband arrived when expected and was easy to install on the FitBit without tools or knowledge.
5,Nothing
5,My original band broke.  Bought these and they are a perfect fit.  Easily interchangeable.
5,It was easy to replace.
4,The only thing to have made this a 5 star review would have been to have the bands offered in size MEDIUM.  I'll just cut them off.
5,My previous band kept catching on my clothes so this was so much better for me. I do know however that this band will stretch but that’s why you get 3 in the packet so it should last a long time before having to get a new one.
5,My original Fitbit band had cracked through. I ordered this 3-Set of bands. They arrived on time and in good order. They snapped snapped easily right into place on my Fitbit and work very well.
5,Came quickly and easy to instale
5,Wish these bands wouldn’t just disconnect after awhile
4,A little thinner than the original band. But for the money it's worth it.
5,Good value for the price
5,I old bands were easy to remove and the new bands were easy to put on. If you have a question about size - measure. I could have used the small size. The large works but the small would have been better.
4,Good quality fits as advertised!
4,My original Fitbit band started cracking and broke through completely within 6 months of purchasing my fitbit.  Replaced with this 3 pack for lower cost than one Fitbit band and have been more satisfied with this than the original band.  Most annoying is the gap where the band attaches to the clock face.  When my arm brushes against anything roughly it causes the band to come off so I have to reattach it frequently.  This became an issue only after several months of wearing it though.  Am still on my first of the three bands and the plastic is holding up well with no cracking so I can deal with the inconvenience of reattaching the band a few times a week when it gets pulled out.  Otherwise looks just like the name brand.  The paint has become worn off the clasp but that is the only other cosmetic complaint.
