rating,review
5,It fits perfectly on my Samsung galaxy tablet s6 lite. The instructions were easy to follow and installation was easy. It is durable and the s pen still works perfectly with no problems at all I was afraid it would not work because of its feel and thickness. I highly recommend this product.
5,These came in a package of (3) individually wrapped screen protectors and easy application instructions in the form of a video I believe is linked in the instructions. Installation was quick and easy - I watched the brief video and watched again as I installed pausing along the way. I *do* unfortunately have 2-3 small bubbles I didn't catch after the initial application but they were operator error and not a flaw with the screen protector.I would highly recommend these to anyone looking to add a bit of protection to your screens!
4,I left a negative review on a screen protector kit that looked for all the world like it came off the same assembly line except missing the stickers but the apparent twin didn't adhere to my tablet. I honestly don't know if the differences are just manufacturing variations or if there is a difference in QC for the Sparin but this protector went on clean and adhered as I expected. Touch sensitivity is the same as before I applied a protector.I do like the install kit. First there were three of them one for each protector. Second the cleaning wipe was large and moist enough to really get the screen clean. Finally the dust stickers were nice and big. I didn't bother with the alignment stickers since the S6 Lite is pretty small. I had to gently push out a couple of air bubbles along the edges but once done it's staying done. I'm very happy.
4,To tell you the truth I haven’t even open the package yet. But the seller sent it immediately and I got it within 48 hours. I have used Sparin glass protectors on my tablets and phones and really like them but I don’t think any screen protector is absolutely perfect.  This is pretty close to it though. Very easy to install too.
5,At first I had bubbles. So I followed the suggested YouTube videos on how to install and what to do if you have bubbles. Looks great now. 👍
5,really great screen protector really easy to install got no bubbles on my first try and everything. i would recommend installing it in a steamy bathroom like i did to reduce the chances of dust floating around and getting under the protector. the only issue i had with it was when i was trying to align it at the beginning it would slide around making it slightly annoying to get it into the position you want it in but i have had that issue with all the screen protectors i have used.
4,I liked the packing very thorough!I started applying the screen protector but a small part on the edge has bad adhesive or may be not very flat part in the plastic. I'm very thorough in applying those screen protectors I'm an OCD person! It usualy takes me around 15-30 minutes of cleaning the surfaces with the very special high end fluids so I know what I'm doing!After applying the screen protector it had a lot of smudge on it's surface! Which took me a while to clean it with the specially made cleaner.In the end we only have this little edge part (around an inch by few millimeters) that doesn't stick well.
5,It works it has a smooth touch with no rainbow effect when looking for an angle. Also a cover doesn't doesn't separate it from the screen.
5,Instalarlo requiere de cuidado y seguir las instrucciones la calidad es muy buena y la sensación al escribir es idéntica.Recomendado
4,Everything was good the only problem I had was with one corner but I put a soft clamp on it for awhile  and all is good
5,I bought this to replace another screen protector that I was dissatisfied with. That other one was the flexible film type. It's working fine on my wife's tablet but I had a bit of pet dander that had managed to slip under it just as I pressed it down on mine. This was unfortunately very close to the edge so that film kept peeling back for several months and letting air bubbles under it. It just wouldn't stay stuck.I opted to get this screen protector to replace that one because it's ridged. Installation was not bad. The installation directions are very clear and the guide stickers for installing it work well while still being easy to remove after installation is done. The only issue I had was that the protective film that covers the sticky side slides really really easily  on the screen. This made it a bit tricky to keep the screen protector in exactly the right place while sticking the guide stickers in place on the protector. This is why I only gave installation 4 out of 5. Other than that installation was easy.Once I installed the screen protector I was able to work all air bubbles out easily. After that was done I was able to immediately put my tablet back into the protective book-style case I keep and use it in without the screen protector trying to lift back off.The touch is fantastic. It has just enough friction not not feel like my finger is sliding all over when trying to select text (a problem with a different brand I have on my phone) yet my finger moves easily when I want it to. The image through the screen is crystal clear and crisp. The S-pen works well with this screen protector too.TL;DR: I'm extremely satisfied with this screen protector and I highly recommend it even with your tablet in a book-style case.
5,Product was correct item relatively easy-to-use and great value.
5,Very easy to apply first time user friendly ( it's my first time applying a screen protector)looks great 👍. I recommend 👍 👌
5,It's a good fit came with everything you'd need for a hassle free installation. Adhesive works as intended and no problems. Installation was easy.
5,The screen protector was easy to install. Appears durable.
5,Love the ease of installing and the protection it provides
5,This product was very easy to install after installation the looks was great could see the screen easily and does not interfere with touch operations (turned off the extra sensitivity option for the display!) AND you get not one not two BUT THREE screen protectors in this package for the price of one of other screen protectors GOTTA LOVE THAT!  This is an update on my rating of the product and NOT the product itself!  When I rated the first time I did not realize I gave it only a three-star rating.  The company was concern judging by the email I received from then on why I rated it as I did.  They offered me a refund and said they "hope" I would give then another chance and then thanked me!  So I decided to go and look at the review I wrote and that is when I discovered that I had given the product a three-star!  I meant to give it a FIVE-STAR rating and thus this update.  I am still enjoying the product and I would like to add that the installation instructions were very accurate and thus VERY helpful! With this kind of customer service well...GOTTA LOVE THAT!  ;)
5,Follow the steps and it goes on perfect.  The screen protector went on smoothly and pushed out all the air without any effort.  Best I've ever installed
5,Fácil de instalar
5,Fits perfectly easy to put on. No issues at all
4,I just recently installed the screen cover so I did not give it 5 stars just because I haven't used it long term to confirm the long term quality but for the money I didn't really feel I could go wrong. The quality of the material the packaging  and the quantity of supplies is so substantial that it is a real bargain.  I was nervous about installing a screen protector over such a large area without any dust specks or air bubbles. We live in a very dusty rural environment..pretty hard to keep the dust down. I followed the suggestion given by others to run steam in the bathroom to dampen dust particles and installed the protector there.  I watched the instruction video twice (watched my husband install a protector (different product from another manufacturer) on his Samsung phone which ended up with a dust speck and bubble - yikes!). The product comes with 3 protectors so I had at least 3 chances to get it right. The first try started OK but I did not press hard enough on the tabs that provide the hinge and after taking off the protective sheet tried to apply the cover without the hinges attached to the sheet. It was a messy application with dust speck and bubbles. So I removed it got my husband's assistance as an extra hand and tried it again with a new sheet. I made sure I pressed the hinge tabs thoroughly to adhere to the top of the sheet before I removed the protective film. It covered the tablet beautifully with no dust and there was minimal rubbing with the microfiber sheet to remove small bubbles.  I used it later with no "touch screen" problems. I would recommend this product.
3,Length wise size is perfect about 3/16 of an inch short on each side width wise but not too noticable with the bezels but hopefully it keeps me from cracking the actual screen.  This kit doesn't come with the plastic snap frame for ligning up the screen protector.This won't be a repeat purchase but it's what was available for same day shipping before vacation.
5,Easy to install and can barely notice it’s there. I’ve been using the same protector for over a year. The pen that came with my S6 lite works fine with this on.
5,It's easy to install no bubbles  no slips.
4,I like the price of the product and it seems to get the job done but getting it to smooth down without bubbles is impossible.
5,Products works as advertised.  Sticks to the screen very well with no impact to the "touch" sensitivity of the screen.  Happy with the purchase.
5,I am completely sold on the Sparin screen protectors.  I bought a 3 pack for my 7 year old grandson's tablet knowing there may be mishaps.  The mishap was a large heavy suitcase corner landing in the middle of his screen.  I took photos after removing the screen protector getting it ready for possible repair.  The second photo is basically what I found under the protector.  (Cleaned new sarin screen protector & case replaced)  I was so amazed that the screen survived without a scratch!  Incredible product!
5,Nice
4,I'm a little worried the adhesion won't last as long as I would like. It's already needed to be smoothed down in many areas.
5,These screen protectors went on easily although it took me two since I didn't get it placed right the first time. I made sure to clean off the new screen protector and the film protecting it since that's often the source of lint. This went on easily laid down with zero lint and had one slight area where not all the air was released that cleared overnight. The edges have stayed down perfectly. So a perfect application with one screen protector to spare.
