rating,review
5,I'm surprised at how well this little thing works.  I mostly listen to podcasts in my work van(with half the speakers blown out) so I can't speak to music quality but it sounds very clear for my uses.  It was easy to set up and I've stuck with the same station for a while now after a bit of trial and error.  I've taken many calls in my van and they've had no problem hearing me through this adapter.  It also connects to my phone automatically with only the occasional hiccup.  I wish I had gotten one of these years ago.
4,I would definitely recommend this product. I just bought an older car (2005) and it doesn’t have Bluetooth. I was pretty bummed about that at first because I drive quite a bit for work and I love to listen to podcasts. I bought this not expecting much. It works great though!  The sound it good. We had to fidget with it a little bit for the most part it was easy to install. The phone portion of it doesn’t work at all though. So if that’s what you need this isn’t the product for you.
4,Good product I’m using it on a motorcycle and it doesn’t fit quite snug enough over time it falls out while I’m on the road.
4,It works as described but the station has static not sure if that’s on my end or the device.
5,I have not been able to get it to work
5,Love it!
5,C Charger Compatibility port plus universal usb charging port! Easy to use instant connection!
5,Great hack for older vehicles.  Mic quality is ok ish but ability to BT music or podcasts works perfectly!
5,Easy to install easy to adjust and my daughter really likes the different colors.
5,My car came with a different one and that one wouldn't stay connected or on which sucks. I found this one and let me tell ya this one is awesome. You can change the color of the light on it and the sound is crystal clear and it stay connected and everything. Best buy I have made so far!
5,Works great in my old truck
5,It works great and I'm extremely happy with having my music!
5,Bought this Bluetooth adapter for my boat. Super easy to use and worked great. I also like that I can still charge my phone at the same time.  It's also cool to see the Voltage coming out of the battery as well.
5,I absolutely love this transmitter! I bought a new car that didn’t have Bluetooth and would have been a pain to put in a new stereo with this I can listen to music via Bluetooth easily change songs and take phone calls! I’m so impressed with how amazing it is!!!
5,It has helped me to be able to use my existing radio for a while. Easy to use once u find the right station. Love it.
5,Excellent item!!!
5,There are 1000 of these to choose from on Amazon and every one of them has mixed reviews. I finally pulled the trigger on this one. It literally works perfectly. If I had to find something to complain about I would say that my voice quality on the other end of the call could probably be a little better. But I don't seem to have any issues with it. I also would've liked to be able to pair to two different phones  depending on who's driving. Other then that it's worked flawless since the day I got it. You can't go wrong with this one! Good luck!
5,Works great for older car to add blue tooth.
4,The hardest part is finding an open FM frequently in my metropolitan area to avoid interference with existing broadcasts. Odds are that on long trips while driving from town to town the frequently will have to be readjusted to another open frequency. Aside from that I’d does work as described.
4,I have a old car and the CD thing no longer worked and I wanted to play songs from my phone. I got this device and it works!!! I only took one star off because it doesn’t work quiet well with the hands free phone answering feature. Which it’s fine with me. I mainly wanted to use it for my music. Easy set up and if you get the right radio station the sound is pretty clear.
5,I change vehicles everyday. Easy to plug in and set up. Less than 2 minutes to set it up. The type a and type c chargers in the front work flawlessly. The type a port on the side charges at a lower amperage that doesn’t work well with newer phones. Press and hold the orange button on the side to have the device put on a light show. Calls come through clear. Works best if the cigarette lighter port is more in the center of the vehicle. There is no loss of volume through the device when transmitting over the FM band. I like the idea that the volume can be controlled from the device as well as from your head unit.
5,Pretty easy to connect to car radio and personal phone. Good sound quality once you figure out the best balance between the device and phone.
4,It’s a great transmitter I recommend.
5,This product worked great my wife can now answer and talk on her phone  through the radio. I ordered 2 more for other vehicles without an accessory port.
5,Works great
5,I ordered this because my motorcycle does not have Bluetooth and I cannot be any more happier for the price. I cannot control songs from The handlebar controls however the volume does work and it is crystal clear even in the worst of areas where I cannot pick up a radio station. If your phone has service you are good to go!
5,Use in car for Bluetooth radio and calls. Sounds the same on my radio. When I get a call or make a call I just do it without having to switch modes or anything. It's automatic and goes straight back to radio as soon as call ends. No issues with it the person hearing me clear either. Love it
3,This adapter has adequate Bluetooth connectivity for it's price. There is no ability to power on or of without turning off your car or unplugging the adapter (stone age !) The so called volume control only gates what your phone sends it does not enhance the volume. There is no obvious channel control for the FM transmitter. So you can't choose the FM channel best for your area.
5,Works.
5,La carga rápida funciona bien. Sólo tarda un poco al enceder el vehículo no se conecta al Bluetooth inmediatamente.Además le falta el color naranja.
4,It works jut that not expected the unit to be losing connection to my phone wile driving listening to music or making a phone call the sound on the radio is good just i can not rely on it to make good Phone calls...Sorry.
