rating,review
5,This super long printer cable is a great purchase! It’s thick and durable and a great value. My home office space is limited and this cord made all the difference in my productivity.
5,Nice long printer cord works great
5,Could find the original cord for my printer. This was the perfect replacement. Nice strong construction. Set it and forget it.
5,Works as advertised - it's a printer cable...
5,Very happy.
4,Well Im not a rocket scientist so therefore cannot get my printer hooked up. I really believe if you know what you are doing this would be a great product  Signed Too Old School
5,Needed a longer printer cord for my Cricut Maker. This worked - even with updating the firmware. Thanks!
5,I have a Dell 825 Laser air printer. Which works great for printing from my iPhone and iPad but I could no longer scan to my computer.I have an old Apple computer and I was told that if I updated my computer at the tune of over $2000. my printer would communicate with the new computer. I bought this cable and installed it and the scanning problem was solved. I love it when I can solve a problem.
5,Works great! No complaints.
5,I am very satisfied with the product.
5,I purchased this to move my printer across the room and it worked perfectly! The correct length and very durable.
5,The length of the cord was a plus and it fit perfect
5,Excellent product!
5,Does what it's supposed to.
5,no dislikes
5,I like the length of the cord and the fact that I just needed one for my Epson printer which I love....it is a great investment I needed in order to complete my work.
5,Real sturdy piece of equipment. Braiding is just stiff enough where it bends but you know it is not going to kink or break.
5,Just as I ordered and worked straight from the box.
5,Does exactly what it’s suppose to do. I run my 3d printer off of this from across the room. Very happy.
5,I moved recently and of course couldn't locate my printer cord.  This one is wonderful works like a charm and long enough!!
5,This cable was exactly as described. It appears to be durable. It was great to get a longer cable at a attractive price
5,Product came on time in perfect condition and as described. Works like a champ with no issues.
5,Good product.
5,price
5,Excellent quality that was an easy installation...with the length of the cable was able to move the printer and computer around the room with cable to spare.  Well made product and great value.  Will order a 2nd for my other office once the remodeling is complete.
5,Cable arrived in good time. Handles data transfers real fast. No complaints
5,All these years and I had no idea this cable even existed. You have no idea how much frustration you have relieved. The cable works perfectly. It's sturdy doesn't tangle and a life saver.
5,It was exactly what I wanted
5,Good product so far. Quick delivery
5,Perfect! Plug and go!
5,Use these cords to charge several items. Never a problem
5,The WiFi on my Epson printer suddenly quit working after a few years of good service. I tried everything imaginable to get it back online to no avail. So I decided to hardwire it to my desktop and thank god I did. It works every time and it's faster than WiFi!
5,We had a tree foot scanner chord from our desk top to the printer.  However needing a longer length to reach the new printer stand we search what Amazon had to offer.  We found the Akoada USB Type A Male to B male printer scanner chord for the money.  We received the new chord quickly from Amazon reducing our printer down time. We are very pleased by the excellent heavy duty quality of the chord and connectors.  We have no regrets and highly recommend this item at a great price from Amazon.
4,I bought this thinking it was a b mini since that is what I searched.  Turns out this is not a b mini.  I took a star off for it coming up in the wrong search.  That said it seems like it is made very well and I like the flexibility material it is made with.. but I have no way to test it.  I'm hoping to find someone who may need this kind of cable since I don't want to risk going to the post office for something under 10 bucks.
5,Used it to connect a printer from across the room.
5,It is the third one I ordered so I could make direct connection of two printers and a photo scanner.
5,I got this cable because I inherited an older embroidery machine and did not feel like shelling out a bunch of money to replace the cord. After examining the port looked to be a regular printer cable- and it was! Works perfectly and I am able to move patterns onto the machine with ease.
5,Plug and play nice length so far very reliable.  Excellent value.
