rating,review
4,I bought this mount because I wanted something for 24” stud spacing and I wanted sturdiness and the TV positioning this mount offers. I did not want extendable arms to enable the 24” stud spacing. I wanted a one piece mount.It also has vertical members at the ends that I thought may help for attachment. I mounted on metal studs and felt 4 screws wouldn’t be enough.The mount is heavy due to the pivot hinge. Appears to be fairly well constructed. The metal frame was fairly soft which actually helped as I added 3 self taping screws at each end to help the fastening of the 4 included lags to the studs.Studs were actually a tad over 24” oc.Now the ding of one star. The brackets that mount to the TV lock into the mount rails by screwing a clip. Instead of providing a thumb screw they provide Phillips bolts. Every mount I have purchased in the past has a type of screw to make this part easy to lock the TV in.Not this one. Even though the mount extends from the wall you would need to squeeze in between the tv and the wall to install these screws with a screw driver. I decided to buy thumb screws instead of trying to get in there behind an 85” TV with a screw driver.So for over $100 they should have thumb screws. Cost me $10 bucks. Thus 4 instead of 5 stars. Also I didn’t see a template as advertised. No big deal.Added note. I installed drywall anchors to hold up the mount when positioning it and anchoring to the studs. This made a big difference. Easy to set these drywall screws level and set in the slots on this bracket. I just put these screws in and left them sticking out a bit and hung the mount on the screws.I had to slide the mount on these screws slightly to hit the studs. So this method really helped me mount this thing.
5,I hung an 85" television with this and it works perfectly.  The only concern I have is when adjusting the angles you must use two people due to the size of the TV and its tendency to flex when trying to move it on your own.
5,The most sturdiest mount. I purchased 3 mounts from different brands for my 85 inch TV and this one was the most sturdiest of all. This was about $20 cheaper too.
4,the only thing missing is an up/down function other than that it works great and very easy to position.
5,Just Purchased it.  Range of motion is great.  I’m able to prepare meals in the kitchen is located off the Family Room and see th 65” TV with zero obstruction.  I Love It!
5,Pretty sturdy tv mount. We just put up our 86 inch Samsung tv. The weight of the TV is about 90 pounds . It hold its pretty well. The only thing missing in package was the drill bit.
5,Install went well as we followed directions hit one stud and is currently holding our 75” tv without issue.
5,This is a very well engineered product!  Installing it on to the wall was very easy!  They actually provide a template that makes marking the holes super easy.  Almost everything needed for installation was provided including the proper size drill and even a level!Once the bracket was on the wall it was simple to hang and secure the TV to the bracket and make any adjustments.  It is strong and stable.  I highly recommend this product!
4,I don't have much experience with different mounts as I never had a TV nice enough to mount. This brand seems like one of the better ones for mounts which doesn't cost an arm and a leg but also isn't made of thin metal that's gonna bend and fail. I used this mount with a QN90a 65" TV. Went with this XL version instead of the non XL for future proof for a bigger TV and for the extra sturdiness . Install was pretty straight forward as long as you can span 2 studs or you add blocking in wall or on the face to accept mount. This mount can span up to 24" spacing if needed. The full motion is great to have and makes getting behind the TV a breeze. The TV leveling feature makes this mount shine. If you don't get the mount completely level during install it has an adjust to level the TV after the fact.Some of the negatives (not deal breakers at all as they all have solutions) include the full motion action seems stiff as a lot of pressure on the TV to move it in and out. The instruction book states that the joints of the arms can be lubed to fix this problem. Another issue was the supplied bolts to mount the brackets were to long for TV had to use the provided spacers (which is why they are there) or could of simply purchased correct length screws.Would recommend
5,very strong. No weakness.
5,I love how easy it is to Install!  If you have all of your tools ready the TV laying face down on a flat surface and a helper handy you can get this installed with TV in place in 30 to 45 minutes.This mount works perfectly with my 83 inch LG OLED83C1AUA!  The TV is well within the weight limits of the mount restrictions and it provides a large number of positions for the TV.
5,This was by far the biggest strongest TV mount I have ever used. Very thick and sturdy and most importantly WIDE! So you can hit 2 studs easily plus use extra support with drywall anchors. I mounted a 75 inch Sony TV but you can pretty much mount a tank on this thing.
5,Mounted a 130 pound 85" Sony Bravia with no issues. Slight bounce when fully extended but I would only fully extend temporarily to work on the back. Very solid mount! Easy to install and adjust even with the TV mounted.
5,Very well made for heavier tv
4,This mount works great for our huge 80 in TV. The only reason I took a star off as it was a bit if a pain to install. They didn't lable any of the bags of hardware so it was a bit if a guessing game/trial and error to figure out what pieces to use where.
5,Very easy installation and adjustment. Works great for our huge TV lol and we can change the view to any part of our large living room.
5,Very strong mount. Well constructed. I have used two of these mounts and am pleased with both.
5,It's amazing. It was so easy to install. Came with introduction that made it supper easy to install. I bought a 86 in TV and was looking for a perfect TV mount and this one was it. For TV reference it's a LG Thin 86 Inch Tv From Costco. Holds the weight very sturdy and I can move the TV with ease.
5,This thing is a very heavy duty mounting bracket. I trust it .
5,Moves very smooth  holds tv in place during motion.  Mount is extra wide to gaurantee hitting studs. About the only mount that is better is over $300
5,This is the granddaddy of the mall it is so heavy and so strong and so easy to install. And when you are done you can practically do chips on it. The TV hooks on and drops into place very easily and it will stay there just using the meeting hooks. but if you want to you can swing the bottom into place and screw in the tiny retention screws and then it can't go anywhere even if you try to lift it off of the Mount. I give it my strong recommendation and I am very sure this thing will hold an 84 inch TV with no trouble at all. And that's what I'm going to be putting on it as soon as I dump my 65 inch and get my new 84 inch. It also comes with all the hardware you need to fit a variety of TV's just pick the amount of space and install the right size screws and they supply all of the sizes that you would ever need. Great job!
5,Easy install and works great with our 75” Samsung
4,Strong mount alittle on the heavy side. Other thing to note is that there's a reinforcement plate right in the middle of the bracket. So in my case I had an outlet and wire harness on the wall right in the middle of where I was mounting the TV. I'd suggest opening the center bracket plate to allow more access for electrical wiring.
5,OK. So the mount is very nice compared to the last one that was fixed couldn't adjust anything.That was a 59" TV new one is 82". (Samsung) also hard to find a mount for the size.Props for the mount itself material wise and the template for installation.Didn't use the hdmi cable level or lag bolts it came with.Lag bolts. Ditch the ones in this package. They are very light weight no markings painted black. I used 3“ 5/16 zinc coated ones that felt 100x better than what included(Menards) . Cheap and worth it if you really care.I still used a laser level magnetic stud finder tool etc. Template was spot on for levelness. Very good buy for price point. A lot easier to install than a flush mount unit. Extending mount out allows you to install all cables and not yell at everyone....Only thing I would change are the lag bolts. (those shouldn't have Phillip's heads on them)
5,Ordering from Amazon sight-unseen can be a bit unsettling.  I was worried about the sturdiness of this item.  I did not need to be concerned.  I mounted a 65 inch TV (which says it weighs 55 lbs).  It supports the TV nicely.  I like the tilt adjustments that you can make after mounting it.  The plastic piece that they provide for cable management is pretty handy but not made for a multitude of cables.  The mount movement is a bit stiff (to pull away from the wall and push back toward the wall).  It works better if you push one side in and then the other.  Some WD40 or graphite lubricant is getting applied next. I don't want to damage the TV by pushing and pulling on it too hard.  I would definitely buy this mount again.
5,I actually brought this thinking forward. At the moment I have a 40" flat screen TV and the mount worked perfectly fine even though I purchased the bigger one ranging from 42" upwards. I absolutely love the fact that the arms extend forward so it is easier for me access the back of the TV and then I can pushed it back to almost to the wall.I'd only caution folks that the DIY install needs some knowledge of carpentry and tools. I was lucky I had a carpenter working on another project at my home. Just tipped him 30 bucks and a cup of coffee to have him install the arm installed. Once the arm was installed rest was a breeze (did it myself) to fix panels behind the TV and put the TV on the arm.Overall am very happy with the product. Worth the investment.
5,Loved it mounted a 83” tv wouldn’t use no other one well worth it.
5,The point of this contraption is to allow the TV to stick out from the wall with no strain on the mounting material. It will tilt left and right and it will move the TV forward by several inches (I didn't measure this but I am guessing 12 inches).The materials are heavy duty. I would strongly recommend you follow the installation instructions regarding best practices on mounting. The mount itself did not require any assembly; I bought another "full motion" TV mount 5 years ago and it felt like I needed a degree in Mech Engineering to assemble it. This one was super simple and it is reasonably priced.Great buy. I would buy it again should a need arise elsewhere in the house.
5,Easy to install
5,Solid well made wall mount for TVs.  Flexible mount pattern that should match most any stud spacing.  Included a cardboard pattern to help with layout.  Also included a level and plenty of hardware.My son came over to help and I was lucky since he hung his TV about a month earlier.  He wished he had bought a Mounting Dream instead of the one he did.  Easy mounting and flexibility with adjustments for viewing were the things he liked the most.  Me too actually.Mine is holding a 75" TV and is solid.  Follow the directions and you should have an easy time mounting.  Would buy again.
5,The product works great! Easy to install and holds my 75 inch TV great. Swivels well and it does move back against the wall very close.I also want to point out how happy I have been with Mounting Dream. I had a little problem with a piece I lost and they replaced it very quickly. I am very impressed! Thank you!!!
5,I would recommend this to anyone great mount
5,I mounted this to a concrete wall in my basement. It's built like a tank as far as I can tell. I have a 65" TV mounted to it. I saw another reviewer that complained about the bracket not being square or level...there are 2 spots in the back of the plate so you adjust the overall level of the TV. It wasn't defective like they claimed. It was user error. The point is even if you don't get the mount on the wall exactly level you can adjust the level of the TV.
5,I have purchased two of these. And it is a awesome mount. Mounted a 77" LG C1 and a 50" Samsung  without a single issue. Have a ton of adjustment points. Incase you are like me and don't get it perfect because it is very well built and pretty heavy. Weighs more than either of my tvs I think lol. 10/10 I have zero concerns about swinging my 77" around with this mount.
3,I just finished installing an 85” Samsung Q70A using this bracket.  The install went OK expect for the folding in and out which is very stiff.  In fact I can’t get in all the way in with the TV sitting about 3-4 inches from the wall.  Seems like there needs to be an adjustment for loosening the folding mechanism to make it easier to move in and out.  I am afraid that I might damage the panel if I push (or pull) too hard.
5,My new 65 inch tv
5,I guess it worked
5,The media could not be loaded.                                                                                 Strong very professional
5,Very sturdy supporting my 78 pound TV. My Vizio has non standard mounting holes. This mount accommodates a wide variety of configurations so I can put a different t TV o on it later.
5,The install is relatively easy in that what you are doing is simple but you do need an extra set of hands. The templates and instructions are very good. Find studs and drill. I do not care for the screws provided. The Phillips head strips really easily for the torque required to drive them in. I recommend using a hex drive instead. Otherwise the tilting and rigidity of the system are fantastic. The small cable management clips are a nice touch as well to keep things cleaned up. Definitely a fan of this mount
5,In the past 2 months I've hung 17 TV's. I ordered this I've for my personal TV after using this brand for a friend's TV. The ease of installation and build quality are amazing....
5,Bought this to install my 55 inch vizio tv to the wall so that I can have the tv higher than my previous tv stand solution. Easy to mount.  Kit included level template all mounting hardware and it is very sturdy. Installation too me about 1 hour by myself as it took me time to find the studs but it has a wide range of mounting  holes to accommodate 16 and 24 inch on center studs.
5,From the questions to the seller to receipt of the item was a great experience.  The mount fit my old TV perfectly.  Easy to install.  Very sturdy build for a heavy TV.
4,It was a breeze to install and strong enough to trust in holding up my 75” TV.
5,This is heavy duty TV wall mount. It came with everything you need to install. You do need a couple of tools but it had the correct drill bit for the in closed lag bolts. I have learned buying less expensive wall mounts are not the way to go. This has a good price. I mounted an 80 inch TV and mount works great.
