rating,review
5,I had been using Dell U2415 24' 16:10 aspect ratio monitors.  One died and I tried this Asus.  I am very pleasantly surprised at how good it is.  I'd definitely buy it again and have actually tried to give my wife one of my old Dells to give me an excuse to buy another one of these.  I don't game but it is good to program on write on do amateur stuff in Blender on it and watch videos.  That's what I need.
5,PRO: Picture quality/color--both are great for what I do. I am not a gamer so I cannot comment on that. Power & adjustment buttons are on the front at the bottom edge of the monitor so no more fumbling on the side and guessing if I am hitting the right button. Substantially heavy base. Easily adjust height. Full use of the screen aproximately 1/4" black frame. FAST.CON: Hard copy user manual not included. Cord is standard 6' wish it was longer. Accessory/cable panel is behind and located under a shelf so not easily visible--you have to tip the monitor forward which is heavy and awkward.Great monitor for the price.
4,I wanted to write this and let everyone know that these monitors really are very good.  They come with all the cabling you will need and are very adjustable.  I bought them for the PhotoShop work that I do and wanted something that was color calibrated which I'm sure they are.  However I was under the impression that the monitors would come with software that would allow you to recalibrate the colors.  They DO NOT come with this.  I have created an account on the ASUS website and registered both of them and went to the downloads section of this model and other models of the ProArt display... it's NOT there.  I have also put in a chat support ticket with one of their reps.  I was told basically to go buy a 3rd party calibration tool.  I already have a Spyder but I picked these up because I thought they had their own calibration software either built-in or downloadable.  This is not the case.You can even Google around and find articles that show you how and where to download these tools those pages are gone.If I am wrong I hope an ASUS rep reaches out to me and shows me where to get their software.
5,I use my PC for both Editing and Gaming. This monitor provides a happy middle ground while providing S-Tier color correctness. I am incredibly happy with the color I am getting with this monitor while editing in Lightroom. Make sure you install the drivers and software from the website to get the full experience.I ordered from Amazon and not a 3rd party supplier. Paying the Full $700 and Prime Shipping.Now let us discuss the dead pixels. Like others have stated my monitor did come with 2 dead pixels. The GREEN portion of the pixels is off. that being said. I didn't know it had 2 dead pixel until I went hunting for them. 1 pixel is in the bottom right and the other in the bottom left corner. Neither are noticeable and I do not believe it's a cause for concern.I would have no problem buying this monitor again if I had to.
5,At first I was hesitant to get this because of the price but it was well worth it. I built myself a micro atx pc and I wanted to put a monitor on the side of my case for ultimate portability. I have it attached with velcro so it comes on and off as needed. The touch capacity works great and makes my computer usable without a mouse and keyboard. There are plenty of picture settings to mess around with and I like that it is calibrated so I can use it whenever I edit photos. It comes with a nice carrying case I don't use and on the back is a little kickstand. It feels very solid and premium. It was worth it for me to buy from a good brand and get something that would last rather than cheaping out.
5,Fantastic color accurate field monitor great for professional photographers. I am a professional photographer and digitech and this has been a great monitor for client viewing on location as well as a great second monitor when working remotely on just your laptop. Great one cable solution if you are using usbC/thunderbolt 3 or 4. Stunning color accuracy and being 1080p is actually a big asset in the field as it is far less taxing on your laptop's GPU. Resulting is faster rendering of preview images. One of my favorite features is the 1/4 20 socket on the bottom. Perfect for mounting on a tripod light stand or magic arm. My only complaints are no sunsheild/glare gard but you can make or buy one. However as it has a really good matte screen glare is not much of an issue. It's really just brightness in direct sun which really you can still see it it just would be better with a sun shield. My only other complaint is that the touch screen only functions on a pc. No touch support for Mac. I suspect this is mostly to due with apple not Asus but I'm not sure. It would be great to have touch support for Mac and also camera but i suspect that's impossible. That brings me to the last really cool thing you can plug it directly into the camera's hdmi out to get a live view while shooting stills or video to card. And it works great with one exception... It only supports 8 bit HDMI which means if you use it as a video monitor directly attached to the camera you can't shoot in 10 bit only 8bit at least with my cameras. That hurts. In conclusion you won't find a more color accurate field monitor with a 1/4 20 thread mount for this price. I have 3 Asus pro art monitors that run my business. A 4k 32" a 2k 24" and now this 1080p 14" I 100% trust the color accuracy and brightness of these monitors and I stake my reputation and business on them everyday.
5,The color accuracy is amazing the fact that MacBook pro isn’t supported is the main reason why I held off for buying this for so long. But for everything else this is a really good monitor and we’ll worth the price.*The sound quality isn’t great but what portable monitor has good speakers? -Remove the speakers and take off $20 bucks for the next version!
5,The price for this display is a steal for everything it delivers. Great picture quality the base mount is versatile for any position you might want to use it and the connectivity is great!Unfortunately I ended up returning it as the displayport daisy chain doesn't work on the M1 macbook air or pro (not for anything wrong on Asus Proart display but limitation on the M1 macbook chip).I still look forward to get another display by Asus for everything it offers (and better than any Samsung screen I ever owned).
5,So I’m not using this in a way that most other users seem to be….but that’s okay. I will be using this as my secondary computer monitor with hdmi for art projects….but what I really wanted was another smaller monitor to hook up to my old Samsung note 9 with the usb-c port cable. Straight talk made me upgrade to a 5g capable phone so this has now become my “tv” phone. I live out in the country with horrible internet and we will not be getting it upgraded any time soon (not our choice). Since I cannot use this phone as a backup cellular device anymore I am still able to pre-download things from YouTube Disney plus Netflix…whatever is available when I am at a place with decent wifi …and then just watch them offline at home. I have a larger Samsung smart monitor that this works on but when I’m gaming I like having another screen with something else going on for background noise. I was a little worried this wouldn’t work with my older phone but it works great! I do have hdmi adapters that do…work…but the video and audio doesn’t always want to sync up and this helps eliminate that extra cord. I could have purchased another type of display for this purpose but I wanted it as an actual computer monitor too. Two birds with one stone for me! I love that it’s easily rotatable and height adjustable as well since the ceilings in my room are very a frame and not everything always fits. It feels really solid and well built. This monitor is much easier on my eyes then the one I was using. So far so good! I’m really glad I went with this one.
4,The ASUS ProArt monitor is working great as a second monitor for my IMac.  It was easy to set up and connect to IMac.  Worked right out of the box.  The price was very reasonable.  It had the necessary wires to connect directly to my 2022 iMac.  The ASUS is monitor shown on the right in the picture.  The only drawback was that it is difficult to get a color match with the iMac monitor but I believe you sacrifice the display color for the economy.
