rating,review
5,I really love the bag. I haven't put it into a lot of use so in terms of durability (since it's not that long ago that I received the item) I can't give an accurate review.In terms of capacity it lives up to its size. It's able to hold my laptop along with the wireless mouse a notebook a too do list as well as a pencil holder with enough room for the cables for all my electronics. The bag still has enough room to include other items without an issue of closing the zipper. Plenty of room and pockets to separate the items anyone would need to include in the bag.My only issue is that when receiving the bag after removing the shipment bag and inspecting the item there was this unnatural smell. There is no good way to explain it other than it was unpleasant and i feared any items stored inside might get the smell attached to them.I had to spray the bag inside and out with Lysol and continually let it air out for days before the smell eventually died down. It's a tedious and time-consuming extra step but the bag worked well afterwards with no other present issues. All the other reviews mentioning the smell kind of makes you expect it but not really look forward to it.It does live up to the water prof feature after needing to spray it so much there was no damage or visible water invasion inside the bag of any kind that wasn't intentional.Overall so far I would recommend the bag it's not bad at all for the current price but id prepare to possibly have to fight off the smell before being able to use it immediately.
5,I love how sturdy it is and the fact that it expands is great too. It has more than enough pockets the padded strap makes it really easy to carry and the color looks exactly the same as it did online. I would definitely recommend this bag!
5,It is the zippered compartments for me! I was in search of the right bag to transport a 16 inch laptop cords mouse  folders and other  office accessories while traveling. This is it! The padded pockets with zippers made the difference.  Additionally the wide shoulder strap is a plus! Everything fits perfectly. I highly recommend.
5,The main pocket has a nice padded divider to keep your laptop snug while leaving plenty of room for your books charger etc.. The bag feels sturdy with metal and padding and even after getting caught in the rain everything inside was completely dry.
5,Sturdy and straps are strong. I just used it on a trip to Florida and it's exactly what I needed for my bigger laptop. I was able to fit my husband's chrome book and all power cords in too. I highly recommend this bag!
4,Good and durable  but gets filled fast when u add 15" laptop and accessories  with room for nothing more  could have had more pockets. Good but not great.
5,It's a Computer Case.  It has adequate alternate storage.  I ordered it on Thursday and it was in my possession on the following Monday.
4,It doesn’t have any extra corner padding. But it is a pretty good bag and would recommend.
5,It works great computor fits perfect
4,The bag looks like the one I ordered it has lots of pockets and storage. However it STINKS like hot melted plastic and rubber. I can smell it from feet away it’s pretty gross.
5,Really like this bag. Good padding and light weight for travel. Has pockets and separate compartments for all your needs.
5,Durability
4,This is exactly as described.  I ordered a purple one and received a gray one but love !
5,Handles are a must which I didn't realize until I helped a friend carry hers once.After that I won't use my old computer case anymore.This one is so much better than my old one without handles.It is padded well and has plenty of room for the cord and other stuff.
5,I really like how it perfectly fits my laptop. Product came in perfectly no scratches no issues whatsoever.This is now my daily laptop bag - it has nice storage for different items. The "extendable" zipper is great to have in case you want to carry more items in the bag.Great bag!
4,Feels and looks great!
5,Love how roomy this is. My 15 inch laptop is more like a... 15.5 inch laptop? So the 15inch holder I bought for it would NOT fit since it's thicker and has a stylus on the exterior. It wouldn't even zip if you could get it in and it was so thin that taking it back out usually resulted in a broken nail.THIS case however is amazing. Lots of room extra pockets-- which are ALSO roomy thank you-- expandable nice padding 2 handles so you can carry it like a briefcase and metal clips to install the shoulder strap. I love it. It's great. It's roomy enough that I can fit my charger alongside it as well.
5,This laptop case is perfect for either of my two 17" laptops. The case can hold the laptop plus accessories and still look great hanging from my shoulder with the included strap. It's an elegant solution to carrying my oversize laptops. I'm very pleased with this case.
5,I love this bag. Comfortable to ware. Well made with lots of storage and pockets.  Not flimsy but also not too stiff.  You look like a straight G wearing it.  Happy with my purchase with no complaints.
5,I was looking for a light-weight bag to easily hold my 17” laptop computer charging cord and a few other incidentals in one bag.  This fit the bill.  It was reasonably priced and came in a lovely shade of plum. So far I have only good things to say about it; however if I had one thing to ‘improve’ I would probably recommend the designer add a bit more padding around the area that a laptop goes.  I am moderately careful how I treat my computers and so I’m not overly worried about it traveling in this bag but life happens and a little more padding would go a long way.  Having said that I like this bag overall because of the price what it can hold and it looks stylish!  :-)
4,It looks sturdy but I just got it so I don't know how long would it last me.I have a 17.3" computer and it fits pretty tight or snug. It's not big enough to carry all the stuff I need.I bought another brand for my husband and it has lots of room for all his stuff.
4,I bought this bad for my spouse but she does not like it. The bag is too large for a slim bag. The shoulder strap is not comfortable.
5,Love the color and inside storage
5,The case is compact easy to access the computer and sturdy.
4,It's fantastic. I'd give it 5 stars but they forgot to send me the shoulder strap. I sent an email to their customer service but they never responded. Perhaps they'll read this review.
5,It's much better than the free bag that came with my laptop I think it's good to go!
4,Quality is as I expected. The fabric feels like it would be more appropriate for something akin to outdoor upholstery however the functionality of the laptop bag seems to be practical enough for four stars at the price I paid.
4,I like that this item accommodates my laptop cooling pad and mouse. However It is only lightly padded and I am not sure how much protection it provides if dropped.
5,Have not really had a chance to use yet-just got it yesterday!  You guys are so prompt in delivering (a good thing!) but then want a review right away-doesn’t make sense.  It looks great like the color (grey) like all the pockets shoulder strap looks good.  All I can say right now.
5,I gave this book bag to my mom she loves it great quality and has enough pocket to hold her Bible and song books in them and magazines. Yes I would recommend this bag too others very nice made
5,This bag fits my 17.3" laptop the power cable+adapter my portable monitor (Asus MB169B+) travel mouse notepad and a few other things.  Excellent stitching very sturdy. I love the option to carry as tote or messenger bag and outside side+inside pockets. Another inch or so on the expandable part would have been nice.  Otherwise I'm pleased with my purchase.
5,Just received this Voova laptop bag. It is perfect for my Dell 17” Laptop. Includes several pockets for business travel needs and expands when you need a little more room.
5,Fits my Dell 15' laptop without any problems.  A little more padding at the bottom (opposite the handle) would be an improvement.
3,I want to like this bag - for the price point it's well constructed with solid zippers and decent padding for a soft laptop bag.  You could accidentally drop your laptop in the bag and you should avoid damage.  Despite it's slim size it can hold more than you'd expect.  Strap is not the best but good enough and I use this strictly to carry my laptop and some files back and forth from work.The only major downside was the smell - it had that smell of plastic and chemicals some new luggage have and it was overpowering both inside and out.  I tried the usual tricks - baking soda Febreeze charcoal dryer sheets - but ended up soaking it in a mixture of 1 part vinegar 4 parts water before taking advantage of a heat wave to dry it off in the sun.  After that I tried the dryer sheets and baking soda and now after 10 days from receipt I can finally start to use it though there is still a faint plastic-chemical odor.  Hopefully the residual smell goes away with time.Update:  Smell hasn't gone away after a month despite all the tricks.  Can't return it with all the different attempts at cleaning it.  I'm hoping the smell goes away but it might take a lot longer than I thought.  Disappointing since the bag itself is quite nice.Update #2:  After 3 months of every attempt possible to get rid of the smell I had to give up and throw it away.  Even the shoulder strap stank so I couldn't even repurpose that for some other bag.  I don't know what the hell that smell is - I had this bag soaking a couple days in a tub full of a vinegar solution (3 parts water 1 part vinegar 1 part lemon juice) and you can't smell the vinegar or lemons (color didn't change so that whatever dye they used is amazing or might be the source of the smell).
5,I got purple. Lol so cute and so much better than my 20 yo green case. Lots of pockets and seems to be well padded
4,This was a bigger laptop bag than I really needed.  It doesn't unzip "all the way around" - just at the top which may or may not make you like it.  However the zippers are nice and strong and they're easy to use.  All the compartments may be superfluous unless you're like me and carry around lots of stuff in addition to your laptop.  My machine has a 14" diagonal screen and is 13.89 inches wide and fits with a lot of room inside.  Again - this may be good or bad depending on how you view it but the bag easily swallows the power supply bluetooth mouse bluetooth external speaker plus documents and printed materials very easily.  I can't vouch yet for the weatherproofness - some might come in through the zippers so in a pouring rain you should still be wary but the main case seems water and beverage resistant like the photo shows.It's not a "premium" bag but for this price it's a winner.  I wanted something with strong handles and good stitching because I carry around a lot of stuff in addition to the laptop itself.  This will do the job.
5,I've used this bag for a few months now and I can't say I've had any issues. I did however drop my bag and it landed directly on one of the corners and managed to put a dent in the corner of my laptop. Not a fault of the bag it was my stupid clumsiness that caused this. However I think with additional padding or a hard plastic insert or some kind would have prevented the damage to my Lenovo.That being said I really like the bag and it accommodates my 14" 2-in-1 a mouse my ethernet adapter & a note book with ample room to spare. Wouldn't hesitate to purchase again.
5,Its inexpensive and very handy for carrying laptop
4,I just got this in the mail. I immediately loaded it with:In the main compartment:15in 2019 MacBook ProKindle (probably 8in or so. I can't remember)4 chargers and 4 respective cordsWalletIn the back compartment:11in 2020 Ipad Pro2nd Gen Apple Pencil (magnetized to ipad)In the front organizing pocket:PhonePassport (if we can ever travel again)2 pocket sized booksAnd I clipped the case of my over the ear headphones to one of the metal loops.First impressions after loading it up:• The front organizing pocket fills up rather quickly but it seems like there's still room for the random airport purchases that are predictable yet I always forget before I leave. Stuff like gum advil napkins kleenex portable utensils granola/nut bar etc.• The Apple Pencil is too tall to fit in the pen/pencil compartments and still be able to zip the pocket closed. My phone had to fit horizontally in one of the organizing pockets.• I really like the feel of the fabric and the cushion on the arm strap. I walked around my house for a bit and it seems pretty comfortable.• Unzipping the extended portion was a must for how I wanted my stuff to fit.That's pretty much it. If you travel light then this is a great bag. If you like to bring or need to bring more with you then I think a bigger bag would be a better fit.
4,So far looks good professional maybe durable is the size and the fabric
5,Great size for HP 17.3 laptop. Too bad the laptop had to be returned. For now I have a pricey bag to carry my lunch.
5,Here is a basic laptop bag that does the the minimum.. It carrys the laptop mouse & charger. It can fit a few more trinkets & folders or what not. But this is just what I needed for a decent price & nothing more.
5,So far I like everything about the laptop case but I have only had it for a short time.  It has plenty of room for my laptop the charger cord the wireless mouse an external hard drive and any additional items I think I might need.  Seems to be well made.
5,I love this case.  I feel like my 17 inch Dell will be secure and protected in this case.  There is also room for my backup hard drive cord and mouse.  There is also a nice spot for my ipad and cell phone.  It is well padded.  I got the Blue and I really like it.  Have no complaints at all.
5,Perfect size durable but good weight space for notebook/files without bulk!
5,I love the style the color and that it is well made.
4,I like the color I bought this for a portable DVD player and it works but the pictures makes it look like you can get a lot more in it than what you can. Even unzipping expander I still can't get everything init I need too. I still end up putting the rest of what I need in another bag. I use this for my daughter homeschool stuff for travel. I can get the DVD player (which is the same size as a 17" laptop we measured) and about 7 folders in the main compartment. The front pocket will hold her charger and pens and pencil and the back compartment holds her DVDs. Was hoping to get her three textbooks (they are not the big hardback books normal school use they are half size paperback books.)to fit as well but nope I have to carry them separately. But that's not to say it isn't a good bag just be advised mostly  just a laptop and very few other things will fit in this bag even fully extended.
5,I GOT THE BURGANDY COLOR. ITS BOLD LOOKING AND I CAN'T LOOSE IT.I CAN TELL AT A GLANCE IT IS MY CARRYING CASE INSTEAD OF BLACK.
5,Love the expanding width to accommodate extra files along with my laptop.  As this case is larger than my last one I often find myself digging for small loose items.  There are small pockets for pens cards and other traditional brief but it could use a zipper pocket for change and a key hook.
5,I always find writing reviews on a new item a bit problematic but so far this bag has been exactly what I asked for. Routinely I haul the laptop and multiple attachments from our town home to the farm and back.  Everything fits and nothing has broken or come undone.  The bag quality is very good.
4,Not enough protection directly on the bottom of the casing. Added some myself DYI
