rating,review
4,I got this in yesterday and found it plugs into the tv using an Optical plug. My tv didn't have one of those. So while in search of some way to connect the two devices I couldn't find any RCA to Optical connectors and instead of driving all over the place I just bought a new Samsung flat screen that had the Optical plug and was hoping it would play nice with the new TV. I plugged them together and turned on the TV and got instant nice sound. I bought the soundbar so I could hear dialogue better on my tv. Now my new tv. I didn't quite understand the simple instruction book that came with the sound bar. I was trying to use the remote and learning new remotes is always a pain for me. I could turn it on and off and right under the power button I found the button with an arrow pointing at the square and that got the sound to come on. I'm still going to figure out what the different colored lights me but I got it to working and I'm happy. I like Samsung stuff. I can figure it all out eventually.
4,Aesthetic: The soundbar looks beautiful and compliments the room very well. Probably the best looking sound bar I've ever had. Soft round edges are very welcoming.Performance: So far the performance has been a great. Listening to music fills a pretty large room and kitchen. It get's loud and the bass is noticeable. I'm very satisfied with the performance considering the price I paid ($270). I'm not an audiophile but I do enjoy having high quality speakers and this sound bar doesn't disappoint.Connectivity: I've read reviews about connectivity issues but I haven't experienced any. The soundbar is super easy to set up through the Samsung app and I haven't had a problem connecting through spotify or any other platform.
4,I'm pleasently surprised with the performance of this unit. (The s50-a) It's not a replacement for an actual surround system with rear speakers and a subwoofer by any means but on it's own in a small to medium sized room it creates some very impressive sound and surround effects.Having a dedicated third channel (it's a 3.0 in other words) for dialogue and effects makes all the difference. Voices are clear and movies come alive with sound effects that seem to be coming from everywhere bouncing off the walls in all directions. It's quite the immersive experience.Speaking of which what sold me on this model was the DTS Virtual X setting uncommon at this price point. But as it turns out the "adaptive sound" setting works the best. At least in my room.Now to the cons: Support is a disappointment. The available Samsung apps do not work with this model so you must rely on the included remote which leaves a lot to be desired. To adjust treble bass etc you have to rely on the lights that flash on top of the bar and you have to be standing over it to see them. This soundbar needs some tweaking to arrive at it's optimal performance and that's quite a hassle. Also the included directions are vague and incomplete. You'll need to download the PDF manual available online to access the complete information. Are these deal breakers ? Not at all just letting you know what to expect.Finally I ordered a refurbished model listed as ' very good' and it arrived in pristine condition with all the original packaging in tact. It looked as if it was brand new. That reduced the price considerably from it's already low cost.To sum things up this Samsung sounds great rivaling models that cost hundreds more and I highly recommend it. It's just a shame that there's no app available to make adjustments more intuitively.UPDATE: After downloading the PDF online of the complete instructions ( a must ) I've discovered a few features in the unit that aren't for some reason even mentioned in the manual that came with it. For one there's a six band graphic equalizer hidden in the remote control etc.But most importantly the download suggested to set your TV's audio output to Dolby Digital instead of passthrough or auto or PCM or whatever. This makes all the difference !! Dolby Virtual X comes alive with room filling wonder. I couldn't believe my ears. Make sure to follow this advice.
5,Heavy duty soundbar always goes with the living room TV but this soundbar is perfect for the bedroom television. Great sound great for the price. Can’t complain
5,On its own its gorgeous. Covered in a cross Grey fabric with hidden lights and stylish controls right on top as apposed to hard black plastic. The virtual immersing sound fills the room with a punch that comes from everywhere. Along with the vocal clarity of the center speaker and flawlessly paired with the s9100 wirelessly paired rear speakers and you are covered in virtual dtx sound. Yea ... that's not the one I got. Mine had to have the power plug removed for 5 seconds then reinstalled to get the unit to see the HDMI-ARC connection that had the be performed every time the unit turned on. Pairing to the rear speakersbwas automatic but the advertised control of rear speakers didn't happen. There were just too many glitches to justify keeping such a sweet sounding piece of art. Perfect for a mid size livingroom or bedroom. Remote is straight forward. It will also control libraries of music and i believe samsung TVs. But the unit glitched controli g rear dpeakers ad advertised. Samsung support tried with a firmware update but did not provide the cure to the problem so I reluctantly returned it and stepped up the ladder to the HW-A650. With luck it will perform as advertised without problems.So...affordable impressive sounding system that looks gorgeous with plenty of volume to immerse you in beautiful sound I hope to be specific to my glitch but after that it was heaven.
5,Very easy to install …
4,I bought this to replace a TCL Alto 8i I'd purchased recently as I was fed up with the TCL soundbar's aggressive power-saving mode that regularly cut off dialog. Overall I'm glad I purchased the Samsung S60A S Series soundbar even if some aspects of it don't quite measure up to those of the TCL soundbar.The S60A does feature a power-saving mode but it doesn't kick in until 18 minutes have passed with no sound passing through the device at which point it turns off. In that respect it's pretty reasonable.I have a Samsung KS8000 TV and I was initially using the S60A soundbar through HDMI 4 which supports ARC. I eventually ended up switching to optical as I was experiencing periodic HDMI issues and my TV would sometimes switch back to its own internal speakers without me noticing it. How did I not notice you you may ask? Well while the soundbar DOES sound better than my TV's internal speakers to some extent it's hard to tell the difference when the volume is low especially since this soundbar simply lacks the "punch" of the TCL soundbar.One thing you WILL notice this S60A soundbar probably has over your TV's speakers is that it has a dedicated center channel for dialog which allows dialog to stand out more without forcing you to rely on a dedicated balancing mode for dialog. Unfortunately the soundbar lacks any such balancing mode which means you're out of luck if you want normalized audio.Speaking of audio volume when plugged into the ARC port of my Samsung KS8000 TV I was pleased to see that the volume level for the soundbar was reflected on screen when I used my TV's remote to adjust the volume. Oddly the same wasn't true when I used the soundbar's remote to adjust volume and it certainly wasn't true when I switched over to optical.Given the fact that you can adjust the volume from 0 to 100 I find the lack of volume indicator on the soundbar itself really unfortunate especially since it clearly has LEDs that animate when you adjust the volume but only to indicate that the volume is changing.By the way if you have your TV mounted high such as over a fireplace or something then you may want to seek out a different soundbar as this one doesn't seem to pick up the signal from the remove from positions that're much lower than that of the soundbar itself.Overall this is a good soundbar though I definitely suggest seeking out something else if you want something with some bass as this soundbar simply doesn't deliver in that respect.
5,This is hooked up to my TV.
5,easy to install and operate
4,or at least I can't figure that out.
5,was great
5,everything was smooth and nice for the price it costs this soundbar is definitely a good purchase you won’t be disappointed.
5,The sound quality is very good and it’s easy to place anywhere. Nice sleek design.
5,It connected to my Samsung TV via bluetooth and now it's an fully integrated part of the TV. I forget it's there other than the fact that it sounds so much better!
3,This will be my last purchase from Samsung but that may not be a good indicator of this product's worth. Hear me out. This year I've upgraded all of my Samsung devices; TV phone soundbar etc. And with all of them the device has been relatively good with a few bugs and tech support hiccups. The main reason I'm done with Samsung is their awful customer service. I ordered this soundbar twice from Samsung's direct website and was sent the wrong item both times and it was because of the customer service employees I spoke to who gave me bad information and made promises that they didn't keep so I eventually just bought it from here on Amazon.  Likewise any technical support issue I've had with them has been much much much more difficult than it needs to be. I hate to be that guy but it's just very evident that they don't speak English very well. There's a definite language barrier and it shows.So here's the kicker though after all of that hassle Samsung customer service put me through and the various technical issues that have been an enormous pain in the neck I still was able to look at the specs of this device and make an objective judgment that this was a good value for the money. It was $199.00 for a 5.0 Ch speaker with side tweeters Bluetooth and wifi connectivity and a built in Alexa assistant. You're just not going to find a deal like that from a reputable manufacturer very often. And while I'm definitely buying a Sony tv next time and an iPhone for my next upgrades I don't know that I'll ever need to replace this soundbar because it's everything I need. The sound is awesome for just a standalone soundbar and it gets very loud without sacrificing audio quality. It's also very sleek and modern and takes up much less space than our old 2.0 Ch speaker. The punch that this soundbar packs is very good for its size and it delivers just about as well as I'd hoped.So one caveat is that I had a difficult time setting up the built in Alexa and the tech support was terrible once again but I eventually figured it out on my own. I had to unplug the soundbar and install a firmware update for it in the smart things app. So once again I'd say that the specs of this device are just a great deal for next to $200 but you're buying from a company that doesn't care enough about your needs to provide decent customer service and tech support. That could lead to headaches like buying a product 3 times from 2 different websites until you get the right one or being on the phone for 2 hours to fix a 5 minute problem etc. So that's what you've gotta judge for yourself. Is it worth the risk and potential headache? In the case of this particular device I'd argue that it is as long as the price is right. 👍
5,Many thanks to Walts Tv.  The replacement unit was successfully installed in 15 minutes.  A great example of exemplary customer service.  The sound bar performs even better than expected it slaves to our TV remote transparently.  Ease of setup and initialization remarkable.
5,
4,The soundbar provides high quality sound.  Helps to hear conversations on movies and TV programs over the background sound. Has nice features to work with.  Not too happy with remote control on handling volume levels.  Initially was able to adjust volume but has problems later.  Had to contact company to get new replacement.  You Can use your cell phone via SmartThings app to control volume levels and other features.  Also easy to setup with TV.
4,Still figuring out some of the functions but so far so good.
5,Bought a new TV and the sound on it wasn’t long enough but now I can blast out my tunes I’m sure my neighbors aren’t happy 😃
5,Pairs with my 32" Samsung TV.
4,At last...Now I can actually hear everything that is going on during the movie. Great sounds bar
4,Works just fine with my Samsung tv
4,Tap Tap Bluetooth is nice. Good quality that you expect from Samsung.
5,Paired with Samsung 43" 8000 Series TV.  The TV remote controls the volume on the soundbar while Bluetooth connected.  Paired my phone to it to test "multi connection" and what that means is up to 8 devices in the memory but only 2 active.  Active means you don't have to reconnect the device but only audio from 1 of the active devices can play at once.  This would ideally serve the purpose of playing audio from the TV when watching something or when the TV is off play audio from mobile device.  Highly recommend this for a spare TV or primary if you don't have a high-end complex setup when you'd want a 7.1 audio device
4,A good unit..just not as impressive as I had hoped.
4,The audio quality of too many streamed movies is simply awful. The SAMSUNG 5.0ch S60A S Series Soundbar makes a world of difference when connecting via the HDMI/ARC connector. Using the supplied remote you can adjust bass mids and highs and you can adjust the center channel which I find especially useful.Unfortunately the remote resembles my Samsung TV's remote almost exactly so we had to place stickers on one remote. And unfortunately we have to use both remotes. The sound bar's remote to power on the sound bar and adjust the audio. The TV remote to power the TV and to raise and lower the audio level which can be done with the sound bar remote but you won't see the audio levels displayed on the TV. The sound bar remote has no effect on the TV just the audio fed to the sound bar.I wish the sound bar had a bluetooth output. I'd give it five stars for that.
3,I find the volume control on the remote very hard to adjust
5,Is amazing sounds I like so much
5,I love it for the most of part. Only thing I don't really like is that I wanted to disconnect the power for tv and sound bar when I'm not using them which is literally most of the days but when I do that it feels like I have to go through initial setup all over again every time. So I just leave them plugged them in now
5,I can't get the remote to work even after changing batteries..
4,The media could not be loaded.                                                                                 It went perfectly with the new smart TV
