rating,review
1,Let me summarize it for you.  Go to Antennaweb.org and enter your address.  The stations in yellow are what you MAY get with this antenna.  BUT do NOT buy this antenna.  Get a ClearStream 2V or 4V.  You will thank me later.Now for the gory details.  I made the mistake of buying this antenna without doing three hours of research first and assuming that the "product description" was not a bold faced lie of horrendous proportions (wrong).  I got it and tested it on the ground.  It picked up the stations coming from a tower 46 miles away in 1080p.  I thought my "100 mile range" antenna didn't receive the towers 33 miles away on top of the highest point in the state (with binoculars I can see them) because there is a thick group of pine trees in the general direction of the other towers.  WRONG!  With my incorrect assumption firmly in place I proceeded to mount this on top of a two story house above the trees with a clear line of sight to the towers 33 miles away.... and I didn't pick up the stations.  FAIL.I checked everything and reset everything scanned stations over and over to no avail.  I finally sent an e-mail to support.  Still no response from the company BTW.  Forget it.  I returned it and replaced it with a ClearStream 2V which picks up all of the towers even though it's not "omnidirectional."  So let me save you the trouble and research and explain how this over the air digital antenna stuff works.It doesn't matter how close or how far a tower is away from you.  It has to do with the power of the transmitter at the tower (of course).  The towers send out waves that carry embedded in them a digital signal but they're still waves.  The strength of those waves and how many obstructions there are between you and the towers determines how far away you can pick up the signal.  For this antenna to pick up towers from 100 miles away like it claims those towers would have to be transmitting over the surface of the ocean with no obstruction and with so much power it would interrupt the migratory flight patterns of trumpeter swans and probably kill all honey bees within 25 miles of the tower.  In other words it's just a bold faced lie.OK so back to digital signals.  A digital signal means that the waves transmit bits and bytes and importantly those digital signals carry with them built in signal correction so even if some of the message gets lost along the way it can be rebuilt from the pieces when it arrives.  What this techy speak means is that you will not get varying grades of snowy reception like you did with old analog signals.  Instead you get a full picture.  The picture quality is crystal clear 1080p if you have a properly selected antenna.  As signals get weaker it gets progressively lower in quality going from 1080p down to 720 480 and ultimately to the point where you get pixelation and finally there isn't enough data to build the images.  Pixelation is where parts of the picture get broken up because there isn't enough data arriving to build and/or correct the image.  You'll get an image with a row of weird looking blocks or an area on the screen that has weird looking blocks.The way ALL antennas work is they receive whatever signals they can from ALL directions.  ALL antennas are "omnidirectional" it's just that some are designed to optimize signals received from a single "direction." Importantly that direction is not a straight line but an ever expanding triangle going out from the antenna.  Also there is no such thing as a special HD antenna.  That's just marketing garbage.In my case I have towers located at 118 degrees and 226 degrees from my house so there is 108 degrees between them.  With the Clearstream 2V I point it 118 degrees toward the weaker towers which are closer.  Even though the tower at 226 is "out of the cone" it still picks up the stronger tower at 226 degrees just fine PLUS it picks up a tower located at 56 degrees which is 55 miles away basically in the opposite direction as the 226 tower.In the old days of TV you had VHF and UHF and you had two types of antennas to pick up each type of signal.  You still have both bands and you will still need BOTH types of antennas built into whatever you get.  One set of waves is picked up by circular shaped antennas and one set is picked up by straight lines.  If the antenna you're considering doesn't have both shapes you will have poor reception in one band or the other.Now things get tricky.  Channels 2-13 are VHF and channels 14-51 are UHF BUT when things switched to digital signals the towers changed the frequency they broadcast on.  My "Channel 13" used to broadcast on analog VHF channel 13 but now broadcasts digitally on UHF FEQUENCY 17.  So although it's channel number is 13 and in days of old I needed a VHF antenna to get it now it's 17 and I need a UHF antenna.  Meanwhile two other channels broadcast in VHF frequencies.  Also you don't get just a single channel.  Most of these "stations" broadcast 3-5 different channels ie. 13.1 13.2 etc.FWIW the VHF towers were not picked up by this 1byone antenna because there are no long straight things sticking out.IMPORTANT:  Antennaweb.org will tell you the broadcast frequency for each channel in your area.Finally let's talk about the actual antennas.  Today's antennas are MUCH smaller than the monsters that used to be on houses but they do a MUCH better job at picking up signals so they don't need to be as big.  I learned a lot about antennas but here is the summary.  Any disk looking omnidirectional thing is going to have a hard time with VHF towers.  Those antennas with claims of "150 mile range" that look like you should be trying to pick up the signal from an elk that has a radio tracking collar where the antenna rotates... those that show up first in the Amazon search... yeah they're basically all the same made by the same Chinese company marketed under different brands.  The rotor burns out and or the internal electronics fail within a short time.  They're cheap and break easily.  Do not buy them.  Repeat after me "I will not buy them."  One more time.  DO NOT BUY THEM.  Lava Five Star PBD View TV.... I'm talking about those.That leads me to the ClearStream 2V and 4V.  Honestly... just buy one of these save yourself the headache and be done with this.  I got the 2V with the wire grid to optimize signal pick up and it picks up towers classified as yellow green and red on AntennaWeb.org.Now for the one star rating.  Why does this antenna get 1 star?  If you have an RV and you're going to set it up near a city and you just want some stations I'm sure this is fine.  If you go to AntennaWeb.org and all your stations are in yellow it's likely fine as well.  It delivered a picture from the one tower it was receiving.  There was nothing "wrong" with the physical product HOWEVER the product INCLUDES the product description which is supposed to provide "product information" that is at least reasonably accurate.  The  information about the product is just a series of bold faced lies meant to mislead consumers.No one has time to educate themselves on the intricacies of every single industry for every single product they buy.  The purpose of the product information is to inform and educate the buyer and even in a "buyer beware" world when the antenna claims 100 mile reception and your stations are 33 miles away you ASSUME that no company would overstate the capabilities of their product THAT much.  You ASSUME that even if it's 1/3 as good as they say you're still covered.  Yet this product did the opposite.  It purposely misled.  It forced me to do hours of research to figure out what's wrong with a $70 product because support NEVER got back to me.  Plus NOW I don't trust any of the product descriptions on these antennas so I have to understand what's behind those claims.  Most importantly the product and its marketing lies caused me to spend one evening mounting this thing and another evening taking it down followed by yet another evening replacing it with something else.In short this little antenna cost me far too many hours of my life that I will never get back and support is non existent.  So since the antenna the company and their marketing have no regard for my time I thought I'd spend just a little time exposing their little game and saving YOU from wasting your time.  Spend the hours and hours and hours I just saved you doing something amazing for the world!Cheers.
4,The antenna is easy to install and is a good value.  I mounted the antenna on an exterior wall and connected three televisions.
5,The antenna arrived as expected. The outer Amazon box was un damaged but the antenna original box showed signs of wear and tear. When I opened the box I realized it had been a returned item so I was concerned. However I gave it a try and I picked up almost 20 additional channels and problems I had with existing channels (pixelization) was gone. This antenna is definitely a great purchase for the price. Mine is installed in the attic! Imagine if I install it outside.
5,We originally tried the black window panel over the air antennae; it worked pretty well but our window doesn't face the right direct for optimal reception so picture would often pixilate. Decided to try the 360 degree antennae. Mounted it in our attic space and extremely happy with the quality and number of channels we now receive. Just bought a second one for our bedroom TV (didn't want to risk splitting the signal)
4,Had to run extended cable and splitter but it has 3 TV's and one FM Stereo on it and all reception  is greatly improved. All local channels went from 2 to 5 bars dumped a rotor antenna for this. It works great.
5,Dislike:  This outdoor antenna needs 110 volts a/c to operate.  Like:  I mounted it indoors and it works great.  The mounting mechanism also worked great for me. My friends think I have some clever spying device in my home.  Many don't remember rabbit ears.
4,Pretty much "plug n play" . Although a solid poll for mounting is a must.This was used in a coastal pacific northwest location with line of sight at the local repeaters.It pulled in 13 channels with good reception.
5,I installed it on the side of a metal sided outbuilding and immediately pulled in dozens of high def channels. Very pleased!
4,we did not get very good reception on our RV antina but thhis worked great and easy to set up
5,I have bought (and returned) at least 15 different OTA antennas and this is only one of 2 that actually work well....easy to mount and gets many channels.....the only other antenna that worked as well was the old style metal one that is bulky and big...this unit is compact and has a long coax so it can mounted outside-nice and light and u can move it for the best signal...i will not be returning this one!
5,Easy to install. Picked up a lot of channels immediately. Happy with this product.
5,This thing works Great! I read some reviews and 1 was bad and 5 were good. So I decided to get one and see for myself how it would work. Amazon has a Great Return policy if you want to send it back. So this Antenna not only picked up my original channels clear as a bellit also got me 18 new channels and it performed well in a big storm  that hit yesterday. I mounted it on my old Antenna tower above the house. I can run 2 TV s off of this thing at the same time So I wont be sending it back.
3,Its not the antenna in most cases that will get you any channels its your location and proximity line of sight to the stations antennas.  If you have a hill in the way between you and the antenna HD is not coming your way from that station probably 5 miles away.  If you don't have a hill in the way you might be able to reach the full advertised distance.  That not just this antenna its all of them.I was very disappointed though on the claim of signal from any direction hence the main purpose of having bought this thinking put it up circular design omni-directional will get all the stations I got with the past straight antenna without having to position and maybe I could even keep it in the house and not have to climb to the peak to install.  Its a fail position direction and angle of this antenna all impacted even the basic channels that we can get quite easily with most any of the advertised antennas.Its that set where the direction has to be right and the line of sight right that this fails on too.  held it in many locations with good direction to the antennas it mattered which direction the circle was pointing or you got some or none or the additional tougher channels some.I've come to the conclusion just get an antenna that is the least price and points in a direction toward the television stations they'll just as good as all this high priced false advertising and fancy look and feel.  Can't give it a 1 cuz it did sort of work just not as advertised but none of them do its my 3rd variation of trying this time around.
3,Would not pull in all channels until I tilted the top of antenna towards the towers then it pulled in the channels
4,Ordered it and it was simply to install. I also order a flat cable to use it through my window. And ever sense I installed it. Picture is clear. And haven't had any issues with it. Only issue was when I first scanned the channels. I got some channels that was black. Second time I scanned. They was gone.  I didn't get channels I thought I would of received with this product. But that not the products fault.  If you get this antenna it worth the price. Just don't forget for the flat cable.
5,We just no longer needed cable. This device gives us as many channels as we need. If we need something else we can pay for it individually and still save $50-$75.00 a month.;';
5,It's by far one of the best amplified antenna tried some others but can't beat the reception or durability.
3,Had a cup of water in it after the first rainfall
5,Works like they said it would. So easy too install and set up!!! Works great and definitely recommend!!
5,Way better than a flat wall mount!
5,I live way out in the country and have had to use streaming service because I could never get any more than a few channels. I mounted this antenna on my roof and instantly got 75 channels. I am no closer than 48 miles from any tower and was amazed at how many channels I got. It was very easy to install and only took about an hour. I made sure an installed it in an open area and pruned back some tree limbs so there would be no obstacles getting in the way. I got another one to use when we go camping and I can get anywhere from 50 to 60 channels. Great buy and worth the money.
3,The primary signals in the area do not come in; 6.1 8.1 and 12.1 . All the associated channels come in beautifully; like 6.2 thru 6.6 8.2 thru 8.5 and 12.2 thru 12.5 . The are transmitted from their respective towers. Each channel main number has its own transmitting tower.
5,Easy to install clear picture and receive 92 channels.
4,I thought I’d get more channels with 360 but got more channels on my old standard antenna but still had great picture
5,Muy buenos
3,Antenna is lite weight.  But it does not pull in channels 100+ milesEquipped line amp that comes with it is no good. I had to use a higher amp to pull in channels. Most channels I get are from south bend Indiana and I live in Michigan along the lake.
