rating,review
4,Good mic good quality but this mic NEEDS an audio interface with a gain control or it just simply doesn't sound loud enough to use. this will set you back atleast another 100 dollars.if you are just wanting a microphone and have no interface get a usb mic. just as good for cheaper
5,The brackets that hold the elastic bands end up breaking because the weld fails…. Then the mic no longer sits in the middle of the mic holder.  I would get another style that has a better design and that is built more durable.  The sound is pretty good but because the brackets break the microphone looks very unprofessional and low budget.*** update ***Contacted company and they immediately sent out replacement.  I always say things will happen but it’s how you handle it that makes the difference.The new microphone is holding up.  Very quick response from company. No questions asked.
5,This mic rocks makes my radio sound loud  and clear audio  thinking of getting  one more
5,For being an inexpensive microphone it's pretty good just make sure to talk or sing directly into it
4,I'm working on building a home recording "studio" for my own personal projects and found that my normal dynamic mic wasn't cutting it for vocals so I bought this condenser mic to use with my new Scarlett 2i2 Audio Interface.For the price and what all you get this is a steal of a deal! However this mic has no bass frequency or warmth to it. It just sounds a bit on the higher side for me. But it works and sounds good enough for now. I tried hooking up my dynamic mic too but it didn't seem to get the sound I desired.The clamping boom arm stand pop screen  mic cradle and cord were well worth the price.
5,The 360 part is kind of lose could be a little more stable. Overall the microphone is grate I would recommend if on a budget.  GREAT PRODUCT!!!
4,At the time of writing this review this product is $59.99. You get really good value with this product the boom arm is really well built and the microphone feels solid however there are two weak links in the package namely the pop filter and the xlr cable.The pop filter itself is good but the part that connects to the boom arm has a shape that does not lend itself to fastening tightly enough. No matter how much I tighten it it still moves I have no idea what they were thinking when they made it like that.The XLR cable on the other hand is completely dead I had a feeling the cable would be trash and my intuition was right. I tried it in both inputs and the results were the same absolutely no audio whatsoever. It's a good thing I decided to buy a separate XLR cable at the same time I purchased this item.But even with the above issues I still think this is a great value product.
4,Works great and provides plenty of value. Tightening some of the screws feels iffy; they don't hold in place without significant force and so it might break. After many months the only part that's given way is the pop-filter arm base. See photos. The metal tension screw went all through the soft plastic. It still works for its purpose but I need to place it carefully before tightening and it takes the paint off the metal.
4,The mic is good and the setup of it is very easy only proplem I had was with the pop filter it would not stay on the bar when tightening when having a closer inspection I noticed a crack on it most likely when I was tightening it but the fact I had to tighten it to much that it cracked for it to stay is not good quality of the peice
4,Overall I think this is a really good budget package for hobbyists podcasters and streamers. I really only have a couple complaints about it.First regarding the boom arm: it's decently built; it has a nice solid feel and holds its position without cranking down the pinch screws. It is doesn't have quite the range of motion at the base as I expected but it was sufficient for my purposes. It's also on the shorter side so the overall reach is not the greatest. I did not like how freely it rotates; I have mine clamped to my desk and it kept swinging towards my monitor--there is absolutely no resistance to it. A quick wrap of electrical tape solved that problem but it would be nice if it had a set screw in the base or were tighter fitting.The microphone is great! It feels well-made has good sound quality and doesn't pick up lighter background noise. I will say however that it is SUPER-sensitive. Initially I had it going to my interface and then PC. With the gain turned all the way down I still needed to keep it a foot or better away for normal speaking--nevermind singing. It was necessary to add a mixer between the microphone and interface to adjust the levels. Other than that I haven't had any complaints. It certainly doesn't have the sound quality of expensive microphones but it's really good as budget microphones go.
5,This product is A1 is as described and the quality and feel will impress you. At an extremely good price point you get everything you need to start recording comfortably. Easy instructions and setup. Recommend this bundle
3,The mic is alright.. durable for sure. The input signal is too sensitive though even with the input knob being all the way down on the interphase. It's good f you're just using for podcasts or streaming videos but for recording music? Not so much
4,As others have noticed on various reviews the clamp for the swing arm base is kinda useless in the real world...  The swing arm itself is pretty nice and well built.  The mic is well interesting.  I hooked it up to a Bogen MX60-A tube amp that I added phantom power to.  The sound quality is pretty nice when you are inputting at low levels such as speaking quietly.  The one thing I did not like was when you have a more aggressive input such as a musical instrument or singing the mic gets a substantial amount of distortion going on.  It is also highly susceptible to angry aggressive  feedback...  I am unsure if that is a design thing or something common on cheap condenser mics.  My other mic is a SM58 so I don't have a good comparison.  Anyway it works pretty good and would be excellent for podcasting blogging youtube and the like.  I need to get a stand alone power supply for the thing then I will be testing it on other platforms.  If I find something really good or bad at that point I'll update.  UPDATED 1-22-21  I purchased a external phantom power unit for this mic and plugged it in to a more conventional amplifier.  The sound is still what I would describe as grossly overmodulated at all but very quiet levels.  Sounds good at a a Very Quiet spoken level and starts breaking up at normal to loud conversation levels.  All in all I'm just not impressed.
5,Arrived fast and was easy to set up and use.  Integrated easily with my DAW.Cable was a bit wonky and the business end did not fit into my Interface box well but fine into other amp rigs.  I just used another low impedance cable on hand.The mounting and arm are very sturdy. Certainly well made.Overall I am very pleased with this product and would totally recommend.
