rating,review
5,Used it to clean the heads on a VCR to get the picture back.  The old tapes I was playing back had soiled the heads so much that the picture went dark.  Ran the cleaner through it to restore the picture which it did.  I've had to do this a few times now and it worked everytime.
4,Very easy to use on vcr built in to a 12” tv
5,Yes. We have a great library of VHS Tapes. This cleaner has kept them all rolling on!
5,Gets the job done and provides a clearer picture.
5,A few years back I purchased a different brand through Amazon an it trashed my VCRs. I still had one of the VCRs that kind of worked. I used this product on(in) it and I now get a good quality recording!!
5,Sound in Walmart sound and picture of the quality product was good
5,easy to use
4,so happy with it
5,This product was easy to use; it did a very good job cleaning my machine so I could watch the games I had taped years ago. It arrived ahead of schedule too!
3,did not clean well left a film on heads and rollers
3,A good seller fast shipping & well packaged. But it did not work at all even tho I followed the directions closely. I won't blame the cleaner because my VCR is old probably beyond usable but worth a try.
5,I'm happy to report that this VHS Head Cleaner was just what I was looking for!  Due to the sharp decline in VHS Players: Cleaners for them are extremely hard to find!  In fact: Even the major stores no longer carry them!  Consequently: I was delighted and relieved to find one still available on line from Amazon.  As for the product itself: it did a fantastic job cleaning the one-and-only VCR I stil have!  The sound quality of the Video was as good as new!  Consequently: I'm a proud and totally satisfied owner of this product.  furthermore: I plan to use it to clean my VHS Player for as long as I can.  Although I obviously just received this cleaner: I can't help already wondering if one will still be available the next time I'm in the need for it?  As usual: I suppose only time will tell!  IN closing: Let me say that I highly recommend this product; and would recommend it to anyone in search of a suitable VHS Head Cleaner.  Furthermore: I'd like to express my sincere thanks and immeasurable graditude to everyone who was instrumental in making the obtaining of this phenomenal product possible!  I'll never be able to thank you enough!
5,Like quality
5,Great picture quality sound and easy to use.  Good for 30 cleanings too.  Buy it!🤠
4,This product worked the first time I used it.  However the second time it did not work at all.  I emailed customer service at Arvista and received a prompt reply with the choice of replacement or money back.  I chose replacement and another disc was sent right away.  I am pleased with its performance and really impressed with the excellent service I received.
5,Cleaning tape worked really well on OLD VCR.  I really like the note they included with the instructions that speaks to them being a small family owned business that stands behind their product!  Perfect.
5,It helped in bringing in a clear picture.
5,Okay picture is perfect thanks r
5,Cleaning our VHS unit.  Exactly what we needed
5,Just what I ordered
5,Liked
1,Today was the first time that I decided to give this VHS Video Head Cleaner a try and I was not expecting it to go well so I  wasn't surprised when it did NOTHING. That's NOTHING like... it wouldn't even PLAY FF or REWIND for more than 2 SECONDS...and that was shocking. When I tried a videocassette tape to see if there was any damage done to my "Vintage VCR"; thankfully it just showed a scratchy looking playback instead of being majorly wrecked.  I then threw my very OLD but very GOOD vintage Scotch VCR Head Cleaner Plus into my VCR to clear away that scratchy playback and it did the job as always. I don't get how a Brand New Head Cleaner isn't worth anything compared to an OLD (many years old) Scotch VCR Head Cleaner; what can I say...they don't make some things the way they use to. I'm done trying to find a replacement for it because Scotch isn't making them anymore but the one I have must've been the best one they ever made No Joke.I don't even feel confident in asking for a replacement for the Arsvita Cleaner nor do I want to be BOTHERED to ask for a refund because I don't want to waste my time anymore than typing this review.
4,I'm happy with my purchase but I find it astounding that there were no instructions with the package.I didn't know whether to run the cleaner tape on the "Record" setting or the "Play" setting.  So I did both.Also  there is a cleaning cloth that came with the package that feels like an eyeglass cleaner however I still don't know what to do with it as far as cleaning my recorder heads.I tried to submit this review without choosing a star rating but it  wouldn't allow me to do so. I just chose the middle stars for the heck of it
5,VHS player worn-out cleaning tape can't fix that
5,What these products to see if it would help my tapes and CDs play without freezing up a lot I see some improvement but I do believe my VCR is just too old
4,It is easy to use without pressing the on button.
