rating,review
4,It works as it should except every so often i have to push the device back into the port because it shakes it's self out of the cigarette lighter port just enough to lose connection from just driving around over time. I don't have that issue with other things i plug into the cigarette lighter port and none of the wires are under any sort of tension. I have had it in my car for a little over a year and use it regularly and the usb ports still both work and both still grab the male end of the wires firmly so that's nice.
5,We are on the road camping often and wanted something that had a better charge time to it - this is a must-have! Nice quality and fast charge.
5,I love that it has 2 ports to charge at the same time. Works great.
5,Bought 2 of these and LOVE them. Works very well and is low profile so it's 3sticking out enough to be in the way.
4,Glad I picked this 1 it works as described.
4,For my purposes this does the job for car charging use. Feels like a solid charger looks aesthetically nice cord is cool looking small (but not too small) in design... just right. Only reason it's not 5 stars is that it states it's a fast/quick charge & it is not. I'm assuming that due to the cord not being quick charge capable. Doesn't charge slowly at all just not quick charge. Worth the buy though!
5,I love this charger for a fast charger but My daughter loved it more! The only dislike is that its flat with your car and tough to get out.
4,This charger is worth it better than my old car charger! I'm  so glad that I went ahead and got it as a replacement! The material is in really good quality and it really charge my phone fast plus the charging chord that comes with it is a plus! I'm happy with my purchase and definitely will repurchase. highly recommend this product! It is worth every $$!
5,I drive Uber and Lyft and their apps suck the life out of my phone. I now drive around with 100% power running both app and Pandora at the same time!
5,Nice size seems to be very durable.  Also will charge two units at the same time.
5,My son weàrs out his phone on road trips and some chargers can't keep up but not this bad boy it's got enough power for fast charging and it's build very well.
5,works as advertised
5,excellent product and service!
5,Very well made with a metal body that feels substantial.  The two ports work as advertised and charge my phone quickly.  I normally buy the cheap ones (>$5.00) but am glad I spend a few dollars more for a much better and useful product.  My other dual chargers only have 1 2-amp socket.  The second socket is 1-amp which won't charge my phone if I'm using it to navigate.  This one has two fast charging ports which is a great improvement.  My only complain (I won't deduct stars because it is more of a personal preference) I wish it did not have the power on light indicator.  I find the light distracting when driving at nigh.  Also I use it in a camper van and have to unplug it at nights because I find the light too bright.
4,I needed a car charger that supports quick charge and I previously used the Anker roav car charger that had an app that drops a pin location when you disconnect and reads your car battery level.  I was very happy with that until the app just stopped working and i ended up losing it.  I couldn't find that model anymore and the newer version was too expensive for me so i started looking for alternatives and came across this one.  It looked good and was a great price so i gave it a shot.  It worked out very well.  The charger charger my galaxy s20 ultra really fast.  Did i time it?  No but it always topped out my phone pretty quickly when i plug in and it feels a faster than my previous charger that supported quick charge 2.0 enough to be noticeable.  The build feels good and durable and it sits flush in the port so it looks really slick.  I couldn't give it full 5 stars because more than once I popped it into the lighter port and plugged my phone in only to realize later it was not pushed in far enough so it never charged.  Obviously that's on me for not paying close attention but I feel like it should be more self evident that it hasn't clicked into place.  Plus it is sometimes difficult to pop it back out of the port because it's so flush and tight.  But hey maybe some people will prefer that.  If you leave it plugged in all the time that's probably a good thing but since i do not kick leaving it plugged in when not in use for extended periods of time it is a tad difficult for me to remove and reinstall.  But otherwise it works beautifully so 5 stars for the other features.
5,This thing is heavy which makes it feel like a durable quality product but what steals the show is how fast this charger juices up phones! Seriously it charged 2 phones nearly 50% in maybe 10 minutes. Will buy again!
5,Like the fact it saves space and came with a coed
4,The quality of the product seemed very nice and sturdy unfortunately it didn't work with my Pixel 6 Pro with a Qi wireless car charger but the seller was very polite and helpful to get it refunded.
5,Fast charging is fantastic and works perfectly. My issue is the fitment is a bit tight for my car's charging port and makes it difficult to insert and pull back out. If you are planning on plugging it in and not removing it each time you turn off your vehicle then it will provide a very secure connection and wouldn't be an issue until it comes time to transfer to another vehicle. It is so tight for my vehicle that I'm afraid one day it may just pull the charging port right out from my car.The cable that comes with the charger is a bit stiff and rigid but feels sturdy and made to last. I replaced my cable with a thinner lighter one that came with my phone. Overall it's a great purchase quality built heavy use fast charger that simply works each time you plug it in.
4,good value
5,It really charges fast saved my life as we rely on gps
5,Works very well.
4,Perfect for what I needed. I need one that didn’t protrude much from the cigarette socket so I could still close the cigarette tray in my Mercedes
