rating,review
4,I don't ever do reviews but I was really interested in this product. I was more so buying it for temperature monitoring because I'm trying to conceive right now and I suck at bbt and remembering to do it first thing.The temperature isn't much off its not as accurate as my bbt thermometer and I use it more so as an alarm to wake up before my other alarms to take my bbt accurately. If that doesn't work I then fall back on my deep sleep temp time.What I was surprised about was the monitoring my blood pressure and heart rate and the accuracy.I'll have stressful times throughout the day and or nightmares at night and im able to specifically see when a spike happens and its really cool. I think if you're looking for a watch that takes a pretty accurate monitoring of your vitals you should get it. For the price its pretty great.Picture is at 1:30 a client at my work was making me mad and I was venting to my boss.
3,Caveat: my remarks are for the bracelet and RunMiFit in combination. Most functions like the sleep monitor function must work with the app to be useful.I purchased this Fitness Tracker for one reason - to monitor my sleep while I am participating in a CBT-I program to resolve my insomnia. I wasn't able to accurately recall wakeful periods to be accurate in my sleep journal so I bought this device. Initially I thought it was amazingly accurate on my wake cycles and even logged when I dozed off without realizing it during the late night phase of Sleep Compression. However after a week’s use I find that it it mostly misses short awake periods of 10 or 15 minutes. These shorter awake periods are important for CBT-I so I am now less impressed with its results but remain impressed by the technology. It gets right the start and end times of sleep but misses wakeful periods in-between. Since it never reports REM sleep I lack confidence in the marked “deep” and “light” sleep.It also seems to do all that other non-sleep stuff such as step counting heart rate blood pressure temperature notifications from phone etc. etc  but I didn't buy it for that.  I bought it for easy sleep monitoring and it isn’t as accurate or useful in that capability as I initially thought.Negatives:- If you don’t wear it all of the time it discharges quicker than if wearing it - it spends energy blinking LEDs trying to find my skin and I'm not there except when I put it on while sleeping. I shut it down using the device’s menu and turn it own (by plugging into a USB for a few minutes).- As noted above it it misses short awake periods say 10 minutes.- There is a bug in the runmufit app’s presentation of REM sleep. It simply doesn’t work. The only time that the app has displayed REM sleep was one time during periods when I was actually awake. Total time asleep is generally accurate. Awake periods mid-sleep are usually missed.The runmufit app is necessary to achieve the full value of the device. It is installed via the Google Store website which I vastly prefer over installing a vendor supplied backdoor installed app. Runmifit is on the Google app store but some other similar devices are not there.
4,I like it’s water proof and you can program certain features. It’s hard to shut off to charge and it’s hard to charge as you have to pull the watch band off to charge. You cannot just plug it into any USB either. It’s akward to get it to fit. Switching between modes is also very touchy and you have to go through them in order each time to get to what you want. Nice overall though and works good so far
4,It works great if you are going to use it primary as step tracker. I use it as watch step tracker and to monitor calls email texts. Blood pressure pulse and sleep tracker function are not reliable and totally off readings.I use it all the time - walking swimming cooking etc. so it is extremely durable. The battery lasts a week or more. i lost my first one so I bought another one. Overall good purchase.
3,Had this just 12 hrs so I'm still learning.  I was looking to for something along the lines of my Polar branded fitness watch this isn't it.  Software has access to your Google Account....big no for me.  Software isn't compatible with my Windows 10 well at least none of the emulators are so I can't even try it.  Sleep monitoring was way off.  Never achieved REM according to the monitor and during my workout it showed I was in a deep sleep.  Heart rate way off.  Showed 48 while my Polar with chest strap was showing 135 and I got a 130 doing a manual count.  BP was close to my cuff readings on 6 different tries so that's not so bad.  Body temp was right on every time.  Overall I rate this a 3 as it's passable for a pedometer watchand thermometer.  I wouldn't rely on this for much else but hey it was only $20.
3,This is a great item for general info but it isn't reliable .We have 2 oximeters we know are accurate and coincide with our doctors equipment  with that said  this item does not read your O2 or your Pulse Rate correctly .It does have a nice phone app interface with lots of info  however  I have sleep Apnea and my husband monitors me as I sleep  when I skip my breaths in my sleep  this unit registers my sleep under deep sleep ........ I literally wasn't breathing so I guess that's a pretty deep sleep  ehh ? ....The unit has potential ... I like the watch feature and long lasting between recharging .it simply plugs into a USB to charge ...Its a great item because it has potential but don't bank ur life on its readings  they're not accurate .
3,This watch is amazing except it won't charge! The sleep tracker isn't the most accurate as it will have me down as in a light sleep even though I'm awake but sitting still at night so that's understandable. The temperature is completely off my daughter came up as 96* but actually had a 102 fever. I didnt get it for temperature though so I really dont care that it was wrong. I have compared the blood pressure heart rate and O2 to the cuff and oximeter I have that I know are accurate and the watch was ACCURATE! I have a serious heart condition so being able to continuously monitor those things is amazing.If only the watch would charge!!!
4,Two things I don't like: the step counter counts some moves as steps when they're not just because your arms are moving and the flashing light if it is on but not being worn. I wanted to use it for the water reminder and not necessarily wear it unless I'm doing something but that little flashing light is so annoying! Those two things are the only reasons I'm giving it 4 stars and not 5. Other than that it's great!
5,The media could not be loaded.                                                                                             At first glance this product does everything as advertised!  Now can it last?  For 25$ and what it does is amazing!  It’s very accurate only a few 10’ths off on tempature so I’m guessing all the other measurements are similar.  There is a small piece of film that protects the sensor on delivery so make sure you remove that for best results.  It’s not to bulky and easy wear and pair with your smartphone.  You can change the face and settings from Celsius to Fahrenheit.  I check my temperature every day on a machine at work and compare it to this watch and it’s close enough to trust the measurements.  If you take it off you will need to re connect to your phone and wait a few minutes for it to reset accurate readings.  I would not wear it if I was swimming but you can wear in shower it says.  Time will tell if it holds up to my clumsiness.  I wear on the inside of my wrist but you don’t need it to tight to get good readings.  I will come back in six months with follow up.  The lady that sent it to me sent a a little cartoon booklet as well from China about her online business she sounds very sweet and the cartoon was adorable!  11-25-21Follow up after almost a years worth of me beating it up I would add a screen protector but even with all the knicks and scratches it still reads well.  The strap did tear and had to repair bought a second one just in case and can replace straps.  I would say temp is off by half a degree to almost 1 full degree if it’s reading under 97.  Other than that battery still goes at least 7 days without charge.  Highly recommend for the price point.  Although I would say the sleep monitor and steps are a little off but still at this price point close enough for me.10-1-22 so now that I’ve had it over a yr I will say the strap does not last but I would still trust all of the readings.  You need to sync up with the app so you can add the outside temp as well on one of the home screens.  Also turn off raise to wake to extend your battery.  I tried sport mode when I started biking and it works okay.  It calculates calories and steps during workout time.  During the time I had to quarantine from Covid this little watch helped me monitor my blood oxygen and temperature while I had an ice pack on.  Really helpful.Sam M.
5,Just as Samsung kills their Health App body sensor connectivity with their latest software I ran across this neat device. It was nearly charged when it arrived but I ran into one glitch: scanning the code for the app on the enclosed document. My Security software flagged the downloaded "com.ptkmr.ttca.m51" as dangerous and uninstalled and quarantined it. I installed Runmefit from Google Playstore  and it's evaluated as trustworthy and no suspicious activity has been detected. Quickly got connected and I was able to configure and use the tracker in short order. I love it.I plugged into a USB port to charge and it was done in no time. And the battery is still fully charged after a couple of days. It's kept a running log of measurements and results are what I expected. Not verified against a standard but matches my usual measurements. Although the pedometer doesn't count steps correctly. It doesn't match my phone but I haven't tried counting to verify what the correct count should be. I noticed that the watch does get it wrong when I'm mowing on a tractor - it counts steps that may be terrain features. Not really important to me but I'll check that feature one of these days when I'm hiking a known distance.It certainly has a lot of features for such an inexpensive device and is easy to use. I'm very pleased with it.
