rating,review
5,Just got the 32GB Aiworth MP3 player today and after a couple hours of playing with it I am stunned how good this little device is! The Bluetooth 5.0 output is solid strong and sounds fantastic much better than the average Bluetooth players I've had before. I dumped more than 11 GB of my MP3 files into it in about 15 minutes then linked it to my Bose QC earbuds and later to my Denon BT receiver amplifier - and it sounds great on both! No dropouts stutters or funny sounds for the past 2 hours just pure music. Even the FM tuner auto-tuned 28 stations where my Denon AVR-S960H's FM receiver can only manage to find about 7. Then I linked the FM audio via the BT link (using the included wired earbuds as an antenna) to the Denon and this $40 device sounds better than that 850-dollar receiver!  My house sits in a 100-foot deep valley near a creek at least 25 miles north of the nearest FM transmitter so my radio reception has always been lousy noisy fading and weak.I put almost all my MP3 music collection on this thing and it's so small and light you could carry in a light weight seersucker shirt pocket and hardly notice it!  The interface has an intuitive and low learning curve. It has a nice 2" x1.5" display that is easy to read and understand. Very nice design and high quality which is so hard these days to find for 2 or 3 times this price.However within 10 minutes after I got it out of the box I managed to lock it up it was still on but wouldn't respond to any buttons. Don't know what I did to do that but I noticed a tiny hole next to the USB port stuck a tiny wire into it and it shut off. I turned it back on and it has worked fine since. I thought oh well I've done a factory reset and that I would have to reload all the songs but I didn't lose a single bit!So far so good this one is a keeper and I plan to take it with me and my Bose earbuds everywhere I go!
4,I bought this item because I have the Aiworth voice recorder and was impressed by the quality. This MP3 player leaves me a little less impressed and I'll explain why if you're interested. But the bottom line: 4 stars because it is stylish functional and as good as any other at a similar price point.If you want my quibbling details read on!First marketing this as a small lightweight player is off the mark. The old SanDisk ClipJam and modern clones of it are *much* smaller (see photo) Calling it a “touchscreen” is a bit misleading: see the icons on the screen? Well you don't navigate by touching them.  Instead you just use arrows to plod along to your destination.Unlike with most other players there is NO onboard memory but they DO give you a 32 GB TF card which you can also swap out if you want more. Unlike some this will support up to 128GB card so you could have a bazillion songs.The body itself is a big plus: it is lightweight sleek and looks and feels nice in your hand. I was really put off by the sticker on the back which marred the tactile appeal and at first I was afraid to scratch the device removing it. TIP: I found that after soaking the sticker with Goo-gone for 10 minutes it came off easily and cleanly.  That's a good thing because the aesthetics of the device make it stand out.The player come with Bluetooth 5. But what are the real world advantages? That's  not so clear. You can’t transfer files or charge via Bluetooth so what good are the “faster speeds?” In theory it will transmit over greater distances (say 200 feet versus 400 feet) In theory Bluetooth 5.0 also enables a cool new feature that allows you to play audio on two connected devices at the same time streaming to two different pairs of headphones or speakers. But my research tells me that you get that advantage ONLY if your headphones or speakers are also Bluetooth 5. So can anyone can confirm this functionality?In general I'm  not sure why this (and other players to be fair) add needless extra features which only make for icon clutter. For example: there is a radio but that only works with wired headphones not your bluetooth connection. And do you really want to watch a video on this? (Well only an .avi file because it doesn’t support more modern formats) Or read a book? (Well only a text file because it doesn’t seem to support .epub or any other real ebook format) That said the voice record and alarm features could be handy.But let's face it we bought it as an audio player and for that it performs well but again with caveats. It will play almost most every format you want with the notable exceptions of both AAC and the lossless ALAC format (too bad Mac users!) Ability to play FLAC is a big plus if you want audiophile quality. They tout the onboard DAC (digital to analog converter) and that is considered an upgrade. But is it Wolfson or Cirrus DAC or something else? Who knows? And will your ears hear the difference especially playing mp3?A big FAIL and a basic one is a lack of “shuffle all songs” feature especially with mega-storage. Why??  This matters even more because the  playlists feature is worthless: they must be tediously created song by song. The player does NOT support importing iTunes playlists of course. Sadly  it does not seem to support the standard .m3u file type for playlists which can be easily created.At this point you probably wonder why I give it four stars. Well I’m imagining many users don’t care about all these points; they just want a good looking functional player.  If you are interested this is good one especially if the caveats I noted don’t matter. Happy listening!
4,The media could not be loaded.                                                                                 I need to say when I first got this device I hated it. My music player before this was an old gen 2 iPod and I wanted the interface on this to be exactly the same. I'm an audio book guy and I immediately noticed that when I turned off the device then turned it on later it didn't remember where I had last been listening. BUT then I found the 'Last played' item I could select off the main play menu and that problem was solved. Now my thumb selects 'Last played' without any conscious effort. The second problem I had was that the buttons are VERY sensitive and when I would get it playing and drop it in my pocket something would get pushed and I would lose my place again. BUT then I realized that the right side button locks the keypad out and you can safely trample all over the keypad with no worries about messing up whatever is playing. The third problem I had was I didn't think there was a shuffle function. BUT then I found that there is but that option is only available WHILE A SELECTION IS PLAYING. Get something playing push the menu key (button with 3 horizontal lines) and shuffle is an option.But here's what I really love about this thing: the battery. For years I've used 2nd or 3rd generation ipods. I loved them for being so functional and lightweight but you can't buy them new so every time I bought a "new" one the used battery was always a crap shoot. I got so tired of the battery being dead on my iPod that I decidedly to gamble on another product. The battery on this Aiworth is fantastic; I essentially never think about charging it. I just grab it and it's ready to go. It's almost true to say that whenever I plug it in to load up a new file that's all the charging time it needs.There are a couple disadvantages: 1) the screen is too dim. When you're outside in any kind of sunlight forget about doing anything that requires seeing the display. 2) There isn't a scroll-to-the-point-in-the-file-you-want like there is on the iPod. Instead you have to use the fast-forward/rewind buttons to find the spot you're looking for. The longer you hold the button down the faster it goes so it doesn't take that long to get to wherever you need to get to but just not as nice as the iPod. 3) Occasionally the max volume isn't quite enough to hear an audio book clearly like walking on a street with lots of cars zooming past or using a loud lawn mower but it's not bad at all. 4) The bluetooth works but the signal appears to be weaker than the signal from my phone. I can use wireless earbuds with my phone and walk all over the house but for wireless earbuds to work well the device needs to be very close (i.e. hanging around my neck). Also it is a little heavier than the old iPods but not enough to bounce around in my running shorts where I put it when I run.Here's what else I like. 1) As I said above the buttons are super sensitive but I've come to really like this. It makes for smooth and fast navigation. 2) There is a built-in speaker that is quite a bit louder than I expected it to be. This comes in handy for playing something for others to hear which is a feature you don't often get with a small player. 3) The voice recorder is potentially super handy although I haven't really used it for anything yet. 4) The radio is another fun feature but also not used much.Like anything else the navigation takes some getting used to. Hopefully the video is useful in giving you an idea how it works. Highly recommended if you want great battery life and an overall very functional player.
3,I am happy to find ANY MP3 player of apparently solid build so I don't want to be too harsh -- I want to be constructive and hope the manufacturer takes what they have reads the feedback and redesigns the user interface so I can give them 2 more stars and be a really happy customer.  (And they can sell a lot more players as the word gets out)When trying to navigate this thing as a new user you have what appears to be "iphone"-type buttons at the top -- but the real buttons are below that -- often invisible unless you push enough places until they light up.  Bad enough.. but the buttons below don't actually correspond very well with what is above and what is above is a tangled mess which places "play radio" in the #1 spot so you will find yourself over and over again caught in "radio hell" ...  which really is hell because the radio doesn't appear to work except to generate static.  And WHAT PERCENT OF USERS BOUGHT THIS TO BE A RADIO ANYWAY????  I suggest the radio and pretty much all the specialty stuff be put in a sub menu which can't be entered very easily while trying to just do something normal ... like replay change song or change volume.I'm going to leave my feedback at that.  I'm a new user and I hope I can keep this thing and figure out how to work around the weirdness (I have no hope of ever understanding why the UI is this weird to begin with).I am coming from a Sansa Clip by the way:  Approximately 1/4 the face size and approximately 1/10th the screen display size but probably 10 times more intuitive and easy to navigate.So there is a lot of room for EASY and VAST improvement in the User Interface of this thing. It is not like there is no prior art on what a good UI should look like.  It should be EASY for whoever manufactures this device to revamp the UI to clean up the issues.  The sound quality and build and other things all appear to be pretty solid.PS It is nice that you included a leatherette armband strap.  I suggest you drill one more hole at the bottom big and obvious enough for the headphone jack to come through?  I looks like I have to drill my own???----update: Ok I've had a few days to figure out better how to navigate it - which mainly comes down to avoiding all those idiot buttons on the opening/welcome screen that are at best for advanced tweaks and as I implied before are of approximately ZERO value to the typical use of the typical user .  At least I think I am a typical user.I have some more SPECIFIC suggestions/complaints for the manager (which may also give potential buyers something more to think about):(1) The controls are on the bottom with the display on top.  It is brain-dead to have the control lights go out BEFORE the display lights.  When you turn out the lights on the controls you actually make it impossible to do something as simple and common place as pause or replay or skip a song.  If you want to save power it makes more sense to turn out the display but leave the buttons visible.(2) The control buttons go black in 30 seconds - apparently to save precious battery.  Meanwhile the idiot display at the top keeps showing you nonsensical dancing lights which you can't control because the controls have effectively been deleted.  THEN the controls get completely locked up in a few more seconds as the top display also turns off.(3) In order to regain control you NOW have to push and hold down the side physical power button.  IF you can find it.  Of course if you are driving or riding a bike or even running you probably can't find it without stopping and looking.  And what if you are using the protective armband case? Well you almost certainly can't find it -- and if the armband is strapped on your upper arm you really really can't do anything without taking the player out of the armband or the armband off the arm or the player out of the holder. So what is the point?Some might say I am being harsh but you really only need to try to use this thing by feel and common sense to really get clear how poor this is from a functional design standpoint. You could hardly make a worse user interface if you tried.On the other hand looking at the alternatives maybe this really is the best choice out there right now in terms - again - of sound and build quality. Oh and ease of adding and editing music (works on win and linux I will try mac shortly).Please manufacturer improve the user interface!
5,The Aiworth 32gb mp3 player is a pretty solid value. It comes with a 32gb microSD card already but that is in fact upgradable in case you want more storage space. It reminds me of the last gen of the Sony MP3 Walkman but with a much sleeker and more functional approach. It’s impressive what you can do with this unit: listen to mp3s via headphone & built-in speaker record listen to and tune radio stations (with headphones attached) stopwatch calendar read TXT files watch AVI files… all with Bluetooth support. It’s not a smartphone nor does it claim to be so don’t expect a touch sensitive screen. It has light-up buttons below the main screen that allow you to navigate around and make your selections.Note: If you remove the sticker (as I did) you get a super sleek black bar of electronics… that is very easy to forget which way is up.The screen is small so reading a full book would be challenging at best but it is legible and the fact that you can store some passwords is kind a slick feature. Likewise video file viewing isn’t terrific but the fact that you CAN means if you are in a place that doesn’t allow smartphones or your phone is dead it’s a nice backup to be able to slot in your micro SD card to this unit. Also at times it looks like there is a graphic equalizer bumping in sync to your music but it’s more of a repeating image so don’t expect an accurate visual representation of your music.Adding in a mass of songs and having it shuffle around works and it can also take your songs that are organized into directories and play them back sequentially as well. It’s funny to think of how much I used to agonize over playlists before… especially now that we have access to on-demand streaming services. However I found traveling and losing cell service means the Aiworth player is my rock-solid backup if I need to pull out some of my favorite music.I was unable to import any kind of playlist (m3u etc.) from my main computer so the only option was to do it on the device which is a bit clunky. This has been the case though for pretty much all of the mp3 players I have owned over the years (all have had proprietary playlist creation) so I can’t really fault them for that.There was mention of an alarm feature in the instructions but every time I tried to make it function it was either too quiet or failed to go off but thankfully I wasn’t in need of that.Connecting the unit to a Bluetooth speaker is quite easy and having that feature makes this a great second device to keep in a bathroom synced to a speaker in case you wanted some tunes while you shower.Another reviewer mentioned that the volume can be too low in a noisy environment and I can kind of agree but I tried a few different sets of ear & headphones and found that ones that were more firmly in your ear canal worked fine for loudness. Using on-ear and over-ear options both were loud enough for me. Basically if your earphones have rubbery wrap around them you should be set. Also it’s underrated that it has a built-in speaker. The speaker won’t win any awards but it allows you to hear sound stored on the device. It is a great way to record someone and then play back for them what they said quickly or share a song without having to share earphones.In addition to being able to play back audio files (and it does this well with the addition of the configurable equalizer to suit your audio tastes) you can also do recording very easily. Sliding the side button puts you into record mode and you can choose the quality settings and away you go.I had it fully charged from dead in about 1.5 hours and got about 7-8 hours of playback before it was dead again so close to what is advertised.It’s a good value at regular price and if you can find a discount it becomes an even better value. It plays MP3s well and it has a nice list of other features it does too so it is one to consider.
4,First things first: if you’re trying to use wired headphones with this don’t plug them in completely! The connection will be HORRIBLE if you do I assume because the MP3 player thinks you’re trying to use the headphones as an antenna even if you’re not using the radio function. Plug them in until they’re snug but not fully flush against the player and they’ll work fine.Also throw the provided headphones in the garbage they’re as awful as you’d expect.Alright on to the actual review.I bought this to keep myself from going insane during my long shifts in a noisy lab/factory because we’re not allowed to use our phones on the floor and the radios we have barely work. I didn’t expect a whole lot from this but it’s actually a pretty nice little MP3 player. The UI isn’t anything fancy but it’s easy to read and navigate. The most annoying thing is having to use the buttons to scroll but that’s not too bad. Also the player will turn off super quick if you’re not using it; the default setting for that is like 2 minutes but you can change it in the settings menu.The speaker quality is better than I’d expected but still not great but honestly I don’t know why anyone would use the built in speaker when you can connect Bluetooth to this instead. The Bluetooth works a lot better than I expected though I frequently have problems with my headphones but I think a big part of that is because my headphones are cheap and shitty. Usually when they’re acting up I just have to go manually select them and hit connect or restart the player if that’s not working. A little inconvenient but not horrible.The battery life is great. It charges super fast and it lasts quite a while! I though they were exaggerating about how long it lasts but I work 8 hour shifts and use it the whole time and I’ve yet to have it die on me. I usually charge every other day but that’s more because I want to add more podcast episodes rather than because the player is fixing to die. It’s yet to die on me or even come close.I listen to more podcasts than anything so for those of you also interested in listened to podcasts or audio books: the player WILL remember where you left off but only if it was the last thing you listened too! Also if you do like I did the first day I had this player and accidentally skip to the next ep instead of fast forwarding it’s a pain to scrub back to where you are. You have to have the episode playing and then hold the next/fast forward button down. It’s a slow process but once you get used to it it’s not too bad.I’d say the only real con about this MP3 is that it scratches super easily. The first day I used it the screen was covered in scratches just from being in my pocket with nothing else in there. They don’t obscure the screen when it’s on but it is annoying to see them whenever the screen is off.
4,Before ordering the MB08 I downloaded the "manual" which is a typicalminimalist document that requires some decryption skills to understand. I alsodownloaded the latest(?) firmware and upgrade "Tool" from their web site...easyinstallation. Asking what the difference was with the latest firmware yielded noresponse.By the time I received the MB08 I was quite familiar with its operation andwent about testing it after its charging cycle.The FM radio frequency display is barely readable as it is in a small red fonton a dark background. Yet the "MHz" part is much better. Why would you wantthe most important part of the display to be so small? Notifications are also inthis tiny red font. The radio recording feature is good as is the reception but"Support" says that "firmware cannot fix the problem of radio display". Surelythis would in fact be a very easy and important firmware fix.The playback graphical display has nothing to do with the audio being played. Itis just random and a waste of CPU time. This space would be better utilized toprovide a larger display of the track information.Although the option for Mic or Line-in was in the recording menu I couldn'tfind the Line-in port. There was no mention of it in the "manual". After moresupport communication they finally told me  it was the headphones jack. I advisedthem to update the "manual" to mention that the headphone jack is also theLine-in jack (page 4 item 10). Of course Line-in recording cannot takeadvantage of the "Monitor" function. I tried to monitor using Bluetooth but noluck with that nor with the built-in speaker. Otherwise the Line-in recordingfeature worked fine.The ear buds sound quite good. The arm-band pouch seems to be a tight fit for theMB08 but is otherwise functional.Hoping that the "latest" firmware might be of benefit I tried to use the "Tool"to download the firmware but the "Tool" couldn't detect the player. To cut along story short after more communications with Support I was able to downloadthe firmware to the unit. It takes very specific and timed steps which wereinitially omitted. So now two thirds of the display on my unit was blank(white). After more Support comm. they promptly sent me another firmware filewhich fixed the problem. The player appeared to be just the same as with theoriginal firmware.For me the A/B function is important and works fine but there is a userselectable limit from 1 to 10 repeats then it continues to play past the Bpoint. I would prefer no limit or at least a maximum limit of 99. It should beup to the user to terminate the function by tapping the Play/Pause button.The Playback Speed feature is a nice feature which I was also looking for whenselecting a player to buy. It works fine.I installed a 128GB micro SD card in the unit and it worked as expected. I hadtransferred many files and directories to it beforehand and the unit was able toplay the videos music and text without any problems. I saved the supplied SDcard in case I needed to return the unit.While the technical support was very responsive it took determination to getthe answers that could have been provided earlier in the communication. The MB08is a nice player with the features I needed but I am still puzzled about the FMfrequency display given how all of the other players I looked at had a veryprominent frequency display.
4,Sounds good but screen is very difficult to see i daylight. Very small screen and very dim. I have almost 1k songs on it and have learned to just turn it on and start playing on shuffle without much difficulty. If I want a certain song to play it would be much more difficult and I would not want this unit. I can Bluetooth to my bike or a Bose speaker or connect to my pickup with an aux cord and they all sound great.
4,I've been using this MP3 player for over a year now. It's still working just fine though it's worth noting that I take good care of my electronics. Battery life is good. Bluetooth works well for the most part (occasional glitches but nothing that disconnecting and reconnecting doesn't fix). Some plug-in headphones work with the jack better than others; I've found that the no-frills wired earbuds do a better job than ones with mics. A standard auxiliary cable does fine to play in my car and the Bluetooth works pretty well for that too. I haven't used the recording feature or most of the other tools (just the stopwatch occasionally which works as expected).I have two frustrations with it that are leading me to see what other options are out there. First only the bottom half (the buttons) is touchscreen. I think I would prefer either real buttons OR full touchscreen; this is a strange hybrid of non-tactile buttons and a screen that is view-only. It makes it very tedious to navigate through a large music collection. I've been faithfully transferring my MP3s from computer to computer since the 90s and after marriage my husband and I merged our collections so I have about a bajillion albums and songs at this point.My other complaint is related to the first one. As I said I have a large music collection but I'm not an audiophile. My stuff is mostly in 128 kpbs. This player has plenty of storage but the indexing can't keep up. I can load my entire collection onto it but the player can only "find" and let me access 4001 songs. Which granted is a lot. But I have a bit more than that and would ideally like to keep my whole music collection together rather than having to pick and choose what makes it onto the player. Often the indexing software won't "read" the whole artist name either; sometimes all of the artists whose first name is "John" get thrown together into the first artist's folder which makes it hard to find the others. Using MP3tag to fix song metadata helped but it's still not perfect.At this price point it's a great player but I am looking into other options that will hopefully have either a full touchscreen or real buttons and/or the ability to manage a huge number of files.
3,First I got this to play in situations where it can get noisy relative to the volume I like to play music and where setting it once and leaving it alone is relatively important.  Also I use wired headphones for more reliable performance and to save on battery charge (including having the phones needing recharging).The good news is that it performs adequately under these conditions.  There is a relatively faint ticking noise in the background which is intrusive if you are listening critically to music in quiet conditions but only a minor issue listening in noisy conditions.  The bass is limited but fine for where I use it.  I have seen many dings for limited volume but put bluntly anything much past "10" on the volume could damage your hearing in time.  (Not to mention risking getting a headache on it plus not being able to hear around you when you need to.)The "5000 songs" is misleading.  I got to around 4000 songs on it and the display simply displays "4001" when I try to add more songs.  The card still had space on it and the issue persisted when I added a 128 GB card which should store between 15000 and 20000 songs depending on the average length.  With so many songs it will be difficult to tell if more than 4000 songs can be accessed at once on this device.  If not then even out of 32 GB something like 2.5 GB of this is simply wasted.  And it is cumbersome to directly access a song in the middle of the list--no way to scroll by alphabetical or numerical order.The device is still too new to determine reliability during its life.  I don't expect it to last forever because of the non-replaceable LiIon battery (nice waste of resources since a replaceable battery would have meant only the battery and not the player ends up in the landfill).  At least the music is stored on the card which is tricky to remove and insert (and can be transferred to another player) so you lose only the player and not your whole library once the battery goes bad or the whole player stops working.As the unit is glass it is quite fragile and should be treated with respect.  It will crack if subject to too much impact abuse and since I do not wish to trash this unit I do not know whether or not it would render the player unusable or simply be an eyesore.  I also do not expect it to function after a good soaking because of the holes in it for the headphones the USB port (it takes a micro USB plug) a record button and the power button.  (And I keep it protected in the event of rain with a case designed to offer water protection against splashes).Instructions are relatively intuitive.  It is easy enough to set up and a simple quick press of the power button will disable the touch buttons so you are not accidentally tampering with the playback.  (And another will light it up so you can check which album or song is playing and adjust the volume.)  Pressing and holding it for about 2 seconds shuts it all the way down or powers it up from a dead stop.  And the battery charges in one go--usually an hour or so after 6-7 hours of continual use on volume setting 10 and using wired headphones.  It is easy enough to change the language--and I set mine to German (as I am trying to learn that language plus someone not authorized to use it would have a miserable time trying to figure it out).With these caveats and that I do not know whether it will last the 4-5 years I expect the battery to last I recommend this if you are using it in relatively noisy environments or where you do not wish to ruin your hearing.  If you wish to listen critically to complex music at 120 dB and in quiet areas no I do not recommend this.
