rating,review
4,This bag was definitely designed for photographers in mind.  There are plenty of little pouches and zippered compartments to carry all the extras like batteries chargers cards lens wipes etc and there is good space for taking a fair amount of lenses with you.  The section for the camera body will fit a mirrorless much better than a larger DSLR.I carry around the 14-24 24-70 and maybe a prime in the main section and put the 70-200 in the lower section as it won't really fit on the camera.  And that brings me to the one downside.  The adjustable sections which are held with velcro don't really hold.  It doesn't take long for the velcro to give way when you're putting your camera in the bag and it's just not the secure fit I'd want.  I don't need expensive lenses banging into each other.  So that's the downside.  I also notice the zipper catches sometimes and leads me to think that's going to be an issue one day.It's built well for the money it's a good bag but if you need "The best" bag this isn't it.  But for what it is this looks good it's easy to carry it carries a lot there's a good amount of space and room for the extras.
5,I really like this camera backpack! It has plenty of features that work well for me (a novice photographer). I use it casually when I go on hikes and want to have my camera with for a quick picture. I like that it can hold my tripod water bottles on the sides and all my lenses. I also got it so I can bring it on a flight with me as a carry on backpack. I unfortunately broke one of the clips in the car door. However I asked if they can get the clips to me separately and the company sent me a box with like 6 or 7 of them. I wish the clips were easier to replace but overall I was able to do it. Great durable product and great customer service! Oh I also like that it has a whistle in case I want to say hi to nature. And the extra fanny pack camera bag is very useful.
5,I needed a larger Camera Pack than most backpacks made for this purpose. They are fine for short trips but I'm often way out in the woods filming expeditions and I need more than just my camera gear with me; Trail gear like bear spray emergency medical kit including allergy meds for sudden hay fever and wasp stings emergency preparedness tools and equipment water bottle and rain cover gear for me and my camera equipment. And since the weather changes suddenly in the mountains - a light weight jacket. This pack has lots of room for all I need to take with me.It even has options for attaching a small tent and tightly rolled sleeping bag but I'm not sure I would use it for long overnight hiking camping and filming trips. If you do use it for that - let me know how it works.I like that it comes with a smaller "Fanny Pack" that I can use for short trips not too far away from camp. The fanny pack fits nicely into the lower compartment but I removed it to make room for my hiking gear night vision camera and lights. Personally fanny packs don't work for me as they bounce as I walk and restrict my movement when kneeling for the low shots.The Tarion Pro 2 is sturdy and well made. When I take it off to access another camera - it stands up on it's base without falling over like regular backpacks - love it. It also has the ability to strap two tripods - one on each side although I just take one and use the other side pocket for my water bottle. The interior dividers use velcro and work well making it completely customizable. It comes set up for a DSLR and lenses but I use camcorders mostly and was able to customize it for my needs.It is definitely heavier than a regular backpack that you would use for school but it is well padded to help protect your gear from damage and it is comfortable to wear; has strap support over stomach and chest for support.I really like this pack.Artist & Filmmaker: Marshall White
4,The bag itself is pretty roomy.  I was able to get my Canon EOS  and Canon GH50  in the backpack plus the gear that goes with it.  The improvement could be on the side of the back for securing an external Lens Bag.  I bought a new bag for my 600mm Sigma lens that had better options to attach to a backpack.I did get it awkwardly attached.  Overall I would recommend this bag.
4,It's got compartments for your compartments! Took it on a hike recently and had everything easily accessible when it was time to take photos. Good stuff!Update: took the bag as my personal item for a trip and upon arriving to the hotel the entire zipped compartment for the laptop zipped open and my laptop fell and broke.The zipper part for the laptop goes all the way down one side so the weight from the bag will naturally pull it open if not zipped perfectly. Poor design in that aspectSolution: stick a pin on the otherside where the zipper would slide down.
5,Nice bag but I had to return it because it wouldn't work for my needs.
5,Is a great bag wow perfect love every aspect  lots of room nice padding gear is secure  great balance with load  built extremely well  zippers very nice
5,I needed more for my cameras but I think I may have to get the next size up if I add more to my bag but I do love it the size now works with what I have.
5,This was a great purchase for all my camera stuff...the camera side pocket is nice for easy access and there is plenty of storage space for lenses and other stuff...and everything is adjustable to fit different sized lenses
4,I've been using this backpack for a few weeks now as a replacement to my camera bag. I travel and make videos for YouTube and so I need a backpack that can hold a lot of equipment without getting messy. You're going to need to take out all the velcro dividers and really make it your own but I love that you can.I carry a Panasonic G7 hooked up to a Ronin SC gimbal Osmo 4 Phone Gimbal 3 Apurture LED lights with small tripods a couple of microphones two extra lenses a DJI Mini 2 drone and a monopod for the main gimbal or anything else that needs it. Oh and a full size Manfrotto tripod. And a 14" ultrabook. And chargers cleaning supplies extra batteries and a dozen cables.All of that fits in there. If I unbalance the main gimbal and collapse it down as much as possible I can put the tripod in the side pocket and use the strap to hold it in place. If I don't need the tripod I put the gimbal in that position to avoid having to balance it every time.It's also quite comfy! So if it holds everything and is easy to customize and feels great why 4 stars?I'm worried about build quality and how long it'll last. The orange pull tabs on the zippers for example. You would THINK they're just rubber sleeves over a cord because that sure is what it looks like but nope. They seem to just be glued on to the ends of the cords. I would have rather just had a cord that loops around. I yanked a little too hard the other day and the orange part popped right off.Out of the box the main zipper was not properly installed. It's got a little hitch which means it doesn't completely close (a hole about the size of your pinky stays there) and I can't slide both pulls to the other side since neither one can clear that gap. It's not a big deal but it's a little inconvenient since the pull tab ends up stuck under the gimbal a lot.I hope it holds up because I genuinely love this backpack and I think it's a great deal. I can be fully set up in less than 5 minutes thanks to this bag and I can have my hands free at all times. I just hope they improve QC going forward and put in that little extra effort to make things last longer.
