rating,review
5,I have previously owned a desk-mounted Huanuo monitor arm and needed to switch to a wall-mounted setup. I owned the desk-mounted arm throughout the interminable Covid pandemic and it was great so naturally I chose to stay with Huanuo for the wall mount.The arm itself is excellent and I recommend it---it's just as good as the c-clamp desk mounted version. I have two 24-inch monitors attached.Installation was fine. Given the reviews I was expecting to need to draw my own template and purchase additional mounting hardware but as it turns out they have added a precut template and more mounting hardware to avoid these issues. That was a pleasant surprise and I am glad to see Huanuo responds to customer feedback.I experienced two issues: One of my own making and one inherent in the product First I did not realize this mount was not compatible with steel studs. Many new build apartment buildings use steel studs instead of wood studs because of their fire resistance (along with other nice features). Because steel studs are typically narrower than wood studs and because toggle bolts require approximately half inch holes to mount I did not see a way to sturdily attach the mount to the steel studs without an uncomfortable chance of accidentally cutting one face of the stud in half with the drill bit. This was my own fault.Instead I anchored a 4.5 foot fence post to a concrete block and fastened the monitor arms to post. This while not the prettiest thing I've ever made is working fine. In doing so I discovered that the provided lag screws are not of great quality. The manual recommends installing with them a socket wrench but this would be a giant PITA so I first used a socket adapter in my drill to get them most of the way in and then hand-tightened at the end. There is no way you'd be able to use a standard Phillips head drill bit without stripping the provided screws.Even with the socket adapter the provided lag screws barely got in---the screws are quite soft and the indent that marks where the screws are fastened means you get maybe a quarter inch of grip on the head to drive it into the wood. This is a pain but not a disaster---I would recommend just buying your own lag screws of comparable size (size given in manual) and use those instead.Additionally a very minor annoyance is that one of the thumb screws meant to keep the monitor in the bracket was a little too large (the other fit perfectly). I think its something like a #6 machine screw; I had something lying around that fit and used that instead. No biggie.tl;dr: great mount subpar mounting hardware but that is easy to get on your own.
5,IT professional here that works remotely from home. Easy to install no out of the box assembly and serves my needs beautifully for two 24" monitors. All mounting hardware was included. Biggest reason I bought this item is it's ability to angle and manipulate monitors to almost any configuration. I sized the pre-drilled holes to a 2x4 wall stud and it is rock solid. Advice: Take time to see how monitors will hang/display before mounting; it is lower then you think.
5,I purchased this duel monitor support system because a desktop stand on one of my monitors failed completely without any action on my part; it just broke. So I was looking to upgrade to a duel monitor system which would not require mounting to the desktop; my desktop is glass.I ordered this 2 days ago; it arrived yesterday evening.After a light review of the instructions and knowing how to properly mount things on a stud behind drywall I went to work. Taking advice of the person who recommended a cardboard template I created one from the cardboard within the shipping box itself. I used a stud finder to find and mark the outer boundaries of the stud on the wall. I used a level to mark a line for the placement of the cardboard template. I drilled pilot holes as the template had been marked accordingly. I used an electric drill to drive the hex cap lag screws into the holes with the mount held against the wall. I attached the mounting bracket to the monitors and slid them into the arms. Note: you may have to loosed the final joints on the monitor arms to allow for easier movement in the up/down direction; not too loose not too tight. I placed the cables in the bottom arm channels with removable covers.The system is now in place. about 30 minutes to complete install. It is well designed. It is well worth the price asked. You will not be disappointed.The screws which ho9ld the monitors to the arms were not in my package. As weight alone holds the monitors in place this was not a great concern. I may go to the hardware store and obtain hand turn screws to insert into these holes just to assure firmness of the joint. The monitors can wobble slightly without them; no big deal as they would not wobble when not being moved.So if you need to mount two monitors to a wall this is a very good way to do it. Buy one and see for yourself...
4,Its an  excellent bracket.  The problem I have is that in order to position the two monitors next to each other they are too close to me to focus. They should have made the piece that attached to the monitor that could slide on the arm. Or make that arm telescopic.
5,This wall mount is very well built and with the monitors suspended I have much more clear work space!  I have a 34" LG 34UM59 LCD ( actual width 32.5") and a 27" ACER S271HL LCD ( actual width 25.25" ).  I tightened the gas piston for the 34" LCD and it holds perfectly.  I didn't like the idea of mounting it directly to the wall so I mounted it to a 2 by 6.  I used 3/8-16 cap screws 1.75" long.  This required re-drilling the mounting holes slightly oversized to fit the bolts.  Then I used 3/8-16 "t-nuts" through the back side of the 2 by 6.  Once I hammered in the t-nuts I mounted the 2 by 6 to the stud using lag bolts placing it flush on the desk to help support weight.  The wall mount is then bolted on.  One thing to mention is to mount the HUANUO down low near the desk.  I have shelves which are 23" above the desk.  The monitors can move the full vertical range.  The attached picture shows the monitors side by side when pulled out as far as possible.
5,I bought these for my home office very easy to install and use. The best part is how affordable it is.
5,Not difficult to setup. I have been using my two 27' monitors monitors for a few months now. No issues.
5,So I read a crap-ton of other reviews of this and other products. For context the setup I was after (and what I was able to do) was run two laptops into two Dell D6000 docks with a USB/KM switch to the two docks so I could bounce back and forth my keyboard mouse webcam etc. between the two computers at the push of a button and this setup was perfect. The desk I have cannot handle the weight of a huge stand plus (4) monitors.Bought two of these so I could mount the two monitors for each computer. Setup was honestly pretty easy. You'll note and I think other reviewers have noted that if you're going for my look the monitors WILL be off the wall a solid foot and there's nothing you can do about it at least with these 22" monitors. Perhaps if you were using two very large monitors you'd have to push the arms back to get them side by side but as you'll see in the pictures this is what it took to get me setup. For me I could care less about the extension distance from the wall. I got the setup I wanted.Somehow I was able to do the install by myself. Use a stud finder if possible otherwise I used 16 OC from the whiteboard above and up from the electrical box below. Intersected the lines and no issues. When installing try and get them completely level but don't freak out if they aren't level because you can adjust the monitors rotate left/right a little bit if it's an issue. I used a drill bit in one hand pinned the mount on the wall with a level on top with my other hand and then scraped the three holes so I knew where to drill. Drilled pilot holes and then set the screws and mounts in place. After a little bit I HAD to use a ratchet to snug it up and get it all the way to the wall as the impact/drill just couldn't keep going. Make sure you get the mount all the way to the wall and it's snugged up nice. The lag bolts were perfect thankfully I nailed my pilot holes so all (3) holes for each mount were exactly on the stud (thank God).All in all very very sturdy. I made a few minimal adjustments to the tension screws for the monitors. The cable management for the mounts was pretty nifty I still need to velcro down all my cables for everything else but I might wall mount my docking stations and laptops so we'll see.In all you'll be glad you got this. I do a lot of IT work and wondered if I needed a painted plywood backer board on the wall and that's completely unnecessary. All in all great gear and I'm thrilled to have my dream setup.
3,I've yet to install but have seen what others have been saying. The supplied hardware on the packaging says concrete only not for wood or dry wall. WTF am I supposed to mount it with then? Why would you supply us with supposed concrete mounting hardware I don't live in a castle. I suppose like many others I will have to make a trip to Lowes / Home Depot to properly get the correct mounting hardware because I do not want to waste my time or ruin my wall with multiple attemps when/if I mount this arm. My rating(s) are on par with what I've read from others reviews and from me unboxing it.1) It's very sturdy and feels well made and for $49 at the time of purchase it's undoubtedly the best option.2) Has the highest range of motion specifically pulling the monitors to you and all other ranges.3) Garbage hardware save yourself your time and your wall and go purchase the recommended/required hardware for whatever surface you intend on applying this mount to.
5,Not much to say Its definitely worth the price. Small note they provide a paper template for making holes. For me they weren't aligned that well just see for yourself if they match the arrangement on the mount. You can always just make your own template if necessary.
