rating,review
5,There is very little to say about this little Asus Bluetooth adapter.  It is bluetooth 5.0 I plugged it in an open usb 3 slot on the back of my computer windows identified it immediately configured it and it was working boom done.  I didn't even need to search for a better driver.How has it worked?  I used a blue tooth headset from 40 feet away and there was no loss of reception or call quality.  I used a blue tooth controller from 10 feet away to game I felt nothing different than normal wireless.  Good enough for me.If you need a bluetooth usb adapter that simply works period with no muss no fuss this is it.  It even comes from a reasonably respected brand that actually will have at least some kind of customer support and warranty.  If you need it buy it.
5,My previous USB Bluetooth dongle was only slightly cheaper than this one but it kept losing connection all the time or my input lag would suddenly spike and that would cause my controller to do really funky things like endless moving my character around or doing actions that I didn't press at all. This one has zero connectivity issues and I haven't noticed any serious input lag or weird inputs. So as far as I'm concerned this product works perfectly and was worth the extra money.
5,Bought after struggling with PCIE WIFI Bluetooth adapters whenever I tried connecting audio that way it would connect however the audio would cut in/out and sounded HORRIBLE.This little guy (BT500) was literally plug in visit the manufactures website for drivers and it connected instantly! Only oddity I've encountered so far is the microphone works with BING yet isn't detected when using Google Search Engine. Audio quality is top notch though! (Range roughly 30ft)
5,Very easy to install and used it for headphones. Had ordered a TP-Link before that had serious issues this had none of those.
5,I bought this ASUS bluetooth adaptor to replace the ZEXMTE dongle which broke down less than a year.  Installation of the adaptor is super easy.  Although it is wonderfully small it works fine!  In short I love this product.
5,I have this usb dongle plugged in on front USB Port i use it to connect my Google pixel buds 2 and my Samsung Buds Pro 2 headsets to listen to Youtube podcasts and even on my Video Conference Meetings. Works very well. Super easy setup with plug and play
4,I have no BLE devices to test this with but with Sony WF-1000XM4 headphones xbox/8bitdo controllers cell phones and everything else the range is slightly better than what it was with an Intel AC 9260 wifi/bluetooth card in a pcie adapter. I get a solid 40ft or so. Before (with the Intel card/pcie adapter) I could be 5ft away and i'd experience dropouts in audio or controllers would go off on their own.Installation is easy just make sure to download the actual ASUS drivers. It makes a difference. Overall i'm happy. I just wish the range were a bit better. I've got the dongle in a USB extension and that helps a lot.
5,Bought this for my pc because it didnt came with bluetooth and it does its job i can listen to music with my airpods or other bluetooth devices
5,Simple easy and works great
5,El alcance es bueno
4,Install was fairly easy But the range is limited and i use Bose headphones But it works if your computer didn't come with blue-tooth.
5,Was highly rated. Had no issues using the product.
5,I'm not a Pc Guy Honestly. I was terrified putting in a new power supply on my pc when it went out and even then I needed someones help to troubleshoot what I messed up (turns out I used the wrong cable of a joint part and it prevented booting all is good now). So when I was looking to improve my Bluetooth quality I saw my built in one was Waaaaaaay past its prime so I looked around and saw ASUS had a 5.0 model knowing they are a well known PC parts distributor I took the dive and was ready to jump through hoops to get it done. But everything in the box explained anything I needed help with. Disable the previous Bluetooth device download our drivers from the exact site give the pc a reset afterwards and boom its all setAnd the results?My Bluetooth earbuds (Raycon Gaming Earbuds to be exact) Never once cut out mid game my old device would occasionally just lose audio and wouldn't let me focus completely on the game but now its completely seemless and would let me completely make a switch to a all wireless set up with my Audio.TLDR: Amazing produce for those who wanna get a means of using Bluetooth Audio or Devices to work
5,I purchased two of these because I needed one quickly and saw it available as same day the day after I purchased it with 2-day shipping. So I have one in a desktop and one in a laptop with an old wireless card / no bluetooth.No issues. I plug in enable bluetooth and can hook up my bluetooth speakers & headset (Anker products) though obviously not at the same time.I'm running Mint 20 (Based on Ubuntu 20.04) with KDE Plasma desktop on both.  I did have a problem ( I think) with a kernel update recently where I couldn't connect but after booting to the previous kernel and running updates the problem didn't resurface. I shut down my main machine nightly and have only had to do that once.As for range I really don't have a spacious environment but I do notice that my headphones will sometimes cut out at about 20' though it's running low to the ground through multiple walls appliances and cupboards. There's also horrendous 2.4Ghz noise where I live.  I don't have this problem with my Soundcore Motion+ speaker.Simple and excellent little devices.
5,Bought this to pair my buds to my PC; worked immediately with no hassle (other than drive install). Have managed to use it unintentionally for other products down the line. Solid price good build quality easy to use. Love asus.
5,Running two Debian/Ubuntu distros -- no issues whatsoever with either and no software installation(s) required.  I can't ask more from a computing device than that it just does its job no muss no fuss.I would buy again if I needed and I'd definitely recommend to friends&family.
4,Easy to install and gives you what you need.
3,I got this for my Bluetooth headphones. The connection is great UNTIL.... if I don't use any Bluetooth device for a couple days this device will stop responding and connecting to devices. It'll say connected but won't actually be connected. I have to go into device manager uninstall it then scan for new hardware and viola it works! Updating drivers did not help. I was blaming my headphones but they work perfectly with my phone and it's been happening with other BT devices now too. I think ASUS makes good products overall but I'm not too impressed with this one. 3 stars because once it does connect it works like a champ.
5,May randomly collapse into mono requiring reinstallation of drivers. This could by my own windows installation problem or motherboard driver issue but it solves the problem.
5,Plugged into a laptop immediately recognized and set up. Easy and reliable.
4,Works fine within 20 feet from my experience.
5,Works well w/ Ubuntu. Paired well w/ AS18 X2. Installed automatically paired instantly
5,Works perfectly. Does not drop or lag even from 10m away
5,no delay or any known issue
4,My previous Bluetooth adapter wasn’t very great so I figured I would just be stuck with wires. However I decided to try one more time and shoot for a better quality one and it was a great choice! I played Elden ring with it yesterday on my Switch Pro Controller and the inputs had no noticeable delay and it felt completely like it was wired in terms of latency. This Bluetooth adapter got me through a boss fight with absolutely no delay in latency. If you want a great Bluetooth adapter this is a great choice!Update: Used it some more today and it did lag a bit which was annoying. It must just be something with Nintendo handling other devices because it’s never happened with my switch. That and I have to reconnect the device myself every time I use it. So I think I may just stick to wired to eliminate delay.
5,Easy to use plug-n-Play works with all my peripherals and cost effective.
5,Used in the office works well arrived on time and well packaged.
5,Worked great for pairing PS5/DualSense controllers.I have it plugged into an extention cable and resting near the back of my keyboard and the extension runs directly to my PC/motherboard and works amazing.
