rating,review
5,Charger comes equipped with a cable with dual USB C male plugs which I wwould recommend you use when travelling.  It is  are designed to supply a proper electrical current to the computer.  I had initially tried using another USB C cable with an adapter and it didn't work but with the supplied cable it did just fine.  Also when travelling in foreign countries because mny of the electrical outlets are recessed make sure you have a proper adapter  plug in which to insert the two prong fold away plug in on the charger.
5,this is exactly what I was looking for. a 65W wall charger with a longer USB-c cord to charge and power my steam deck. I used it for several hours in a hospital waiting room and my steam deck remained at full charge.this unit is smaller then the block that comes with the steam deck and has a longer cord it fits perfectly in the well of the case it is the perfect companion to the steam deck
5,I used it for about 15 days so far no complaints.  I didn't measure power output or anything but it seems no worse than the OEM charger that came with my MacBook M1.  It doesn't overheat either.
5,I used this for my I pad. Upon connection instantaneously turns on if dead. So impressive.  Also the light on the charger to let you know that you are getting power.
5,Extra charger for my Jackery 300 ... excellent especially combined to other charger port. Makes for two simultaneous charging system to 1/2 the charging time!
5,Short primer on "GaN charging". GaN uses Gallium Nitrade for its semiconductors. Chargers are usually throttle limited by heat. The warmer they get the less power they put out.GaN helps with that by allowing components built on it (like the stuff inside the charger) to run well at a higher temperature often with some higher efficiency levels and potentially cleaner power at least when the power brick is running at full speed charging stuff.Its a few extra dollars but worth it.This doesn't have a lot to be said about it other than its GaN has a good 65W level output and the light is pretty. If it behaves badly I'll update the review.The one thing I noted is that the charging cable it comes with is HEAVY. Heavier than two other similar 3 amp charging cables. That's a good thing unless you're planning on carrying it in your pants pocket. It means most likely some nice thick wires. Which you really want with a high watt charger unless you'd like to see the charge wire smoke and catch on fire.I should have put it on the kitchen scale. Suffice it to say that if you flung the little box it comes in at someone they wouldn't be happy about it!! :)I figured the cable it came with to be a throwaway. Thats where a lot of products try to save a buck or two but offer an extra to help boost sales. I bought this over a similar one just because it had a cable included so I guess that strategy worked?Nice work to the manufacturer for not cheaping out on a small item. It was noticed!
5,A USB-C charger that does exactly what you want it to!
5,Works good for android
4,No problem
5,This amazing and affordable little charger surpassed expectations. I use it on my MS Surface Pro 8 and I love it. It charges faster than the included charger it's more compact it's more rugged. The only thing that the included MS charger has that this doesn't is an additional USB charge port but that doesn't really matter to me. I did shop around when looking for an additional charger for my computer I even looked at Microsoft's shop. The MS-branded USB-C chargers are expensive and don't offer any additional functionality. If you're looking for a reliable charging solution for a computer that can charge through USB-C this is the one.
4,My Samsung Galaxy original charger got faulty and it takes almost more that 10 hours to fully charge my cell phone. after getting this charger now my cell phone charge with in 1houre and 30 minuets.
5,Works well
4,5th star for a regular USB B port
3,It stopped working and one of the ports had a short fast charging never worked
5,Charges my Macbook quickly! Love the nice long protected cord.
5,Heavy duty great product
3,This doesn't charge "Super Fast" this is just a regular "fast charging" charger and cord.Decent but not what I expected to buy
5,Charges phones and laptops very versatile long cable great value
4,My pixel Chromebook always had an issue with chargers and this one has taken care of that problem. The only issue I have with the charger itself is that it seems top heavy and doesn't always like to stay in the outlet but if you flip it around then it blocks the other outlet.
5,Needed a second Charging cable for my LG Gram and decided to go with a USB-C so I could also charge my iPad.Charges both with any issues.One thing to watch is how hot the charging block gets during charging... With this unit I have not notice a High Temperature on the block.It does get warm but not HOT.  other chargers I had actually got hot so this is an improvement.
5,An excellent charger. So far it has not shown any issues regarding power output. Its cable can be bent pretty easily and it adopts any form you want since the material itself is malleable.
5,I'd been using a 35W charger with my phones for a couple of years and didn't know any better - the phones always entered the 'rapid charging' mode - I thought that's all there was.  NOT!  I recently purchased something that needed 45W for full rapid charge so it was time to upgrade.  I decided to go for the whole enchilada and buy this 65W charger to at least hopefully delay future obsolescence a bit - GOOD CHOICE!  This charges that 45W battery hog without breaking a sweat and my phone charges faster too - WIN/WIN!  The cord that comes with it is long - 6 ft - and heavy duty I can believe it can pull a full 3A with no problem.  Small form factor too.  This one's a WINNER.
5,Super compact. Compatible with my go elite book and with my iPad pro
4,The charger has worked well and comes with a cable where most USB-C chargers on Amazon do not at the present time. The only drawback is that the cable is solid stranded which means it is stiff a bit unwieldy and is likely to fail sooner than standard multi-stranded cables.
5,Fast for a price
5,Bought this charger when I lost the one that came with my ipad. Wasn't sure it would work as well but it charged so quickly.
5,This charger works has advertised.
4,Like
5,The charger is fast cable looks solid and after a few month even if it looks in perfect condition esthetically it stopped working.Very hard to find high quality and durability cables.I wrote to the seller very responsive sent me a new set under warranty.Excellent customer service backing up on their product!
5,Charger wire is very sturdy and durable. Nice length too. Charged my iPad Pro very quickly.  Very happy
5,My college kid left her Macbook charger at home when returning to college. This charger is such a great value and ships so quick that it was quicker and easier to order this charger from Amazon rather than ship the original charger to her. Plus now she has a spare. Win-win!
5,Needed this to charge my NOCO jump starter and a couple Anker backup battery packs…works great
5,This charger is great for a Geek Vape Obelisk 120 FC
3,Fold out plug does not engage wall plug properly.
3,This unit is a good size and feels quality and solid... Until you get to the plug prongs.  This unit falls loose from the plug (and stops charging as it should).  I wouldn't recommend this product until prong issue is addressed. ..
3,The charger is really loose it doesnt fit the outlet properly and fall at the slightest tug.
2,My HP Elitebook worked well with this for the past several months. But in the past 2 weeks my laptop was randomly locking up. I thought it was a software issue but after lengthy investigation I found this adapter was over-surging my laptop and the protection was kicking in.I went back to the original HP charger and no issues. Other reviewers mentioned the same issues by the way. Now I have a useless brick I'm afraid to use. Buyer beware.
3,This charger seems to work okay but the fit seems to be off when I plug it into my iPad. It feels a bit too tight. No issues with function so far but the match just feels off. I worry it could cause a problem later.
5,Exceeded my expectations
5,More compact and cable with cloth outside seems to flex better
2,The description implies high wattage but when one does the math at the voltage of usb-c  the wattage sucks for this unit.  I expected high wattage/amperage I got 2 units that do not charge an iPad. Reading the documentation reality sets in. These units are Caca Poopoo for usb!  I said it I mean it.
5,I bought this to charge my HP laptop so I don't have to carry the original (Larger). I did have an issue with the original but they quickly fixed it for me. Very pleased with the service I received and performance of the charger.Great to have in your bag during your travels.Used to charge my HP Elitebook.
3,Only fast charge if the charger is fast charge
5,I use it to charge my iPhone and Nikon camera.  The USB-C charger charges the iPhone 12 very quick.
4,Product arrived quickly. It makes for a great replacment for the original charger.  I enjoy the 6 foot length and the fast charge!
5,This charger works flawless and the traveling case doesn't take a lot of space whenever I'm on the road. I use this item for my two MacBooks and it charges them quick then I expected. I am pleased with my purchase and I definitely recommend pruchasing this item!
4,It works well but it is sometimes hard to stay plugged into the wall and gets very warm.
1,I was very happy with the compact design until it stopped working unless right about 5 months in. The blue light indicating power doesn’t show and the device gets no power unless I hold the plug against the outlet. Seems to be a durability issue with the foldable plug that no longer keeps contact unless external pressure is applied.
5,I used this for my MacBook Computer.  I left the original cord at a hotel by mistake and they've not recovered it.  But this new charger and cord is much lighter and easy to use.  The cord seems very durable and the length of the cord is very handy.
4,Quality Looks great particularly the cable which was my main concern charged galaxy tab and mit z2 phones in turbo/fast mode.
2,Definitely not 65 watts has the highest supposed watt rating of all my chargers yet only charges slightly faster than my 25 watt charger. I also can't charge my phone with it's case on with this charger which I can do with all my other ones. Looks neat seems durable just doesn't meet the standards the company claims it does.
5,This charger is able to charge my laptop as advertised and it is a lot smaller than other 65W adapters. The provided USB-C cord is a nice 6 foot length and has a solid feel with a durable braided cord.
2,It was good at first worked and convenient due to not having to carry the bill original charger. Used it for about three months and only three to four times a month. Then the other day it suddenly stopped working. Had an error / power issue message on my laptop. Stopped working ever since. Tried different outlets. Same results.
5,Like the small size of the block. Fits will in backpack. Cable is a little less flexible than I'd like but does work well and rolls up in about a 4-5 inch round bundle.
3,Worked fine for the first month now the plung doesn't work properly switching from charging to not charging
5,Love how fast it charges
1,Stay away. This could kill your kids or burn your house down. Bought multiple units and after the first one fell apart making zapping sounds and tried to plug and unplug the others to see if it was a one time issue - they all fell apart the same way with the grey portion of the plastic delaminating from the rest of the body exposing wires. Terrible design the company should be ashamed of putting something this dangerous out as a consumer product.
