rating,review
4,I needed this to have in the kitchen so that I can read my recipes on my phone. And it does what I needed to do. Now if I can get my cats to stop chewing on it that would be great. 😹 I haven’t traveled lately to test it out; therefore I cannot rate travel.
5,It works well. Four bendy legs and a bendy neck. Hold up pretty well so far. Haven’t tried it as a mountain the car yet.
5,It's a phone holder for phones with popsockets. My phone has a popsocket and it holds it. 5 stars.
5,Only lasted 1 year
5,Not bad it's very sturdy and flexible I was extremely surprised at how easy it is to bend and move it around but it's very sturdy.
5,Use it at home or in the car if you have a pop-socket on your phone. If you don't why not?
3,Bought this to help with video calls while I'm overseas. Really cool design but not strong enough for our heavier phones. (Kyocera Duraforce Pro 2) it just sags or falls over it doesn't hold its shape under the weight.It can prop at an angle if the phone is resting on something else but it will not hold the phone by itself.
5,This is a must have for travel. We use on airline to take baseball videos at our son's games outdoors indoors etc. We get so many compliments on this especially from flight attendants. Must have a pop socket to use
5,Man this kickstand is a clever contraption!  Used with a pop socket I can prop my phone for zoom calls FaceTime calls and watching Netflix videos in bed on my phone.
3,holds my iPhone pretty well but I have to adjust it often to prevent it from falling over from the weight of the phone. Over all it is worth buying.
4,If the feet/bottom weighed more you could angle your phone better but I still love it just gotta adjust some more
5,Used this with a PopSocket to make a stand for my new (2021) Kindle.  Worked great; very sturdy and perfect for hands-free reading. Some reviews had trouble supporting a larger item than a phone you just have to extend the legs back a bit and work with the angle.
4,As expected with item like this once you have changed its position a few times it started to lose its original form (twists in the metal aren’t so easily removed legs have a hard to making and keeping contact with table). But it works and honestly exceeded expectations. It holds up my phone adjusting for small amounts of motion is easy it doesn’t want to return to its original form if your trying to move it. It’s a good investment.\
5,This this is awesome! Enough said!
3,I think this is wonderful stand for temporary use…however after using this as my only stand for around a week it not only pulled off one pop socket but two. Ruining both pop sockets. I love being able to put this stand anywhere but it is not a long term solution
