rating,review
5,Se paga lo q se tiene y esta impresora me pareció buena compra.
5,Not bad tho but printer is kinda slow than I thought. It’s too easy to setup
4,Overall the machine is good for the value.  Only complaint I have is the scanner will not scan more than one page at a time....very time consuming.
4,This printer is easy to set up and use with the HP app but if you want print speed this is not for you.  I don't print a lot so I can live with it but if you do spend a few $ more for print speed. Also buy an additional set of ink when you order.
5,Great printer. Support not so good
4,Printer is great but for some reason it won't let me finish setting it up on my phone.
5,Printing documents
5,The set up was easy but it is a rebuilt so it was important to read the directions. First it works then it doesn't. It's frustrating and it's going back.
4,Great for documents and shipping labels which is mostly what we use it for photos are on the blurry side but no complains for a $90 printer ink is fairly cheap. The included ink only lasted about 50-60 pages for us but the replacement ink has went longer. If you’re looking to print photos maybe upgrade.
5,Not much info on setup in the paperwork...I found someone more savvy to swim through the online support.😏😏
5,Had no idea I was buying a used printer (my own fault for not reading). But it has been great. Works like new though. Glad I found it.
3,Tough to set up.
3,1 black ink cart apparently only prints 130 pages.
5,Good product value for your money - it was actually somewhat difficult to install took three tries
4,The wireless connection is great once you get it connected but therein lies the problem. It takes numerous times to get it to connect to the wireless.Once you get it working and you have to reboot your modem router or both you have to redo it and it takes several tries.It's an overall pain in the neck to connect this printer to the network.
5,Worked great and took maybe a minute to setup n print
5,The print quality is great! Definitely good value for the money. The thing I like best is that it does not use the color ink jet when printing black and white! I also like that HP has an ink subscription service!
5,Took a while to get it to connect to phone
5,This is a refurbished printer.  My only complaint is that there were no instructions included for setting it up.  I found videos on YouTube eventually that helped me but I’m a 75-year-old lady and I need instructions I can read.  It took me several hours to set it up!
5,simple very easy to use great for the price!
3,The print quality is excellent. The person who helped me printed out a picture of some flowers and they are beautiful. The ink is great. Unfortunately trying to set it up was a total nightmare. It took a millennial over an hour to figure it out. I could’ve never set it up myself.
5,Works great and easy to use.
5,Office
3,There is little in the was of instructions for installing the printer.
5,Good value
5,Best printer ive ever had
2,I do not print a lot. Maybe 5 pages per week. The ink that came with it was gone within 2 weeks. Bought an XL cartridge and was drained 3 weeks later. I had my setting on econo/draft and it still sucked up the ink.My brand new PC also struggled to stay connected. Every time I print something I had to run trouble shoot align the stars by hand and hope the gods were on my side; otherwise it wasn’t printing!This printer is not worth the aggravation and amount of ink you need.
5,Es muy buena impresora me gusta mucho
4,I returned to the USA after 50 years in a foreign country. You cannot imagine the amount of documents to be filled out and proofs to be scanned. This printer-scanner was a life saver.
5,This printer was great. Easy WiFi set up from my HP laptop. Once I had an account and the printer set up in my laptop it was easy to install the app from my phone and add the printer on the app as well. It does print a little slow but other than that it’s great. Love it for the price the scanning snd copying function are great. A great little cheap printer to get things done at home.
4,The printer was needed for a seasonal home and therefore limited use - this refurbished item does the job quite well at a reasonable price
3,No instructions. Set up via an app that refused to connect I had to have IT assist and even they had to spend time figuring out how to set it up. Frustrating. It works well but I didnt expect to waste an hour of my time and IT to get a printer set up.
4,just for coping and printing. it does the job
5,Easy copies in minutesCompact unit and light weightBluetooth copies from phoneGreat copier for the $$$$$
5,This is a printer for my painting studio. It doesn’t get heavy use there but it does need to be dependable when I do print. I’ve had it a month or so & found it easy to set up easy to use & offers great & consistent quality. Whet else could I need?
4,Like the ease of use and results
4,This was a good product. It was a little complicated to set up but I got the hang of it eventually
5,Bluetooth installed itself for me
3,Not happy as having issues registering it
3,I like that it’s light doesn’t take up much space. However it can be slow to connect and print. Also ran out of toner SO FAST. My experience with printers is it takes atleast 6 months to replace toner but this was about a month and a half. I don’t print more than the next person. Just forms for appointments school etc. I wouldn’t buy again
5,It was such a great price and had no issues and still having no issues two months later. I needed a printer for homeschooling and it was worth every penny.
4,The printer is ok once it’s working. The setup is difficult. Once it’s disconnected from the WiFi it’s even harder to setup. The buttons are flashing and you don’t know why. You try to get the information sheet to print out... it’s just a mess.UpdateI’m still enjoying the printer. The WiFi still gets silly but overall I love it. The best part is you can fax straight from your phone!
5,Just when I needed a printer that does everything I found this printer only through Amazon! Thank you Amazon for the amazing service and products!
2,The glass was broke.  The colour ink does not work.  I have been told that if I buy a new ink it will work .  I am afraid to do this  I did not return the printer because I had not printer to print the DHL  I am also sure that they will charge for returning the printer.  Note the printer was up_ side down  At the moment I do not know if the scanner will work  I do hope so
5,This reconditioned printer is well worth the money ($80).
4,It's good for what I need it for. I wish it was a new printer but still good.
4,After 4 hours on the phone with tech support the printer was FINALLY set up to print. This was not easy one step set up as described
4,This printer does not come with the USB cable necessary to connect it to your computer.
2,The paper either would not roll down or it jammed up. Had to constantly reset it. I didn’t need great print quality but I did need it to print. Was mainly for home/personal use so it didn’t need to be very high quality. But I do need it to work reliably and it was too much hassle to unjam it every single time sometimes I’d have to unjam it 5 times just to get one clear page. Even bought new paper thinking it was poor quality of the off brand paper I was using. Tried 3 brands of paper same exact issue.
4,Printer is great for small jobs like I use it for set up was not that bad but I did needed  to YouTube how to set it up. But once set up works great. If you pan on doing a lot of color printing it does use a lot of ink for that. So be mindful.
4,it suited my needs...
5,I love how this printer connects to your Internet real fast. Sometimes I have to pack it up and put it away and as soon as I take it out and set it up it automatically connects to my Internet and I can go ahead with my business. I recommend this printer to anyone that needs a printer that works like it should with as little problem as possible!
3,Hard to link to my phone
5,I like the fact this was a refurbished printer kept out of a landfill. It looks and preforms like a brand new one.
3,Great little machine but prints pretty slowly. Especially when printing multiple pages.
3,cheap throw away printer
5,i PURCHASED THIS FOR A LOCAL NON-PROFIT TO USE HEBER SPRINGS (AR) HUMANE SOCIETY.  WAS VERY PLEASED WITH EASE OF OPERATION SET UP AND QUALITY OF PRINTING.
5,Easy to use and the print is very clear
5,I brought for someone else and they were able to contact to phone and computer
5,Excellent printer.
5,Great personal printer for home and ok with not  scanning multiple items or make several copies at once because it not capable of doing that. This all in one printer is a great value for the price. The ink isn't too expensive so you think you could just buy another printer every time you buy ink. The quality and ease to set up is worth the value.
5,Great little black and color printer copier and scanner in a small package for a great price!! Arrived faster than promised too!! Definitely recommend!!
5,Excellent printer! After purchasing two Epson HP printers in the 6700 series which did not work at all I was delighted to discover this simpler printer which uses the same size print cartridges as those others (important because it was too late to return the extra cartridges I had purchased) works quite well. After all the frustration with the more complex printers this made me very happy.
5,Super easy to set up. And a great value for the money we paid. Highly recommend if you're looking for an all-around basic printer but you don't want to spend a ton of money.
5,Even though it was refurbished it looked and prints like brand new without the new price tag. Being wireless I can print from phone or computer.
1,This product was so unbelievably awful that throwing it down the trash chute at my apartment was more cathartic than trying to get my money back. It took two hours to get it to print something and then two days later when I needed to print something else it kept giving me an error because the door on the front was blocking the ink cartridges and upon cutting that piece off the printer no longer registered that the door was closed and wouldn't print.
3,Liked it’s size aNo price for my home use. Unfortunately did not get to use it because it would not connect to WiFi.
5,Prefect size and good price
1,this printer is a huge headache. trouble connecting to the network and even when it does it just wont print 9 times out of 10 with no logical issue to even fix. save your money and invest in a laser printer.
5,A breeze to set up and use
5,Its ink does not last long print quality is mediocre but the price was perfect for a HP product….. it serves its purpose! But for more professional type quality I’d bump it up to a 7100 series..
5,This printer was a renewed idem and it looks a works like a brand new printer/scanner
5,I do love the ease of the printer. It is tricky to set up. So make sure to call your internet company to connect it properly. That’s what happened to mine.
1,Tried absolutely everything I found online to try to get the printer to connect to my WiFi. Bought it specifically to be able to print photos via WiFi. It would NOT connect. Even hardwire connected it to router and still would tell me it couldn’t find WiFi connection. Do not reccomend
5,Is Work good
5,It's easy to operate.
5,Easy set up with app
5,Todos muy bien
3,I like it a lot but I can't get it connected to my phone
4,Tardo un poco en conectarse al wifi pero me encanto
1,Product failed within a year. Constantly jammed and did not function well up until the day it finally broke. I was able to use it less than 10 times in total.
1,jfc hp.  just spent the last hour trying to scan a couple of pages.  firstly this thing is totally wireless so you have to download a special app (great! you can print from your phone apparently just can't scan from your desktop) rather than just relying on drivers that use already installed software.  ok fine.  turns out pretty easy prints and copies fine.  but scanning.  not even an option.....unless you open the app!  (one more fing app ive got to keep track of.)  in the app hey there's the scan button not so bad.....except you can't scan a document without creating an account or signing into the account you've previously created.  w.  t.  f.  i just want to scan a document i don't want to create another fing account!!!  they're communicating with each other already!!!!!!!  why would i need to create an account with some service???  f. you hp.
5,I had an issue when it came to putting the computer online with the code.  I went for help thru chat and lost them but tried again with no luck.  So the printer prints wirelessly from your phone when you are on the same network
