rating,review
5,This is a great set of earphones and much higher quality than you might expect at this price point.  ANC is solid paring is fast and easy and the charge lasts much longer than I'm likely to have them in my ears.  And then it's back in the case for a top off.  Also this might be the first (ever) set of earphones I've used that don't feel like they're about to fall out of my ear.  Other sets I've used have me constantly reaching up to ensure they're not falling out.  These fit comfortably and securely in the ear.  Push in twist and they're not going anywhere.  One small nit: the same control movement on the left ear (X1) is used to Play/Pause as well as cycle through ANC/Transparency.  This becomes a problem if I'm listening to an audio book and stop to speak to someone. I'd like to stop the book AND switch to transparency mode but when I tap once I pause the book and if I tap again to cancel ANC the book restarts.  Makes it hard to be social if someone stops you.  But that's a MINOR annoyance that in no way detracts from my satisfaction with this set of earphones.
4,Opening the box and pulling the earbud case out and it felt solid a nice weight to it feels like quality. The lid holds securely via magnet and pulling the earbuds out of quick and simple. No problems pairing with my Google Pixel 6 Pro. I was disappointed that the Tozo app doesn't support these but I downloaded another equalizer app which works great. The buds fit securely after selecting the right earpiece (I put them in and shook my head violently and they didn't budge). The touch controls take a little getting used to but seem to work as needed. The sound is great especially for the price paid. Very balanced crisp highs tight lows (not boomy) and the mids are clear. Another feature I love is that I can use both buds in stereo or I can use each one independently without doing anything extra. The only complaint I have is when it comes to phone calls people say it sounds like I'm far away so I guess the mic leaves a little too be desired.
5,The Good: This is an improvement on the already great Tozo NC9 ANC earbuds. I was disappointed that the original NC9s did not have a wireless charging case. Well not only did Tozo bring it they brought it big time with a nice large battery it'll keep you NC9 earbuds charged for days of use! These things would be great for long trips. I can literally swap out my original NC9 earbuds now with these new ones and keep the tunes and podcast going. The fit on the NC9 earbuds for me is superb. I put the smallest earbud tips on and they stay in my ears no matter what I'm doing. I've gone on runs mowed the lawn worked on my SUV trips to the store and many other chores all while listening on my NC9 earbuds. It's super easy to adjust the volume and is intuitive just push and hold the right to increase the volume and yep you guessed it push and hold the left to decrease the volume. The volume get plenty loud too but not too loud but please be sure not to damage your hearing. It's also super easy to switch between songs with a simple double tap of the right to go to the next or double tap the left to go back to the previous or beginning of a song. And switching between ANC and Transparent mode with a single tap of the left earbud. Then last to power them down just tap and hold each earbud until it says "power off" and tap and hold again to power them on. I find these controls very intuitive some earbud require a series of different taps but not these Tozo NC9 earbuds. Oh and the case for the NC9 Plus is now wireless charging plus has some number indicators on the inside to let you know how charged the case's battery is and 2 smaller indicators for the earbuds. This is a great improved feature from the non-wireless charging case. This alone was worth it to me. I slap them on my Tozo wireless charger and that's it no more plugging in the USB Type C. But that is an option if you want to charge them that way in a pinch. I believe you can also charge other devices like a friends pair of earbuds with a micro usb charging cord. I have not tested that but the port is there when you remove the rubber protector strip. And last the sound. The NC9s are overall a nice sounding sound stage a little heavy on the bass end and the highs are about right. Just keep in mind they are budget earbuds. They will fit the bill for most people not wanting to pay $150+ for a quality pair. (Almost forgot the battery life. With transparent mode I get about 6-7 hours and with ANC I get about 3-4 hours. )The Bad: And now for the bad things. I honestly don't have too many bad things about the Tozo NC9 earbuds themselves other than it's pretty easy to pick them up off a surface and accidently cause them to switch between ANC and Transparent mode but that's an easy fix by just tapping again. It's also easy to accidently cause your media to start playing in the same fashion. But this is an issue with all tap control earbuds so not really a way to fix that issue except for using sensors that are aware of when they are in the ear canal. The ANC is not the best but works for me while mowing and vacuuming reducing the sounds considerably but for the price point they are great!The Ugly: Last is the ugly things. The only three drawbacks on these is the case it's large it's heavy and the lid snaps shut too easy. The lid needs a spring like mechanism that keeps it open better. But don't let this deter you from purchasing them as they still fit in your pocket just don't wear tight pants if you're a guy. LOLFinal Note: Overall I highly recommend these Tozo NC9 Plus earbuds with wireless charging case if you are looking for a budget pair of ANC earbuds. I now have 2 pairs the originals and now these. I've had a few other pairs and these just can't be beat for the price. Go ahead and give them a try and I think you'll agree they fit the budget True Wireless Earbuds perfect!
4,Very impressed with the sound of these. The highs are clear lows are punchy and the kids do not overpower.  The variety of ear cushions makes fitting them very customizable. I ended up using different sizes in each ear to get the best fit. CONS: I don’t find there to be much difference with ANC on or off or transparent mode. The right bud occasionally distorts but that could be the particular music track. Strange it’s only the right side. I’m still evaluating that. And I find it’s really easy to inadvertently change modes pause etc. by just brushing the earbuds lightly. Also wish these were compatible with the app.
5,I love these earbuds. I can use them in transparent mode or noise cancelling mode (a pleasant little voice tells me what I’ve just tapped them into). I’m still trying to figure out how to raise and lower the volume and I also haven’t solved the mystery of why when I’m using them to watch TV and accidentally hit the wrong button on my remote I suddenly have loud music from my Apple Music playlist in my ear. I have to make sure the songs are ones I actually like.The noise cancellation is excellent. I can’t hear the microwave beep when I’m standing right next to it or water running in the kitchen sink. I can barely hear my dog barking.The battery lasts a very long time. I’ve only had to recharge it once and it shows me what percentage of the battery remains when I open the case.All in all I definitely recommend these earbuds. You can’t beat the price. I do suggest that you carefully follow the instructions for inserting them and make sure you use the tip size that suits you best.  And practice inserting them until you get it right.
5,One of my ear buds became quieter and would squeal when I selected the anc mode.I reached out to tozo customer service. First they assisted with initial trouble shooting and within 3 days we came to the conclusion that a replacement would be required. They are currently shipping me a new one and do not require the defective product back. They were incredibly helpful and weren't coming up with reasons to not do their job.Plus the battery life on these things are incredible. Sound is great I work on the flightline hangar and in office space and the different modes allow a wide range of capabilities that I enjoy.
5,Very easy to pair with my phone. Easy to charge on the wireless charger that came with my phone. These sound great and do a very good job of canceling noise. Very comfortable. Thanks for a great product!
5,I purchased these to help with noise from an HVAC system and road traffic that has been disrupting my sleep. These work better than an over the year Sony active noise canceling headset!Customer service has also been excellent.
5,I received the Tozo NC9 Plus earbuds a few days ago and had time to play around with them. I have to say: these are the best earbuds with ANC I have seen so far.Over the past months I had the chance to test several ANC earbuds including Samsung Galaxy Buds Pro and Sony WF-1000XM3 both in the $200 range.The Tozo earbuds in terms of build quality and appearance are absolutely comparable if not better than the much higher priced earbuds. When I unpacked them the case had a very solid feel the lid fits tightly appearance is elegant there is a nice display on the inside showing charging status of the earbuds as well as %age charge of the case. The case provides wireless charging and works very well even with my very old Qi charging pad.The buds themselves fit extremely well. I found the right rubber tip easily and the design is great and fits my ears perfectly. I am a fan of the fit of the very first Galaxy earbuds (Gear IconX) which are still the best fitting earbuds I have ever tried but these come very close. Don't stick out a lot while sitting very tight and don't move or fall out even when I move a lot. The touch controls are great perfect responsiveness.Sound quality is really good. I have seen in another review that someone thought they are heavy on the bass. I agree they have a really good bass but I changed it with the equalizer settings. The sound is really great helped by the awesome fit. Much better than what I experienced with the more expensive Sony and Samsung earbuds.I was very positively surprised by the quality of the ANC. I know I could not expect the same type of noise suppression as over-ear headphones provide and with the experience from other earbuds I did not expect too much. But I was very positively surprised. The ANC successfully filters out background noises at least as good if not better than all other ANC earbuds I have tried. When I first started trying these settings with true wireless earbuds I didn't have high expectations but was still very disappointed by what Sony and Samsung delivered. I was not willing to pay in that price range for a slight muffling of background noises which did not even block out some traffic noise. The Tozo NC9 Plus are doing a better job than the higher priced earbuds blocking background noises really well and voices directly around me are suppressed relatively well as well. The only caveat is that you can only switch between ANC and transparent mode. It would be nice to have a 3rd setting with ANC and transparency mode turned off so there is no interference when you want to listen to music and enjoy the great sound quality of these earbuds. No problem inside but when you're outside some wind noises are amplified even with ANC on.Overall: great earbuds really good ANC (better than much higher priced earbuds) great sound quality and unbeatable value-for-money. For around $60 (when I bought them there were some discounts on Amazon) these are by far the best earbuds you can pick up.
5,I bought these to replace some dying Airpod pros and they have exceeded my expectations. While the case is a little bit bigger the ability to use it as a portable charger makes it plenty worth it. The battery life is unmatched as well. While I would constantly have to stop my music to charge airpods I still have yet to have them die on me while listening. The customer service is also amazing! They were extremely quick to respond and were able to fully fix my issue. I highly recommend and will continue to use this brand. I hope that helps someone :)
