rating,review
4,They are what they are. I am very careful with my cords and they seem to last twice as long as the rest of the families cords but they still don't hold up very well with daily normal use.  They're basically like every other cord out there or that you see at the local gas station super store but at least they're priced half decent on Amazon as opposed to at the gas station.  You can get the 5 pack for what you'd pay for 1 there or at a big blue box store. I have never bought a higher priced higher quality charger cord and that may be why I just assume they're all junk.  I di know Anker makes good products and my boy Cory at Aquarium CoOp is gonna come out with his own built to his specs so I'll probably buy up on his cause I know he'll at least source decent materials and they'll be as earth friendly as they possibly can be. I know he likes Anker products so I imagine it's gonna be as good or better for a bit cheaper or at the same price point.  Check him out if you happen to read this review and are also into fishkeeping.  Great YouTuber businessman all around down to earth good hearted dude. Even pays his employees a liveable wage of 20 bucks an hour to start and provides benefits. Not bad for working in a retail fish shop.  He's much bigger than that but that's where he started and he honestly loves the hobby and does so much for people to enjoy it successfully.
5,I go through these things with some regularity but these are holding up very well. I am on my third cable in a year which I consider completely acceptable especially since one of them met its demise due to a cat gnawing on the usb end of the thing and my stepping on and bending the other.  Cable number 3 has not had external damage (yet) and is fine so far... :)I have two left in backup so that should get me through another year...and then I will reorder another package of these.
5,My Samsung chord was on its last leg after about 2 years of use and I couldn't get a consistent charge. I honestly got these cables because of the colors and they don't disappoint in real life. They also support fast charging (tested by attaching to my official power block and successfully fast charging my phone and tablet). 10/10 recommend.
5,They came quickly! I like that there are a lot in one pack and the variety of colors is nice. It charges well no complaints. I only wish I ordered a longer one.
4,and I hope it doesn't play out negatively long run... They're very tight to plug into both a  charge block and the C port in the phone. I'm  hoping it doesn't hurt my charge port long term.
5,I like these cords alot. They are well worth the money. I feel like they charge at average speed. I would definitely buy these over any expensive charger.
5,My son always breaks our charging cables so I got these. They work great for a great price!
5,Just what we needed. sturdy cord good charging speed. No problems look great and perform great!
5,Colors are great cords are stiff and stay bent when unwound. Outside of cord is nicely woven.Doesn't charge as fast as original cordabout 40 minutes longer to charge.
5,I have not tested them for sturdiness conductivity or the other thing that was stated in the star options.All of them are still working after a couple of months with no problems at all. They were nicely packaged and the colors are what I expected.Best wishes
4,Yes it does it job like it says. Do recommend it.
5,These chargers are great. Long cables fun colors and long lasting. I've purchased them 3+ times. (Sometimes lost sometimes damaged by kids). But always the ones I order again.
4,I like the charging power unfortunately it's not very durable and I have to replace it after a few months
5,Does exactly what we need. Kids like them- no straws to clean and worry about.
5,Charging cell phones. Excellent price and awesome colors!
5,Great rapid charging! I have a different color for each device.
5,My grandkids are very rough on chargers they pull the cords and they break. These are holding up great and charger fast!!
5,Overall really good
5,Great price and pretty quick charging. I needed some that were longer and these were perfect. Now I don't have to worry about moving my 1 lone charger around.
5,Very worth it
5,price
5,Get set of colored chargers. As a big family everyone's stuff is color coded so when something comes up missing - it's easy to identify if someone else took it. Loved that these came in so many colors while still being affordable and high quality. Also purchased another pack of typical chargers and a pack of USB wall plugs - all matching colors. Highly recommend! (Only one star off for charging ability because they aren't "fast charging" but they still worked great!)
5,Cables arrived quickly as described.  They feel sturdy no issue charging devices with them so far.
5,Works great. Thank you.
5,Colored cords made it easy to finds what's needed for the moment.  The mobile heads have been amazing  no more frayed or kinked cords. Less electronics waste and good charging.
5,Love the length of the cable cord it's very very durable and charges fast.  The PRICE is more than FAIR.
5,Thanks
5,Very heavy duty. Fit good and tight in phone.
4,Not much to say charges phone
5,My girlfriend frequently loses chargers so this pack will come in handy. She doesn’t mean to lose them they apparently run away. So far they work perfectly! Every time she finds them she gets excited all over again! If you love someone with ADHD you understand this perfectly. She recommends!
5,increible
5,Charging power is very good!!
5,Great cables as advertised have held up great.
5,Value for the number ordered
