rating,review
5,Comfortable to use just the right touch on the keys not loud like my older keyboard and convenient shortcut keys.  I bought this one to replace one with a broken key but I may purchase another to replace an old noisy one.
5,Quiet and comfy
4,I very much like the feel of this keyboard and it worked out of the box without any special drivers or customization.I dropped my rating to 4 stars for two reasons:1) The layout of the volume control buttons (which are the ones I use more often than anything else) is a little awkward.  I would much prefer they be separate from the others - or at least all on the end of the row. (Yes this is a quibble)2) More seriously the manual claims that the Music button launches the default music player.  It does not.  It launches Windows Media Player - and I've found no way to change that.  So that button ends up being useless to me.  (Again a bit of a quibble)Overall though I recommend it.
5,I  like the older style big key keyboard.  Hard to find these days but this definitely beats the newer chicklet style keyboards.  I do like this keyboard and definitely would recommend it.
5,Compare to Logitech and Microsoft keyboards I've purchased in the past this keyboard rates high with them. Very sleek includes the wrist rest and spacious keyboard and responsive buttons is a purchase I am happy with muchos gracias 🏝️🇵🇷
5,This keyboard is just like the one I had from HP.  The only difference is it is much better with the build in wrist rest that doesn't come off.  All features are excellent  Great value for the money and you just plug it in and play.
4,Nice keyboard and works as expected. I love that it's full size. I gave it four stars because it is a bit loud. I would not consider this a quiet keyboard. If the sound of the keys doesn't bother you you will be fine. I would have prefer one with "quiet" keys and this is not it. Regardless I plan to keep it as it works as expected and was a good price.
5,Very comfortable to use.  No keys with errors.  Replaces my original IBM pc keyboard and I don't miss it.
5,I called the factory and they were very responsive. Amazon replaced it with no hassle. Works well. Super deal for the money
5,Well designed plug and play.  Met my expectations.  Stands out among wired keyboard choices.
5,So tired of any device with batteries.  I previously had 2 Logitech rechargeable keyboards.  What a hassle.  This one is wired ergonomic and slim enough.  I love it!  Only slight wish is for illuminated keys. What a good price responsive keys and good looking.  Just plug and play.  No drivers needed.
3,I've had a little trouble with the enter key getting stuck. I use Autodesk civil 3d for work and the other day I entered an "undo" command and the enter key stuck and wiped out about 20 minutes of work.😐
5,Sturdy and substantial. Very ergonomic and easy to use. I like the wrist rest even though it increases the footprint of the keyboard.
5,Nothing bad to say on this at all. Love it!
5,I am very happy with this keyboard. It is exactly what I was looking for and is good quality at this price level. The keys do make a clicking sound which does not bother me. I've had it for a couple of weeks and everything is working just fine.
3,I bought this keyboard because it said quiet keyboard but it is anything but quiet.  I guess you get what you pay for but I will be switching back to my old keyboard that came with the computer because this one sounds like I’m slamming on the keys.  It’s a fine keyboard but is a loud one
5,works perfectly. love it would buy it again if needed
3,The keyboard quality seems good but the key click is pretty loud.
4,I like the bounce back of the keys and the ergonomic design. I wish it had USB ports but for a plain keyboard it does the trick.
5,Great keyboard. All I had to do was plug it in and it was ready to use. Love the size. And the keys are easy to use. Would recommend to anyone that wants a keyboard a bit larger than what comes standard with most computers.
5,This is a quality keyboard.  It is like the one I replaced and I love it.
4,I like this keyboard.  It doesn't have a Sleep mode button which I appreciate because my cat has a tendency to walk over my keyboard and press keys with her paws.  One thing: the Scroll Lock light is always on even when Scroll Lock itself is not on but I've gotten used to that.  Also the wrist rest is built-in so if you were hoping for a small keyboard with no wrist rest this isn't that.  But overall a good keyboard very easy to press keys.
5,product was shipped quickly and packed well. works infinitely better than my old keyboard- much quieter keys don't stick.
5,Great keyboard.  Extra short cut keys are a +.  Quiet as well.
4,I’m done with wireless keyboards that after a while lock up and can’t keep up.  This keyboard has a good feel and not loud at a great price
5,Needed a quiet keyboard that wasn’t expensive. This one is perfect
3,PROs:  Like the fact that the keyboard has good rubber "feet" so it does not slide around on a smooth desk.  Also is quiet and keys have a soft touch.  Like the ~2" of wrist support on front side of keyboard.  CONs:  Expected NOT to have a couple of USB ports on the edge of the keyboard (like many Dell keyboards) but adding those would be a boon to some. The raised plastic nub on the F and J keys are not nearly prominent enough -- should be easier for the index fingers to find without looking.  Also was disappointed that one of the "legs" (for elevating the top of the keyboard for better ergonomics) broke off after just a few days of use.  Must have put too much pressure on the keyboard at some point but prospective buyers should not depend on that feature lasting more than a few days or weeks.
5,This is the BEST keyboard
5,keyboard is great. delivery was prompt and I appreciate both.
3,I returned it because I realized I needed something much higher quality. If someone needs a cheap keyboard this could work fine. I wouldn't have bothered to write a review but the description says quiet keys and the keyboard I received did not have quiet keys.
5,Bought this as a gift for someone who has been working from home on a company laptop. A wireless keyboard was not permitted but the laptop needs to be elevated to a proper viewing height. This keyboard plugs into the laptop so it’s easy to install and comfortable to use. It allows the laptop and the keyboard to be used at different heights. It hasn’t been used for gaming so I couldn’t speak to its usefulness there. It was a really good price.
