rating,review
1,So I really did not know what to expect. I have heard about Skullcandy I have seen their products in Best Buy but I’ve never owned any of their headphones.I have a pair of beats solo Pro. I was looking for earbuds that have the same functionality as far as active noise cancellation and transparency mode. I also wanted to make sure that the sound is great. I like to have a lot of bass. And I also like to have clear highs and lows.However I really did not feel like spending $249 on Apple AirPods Pro. Plus I think the Apple AirPods Pro our grade buds but I believe that they don’t have enough bassI’ve done a decent amount of research on different buds. I looked at brands like monster and anchor and I’ve looked at last known brands that are out there that are probably are coming out of China.However I have not been able to find exactly what I am looking for.I came across Skullcandy Indy ANC purely by accident. I saw a few reviews that are written on Amazon and I was able to find some YouTube video reviews as well.So these arrived today. I am so happy.So the buds are matte black and color.The case is Matt black as well with LED battery indicators on the front. Case looks very similar to Apple AirPods Pro.The way that the buds said inside the case is very familiar as well. The presentation is very nice. And appears to be made from quality cardboard and paper. There is a nice foam centerpiece inside the box that holds the case and the buds.There are also some papers that tell you about the product. There is a USB type C charger and cable. A baggie with two differentSizes of ear tips. In the baggie there is also a smaller pair of the wingtips.I was worried that the wingtips will be made out of hard plastic. They are soft and rubbery just like the tips.There is an app that’s associated that downloading is probably a good idea. On the app you can set up your own sound profile. The buds will create sound that best fits for your ears. That’s pretty cool.Through the app you can also control the noise cancellation and the transparency mode. Also you can control the EQ. On the app is included user guide. Warrantee information product registration and other things.I also did find a YouTube video from Skullcandy that has the QuickStart guide. I thought that was way more helpful than the user guide alone.Everything that you can think of as far as controls can be done directly on the buds. The logos on the buds are touch controls. It’s a little to get used to but after a few times it becomes natural.After setting up the sound I am not sure what they sound like without setting up sound profile is actually very very nice. The base is good it’s not overpowering. It’s nice and crisp. The highs and meds are very very nice. The lows are nice.I am very impressed with the sound quality of these buds.The call quality is very good. The interaction with your voice assistant is very simple and intuitive.Personally when listening to music and watching YouTube videos and movies on my phone I think for those things the movie mode in the EQ works the best.Both the noise canceling and the transparency modes are very good as well. There is definitely a very noticeable difference when switching between the two.There is also a normal mode where active noise canceling and transparency is turned off.I honestly think that there is not a lot of very noticeable difference of the sound of whatever you might be listening to when switching between these three modes which is actually very good.To summit all up I I am very happy with  these buds. I like how they feel in my ears. The fit and finish is super nice. The controls are intuitive. The sound quality is very very good. I have not fully drained them so I cannot tell you how my batteries lasted. But if you want to see the battery specs you can read the description of the item.Apparently these retails for $130. Amazon had them on sale for $99. I am not sure how long this deal is going to be available. For what you’re getting that’s a really good price. Even the full price of $130 is still a good price for what you’re getting because it’s still less than its main competition.I would definitely buy again and I would definitely recommend these.So this is an update. When I picked up these headphones they were new. There was not a lot of information available online. No it appears that my left Bud went out. Of course it’s after the return window. After researching left bud going out apparently is a common issue with these headphones. I contacted Amazon. Nothing they could do it. I was told to contact the manufacturer. Will be contacting the manufacturer today or tomorrow. Will post an update to see what happens.This is an update. I am changing my review from five stars to one star.When I first received the item I was very happy with these headphones. They sounded great. They function great. They were exactly what I was looking for.A few days ago and my left headphone went out. After doing research on these headphones online and reading technical forums I found out that apparently it’s a common issue with these that either the left or the right will go out.Hi contacted Amazon to see if I could get some assistance and Amazon was unable or unwilling to help. Because it is past the 30 day return window. They were not willing to take into consideration the fact that these are perhaps defective from the manufacture because of the fact that either the left or the right going out is a very common issue.I contacted the manufacturer to see if I can make a warranty claim. I can because they are covered for two years with manufacturers warranty.That’s also a pain in the ass. I have to go to the website print out a form or fill out a form online then print it then print a shipping label. Take it to a post office or UPS or FedEx. And if I make a warranty claim and ship it back to them I am the one that hast to pay the shipping costs. The manufacturer does not want to cover shipping costs.I honestly wish that I would have just spent the extra money and bought the Apple AirPods Pro. At least when it comes to Apple products Apple stands behind their products 100%. And I can take that product into any Apple store or any store like Best Buy that is a certified Apple retailer and my items can be exchanged with no question asked.Lesson learned.Knowing what I know now as far as these headphones having the common issue of either the left or the right going out I would not have purchased these. And I do not recommend you purchasing them either because you will be faced with the same issue that I’m having right now. Save your money spend the extra cash and buy the Apple AirPods Pro.
4,I discovered Skullcandy years ago in a desperate search for earbuds that wouldn't need constant adjusting or fall out of my ears every 30 seconds while running. I bought these (my first pair of completely wireless buds) last year to replace my trusty Skullcandy Ink'd. I live on the surface of the sun (you'd think by our summers) and having something on the back of my neck during hot sweaty runs was getting on my nerves. Plus they tend to slide off your neck while doing mat and bench work at the gym.The Indy Fuel buds are as reliably comfortable and snug in the ear as anything from Skullcandy. The noise canceling and ambient modes are usefully functional. The sound is great for music and podcasts. I will charge the case with the buds in it about once per 8-10 days and that works for me. I'd say I use them 3 hours per day on average. They pair up very easily with whatever device I need to use and the range is good. I've left my phone in the house and made it easily 50 feet outside of my house before the signal started breaking.The only reason I gave them 4 stars instead of 5 is actually something that may just be intrinsic to this kind of device and that's interference. The only time I ever have connectivity issues is when I'm in the part of my gym that's most crowded. It seems that if there are more than 15 or so people within a 25-foot radius of me my signal cuts in and out. It's a minor annoyance but still annoying. As I stated this may just be a thing that is. Too many people with earphones/buds on the same frequency in close proximity certainly causes interference.Overall this is a great product which I highly recommend.
5,I got these Tuesday 9/20. I opened them last night 9/22. I paired them with my phone and set up my hearing profile on the app and listened to a song. It was amazing I almost cried. I could feel the song. The set up was easy with the app and you pair them to your phone just like any other Bluetooth device. I haven't had a phone call with them yet so I will update my review after that. I hope they last longer than my headset that these are replacing. I have never had noise canceling before and it is a beautiful thing. If your looking for kick ass hear buds these are it for sure.
4,My charger box has quit working. Went through steps to clean contacts but that wasn't it. The USB cable was very short and looked different than any other ones I've seen. This cable can be inserted upside down and it doesn't say that anywhere. Caused a short in charger/carrier and now won't charge them at all. On top of that they would randomly cut out or when using the assistant the sound quality dramatically decreased or cut out one side. Technology is there and works more often than not just a couple annoying bugs to fix.
4,The battery does not last as long as the sesh evo batteries. The noise canceling is very nice as well as the sound amplifier feature. But overall I feel like the sesh evo by skull candy is a better value.
4,I would put 5 stars but the logo on the ear tips  scrapes the skin and you can’t wear them for more than 4 hours without getting a rash I have to wear one and then the other. I just bought some smooth ear tips to get around that issue.Other than that it has great quality in sound and battery life is pretty good. If you run out of battery just put the buds back in the case for a bit I charge the case every two days and honestly that’s impressive. (At least compared to the previous earbuds I used.)I would recommend for people who just need to use the earbuds 1-3 hours daily and if you want to use these most of the day just get other ear tips that way you won’t have rashes in your ears. 👍
4,For the price they are pretty hard to beat. Slower to connect when taking out of the case but tough to beat comparatively. Accidentally went through wash and still work!
4,I use an android phone for work and iphone/iPad in my personal life. I had air pods pro they got washed and these were on sale for a price I couldn’t pass. They sound better then my AirPods after you get them tuned to your ears through the app. But to move from apple to droid and back is cumbersome (on phones) As the AirPods Pro’s you say connect to them and they just do with out fuss. If I just used these on my android phone for work then 5/5. But toss apple in the mix it’s kinda a mixed bag. Be nicer if the app worked better on apple too. Would I buy them again soft yes. They are comparing 2 different class of earbuds but hope this helps. Also I plan on the air pods pro 2s and keeping these on my work phone later.
5,Title says it all. Didn't fall out my ears when I got hit by a car. 10/10 would buy again.Noise cancelling is actually pretty good and ambient mode for being able to hear when riding a bike or out in the street and needing to be able to hear your surroundings.
4,I think the silicone earbud tips could be a little thicker/more substantial. They need to seal just a bit better that would’ve got a fifth star.
