rating,review
5,This really is my favorite backpack and I have owned plenty. I have traveled extensively with it as my personal item on planes and have had no issues with size. It compresses very nicely and has plenty of pockets and features such as pockets for pens laptop water bottle and attachment for charging your phone with a power brick. The arm straps are easily adjustable and it has a handle on top to carry. I also like that it doesn't have too many straps and clips hanging from it like many others.There is also a horizontal strap so you can slide it on your carry-on handle.
4,I got this backpack for college and it has done a pretty good job so far. I keep quite a bit of stuff in my backpack during the semester and have heavy textbooks on top of that so I'd say its doing a pretty good job of keeping up with the heavy load. It rained the one day and I didn't have an umbrella so it got wet but as far as I could tell nothing inside got wet. I also flew home with it for a weekend and it was a good size for traveling on an airplane. The only down side to it is that it can only hold so many of my textbooks at the same time I wish it was just a tad bigger so I could carry more of my books at once.
5,I purchased this backpack for my 7th grader and we both love it. It has many compartments zippers and even a built in charger. I find myself purchasing backpacks yearly for the new school year and it's a pain. This is a backpack that will last for years to come. It's sturdy and holds well. Comfortable straps so your shoulders don't ache. It's a must buy!
5,I used this to travel on. Three day trip via ferry to BC. It held all my things held up well to my overpacking! It does have a papery noise when empty but that was unnoticeable when full. Sturdy and very functional.  Lots of pockets! I recommend it!
5,I bought 1 of these he few months ago when my daughter got a new laptop computer. She liked it so much that when the new school year came around I bought 2 more 1 for her 1 for her brother. These backpacks are sturdy comfortable to wear And come with a pocket on the inside to holder charge pack. A plug on the inside attaches the charge back to an external USB port. This allows them to charge their devices outside of the bag. Very satisfied.
5,Backpack is great for school it can hold my chromebook notebooks and more with no problem I've yet to try the charging feature though. It has so much storage and many hidden pockets. The inside is not cloth so if anything spilled it wouldn't be super difficult to clean. It has a holder for your water bottle on the side but only for smaller bottles like 18oz or less my big water bottle kept falling out. Nevertheless I like the backpack a lot :)
5,Superó mis expectativas. A mi hijo le encanta para ir a la escuela tiene muchos compartimientos y uno especial para la laptop.Totalmente impermeable.Y puedes cargar tu celular.La recomiendo 100%.
4,I bought this to take on an overseas trip I needed a pack that would hold a lot & strap onto my luggage handle and this fit the bill. I will say you can easily overpack this and it will be difficult to stow under an airplane seat and heavy to carry. The only real downfall I could see is the side pockets are way to short to hold a water bottle mine kept falling out.
5,Recently purchased this backpack for nursing school and couldn’t be happier with my purchase. I’ve been able to carry all my books laptop and notebooks and it’s very comfortable. Lots of pockets for more organizing and storage as well. Highly recommend.
5,Bought this for my high schooler who has too much to carry IMO. The backpack is holding up so far with that heavy load. It has many pockets looks simple and sleek and the girl loves it so far.
5,I absolutely love this backpack! I originally bought to use as my carry-on for my 10-day girls trip overseas. The pockets durability and size made this perfect for traveling!Additionally I recently began law school and this is the perfect bag for me. I have a lot of heavy books notebooks my computer etc to carry and this backpack holds everything and keeps me organized. It’s also pretty comfortable considering I have to walk across the city to get to class. Recommend!
4,My son has loved this bag! It has alot of room which comes in handy for all of his books he has to have. Only bad thing is both side pockets that he puts his water bottles in has developed a hole in both. Other than that lots of room and seems sturdy!
5,The size and weight and shape. I used it to travel as my luggage for a 5 day trip
5,Built well held everything I needed it to hold.
5,Bought this for my kids cause everyone has a laptop now. It protects the laptop and it’s a sturdy bag. Love all the storage.
5,The bag fits me so comfortably considering I’m plus sized. It fits normally on me. The pockets are so well put on  it gives you so much areas + 1 secret pocket in the back. And it doesn’t make you sweaty! Perfect bag for highschool carrying all my items
5,I've had this backpack for almost 3months. During this time. It has been my favorite travel companion. At the time I was traveling alot for work and needed to store laptops and electronics. As well as personal items. It was enough pockets and space for me. Unfortunately one of the straps broke a couple weeks ago. But I still use it. As far durability I would give it a 2 stars due to the strap but overall it's my favorite backpack. I'll keep using it til maybe the other strap (knock on wood) breaks.
5,Backpack was bigger than I thought but my daughter loved all the space it has.
4,Would’ve like if it was water proof
4,It is very comfortable and lightweight.  Easy to travel with.  The only issue with mine is that the USB plug for battery charging does not work.  Other than that it still seems like a good bargain.
4,We got this for my son who is a freshman in high school and Carrie’s so much stuff! Worked great for him! Lots of space
4,I have mixed feelings about this backpack. It’s adorable and very comfortable to wear. It passes the Airport personal item carry size. You can fit a lot of things into the bag the pockets are very deep. But the deep pockets was also an annoyance. It was hard to find the things I need it when it was time to grab them out the bag because it was they were so damn deep in the pockets. I also don’t like the water bottle holder my bottled water kept falling out.
4,This seems to be a great product. The only thing I take issue with is that you can never tell how much charge the pack has. Every time I try to charge my laptop it seems like the pack hasn't kept the charge at all
5,Well made and big enough for organization
5,I have the bag for under 3 mouths and its falling apart. I should realize when they only give 30 day warranty..
5,I have used this bag for travel and school. Size is just right for essentials.  Probably not big enough if you carry a lot of large binders or notebooks.  It has held up well so far.  The straps are well padded and comfortable even when carrying weighty items.
4,Very good for traveling
4,the gray is a lot darker than in the pictures- otherwise good backpack!
4,I really like this bag! It has deep pockets and many different zippered sections to hold your items whether big or small. I’m currently using it for a work bag as my previous bag (from a different brand) broke. It would work well as a school bag too. There’s a deep laptop pocket. The back of the bag is well padded for comfort as well. The straps are easy to adjust.I’m impressed with it being waterproof as well. I walked with this bag in a decent rain storm and the bag stayed dry on the inside along with all of my items.The only downside is the 2 drink holders. They’re decently large & semi-deep but there’s not a second strap to hold a larger water bottle in. I’ve had my water bottle knocked out of my bag by quickly turning around with this backpack. The pockets themselves just aren’t quite enough to keep a larger water bottle in without falling out with movement.
5,It not only looks great but it is very sturdy. Many school backpacks fall apart very quickly but this one seems to be able to withstand high school.
5,Bought for my wife her review: Awesome back pack! I bought it for work to carry my laptop and it does the job and then some! It’s small but holds so much! I now use it for traveling too! I love my under armor backpack (still do) but have replaced it for traveling with this back pack due to its smaller compact size that can fit so many items! So many compartments. Love love love it!
5,I had luggage for a carry-on but I needed a backpack for my plane ride home. This was perfect! Fit under the seat in front of me with no problem! Plenty of pockets!
5,I haven't spilled anything on it so can't grade it's water res but it's comfylarge and very spacious
5,All the pockets on the backpack are pretty deep. That is a bit of a problem for wherever I stick my keys because they always sink to the bottom. That being said that’s why they put the key hook in the backpack but I wish it was just a clip so I wouldn’t have to decide which set of keys I use to put on it.
4,I ordered the red and a black one. They are nice just  a little smaller then I expected but it'll work
5,I like this backpack it's durable and holds alot of items I can fit a sweater jacket magazine chromebook tablet multiple pens gloves flashlight accessory pouch and a few other things inside I would like to see heavy duty zippers instead of the standard zippers but other than that I'm happy with the purchase
5,I purchased this bag thinking it might last even less then the really expensive bags. I've had it for a while already and im suprised its lasted this long. The other bags i buy usually start showing wear n tear around the bottom or the zipper starts giving me issues since im constantly opening and closing the bag. Overall great product and im very happy with the purchase
5,It hardly got wet but my stuff got wet though the bag dried fast there was a puddle of water that got into the bag even thought it was closed
5,This is a nice bag with several pockets and hidden compartments. The charging port is a nice touch. It also comes with a zipper lock to keep your laptop safe or valuables. Overall good purchase.
5,Very comfortable to wear and fits everything you need!
5,Got this for my son and he love it.
5,This bag is full if space! I will use it for school and it has space for binders books and my laptop.
5,Lots of room and great as a carry on
5,Son loves it.  Perfect backpack for him.
4,Can hold a LOT of stuff. Lots of pockets good storage.  Has held up well so far. I use it for an everyday bag.  It is fairly light weight.  At this point I would purchase it again.
5,I needed a durable backpack while traveling that would also have space for my laptop and charging cable. This backpack is not only attractive and durable but it has SO MANY pockets and cubbies to help me stay organized while away from home.  The added padding to protect my devices the handy strap to attach the backpack to my luggage handle and the comfortable shoulder straps were invaluable getting through the airport with all my "stuff". I haven't used the included USB charging port yet but I like having that available to me if I need it!  I'm using this backpack on our long road trip now and it's working great to keep the things I need close by.  I'm delighted that I found this particular item on AMazon.
5,Got this from my niece and it worked perfectly
5,Had no complaints with the bag. Everything was great.
5,Good quality backpacks with multiple compartments for organizing and function.
5,Super comfy
5,Very happy with this bag.  Has a lot of room for books and computer.
5,It’s everything the description said it is. Definitely recommend it.
5,This is my third book bag I brought from Amazon and buy far the best it’s is stylist And it has lasted the longest. Very heavy duty
