rating,review
5,The plastic frame to position the glass makes it much easier to position correctly than tape which is also included. Having a hole rather than a notch at the top seems to be more protective than the previous cover glass I used. Dust motes are almost impossible to elliminate 100% but that is  no different than others I have used and I was able to peel back and reclean twice as I noticed trapped dust as it attached from the top down. Really like the frame - good idea. I also used Zeiss lens cleaning wipes.
5,My family has been using this brand for our iPhones for many years now. Everyone is excellent and has protected the iPhone flawlessly - occasionally breaking instead of the iPhone as designed. With each new iPhone we come back to this brand for screen protectors. The package includes a plastic target that makes it easy to install correctly each time. Great product.
5,These are the best screen protectors I’ve bought them five times over the past 2/3 years and I’ll continue to buy them. I’ve dropped my phone several times and the screen protector is the only thing that cracks. These keep my phone in the best condition no cracks or scratches anywhere.
5,This screen protector will last me a while. I bought it a couple months ago and have dropped my phone multiple times with that being said my screen protector is doing its thang ! No scratches or cracks ! I have a child who thinks my phone is a football so this screen protector is Saving my phones life ! Amazing !
5,Fits perfectly edge to edge with NO raised edges; blends in nicely with the iPhone 12 frame. With the included screen protector guide anyone can install these with NO bubbles.
4,The screen protectors are very nice and they all come in good packaging. However there was no tool to use to get rid of the air bubbles. The guide is a very smart idea and using my cellphone with the screen protector feels the same as if it were the bare screen. Good quality overall for the price!
5,Protector directions are easy to follow. Product get on with ease and no bubbles. Feels thicker than other name brands.
5,The installation frame included with this screen protector makes placing it on the phone properly very easy.  Air bubbles are easy to remove and the glass is fingerprint resistant.
4,
5,Of all the glass screen protectors I’ve had in my life this one is the best I’ve used so far. First it covers the entire screen almost edge to edge. Second the install tool that clips on to your phone makes it impossible to mess up your install giving a perfect fit. And you get three protectors for a great price.
4,I was looking for a full screen protector. I like that it makes it look like I don’t have anything on the screen. This is a great price. Though it Didn’t want to stick on one end when I first put it on. I had to really force it for the first day or two. My biggest issue is all the fingerprints that accumulate on the screen. But good price.
5,Great quality and easy to install. Covers entire surface.
5,Covers screen perfectly
5,Installation is breeze with the kit comes with. Quality is good. I used another protector which was also good quality but always peel in the corner  when I take off my phone case for cleaning . This one sticks together I tried many times take my case on and off looks like the installation kit helped to install  it perfect. Thumbs up 👍 nice good quality one.
5,I’ve gone through several screen protectors but I think this may be the best one yet!The screen protector itself feels super high quality and like glass. Then it comes with a plastic guide that snaps onto your phone which makes aligning it super easy. And finally I think the adhesive they use is great I always extra careful about any lint or dust so I clean the screen really well but sometimes the glue traps bubbles. With this one I cleaned it well and applied it with no issues at all. I thought I had some trapped bubbles but I think it was the glue slowly adhering to the screen because I kept going over them with a microfiber cloth and they all went away! The screen protector is on now with zero bubbles or issues which is pretty rare I think. Also I’ve noticed no difference in touch sensitivity so far feels just like there’s no protector on it.All in all it was super easy to apply had an awesome snap on guide felt premium and was exactly what I was looking for!
4,Stood on my phone and the protector bore the brunt and protected my screen completely.  Was so glad to have another one of these protectors available for a quick and easy replacement.
5,this is a pretty awesome screen protector.  “the avengers” of phone screen protectors. I accidentally dropped my phone in the middle of a busy street. This protector is no joke. It protected my phone even after being ran over by cars. 📱 🚗 💨 ->  📱 ☠️. thought my phone was a goner but this product proved me wrong.  screen protector  took most of the damage while the phone itself received minimal damage. The screen protector went out like a true hero 🫡 highly recommend this item it won’t disappoint. earth’s mightiest screen protector 🌎 📱 🔥
3,Let me start by saying I am uber OCD when it comes to screen protectors on my iPhone 12 Pro. That means I demand perfection from the protector itself and my installation.I want my screen protector to be invisible meaning no bubbles or dust underneath.I’ve gotten really good at the installation part which involves creating as close to a clean room in my home that I can. I clean the vanity (work area) in our bathroom and then run a light shower of hot-only water (with bathroom door shut) to create a light steam to minimize airborne dust during installation.My last 6 or 8 installs (between the 3 family phones) over last several years have been home runs: no dust or bubbles to be seen.After receiving these TETHYS protectors today I set about replacing my existing protector that had a very small scratch (almost unnoticeable…I said I was OCD!).Ran through my usual procedure on the first one but ended up with a single small speck of dust. Probably could have let it ride but yeah OCD. Was bit surprised that I let dust in but nobody’s perfect.So attempt 2: took usual steps and this time two dust specs!I am 100% sure my phone screen was dust-free especially that second attempt! Now I’m thinking perhaps these screen protectors picked up some contaminates during the manufacturing or packaging process.Probably impossible to prove that though so…Everything looked to be good quality with this product and most people probably aren’t as critical as me with screen protectors but I will be trying a different brand next time (or a previous brand I’ve used before if I can find them again).I’ll try to get a little use out of this second install as long as the dust doesn’t drive me too crazy and I’ll update my review if the third install goes as flawlessly as I know I’m capable of.
