rating,review
5,Waited and waited and waited...  I finally pulled the trigger and purchased this card at $980 hoping it didn't go any lower...  It also helped that I had a $210 Amazon credit so I was able to get it for $770 before tax...  SCORE!!!Upgraded from an RTX 3060 XC (12GB version)...  Running on an Asus Z590 motherboard with an i9-10850k CPU mounted on a CoolMaster AIO 240mm CPU cooler Team T-Force Delta RGB 64GB DDR4-3600 RAM (16gb x 4 sticks) and an EVGA 1000w Gold PSU...  All running efficiently inside a white HYTE Y60 case with Lian Li's UNI SL-Infinity fans...  Display is a Sceptre 34" IPS ultrawide 144Hz gaming monitor...Undervolted the GPU via MSI Afterburner at 850mV @ 1800mhz...  At full load I get max GPU temps at 65c...  Besides games I also use this rig for my photography and videography workflow...  I'm loving the RTX 3090 and what it can do...  More so based on the price I was able to get it...  I guess the saying "Good things comes to those who wait" are true in this case...
5,First and foremost please do not buy this if you plan to use this *exclusively* for gaming; you'd be much better served going with a 3080 price/performance wise. (Unless an extra $300 for more or less 10% performance gain is worth it to you then go for it I suppose. It is a 3090 after all.)However if your workflow can properly utilize the massive 24GB worth of VRAM a 3090 comes with this is well worth it. Quite literally there are no other nVidia cards at this price point that offer this amount of VRAM. Now sure there are rumored cards and workstation level graphics cards that out perform the 3090 but they are vastly more expensive so if you're looking to do some serious ML prototyping/3D-modeling etc but don't want to go through the hassle of spinning up a cloud GPU instance (and burn through credits) this is the way to go.With regards to this specific card please note that while EVGA had a lot of growing pains with the initial release of the 3090 as of now these issues have all but been solved. If you are worried about rumors of VRM failures etc just make sure your card is not rev0.1(which you'll find next to the pcie slot). The ugly red "clown lips" at the edge of the card have also been removed in these newer iterations; however if your card does have those you can email EVGA for a replacement shroud. Thermally this card is decent; however it is helped significantly with some undervolting. My personal undervolt is 1890 @0.9V which drops overall energy usage of this card by upwards of 100W. Design is quite elegant with the diffused RGB LEDs and a solid feeling of construction throughout. The precision x1 software is solid for both RGB and undervolt/overclock control.All in all this card as this price point ($1000 or so) is a steal if you can properly utilize the 24GB of VRAM. The card's construction thermals and warranty support from EVGA are all superb and I would definitely recommend this product.
5,3 issues you need to be aware of that I wasn't.1. power - you need power. I upgraded to 1200 PSU2. HEAT! playing minesweeper will generate more heat than a small block chevy 350. I LEGIT had to set up flex tube piping from an ac wall unit to keep my temps in the 40-50 range. Without the ac my temps would be 80's to 90's. this card is the real reason why the ice caps are melting.3. Heavy the card is large and in charge buy yourself a brace.Side note they offered a cooler for the card however it takes away the pretty face and I personally love the look of the card so I didn't do the hybrid cooler option. Plus if I'm dropping 1300ish on a card I shouldnt have to drop 200$ to keep it cool.Now the performance is fantastic. Best bang for the $ hands down 100+ frames on EFT can't beat it.
5,The RTX 3090 FTW3 Ultra is not a common GPU. It’s not for people running lower resolutions like 1080p or for people running older games that are not graphically demanding.It is however a complete powerhouse of 4K gaming. This card can max out every game I own in 4K except Cyberpunk 2077 with Ray tracing. But Cyberpunk is ridiculous so I don’t know if that really counts.The gaming capabilities are over the top and you pay a lot for that. You will not be upset if you bought this card for gaming. But if you bought it for 3D art or graphics design you’ll be even more excited. It performs so smooth and renders artwork so quickly that it makes your projects so much more simple to work on.All in all the only negative I have ran into with this GPU is the increased fan noise over my old card but this is mostly because the 3090 comes with 3 fans instead of 2. My number one tip for new users would be to go and modify your fan curve right away as this card is set by default to not hit max fan levels until 90c which is just dumb. With a more aggressive curve set I am able to easily keep temps in the mid 70s while gaming in 4K and pushing the card as hard as I can.All in all this is the best purchase I have made for a PC in many years. Amazing GPU!
4,I can't believe I could buy this GPU in a great price. Specially after announcing new RTX 4000 series. Everything arrived in perfect conditions according as it was advertised.Installation was smooth. Make sure you have minimum a Power Supply Unit of 750 W Gold to run it without any problems.In the other hand average temperature varies from 58 to 65 Celsius degrees and it will depend on the configuration of the game you want to play it might be higher around 85 Celsius degrees. Make sure you have a proper cooling system. Apart from the 3 fans in the GPU I have 4 fans in my CPU and water cooling for the Intel processor. In that way temperatures are normal. I hope it helps.
5,Update: one month laterStill running great but the temps on memory specifically the 12 chips on the top get extremely hot! I've seen them hit 105°C before thermal throttling took place. According to Samsung(who manufactures those chips) that's the danger zone. So I had to fully water cool with an active backplate from Bykski which keep the temps stable at about 70°C between the GPU and vram. I feel like this shouldn't be a problem as much as the card costs. Then doesn't think this through I think. A fan or something should've been implemented for the top memory chips. Beware even with proper intake and exhaust on your case you'll still have this problem.After the last two years of inflated prices I've finally gotten my hands on a 3090 at a really good price. I paid the same for this thing as I did for my 2080ti and for an extra 2000 points added to my Time spy score without any overclocking. It never hit over 75°c with stock fans. I never really heard the game like everyone claims but then again my hearing is almost shot anyway.I did find a hybrid kit for this(had to pay double MSRP because of scalpers) but it ended up being worth it. Maxed at 60°c with the fans blowing out on Time spy (gonna flip to pull cool air in) and still got a high score. Next step: overclocking.
5,Being in Video production it's crazy how much this sped up my workflow considering I was only using a 1060 before. 10/10 would recommend.
5,This is a beast of a card great performance and great build quality. Pretty happy with the purchase.
5,W graphics card to buy but if you want to get it will work well on games but if it is solely for gaming dont buy this
5,Better than expected. Perhaps better value for $ than the rtx 40series
5,This card was made for my needs. I bought this thing for a mix of gaming and for use with virtual machines. This has plenty of vram and speed to do everything needed and more.
5,The 3090 is a beast of a card coming from a 6700xt and a 2080s evga ultra which was also 900$
5,Normally I wouldnt tell anyone to get a 3090 over a 3080Ti but the recent price drops made the VRAM overhead worth it. Using this card for machine learning projects and do not regret having double the VRAM of the "best gaming card"
5,Despite the cost it is very good resolution and graphics quality the best so far
