rating,review
5,I have several ring lights and they all get the job done. This one is very light weight and great for transporting in a backpack or a tote bag. I had to figure out the way to elevate the ring light by twisting the layers. That was a new way that I had never seen before. But it's very easy. My phone is on the larger side and it held it up pretty well without me having to continue to readjust it up.Overall I am very pleased and I would recommend this for someone who shoots content especially with the options to change the lighting plus the remote is an extremely easy pairing and works great!!
4,The product has tons of attachments which for the price was a great perk. The ring has great brightness and the different filters are solid. The remote I can’t comment on because I haven’t used that feature. I purchased this ring because I’m an online teacher and I made lots of instructional videos for my students and classes and needed better lighting. That said what I had hoped was that this little pod could sit behind my laptop in my desk to provide that light but it’s just too big. also the ring can get wobbly. Last con- it does come with tons of attachments but it seems like there is a piece missing to make the majority of the attachments functional. Like I said I don’t care because I just need the ring light. But for those considering the product because of the multi-use attachments look closely and be sure.
4,I’ve purchased a few ring lights and this one is my least favorite. It’s bright but not as bright as others. The phone attachement is perfect - this is why I purchased it. I like that it bends however you please and there are several attachements for it. This doesn’t come with a cord that plugs into a socket. It has a USB  end and you need a wall attachment to add in order to plug it in. It’s not very sturdy;  I find that twisting the base doesn’t always keep the stand up - whereas other stands have clips to hold them in but it stays majority of the time. All in all it’s a good ring light but not the best on the market.
5,This ring light is so much better than my old previous one I got 5 years ago and for double the money. I could not pass up the price and reviews. It's very sturdy like super sturdy.it will not tip over with your phone on it. Very easy to assemble and figure out. Ring light is top teir quality it's bright and dims perfectly. On top of all that the accessories it comes with is beyond what I expected. So many attachments for all different needs. And it becomes a selfish stick. All while being much taller than me. I'm 5ft 3 and it goes inches above me!Definitely worth it and feels like it's one of those $100 ones!
4,I just received this item and haven’t used it yet so we’ll see. It is light weight so that’s a plus. But light weight means it is rather cheap in its materials. What would you expect for the price? Yes you do get quite a bit for the price. I’ll be treating this item like it might break anytime because of the lightweight plastic. What helped me decide to get this light was the selfie stick. At first when I opened the box I didn’t see the selfie stick. I contacted the seller and they told me it was part of the tripod. I watched the included product video which shows how to detach the selfie stick. Cudos to product support. I didn’t know about the remote so that was a plus. I’ll have to use it before I’ll know if the light is bright enough. It’s pretty easy to assemble. The telescoping selfie stick/stand is a bit flimsy in that it might not stay locked when fully extended so being careful to make sure it’s locked especially before adding your phone. I’ll say also that due to how lightweight the stand is after adding the light ring and the weight of the phone could cause the whole thing to topple over it’ll be a good idea to lay something weighted over the base to prevent it from falling over. I’m a professional makeup artist and recently dropped my old light so I needed a new light in a hurry. I think this light will do the job for the time being. I’ll see how well it holds up.
5,My niece who just turned 10 wanted to dabble with taking photographs during family affairs and special occasions. She only uses my old iPhone picture quality was decent but she needed some good solid lighting to make the photos pop! Come in the SELFIE RING-RING LIGHT! I was a sinch to assemble (with my help) and to operate. The ring light with its many colors and blight led light really made a difference with the photos that she took. The phone holder and usb charging and remote was a bonus at an affordable price. Was a good buy overall!
4,Everything needed to create your digital content whether using your phone camera or both at once. Two camera clips are included and can be used at the same time. Light colors are white yellow and pink plus are dimmable. The stand works great at adjustable heights and stick can also be removed from the base to function as a selfie stick. Oh I almost forgot the remote. It paired with my phone immediately and works great for when you need to be hands-free. Works great for my needs.
5,This is a wonderful item that made my zoom meetings look more professional. It lits up the face pretty well and makes the face more visible. It also have 3 different light modes and various lighting brightness levels that makes the light throw blend in with the room lighting to provide a soothing ambience. I recommend this light to anyone who wants to make the virtual meetings more enjoyable for the audience.As for gaming experience in terms of live streaming. The lighting is superior honestly. The overall sturdyiness compatability and mere options given this product deserves 10/10. 5 stars is not enough.
5,My husband and I did not have a photographer for our wedding so I purchased this product for because it came with a remote control and I thought was genius! Unfortunately we did not get to use it but I use it for taking videos and my children playing and it’s great for family photos you can do them yourself. As you can see in the pictures uploaded you can get a wide view. It also allows different angles and it can be turned into a selfie stick. I would definitely recommend this product it has many different uses. I hooked my iPhone up to it and the remote works with my iPhone videos and pictures!
4,This tripod was the best thing I ever did for my photos! It was a little confusing to assemble at first but once I did it once it was easy to remember and do it later in other circumstances. I loved the flexibility of the ring light part so you can angle your phone any way you could imagine. However it is a bit flimsy and the stand has now broken with only a few uses. I wish I was still able to use it.
5,I didn’t know which to get because so many out there but my son is in college for production/directing and he picked this one out of the bunch I gave him to choose from.  He stated the specs were good for what I wanted (I want this to record me cooking & a new platform I want to try) . He was RIGHT!  Tripod great quality (love how it collapses for easy carrying. Many different holders for you to choose from for your electronic devices (I.e. phone camera) the light is great quality and the remote is so convenient!  I recommend!!
5,I bought this one day when I was bored and it wasn’t as expensive as the other ones so I wasn’t sure if it would be great quality but I love it! I set it up at my job and we had so much taking pics with it. The lighting was perfect! I loved. How it made my pictures look. It was such a great buy!
4,The light is bright and even it has many attachments that work with several different types of mounts.  One of the attachments seemed lower quality and fell apart while I was trying to figure out what it was and how it worked but that particular one wasn't needed for my setup.My one complaint is that for my setup the shortest height for the tripod was slightly taller than I'd prefer but I've been able to make it work and now I swear by this thing!
4,The lighting on the selfie ring is amazing! There are three different settings you can choose from to decide which light you want. The remote is a nice touch as well. However if you have a heavier phone (I have an iPhone 12 Pro Max) the ring light is not strong enough to hold up the phone no matter how hard you try to tighten the adjustment.
5,Comes with all the right pieces that you will need.  Its not too big but not too small either. I purchased just to be able to apply make up but my niece had found it useful for all the things that 22 year olds like to do.  She was surprised at all of the attachments so now I guess I know what she will get for Christmas.
5,I got this ring light because I was doing a maturnity photo shoot with my phone and needed extra lighting. It was amazing and got the job done. I love that it has severak attachment for the different ways it can be used. It was easy to assemble. Love the remoto control as well.Didnt like that the light had to be plugged in but i think  i havent figured out that well yet.  But all in all I would recommend buying.
5,I really love that this item was lightweight and easy to pack up and take with you. My kids love it. They take it all over the house inside and outside taking pictures all of the time. This was a great affordable investment. I bought it to take pictures for my business. I was not disappointed. Great buy!
4,It's lightweight but fairly sturdy.  Adjustable height adjustable brightness. Remote work fine with Bluetooth. How the light ring is attached could be a little more sturdy as well as a couple of the gadgets that hold your phone but overall it works well for my needs. I treat it as I do any other delicate piece of camera equipment.
4,I am happy with my purchase especially considering the price for all the different light settings stand length and remote control. The stand is a little unsteady but that may be due to error on my assembly skills. Still a very good buy!
4,The ring light is definitely a deal for the price! It comes with a tall tripod (tho a little wonky) and phone holder. It’s on the smaller side but really bright with 3 different style of lighting. Overall it’s a great buy!
5,I was a bit apprehensive about buying a light online sometimes you get the greatest thing ever sometimes you get the “swing-and-miss”version. This light was really worth the money I paid for it. Not only is the height adjustable perfect for both my laptop and desktop settings. But the different colors really make me stand out in meetings. rather than looking on natural this light makes me pop and not only zoom but team meetings.
4,I gave it 4 stars because it doesn't remain tight I have to keep screwing the phone holder & light in order for it not to keep moving. Other than that I love it! The lighting is bright and love the different settings.
5,This ring light is a perfect start for my photography.  Everything worked like it is supposed to.  the only issue is with build quality but for the price this is to be expected.  The tightening clamp for the ring light doesn't tighten enough for my liking and moves easily when it is tightened down.
5,I love how bright and easy it is to use. It comes with a lot of accessories to use. I set it up in my room and it’s great for pictures videos etc. The remote control is quite small I do tend to lose it haha but it’s fairly easy and quick to the point.
4,Everything works fine for me except the remote. I have an android phone and instead of snapping a photo the remote controls the volume on the phone I don't know may be user error
