rating,review
3,Was told by tech support that this is what I needed to install a new head unit in my 2011 Silverado.  I had it all wired up and all that worked was the radio.  I called tech support back and was told that with this I would lose the the door chimes key in the ignition chimes would not have steering wheel controls and a couple other features I would lose.  The second tech I talked to directed me to the correct wiring harness I actually needed to keep all the factory features.  Was not happy that I had to disassemble everything to send it back and put my old stereo back in until the new harness arrived.  Always get a second opinion it'll save you a ton of frustration and headaches.
5,Works great for flat screen aftermarket radio. The 2010 Chevy needs an antenna extension adapter and look up videos on installing the power wire to a key accessory switch (your radio will not power on and off without wiring this correctly).
4,Instructions are lacking but this does work. Find the OEM wiring manual for your vehicle and match up the slots not the colors of the harness.
5,Works like it's supposed to
4,This harness seems to be of good quality and has simple to follow diagrams.  Definitely on bar with other more well known brands
3,Not the worst thing in the worldbut not the best. Got the job done with some frustration along the way
2,The issue that I had was not the quality nor the timely arrival  the plugs were nice and they snapped right onto my factory harness which was great !! The problem that I found was that even tho it fit my factory harness it may be used for a multitude of similar vehicles and not my specific model which it said was  I had to wind up not using the product because none of the wires that were used for my car we’re actually in the correct location on the said product they were pinned for some other model  I am not trying to say that have a bad product or anything of the quality because it is very nice  I just think if they say it it simple and plug and play which was what it said then that is what it should be   or make it for the specific model and actually know what it will actually plug directly into and work without causing someone to have to make their own harness which is what I had to wind up doing  I was just very disappointed in that aspect  and also when I went to the instructions it gave all mode break downs except for mine but they kept telling me it was the correct one for my car
3,Product in the end is fine they just need to do their homework on what wire actually does what
4,This product has confusing instructions for vehicles that amazon says fits. I rebuilt my wiring harness twice for my chevy cobalt because the products instructions were not clear to my vehicle. I had to search the chevy cobalts wiring harness use my stereos harness instructions and these ones to figure out what i had going on singularly to me. I have no problems with the product itself i have had no issues with that it was just the instructions were a bit confusing.
5,I tried this harness in a 2007 Hyundai Santa Fe to connect to the factory radio harness and it fit perfectly.  Redwolf customer service is amazing.  I had some questions on the harness and reached out to them via email. I got their response the next day. Excellent & prompt communication.
4,You absolutely can get this to work perfectly but have to be willing to relocate some of the pins. This takes a simple wiring diagram of you vehicle (which they supply) and a bit of understanding.Overall the connector itself works great and the wiring connections were solid.
2,It didn't work on my 2012 chevy Malibu It clicked into position but you loose loads of car features including the chime. I bought a ridiculously expensive alternative that retains the car functions including the chime.
5,I’m not an expert on car stereo's but it seems to work just fine on my 2009 GMC 2500hd.. of course I don’t have SWC or Sub./Boss system.Hope this helps.
2,Didn't work
1,I bought this for my Chevy HHR. The amount of chaos this thing brings is amazing. The wires aren't even placed in the correct places. Theyre just random. They dont even match their own instructions. Somehow theres 3 pink wires on mine. For some reason my ground wire is green. I cant even figure out my ignition wire i dont think they even added it in.Update: This part isn't even correct for most newer GM vehicles. Vehicles like the chevy HHR need a GMOS-LAN inferface kit so the stereo works correctly and your warning dings still play. The kit has this harness already built in which makes this thing effectively useless.
4,Instructions are not the best. But easy to use and install
4,Instructions were unclear and hard to understand as compared to a pioneer harness
2,The it did not directly fit the Chevy Impala so I ended up getting the pin out from the service manual online and wired from there. The idea behind the harness is to make it plug and play and I can understand a few wires being off or not used but for how far off this was it was a waste of time. The instructions do vaguely tell you if the pin out is off you can move them again the purpose is not to have to do this. Two stars for us but maybe this works perfect for other models or years.
4,Was what I was looking for. Color codes don’t match and some of the wires needed to be relocated. Wires are on the lite side even the power/Ground wires should have been a little heavier then provided.
5,Buena calidad facil de instalar es un buen producto
4,I like it. The instruction quality was a little crazy but after reading the whole thing it was easy.
1,It says it will fit a 2010 Chevy Equinox but as I’m going to install an aftermarket radio in my widens car I’ve found out that it in fact does not fit. Now I have to go and order a different wiring harness and waste even more time dicking around with this than I had originally planned to.
