rating,review
5,This weekend I went on a family road trip. While we made some fantastic memories we also made each other absolutely insane! However this would have been a LOT worse had we also been fighting over power cords for our many devices. This little plug was a lifesaver. Even with short cords it made it possible to plug it in the front seat and have 2 cords reach the backseat passengers but with the long cords we actually had access to all 5 from any seat in our car. I am not techy enough to know if they charged slower when all the plugs were engaged (probably?) but it wasn't noticable if they did. Note all of our devices used were just Android phones or tablets (and a Nintendo Switch for a bit) so I can't vouch for whether or could have handled like a laptop. But for our purposes it was perfect. I'm never going in the car more than 5 miles from home without it!
5,This is just what I needed. I had a few peripherals I had like BT and a dashcam that I wanted to wires hidden so I used the extend usb's for those and the remainder as my phone charger. Works great with my Samsung wireless phone mount. I got two one for each of my cars. They were slightly different versions but similar and both work great.
4,My car doesn't have chargers at the back. I was undesided to buy it. But  i gave it a chance. It's still working eventhough the high tempeture. It has 4 usb connectors.2 direct to the charger and 2 at the end of the cord. I don't like the cord is too long but it has a clip to place it at the back packet of the front sit.
5,Charges my phones pretty fast and it does the job! No complaints!
5,I have a Car mount wireless charger. A Dash Camera  that records inside the cabin and out the front. And LED Color changing lights all plugged into the device. Rand the Cory’s under the center console and use a thin Mounting tape for the the second set of USB because my civic doesn’t have anything the clip to. Makes it grate for my Lyft customers and family to charge Their devices. My Civic only has one Car port and so this was the best thing ever. At some point it stoped work and I took it out and pressed on the metal connectors to make sure the the fuse didn’t blow or melt. Plugged it back in and switch right back on I’ve had mine in use and still working for about 7months and still is the first one I bought.
4,Rep from company reached out and expressed their apologies for the damage. A new item was sent to me. Very thoughtful and professional act on her part I have not used the product yet again. I’m sure it will work fine. The other one may have just been a malfunction.
5,Hope i can reorder.
5,The support team is incredible. I had some concerns about the durability of the unit. I received responses immediately by Amy until she made sure I was taken care of. Great unit. Great charging power. The LED screen is not as bright or bluish as on the listing but it works. Not sure about durability as it seems thin and plastic but hey it has a lifetime warranty and they respond quickly and really seem to care. Definitely would buy from this company again. Haven't tried all the ports at the same time but it does super charge my galaxy fold.
5,Works like a charm!
4,My ONLY gripe is that the clip on it should be turned opposite. Because the weight of the 2 wires for the back seat pulls it off whatever it's clipped to. If it was flipped it would stay on.
5,My previous charger kept disconnecting from the outlet but this is snug and I didn’t have to worry about having a low battery after using for navigation during a long road trip. I didn’t have a need for all the ports on this trip but confident it will work just as needed and described when I do. A lifetime warranty adds to the knowledge that I made the right purchase.
5,Just got this it arrived on time (even if it was late it's no big deal with me) and it really helps. Got for my 2 phones I use for Uber & Lyft use it for my dashcam and now I have extra plugs available for me to hook up 2 tablets in my car so people can watch TV or play games during their rides. A big time MUST GET.
5,Bueno
5,Perfect
5,As advertised.
5,This company and product turned out to be better than I expected. The product actually does help charge both android and iPhone quickly and simultaneously. The materials that it’s made of aren’t flimsy either they it was worth price . Also at first I didn’t receive the correct items at first but customer service was very accommodating and resolved the issue quickly. I would purchase from the company again
4,Good item would buy again
5,So far works great charges fast provides enough for the kids could be a bit longer but otherwise so far so good!
4,Worth purchasing
5,I’m Uber driver and this charger is really good to work because we need to use for camera phone and when passenger needs… I received the order one day before. I recommend!
5,This product is fantastic and works great absolutely love it. Customer service is amazing. If you have any questions problems or concerns just send them a message and they will respond immediately. That’s a major plus as customer service and company standing behind their product goes a long way. I highly recommend product and purchasing from this company. Again product is flawless and customer service/company is professional responsive and backs their products. Amy was fantastic!!!
5,A trucker's best friend. Get you one of these and you won't be disappointed.
5,Simple yet gives me everything I need.
5,The cord link is plenty long enough to reach the back so my kids can plug their tablets in
5,Bueno
5,Pretty durable good length. I’m happy overall!!!
4,So far I like the charger it allows us to charge multiple devices in the car at the same time.  I am happy with this purchase so far.
5,I use this charger with my coworkers while driving to/from a job so everyone can play their devices at once!!
4,Power output seems to be lacking as it takes forever to charge phone
5,Good
5,Cord feels a lil flimsy and the power 🔋 charge is pretty good so far. Dnt have any problems with it.
5,This this is great charges fast and it perfect for ride share driver to have chargers for passengersLove this thing
4,Charges well and doesn't take up much space
4,We've only had had this a short while  but I purchased it primarily for a family move of over 2300 miles.  Slow miles!!!!  Both my daughter and I were able to keep our phones charged and my Grandson could watch Netflix on his tablet all at once.  It did not overheat nor overheat our devices as other reviews have stated.  These are NOT fast charging  but if that's not a priority I feel it's a good value and product.
5,We needed a better charging system for our RV trailer; we have several devices that we take camping with us and the charging station that is above my head in the trailer only has 2 USB ports (and one car charging port).  This charger allows us to use the faster charging port and charge multiple devices at once.  The long length on the extension allows us to have some of the devices near the seating area in the trailer.I was contacted by Amy in customer care contacted me to ensure that I received this in a timely manner and that it worked.  I did receive it on-time and testing it with my car all 5 ports work for both Samsung Galaxy and iPhone phones.
5,My daughter loved it.
5,The product was great for my husband’s GMC Truck.
5,This allowed for 5 devices to charge at once! Cord length is awesome for the back seat. I definitely recommend!
5,Love this product ot work well with all my  Devices in my car
5,I used this product to charge phones for passengers in the back seat of the car/truck.  So far it’s living up to the advertised billing.
5,Love seeing the voltage as soon as I plug it into the charging port. Usually 12.4-12.6V. Now I’m thinking it could be very helpful in winter to let me know the battery is running low.The front USB-C port works for my iPhone and iPad speed seems fine in charging. I really like how the extension clip can extend from the front console back around the center console and clip on the seat pockets. Haven’t used the rear one yet but it will be really nice for road trips.Overall great product for cheaper than the Apple single port charger. Would definitely recommend.
5,I liked this car charger. It has a very long cord. Seems to charge fast. Lots of ports. Great value. Have seen and bought in the past worst products in the category and this one standsout as very good. Good value
4,Works
5,Works great! Very handy that there is a wire going to the back seats.
5,Mine doesnt work properly but to have a 5 in 1 is epic ! The cord reaches to the back seat and has a small clip so you can clip it to stay up if wanted . I will be ordering another in place of this and i hope it works !UPDATE 7-16-21I am traveling and on the go at the moment but had to update my review from 2 stars to 5 stars and explain . I received a message from tollefes customer service after they saw my review and they asked if they could help in any way and i explained that i am on the road and cant do a return right now so i bought a second one bc my first wasn't working properly and they offered me a replacement or a refund . Now let me tell you most companies don't care to check up on their customers after they see the reviews but this company does and deserves all of the stars . They didn't hound me as i have seen some say they weren't pushy and they didnt ask me to update my review i wanted to update it to tell my experience so otherw can see everyones experience isn't the same . If for some reason you need customer service they are willing to help in fact as i said above they reached out to me just to check to see if i was satisfied and to me that is everything ! I am adding pics as well . The box and opening it as well as the clip on a plastic box cover bc those are pretty thick and it fits just fine i have also clipped it to the back of the seat in the car where i have an organizer hanging and it fits but this is just to show you for reference . It looks small but the clip does work . Thank you for your outstanding customer service and making sure i am satisfied i truly appreciate it !
5,I got this for my driving and it's epic! Works perfect as a back spot to charge phones in the back!
5,Love this split charger! We have a large SUV that’s 3 rows with 3 kiddos in the back and 5 when we’re babysitting and this charger has made life so much easier. They use to fight over who would get to charge their device but now that we have enough ports and enough power for all of their devices it’s been quite quiet back there. Lol. 10 out of 10 recommend!
5,I brought one because of the length of the cord. Everyone who gets in my car sees it and wants it now I've bought 3to replace the first one I bought now I give them the Amazon website to purchase their own.
3,Galaxy S22 will not charge at normal rate build quality is worse than what you would expect. Then again it is cheap.
5,The ability to have additional charging ports in the back seat for my grandchildren has been a game changer since they never remember to plug in and charge at home.
3,I didn’t like that the clip part was not wide enough to clip to anything
4,As advertised. Charges multiple phones  single fast charge. I have the dongle mounted to a rear seatback headrest  for rear passenger use.Works  get it.
