rating,review
5,But this instead of an adapter. The adaptors will break and you’ll be stuck buying a new one every three months. This will last much long with minimal hassle.
5,I hate it took me so long to order this! The cord is very durable cause my grandson are rough while were driving. Thank you so much!
5,Purchased for my 2007 4Runner that has an aux port. I don't like to charge my phone in the car unless it's completely dead so this is a perfect purchase for me. Audio sounds great doesn't charge the phone.
5,Works well and good quality materials
5,I got this to use in my truck so I can play my music off my phone and it has not disappointed me. It’s nice and long and the music sounds great! I would def order this product again if I need to down the road!
5,Better and cheaper than buying dongle and aux cord separate.
3,You get what you pay for it’s a nice cord and the sounds quality is nice. It has issues with disconnecting from my car at random times not sure why but that expected for the price you pay
5,Works perfect and so much more convenient than the little aux adapter that comes with the iphone
2,Bought it in December 2021. My previous one from another cheap brand failed very quickly. When this one arrived it seemed to have been made much more sturdier. However since July 2022 it's been crackling and popping. In August I discovered the lightning connector would actually lose stereo function and only play the RIGHT side of audio unless I kept wiggling and adjusting it. It is now late September and it's just constantly crackling popping losing stereo functionality. So here's my theory: it's not the cord that determines quality. It's the lightning connector itself. I think there are some with better quality and some made poorly that wear down quicker with vibration.
5,No concerns. Works well
3,This cord lasted me a couple of months before it started splaying on both ends and only working properly from certain obscure orientations was great at the start though
2,Bought this for my daughter so we can listen music in the car but over few months of usage the usb side of this cable doesn't work properly. You have to twist the cable in a certain angle for music to play properly which is very annoying specially when you are in a car driving yourself and no one there to assist.This is not a reliable cable. The built quality is very poor. I would be happy if my current cable can be replaced. I am going to look for a different one brand.
4,Works great. Sometimes I get an error message.
3,Works half the time
3,You have to buy the apple version which is $35
2,Ive purchased two of these within a month [or two] of each other. i'll start out by saying the sound quality is great and it looks really nice.First time i purchased the lightning plugin broke from the aux itself. No problem i thought. Purchased another and it has started to short. As nice as it is I wouldnt buy this aux cable again
3,First one got broken inside… I just bought the cable on feb 24 2022 return expired on March 25.It’s April 6 2022. Cable already loose broken on the end. All I did was to plug in. First one got loose somehow also at the end. So constant move of the cable to make it sound even because of broken cable inside.. I don’t recommend.
2,The product worked good for a few weeks and gave out in less then a month. I guess worth the price.
2,Upon first using this aux cord it worked great and I had no issues connecting my phone to my car's sound system.After two months however it completely stopped working. Whenever I plug it into my phone it keeps triggering my phone and behaving as if it is not plugged in. Music will start and stop sporadically as if I am plugging and unplugging the cord.I checked my phone and the lightning female works fine with my charger so the only issue I'm having is with the aux cord.iphone 13 for reference.
4,this cable works well but is very bulky I always worry about it breaking my devices because it is so stiff.
4,Didn’t even last one year
2,Two days after purchase and the sound was compromised. We have to move the cable around and bend it in places so we can hear the music. Disappointing.
4,I've had it a few months and it's already cutting in and out some.
1,Where to start. First when you plug it in it automatically starts playing Apple Music and always the first song in your library even if the app isn’t open. So if you use another service besides Ap music you have to first quit Apple Music open your service (ie Spotify ) then hit play it then starts to play out of your phone even if connected then you have to hit pause and play again for it to finally start working. So quite annoying feature there.On top of that it last me hardly a month before the wires in the cord started to separate inside and had to do that weird bend the cord for them to reconnect to each other but it’s inside the cord wrapping so it still goes in and out. Bottom line not worth the money due to frustration of use and a lack of any sort of durability. Do not buy!
5,Pretty happy with my purchase. Good value for money
3,The cards are great for a while then they start to fall apart. I’ve even received a few broken ones fresh out the pack. My Pal is a dj and he uses them for gigs and we use them in the car. THEY DO WORK but you’ll need another pack eventually.
2,It looks durable but it t did not work for what I wanted needed to work as an audio for my IPhone
3,AirPods Max (rather frustratingly but not surprisingly) require a special cable. These will plug into your AirPods Max but the audio IC in the cable is one way. The audio IC in the cable basically turns the digital signal from your iPhone to analog signal for the headphones. That process does not work in reverse because that audio IC needs power from whatever device the lightning connector is plugged into.Basically you need the 30$ official Apple cable for AirPods Max. This cable will not work and neither will the normal little short lightning to 3.5mm female.I knocked two stars off because no where in the listing did it say any of this or that it did not work with AirPods Max.
4,Sound quality is not as strong after a few months. Have to wiggle cord to keep consistent sound
5,I bought this for my Tivoli radio. My kitchen accents are red and this cloth cord goes great with the silver & white of the radio. I don't bother hiding it. It's braided attractive and seems durable. I'm happy with it.
3,Got an AirPods Max for Xmas and needed to get a cable to connect to the PCs at my university. Unfortunately this six cable is apparently not bi-directional meaning it doesn’t work with the AirPods Max. I’ve heard the only cord that works with them is Apple’s lightning to 3.5mm
2,Firstly it took 3 delivery attempts to get this. First was lost second was wrong item (some kind of magnet for your dishwasher) and third was finally the correct item however while it worked fine for a while and appeared nice it started giving me warnings about water being in my lightening connector and then both ends of it started to crackle after about 3 months. I'm not an abusive user the cable was never under great stress or anything so overall this was a pretty miserly experience for such a simple product.
2,It barely lasted 4 months.
3,THis broke hella quick and I feel like im fornicating with the damn thing to make it work.
5,We purchased 2 of these in the course of 6 months and the same issue kept happening. They suddenly develop a short somewhere in the cord and basically just stop working. The cord had no visible damages but it was not functioning properly. We gave this company several tries with this product and received the exact same outcome both times. Thanks but no thanks
5,Tried a couple Bluetooth aux adapters before it finally occurred to use a an iPhone to aux adapter and it worked like a charm. Plays music perfectly
2,broke after just over a month
