rating,review
5,I trashed several of my old cassette player not long time ago with all recorded tapes.  But recently I found some tapes with important information on them then have to buy this one that has tape player and radio AC/battery power. I wish it could transfer the tape records to digital. After reviewed the products with digital transfer are not simple and quality. So I decided to get this one.
5,Nice tape player great to hear old tape's
4,My only complaint about it is that it has no input jack for the use of anexternal microphone or telephone pick-up coil.
5,The sound is loud. Easy to use. Has long antenna. Can use batterys or plug into wall.
4,I purchased this product in order to play my old cassette tapes from years ago.  When I first got this it played nice the first few times and then proceeded to eat two of my beloved tapes. I initiated a return process. Before returning a friend of mine who is familiar with music and different devices told me to try something first. He said that tapes have iron oxides in the reels of tape and they can stick to each other if been sitting awhile. He told me to put my tape in and fast forward through the whole thing once and then fast rewind through the whole thing. This should unstick the tape from itself.  Once both of those are done he said to try playing it.This works wonderfully. The machine has not eaten anymore of my tapes. What he said makes sense.  So I think that with all these different cassette players where people were giving poor reviews because the tapes were being eaten it was not the machines at all.  It was the iron oxides in the tapes itself.I decided to keep my machine and it has played well ever since. It is a good machine. The sound is a bit tinny because these are not professional quality machines but they serve the purpose for me.  I am able to enjoy all my music from years ago.
5,# ReviewFor months I had been trying to listen to some cassettes. It turns out that my stereo and two boomboxes wouldn’t play tapes anymore. After some research I decided to go with this Semier boombox from this seller and I’m SO glad I did. I order a lot of stuff from Amazon but I was the most excited to get this radio. So much so that I was checking to see if it had been delivered several times.When it arrived I went out and disinfected it and plugged it in. I put in a tape and my jaw dropped when it played sound instantly. I was starting to think that all boomboxes were no longer playing sound. So needless to say that night I started listening to a tape I really wanted to listen to. To me the quality of that tape sounded as well as any mp3 file would. I also like the volume level when I listen to this boombox by myself. The radio at least where I am in a bit of a mountainous area wasn’t as perfect for the one station I tried but I honestly think that was just because of my area and the distance to the radio station. I can’t wait to try to see if I can try transferring at least a couple of my tapes into mp3 files with an audio converter (DIGITNOW USB Audio Capture Card Grabber for Vinyl Cassette Tapes to Digital MP3 Converter) that I bought here on Amazon. I read on that products page that you can transfer audio by plugging it into the headphone jack which this Semier boombox DOES have. Even if it doesn’t work I’ll still be happy with this radio.I loved this radio SO much that I was about to buy another exact Semier radio. Why? Because I never want to not be able to play my cassettes again and because apparently getting a quality cassette player is not easy to come by. So if you’re on the fence buy this radio. Even though it’s about the size of 1/3 of a sheet of paper it’ll give you joy to be able to listen to your tapes again.P.S. Apparently the reason why some tape players stop playing is because you need to clean specific parts of the player with alcohol. You can Google this or watch YouTube videos. However I'm happy to have this brand new tape player that works and brings me joy via the sound of music.
5,Easy to use
4,The sound quality (fair) is what you'd expect for a low cost item as this. Very easy to operate. Compact design.
3,After returning  my previous one I search & got this one much better  definitely more powerful  sound voice  recording build in not like sony or Panasonic in the 80s to 2000  but well much better for TODAY'S budjet days cassette voice/live  recording.  radio  is o.k not great sound ( reception station & it does sound like a kid toy cassrecorder;!!)but u could listen to/ or record a talk radio show or a ballgame pretty well  n this stuff 4 today I use to love this thing when was made by sony & Panasonic way back n the 80's even they competition was good unit@ that time not today this unit make a  noise when you  rewind it you must hold the bottom  to the noise  calm down  a bit the hand amfm cassette recorder noise is alot smoother then this one & for the best unit to buy.
5,This works great for playing old tapes and is worth the money. Make sure to clean it periodically. It's been used in the process of digitalizing books on cassette and it's working fine.
4,works fine radio and tapes but i cannot get it to work with batteries only...first order returned  thinking it was defectivesecond (replacement) has same problem...fresh batteries inserted correctly  but still no power...i am a mature person who has had many such items and i do know how to use them but with this one its a puzzle..i feel there is something simple i am not doing...HELP
5,This little radio was to replace one that stopped working. Since I had been pretty happy with it I wanted to replace it with the same model. I saw this radio for about the same price but it was smaller and had a modern streamlined look which would much easier fit in with any decor.It was at my doorstep the very next day and what a pleasant surprise it was. Good looking easy to operate the sound is excellent and I felt like a kid on Christmas morning. If it will last as long is as my previous one remains to be seen. The guarantee that came with it is very generous which leads me to think that this is of superior quality too.Oh yes did I say I like it?
5,Listening to old sermons dated in the early 1980’s...
5,Very crisp sound. Surprised at how clear cassette tapes sound on this device. Radio picks up all stations correctly. This unit has a DSP chip for the tuner. Takes a few tries to get the feel of it. Extremely crisp radio sound as well. All stations are clear. The unit is housed nicely. It does not feel cheap or flimsy. Also the brand did not make this over the top retro. It has lines reminiscent of the 1980s-90s. This is an excellent unit for the office. It's basic without all the modern add ons. Bluetooth SD slot etc. It is probably built better than most due to alleviating extra goo-gaa and focusing on old school functionality. I have a lot of music on cassette tape. Honestly it's nice to not have to stream all day and have some type of physical medium to play. I think that the oldsters out there will be impressed with the sound of this tiny boombox. It is VERY PETITE. Press play and enjoy!
5,I just needed this to be able to play some taped services and old cassette tape audio books.  Works great for that.  I have not tried to play any music cassettes from the 80's though so I'm not sure about the sound quality as far as that goes.  My guess- probably will not sound as righteous as the boomboxes from that era ;)  Not bad deal for the money though.
4,i haven't used it yet but from the looks of it it looks like a nice little entertaining piece of equipment
