rating,review
5,This Wi-Fi adapter couldn't have been easier to setup and use.  The box is really straightforward - when you open it up you discover the Wi-Fi unit itself and a USB 3.0 cable (with a USB 3.0 Micro connector on the unit similar to portable hard disks and an A connector on the other end).  When you plug the adapter in to your PC it appears as a small removable storage drive with the driver available - a really user friendly touch given that if you're installing a network adapter you likely don't have an Internet connection to download drivers!The device wasn't automatically installed by my Windows 10 PC but once I ran the driver installer it immediately started right up without me even needing to reboot or make any configuration changes.  I disabled my onboard Wi-Fi adapter and switched over to the new one and things worked exactly as expected.I ran a speed test comparing my ThinkPad P1 Gen 2's internal Intel WiFi 6 AX200 adapter to this TP-Link in a marginal coverage area and I was blown away by how much the transfer speeds improved.  I consistently receive about 200Mbps over 5Ghz networks with the internal antenna on the laptop;  with the TP-Link adapter I was able to achieve 290Mbps an improvement of almost 50%.  Speeds were much higher and much more comparable closer to the router of course - but if you've got a desktop on the fringe of coverage the large antennas on this unit could make all the difference for you.About my only complaint is that there's no mounting hole on the back of the adapter's case - a little recessed screw hole would have been nice for wall mounting the receiver.  Nothing a little 3M VHB adhesive tape can't fix though!USB Wi-Fi adapters aren't particularly exciting but this is a really high quality one that achieves excellent performance from a trustworthy brand.  Highly recommended.
5,Bought this since my gaming PC is far from the router and I did not want to run an ethernet cable after grandma tripping (like how..)Comcast gave me a new router that I configured to throw out WiFi 6 (802.11AX). My old AC adapter was getting maybe 60 down at most with ping 50+ and sometimes way higher making game time miserable.The new adapter using the AX spectrum is showing significantly better ping. I'm seeing 18-30 ping (steady no large jumps!) with download speeds around 180000 mbs (yes that much of an upgrade). Upload increased from 25 to 58 mbs which I figure is more reasonable.The old AC adapter was a large dual antenna one (maybe two years old at most) so it was of higher quality. This new adapter is worth the investment if you are gaming and need something to reliably go through several walls in your home and don't want to run cables. To count it's going through 7 of mine currently.Make sure your router is WiFi 6 capable or you'll be better off buying a cheaper adapter! I cannot stress this enough. An old router using WiFi 5 will not bring you any performance increase by using this adapter. Both ends must be compatible or you're not going to have a good time.You can go into settings and turn on multi user mimo. I noticed a considerable increase using that mostly on upload though. Again turn it on in the router settings first!Overall super happy this is working out for me. I hope this review helps you!
5,My internet speed is going from 300 to 600. To get ready I upgraded from an older surfboard to the S33 and my EERO Pro (wi-fi 5) to the EERO Pro 6E. After the upgrade my Surface Book 2 was usually connecting at 150-250 down. Sadly my upgrade made no difference. Desperate I order the TP Link adapter.It is now connecting the the EERO at 1200 so I'm pleased.  I connected it directly to a 3.0 USB port on the laptop so I don't know if it would work connected to my MS Hub 2.0.When you plug in the adapter it appears as a new disk drive. That's where the setup tool you need to run can be found.  After running the setup I did a couple of other things.1) Disabled the built-in wi-fi of the laptop. That forces windows to use the TP Link.2) Configured the TP Link adapter with VHT 2.4G mode=DISABLE so it wouldn't connect at 2.4G speeds which is often does.3) Configured USB Switch Mode=USB Mode 3 since my ports are all 3.1.My EERO router is in a closet about 40 feet away.My laptop is stored in an enclosed cabinet but I put the TP Link module on top of the cabinet and aimed it at the EERO.I'm not sure if my EERO PRO 6E supports MU MIMO so I left that disabled. I figured I had 1200 not going to mess around anymore.
5,This is an excellent WIFI adapter providing High Speed on my 5Ghz band home network. Our 2012 desktop PC on Windows 10 would internally only support the 2Ghz band. We were getting about 50 Mbps downloads on the 2Ghz band while getting about 270 Mbps on our newer PC on the 5Ghz band. This older PC is now matching the ~ 270Mbps on the 5Ghz band. Easy install. Plug it in and the PC picks it up (as WIFI 2 on our system). Use the blue USB port if you have one for best results. Turn off WIFI 1 (again our system) and turn on WIFI 2 enter system key (password) and it takes off. Note these speeds are great from my point of view. The device has higher capability we do not need (or pay our provider for more).
5,Where my office is the WiFi signal strength is mediocre at best.  For years I had been limping along with the built-in WiFi adapter in my laptop.  I tried one of the little USB adapters with only a tiny bump in reception.  I got fed up one day and bought this one.  I wish I would have bought it a long time ago.  I now have FULL BARS using this.  The product never goes down and my internet is seamless.  If you have poor WiFi reception and are looking for a quality product look no further.
5,Revised 2nd review:  I bought 2 of these for 2 computers. 1st one was great. 2nd one has non-functional USB cable. The unit is fine cable doesn't work.tested both units with the one good cable - neither works with the bad cable. Call support. I can send it all back to them or pay more & they willsend new unit. ***** So no thx. I am buying replace cable myself (costs between $3 & $7). If that doesn't work and it should I will return through Amazon. The unit itself works fine. Cheap cable problem & utterly useless support IMHO.First review:  I have a 50Mbs internet connection. I was getting 10- 18 Mbs on my old Dell laptop in a dead zone at home and virtual.world was crashing repeatedly.I plugged this auto setup. Disabled the Dell WIFI enabled this little gem gave network password to connect.BINGO instantly 40Mbs. I just bought another one to try with a Linux box. Could not be happier.
5,This is my 2nd purchase of this TP-Link USB WiFi.  1st one was for my office at work which ended up being AMAZING.  This time I needed it for my home PC due to the fact my current home went "all wireless" and no longer had a LAN line to plug into.  Main router to the house is on the 2nd floor above me and on the opposite corner so my on-board WiFi was only catching 5Mbps MAX.  TP-Link to the rescue!!As you can see in the screen shot upon installing the drivers from the provided CD-ROM (I NEVER build a PC RIG without an optical drive lol!) I was literally up and running at 300+Mbps downloads and 200+ uploads in less than a few minutes after just plugging the antenna into my USB 3.0 port.  And frankly is MORE than enough speed for my current needs!And since this is just a simple USB Antenna I can always pack it up and bring with me if I travel!!  Definitely worth it!
5,I have several desktop PCs.  2 are wired with ethernet but one an MSI i7 that's a couple years old is not near a network cable and doesn't have built-in wifi.  Instead of going through the trouble of wiring to it I thought I'd try this USB wifi adapter.  I plugged it in and it worked right away.  It came with a CD rom with a driver but obviously Windows 10 didn't need it.  It's about 50 feet from the Spectrum modem and through a cinder block wall.  5gHz gets a full strong signal and video file downloads and transfers are every bit as quick as the i7's that are wired.
5,Make sure you rate this as helpful so other people can see this and not waste their money.I tested this wifi adapter for the last 2 hours after about 2 months of steady use this and many other TP-Link adapters have the same issue; They spike to 2000+ ping every few seconds I've done a bit of research tried different drivers but the T3U and the T4U seem to have the same problem I was wondering why ever since I switched to WIFI Ive been having connection issues even though speed tests seemed fine. Most games you wont even notice it because its only for a second or two then it goes back to normal.
5,I was skeptical if this WiFi-6 capable version of the already more than serviceable AC1300 would have any improvement especially given my range from my router but I'm seeing speeds of 350Mbps Up / 260 Mbps Down over the AX connection verses the 170Mbps Down / 80Mbps Up on AC connected to the same laptop via Dell Dock.  Very happy with shelling out a big extra for this future-proof adapter.
