rating,review
4,The steel on the inside of the 360 ball head on one of the lights was delivered broken. I used black electrical tape to keep it on. Otherwise the lights serve the purpose. They're easy to assemble and they're bright.
4,These little lights really get the job done. I used one as a key to couple with my ring light as a fill and the other unit as a back light. Made my small space look great. I’m not sure these would be sturdy enough for a lot of travel but they work really well for my basement setup
4,Good for the price.  Smaller than I expected and I wish they would extend a bit higher.  A wall plug would have been nice instead of having to use USB adapter.
5,The package arrived with one ball head. It doesn’t screws on neither of the tripods. Too bad I like the light but it’s crucial for this to be able to tilt it.  I will be requesting a ball head or return the whole thing.
5,These lights work great. They come with an array of colors which are easy to change. Power cord is short which works fine in my studio but want to make note of it for others who may be concerned with length.
4,These work well for the costs.  The dimmer switch is useful.  No problems with how they perform.Only thing I would change would be the height that they can go too.  A little short in my opinion.
3,The lights are lightweight dim-able with easy to use color filters. The stands they come with are cheap and they will fall apart leaving a trail of hardware like nuts and bolts wherever you go making them useless. Use a different higher quality stand for the lights and you are good to go. The lights are worth the price even without the stands to be honest.
4,Las luces son sencillas sin embargo creo que están bastante bien por el precio
4,I bought these to use for product photography and they've worked well so far. I did notice after I got them that each light seems to have a slightly different color temperature (one warmer one cooler) not sure if they are suppose to be like that but it is what it is and hasn't bothered me. A few months after buying them one of the lights has started turning itself on seemingly randomly at night. Maybe I just have a ghost?Overall would buy again and they're a good value for the money if you're not too picky about quality and just need some additional lighting. I do wish the cords were a little longer though.
4,Great price.
5,Great for YouTube broadcasting. Priced right
5,This really helped me with the lightening it is easy to assemble so you don’t have to worry about it.
4,I use these to accompany my ring light. They work but aren't too bright on their own. Switching out the slides is clutch. The remote that dims the light is a b word to use but it works
3,They work great! However if you get annoyed by high pitch noises I would not adjust the light at all. As soon as you dim them they start ringing.
5,They work AMAZINGLY for what you pay for. I will say the color screens do get a little warm when used for more than 5 minutes but for the multiple shoots I have used them in nothing has melted.. yet? Lol.Definitely a great purchase if you looking to improve your setup or improve the lighting in video/photo shoots!
5,This is a great product for not a lot of money. I use it to light my green screen.
3,These lights are nothing special and a bit pricey for the quality. Maybe this is more on me because I expected a little more and would probably spend more money next time to get a more featured and controllable light. I was admittedly being cheap here and I regret it but the lights OK.
